case_id	taxa	nucleotide_columns	distinct_aligned_sequences	informative_nucleotide_columns	diagnostic_fit_completed	copy_caveat	fcs_omission_status	remaining_taxa_after_fcs_omission	target_original_dS_review_label	multistart_refit_completed	case_specific_review_flags	selection_eligibility	remaining_general_requirements
Amanita__352891at2759__code1	7	741	7	198	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9467679330940734	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__3643464at2759__code1	7	1878	7	571	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.718410020953683	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4613677at2759__code1	7	315	7	101	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.6040171529360718	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4695236at2759__code1	7	3213	7	902	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0177598183843173	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4747214at2759__code1	7	432	7	102	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.4688677588318608	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4764044at2759__code1	7	1464	7	444	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9247984483679196	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4803900at2759__code1	7	369	7	76	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.95224863540228	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4810093at2759__code1	7	2313	7	724	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.2750897986276428	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4813267at2759__code1	6	2469	6	574	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.1687855474017894	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4823929at2759__code1	7	1305	7	366	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9259131908394355	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4837017at2759__code1	7	678	7	188	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9574195622262767	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4838864at2759__code1	6	1926	6	461	True	none_recorded	unchanged_by_declared_fcs_omission	6	0.9829402631701907	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4843240at2759__code1	4	1935	4	191	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.4333229861418537	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4843824at2759__code1	6	582	6	145	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.2371304063645792	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4867008at2759__code1	5	537	5	81	True	none_recorded	unchanged_by_declared_fcs_omission	5	15.135982640507315	False	tree_pairwise_saturation_warning;tree_nni_convergence_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4888252at2759__code1	5	2724	5	545	True	none_recorded	unchanged_by_declared_fcs_omission	5	1.315101922202251	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4896098at2759__code1	7	549	7	149	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0766922542609247	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4900375at2759__code1	7	573	7	167	True	none_recorded	unchanged_by_declared_fcs_omission	7	30.814622615823613	False	tree_pairwise_saturation_warning;tree_nni_convergence_warning;near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4908955at2759__code1	5	975	5	159	True	none_recorded	unchanged_by_declared_fcs_omission	5	1.9136617971437488	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4911644at2759__code1	5	2733	5	515	True	none_recorded	unchanged_by_declared_fcs_omission	5	1.2475813817464596	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4940884at2759__code1	6	2730	6	620	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.0471082748127953	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4969018at2759__code1	7	1374	7	382	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.4131977766144928	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4969636at2759__code1	6	1143	6	313	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.7990364516629611	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4969990at2759__code1	6	1056	6	235	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.0122721616949812	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4970387at2759__code1	7	444	7	131	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.3396689687118049	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4970538at2759__code1	6	2844	6	767	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.5920201682901438	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4971272at2759__code1	7	1311	7	376	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.3291749522903797	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4974767at2759__code1	7	438	7	100	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0261355737767213	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4975094at2759__code1	6	2958	6	693	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.1178490158480623	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4976279at2759__code1	7	1128	7	418	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1930455298241045	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4977163at2759__code1	6	546	6	140	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.2938206791377518	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4977863at2759__code1	6	1725	6	435	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.2959161491988602	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4983000at2759__code1	7	1452	7	467	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.3978353157075198	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4985971at2759__code1	6	1002	6	227	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.0071407453361376	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4986044at2759__code1	6	1506	6	411	True	requires_gene_copy_reconciliation_before_confirmatory_single_ortholog_analysis	unchanged_by_declared_fcs_omission	6	1.1826821781930372	False	copy_reconciliation_required	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4987397at2759__code1	5	2604	5	458	True	none_recorded	unchanged_by_declared_fcs_omission	5	1.2110804987517032	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4988239at2759__code1	5	3042	5	555	True	none_recorded	unchanged_by_declared_fcs_omission	5	1.1619075437090018	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__4999134at2759__code1	6	6999	6	1424	True	none_recorded	unchanged_by_declared_fcs_omission	6	0.9175161883802982	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000045at2759__code1	6	1134	6	253	True	none_recorded	unchanged_by_declared_fcs_omission	6	0.6855355975121012	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000152at2759__code1	7	3573	7	941	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0207616480148292	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000362at2759__code1	5	2691	5	495	True	none_recorded	unchanged_by_declared_fcs_omission	5	2.237664475482875	False	tree_nni_convergence_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000371at2759__code1	6	1200	6	297	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.3733390249984374	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000452at2759__code1	7	837	7	275	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.4712993131533048	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000476at2759__code1	7	1146	7	320	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1474257712434195	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000743at2759__code1	7	528	7	127	True	none_recorded	unchanged_by_declared_fcs_omission	7	19.268482921166733	False	tree_pairwise_saturation_warning;tree_nni_convergence_warning;near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000823at2759__code1	7	2790	7	850	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0304261256587146	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000870at2759__code1	7	2250	7	625	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.2818729944604785	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5000986at2759__code1	7	1509	7	499	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.6415771270375161	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001156at2759__code1	7	765	7	215	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9400495886711004	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001273at2759__code1	7	714	7	197	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.4610285298848753	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001280at2759__code1	7	2124	7	606	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1283612204198166	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001318at2759__code1	6	1146	6	280	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.1237061115803844	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001413at2759__code1	6	843	6	215	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.337814466527653	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001473at2759__code1	7	345	7	86	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.38076112084457	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001660at2759__code1	6	1917	6	467	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.8090970536766655	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001734at2759__code1	5	648	5	100	True	none_recorded	unchanged_by_declared_fcs_omission	5	1.3072600221589565	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5001941at2759__code1	5	2205	5	378	True	none_recorded	unchanged_by_declared_fcs_omission	5	0.8457668161544137	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5002334at2759__code1	6	810	6	219	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.5290359696491485	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5002573at2759__code1	7	1152	7	355	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.139915188172311	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5003022at2759__code1	7	2559	7	689	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0859145623475872	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5003192at2759__code1	6	1299	6	375	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.5674740217334022	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5003205at2759__code1	6	3921	6	931	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.2635341500679915	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5003856at2759__code1	6	897	6	239	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.4988265959488047	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5003972at2759__code1	7	726	7	220	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.4026856762317215	False	tree_parameter_boundary_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5004118at2759__code1	7	654	7	192	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.3643647770111165	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5004265at2759__code1	6	807	6	192	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.6481113870503246	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5004327at2759__code1	7	2355	7	912	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.4446278224276015	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5004391at2759__code1	6	2958	6	689	True	none_recorded	unchanged_by_declared_fcs_omission	6	0.8796617196198151	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5004478at2759__code1	7	1230	7	384	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0884235461990321	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5004599at2759__code1	7	2064	7	683	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0326340417495383	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005010at2759__code1	6	336	6	85	True	none_recorded	unchanged_by_declared_fcs_omission	6	21.453561877275863	False	tree_pairwise_saturation_warning;tree_nni_convergence_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005174at2759__code1	6	669	6	153	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.270006893640138	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005196at2759__code1	6	1272	6	277	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.0439423371511087	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005215at2759__code1	7	1656	7	561	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.3921431320179987	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005217at2759__code1	7	1380	7	454	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.2873400040642988	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005274at2759__code1	7	879	7	268	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1493501408002562	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005697at2759__code1	7	1722	7	480	True	none_recorded	unchanged_by_declared_fcs_omission	7	13.644608546865992	False	tree_pairwise_saturation_warning;other_tree_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005750at2759__code1	4	348	4	28	True	none_recorded	unchanged_by_declared_fcs_omission	4	1.8711157056548613	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5005892at2759__code1	7	903	7	287	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1027909206868622	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5006326at2759__code1	7	1764	7	500	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1606460068934743	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5006412at2759__code1	6	1521	6	385	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.0596686269692832	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5011777at2759__code1	7	2001	7	709	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1477781179755822	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5013042at2759__code1	7	1200	7	322	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.21498580139176	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5013067at2759__code1	7	978	7	259	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.8727727920794737	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5013259at2759__code1	6	429	6	93	True	none_recorded	unchanged_by_declared_fcs_omission	6	11.297004405017187	False	tree_nni_convergence_warning	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5013539at2759__code1	7	837	7	199	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0225632705235055	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5013726at2759__code1	7	549	7	159	True	none_recorded	unchanged_by_declared_fcs_omission	7	2.1768331824991343	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5013738at2759__code1	6	681	6	150	True	none_recorded	unchanged_by_declared_fcs_omission	6	3.510576891390096	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5013992at2759__code1	6	2400	6	575	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.2978801735779726	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5014007at2759__code1	7	1776	7	523	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9566462538377755	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5015403at2759__code1	7	1230	7	353	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.991603711315765	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5015647at2759__code1	7	2601	7	671	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1672757258884003	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5015712at2759__code1	6	1452	6	330	True	none_recorded	unchanged_by_declared_fcs_omission	6	0.9958943831256017	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5015742at2759__code1	7	1407	7	387	True	none_recorded	unchanged_by_declared_fcs_omission	7	23.69047239146575	False	tree_pairwise_saturation_warning;near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5015876at2759__code1	7	1515	7	442	True	none_recorded	unchanged_by_declared_fcs_omission	7	2.4698261005016175	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5017019at2759__code1	7	1188	7	361	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1847408192362632	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__5018803at2759__code1	6	2070	6	562	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.398029339710897	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__529759at2759__code1	7	735	7	175	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.8414118786151025	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__530014at2759__code1	6	2556	6	581	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.2921829181808382	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__530740at2759__code1	7	849	7	253	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9454904705208537	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__538728at2759__code1	5	1551	5	271	True	none_recorded	unchanged_by_declared_fcs_omission	5	0.9340725270056499	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__538952at2759__code1	7	1455	7	480	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9720587320426463	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__539632at2759__code1	6	891	6	212	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.2307999834028243	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__540946at2759__code1	6	1185	6	325	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.3994623637684558	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__541070at2759__code1	6	723	6	206	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.7086417207695308	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__554735at2759__code1	7	771	7	223	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.0074125208942784	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__649304at2759__code1	7	915	7	282	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.8861666105361224	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__707076at2759__code1	7	807	7	215	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.2535847638551814	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__707202at2759__code1	7	1077	7	304	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.2676346806014875	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__727964at2759__code1	6	906	6	214	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.04464668941219	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__730114at2759__code1	7	1596	7	464	True	none_recorded	unchanged_by_declared_fcs_omission	7	0.9716709224599355	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__760428at2759__code1	6	1149	6	341	True	none_recorded	unchanged_by_declared_fcs_omission	6	1.0367601079772566	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__776280at2759__code1	7	1275	7	438	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.460978993100977	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Amanita__801816at2759__code1	7	555	7	150	True	none_recorded	unchanged_by_declared_fcs_omission	7	1.1592480255267446	False		not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__115730at2759__code1	10	990	9	273	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.6772597677165824	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__129234at2759__code1	10	567	10	176	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.128105787227519	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__160487at2759__code1	10	2649	10	834	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.1091809640286658	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__201273at2759__code1	10	777	10	205	True	none_recorded	unchanged_by_declared_fcs_omission	10	0.578304082039685	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__207567at2759__code1	9	528	8	248	True	none_recorded	unchanged_by_declared_fcs_omission	9	3.307480182158039	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
Aspergillus__260326at2759__code1	10	498	9	146	True	none_recorded	unchanged_by_declared_fcs_omission	10	1.2525161970308551	False	near_zero_nucleotide_tree_edge	not_established	saturation_and_identifiability;alignment_and_copy_adequacy;selection_model_and_test_design
