taxon_id	species_name	study_role	manifest_lineage_group	profile_unambiguous_residues	profile_fraction	mafft_unambiguous_residues	mafft_fraction	minimum_fraction_across_methods	raw_single_copy_markers	raw_duplicated_markers	raw_fragmented_markers	raw_missing_markers
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	48243	0.9840088114712301	61349	0.9623372549019608	0.9623372549019608	125	0	0	0
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	4203	0.08572827217655578	5765	0.0904313725490196	0.08572827217655578	15	110	0	0
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	30876	0.6297754298651763	40160	0.6299607843137255	0.6297754298651763	91	2	6	26
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	48305	0.9852734207681482	61980	0.9722352941176471	0.9722352941176471	125	0	0	0
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	47921	0.977441001896914	60899	0.955278431372549	0.955278431372549	124	0	0	1
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	46710	0.9527403267587248	60255	0.9451764705882353	0.9451764705882353	120	3	0	2
F164576	Chaenotheca gracillima	ingroup	Ascomycota	47562	0.9701185061292757	60952	0.9561098039215686	0.9561098039215686	123	1	0	1
F2939403	Sclerophora amabilis	ingroup	Ascomycota	45207	0.9220837497705346	58195	0.9128627450980392	0.9128627450980392	121	0	2	2
F5116	Cryphonectria parasitica	ingroup	Ascomycota	42544	0.8677667407754911	53008	0.8314980392156863	0.8314980392156863	112	1	2	10
F1214568	Diaporthe amygdali	ingroup	Ascomycota	48055	0.9801741897321884	61010	0.9570196078431372	0.9570196078431372	124	1	0	0
F148313	Discula destructiva	ingroup	Ascomycota	46937	0.9573704285393763	59341	0.9308392156862745	0.9308392156862745	121	3	0	1
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	48310	0.9853754053888674	58638	0.9198117647058823	0.9198117647058823	125	0	0	0
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	47332	0.9654272135761927	59574	0.9344941176470588	0.9344941176470588	124	0	1	0
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	43544	0.8881636649193302	54182	0.8499137254901961	0.8499137254901961	114	0	3	8
F5580	Aureobasidium pullulans	ingroup	Ascomycota	48313	0.9854365961612989	61288	0.9613803921568628	0.9613803921568628	125	0	0	0
F2781224	Neodothiora populina	ingroup	Ascomycota	45626	0.9306300609868032	58740	0.9214117647058824	0.9214117647058824	120	4	1	0
F2024903	Zalaria obscura	ingroup	Ascomycota	43649	0.8903053419544332	55780	0.8749803921568627	0.8749803921568627	106	1	0	18
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	47741	0.973769555551023	61154	0.959278431372549	0.959278431372549	124	0	0	1
F182096	Aspergillus chevalieri	ingroup	Ascomycota	47341	0.9656107858934873	60258	0.9452235294117647	0.9452235294117647	124	1	0	0
F5059	Aspergillus flavus	ingroup	Ascomycota	48331	0.985803740795888	61611	0.9664470588235294	0.9664470588235294	125	0	0	0
F746128	Aspergillus fumigatus	ingroup	Ascomycota	48338	0.9859465192648948	61882	0.9706980392156863	0.9706980392156863	125	0	0	0
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	47980	0.9786444204214004	61579	0.9659450980392157	0.9659450980392157	124	0	0	1
F41759	Aspergillus multicolor	ingroup	Ascomycota	48295	0.9850694515267098	61655	0.9671372549019608	0.9671372549019608	125	0	0	0
F162425	Aspergillus nidulans	ingroup	Ascomycota	47028	0.9592265486364656	60035	0.9417254901960784	0.9417254901960784	123	0	0	2
F5062	Aspergillus oryzae	ingroup	Ascomycota	47007	0.958798213229445	59910	0.939764705882353	0.939764705882353	118	1	1	5
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	48491	0.9890672486589023	61963	0.9719686274509803	0.9719686274509803	125	0	0	0
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	47648	0.9718726416056459	60826	0.9541333333333334	0.9541333333333334	124	1	0	0
F1810928	Aspergillus undulatus	ingroup	Ascomycota	48321	0.9855997715544496	61576	0.9658980392156863	0.9658980392156863	125	0	0	0
F315204	Geoglossum umbratile	ingroup	Ascomycota	46979	0.9582270993534175	60516	0.9492705882352941	0.9492705882352941	122	1	0	2
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	45948	0.9371978705611194	59199	0.9286117647058824	0.9286117647058824	121	1	0	3
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	45616	0.9304260917453648	58801	0.9223686274509804	0.9223686274509804	120	1	1	3
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	48371	0.9866196177616415	61725	0.9682352941176471	0.9682352941176471	124	0	0	1
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	48406	0.9873335101066759	61684	0.9675921568627451	0.9675921568627451	124	0	0	1
F34406	Colletotrichum destructivum	ingroup	Ascomycota	47559	0.9700573153568441	60857	0.9546196078431373	0.9546196078431373	123	1	1	0
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	47007	0.958798213229445	59932	0.9401098039215686	0.9401098039215686	120	1	1	3
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	47257	0.9638974442654048	60449	0.9482196078431373	0.9482196078431373	122	0	0	3
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	47268	0.964121810430987	60507	0.9491294117647059	0.9491294117647059	122	1	0	2
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	47775	0.9744630509719134	61095	0.9583529411764706	0.9583529411764706	124	1	0	0
F1095194	Colletotrichum karsti	ingroup	Ascomycota	47789	0.9747486079099272	61327	0.9619921568627451	0.9619921568627451	124	0	0	1
F145971	Colletotrichum lupini	ingroup	Ascomycota	47769	0.9743406694270504	61325	0.9619607843137254	0.9619607843137254	123	1	0	1
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	48369	0.9865788239133538	61715	0.968078431372549	0.968078431372549	124	0	0	1
F5570	Cenococcum geophilum	ingroup	Ascomycota	46216	0.9426642462316682	59135	0.9276078431372549	0.9276078431372549	121	1	0	3
F574774	Glonium stellatum	ingroup	Ascomycota	46773	0.9540253329797866	59687	0.9362666666666667	0.9362666666666667	121	1	1	2
F5101	Amorphotheca resinae	ingroup	Ascomycota	48323	0.9856405654027373	61652	0.9670901960784314	0.9670901960784314	125	0	0	0
F40559	Botrytis cinerea	ingroup	Ascomycota	45331	0.9246129683643707	57735	0.9056470588235294	0.9056470588235294	117	8	0	0
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	48315	0.9854773900095866	61870	0.9705098039215686	0.9705098039215686	125	0	0	0
F195108	Fusarium falciforme	ingroup	Ascomycota	46910	0.9568197115874926	60049	0.9419450980392157	0.9419450980392157	121	2	0	2
F5127	Fusarium fujikuroi	ingroup	Ascomycota	46902	0.9566565361943419	60253	0.9451450980392156	0.9451450980392156	122	2	0	1
F5518	Fusarium graminearum	ingroup	Ascomycota	48279	0.9847431007404084	61638	0.9668705882352941	0.9668705882352941	124	0	0	1
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	48178	0.9826830114018806	61375	0.9627450980392157	0.9627450980392157	123	1	0	1
F1042133	Fusarium musae	ingroup	Ascomycota	47678	0.9724845493299611	60982	0.9565803921568627	0.9565803921568627	122	1	0	2
F5507	Fusarium oxysporum	ingroup	Ascomycota	48320	0.9855793746303058	61664	0.967278431372549	0.967278431372549	125	0	0	0
F36050	Fusarium poae	ingroup	Ascomycota	48337	0.985926122340751	61750	0.9686274509803922	0.9686274509803922	124	0	0	1
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	47942	0.9778693373039345	61274	0.9611607843137255	0.9611607843137255	123	0	0	2
F5128	Fusarium sambucinum	ingroup	Ascomycota	48144	0.98198951598099	61493	0.9645960784313725	0.9645960784313725	123	1	0	1
F117187	Fusarium verticillioides	ingroup	Ascomycota	37734	0.7696575356436249	48889	0.766886274509804	0.766886274509804	102	23	0	0
F173216	Trichoderma aggressivum	ingroup	Ascomycota	47186	0.9624492626511922	60375	0.9470588235294117	0.9470588235294117	122	1	1	1
F101201	Trichoderma asperellum	ingroup	Ascomycota	46528	0.9490280865645461	59506	0.9334274509803921	0.9334274509803921	121	3	1	0
F63577	Trichoderma atroviride	ingroup	Ascomycota	44773	0.9132314846921085	56876	0.8921725490196079	0.8921725490196079	117	2	3	3
F2034170	Trichoderma breve	ingroup	Ascomycota	47905	0.9771146511106125	60936	0.9558588235294118	0.9558588235294118	124	1	0	0
F1738374	Trichoderma camerunense	ingroup	Ascomycota	47857	0.9761355987517082	61050	0.9576470588235294	0.9576470588235294	124	1	0	0
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	48285	0.9848654822852714	61169	0.9595137254901961	0.9595137254901961	125	0	0	0
F549676	Trichoderma evansii	ingroup	Ascomycota	47461	0.968058416790748	60683	0.9518901960784314	0.9518901960784314	123	2	0	0
F398673	Trichoderma gamsii	ingroup	Ascomycota	45934	0.9369123136231057	59111	0.9272313725490197	0.9272313725490197	117	2	0	6
F65468	Trichoderma ghanense	ingroup	Ascomycota	47649	0.9718930385297897	60556	0.9498980392156863	0.9498980392156863	122	1	0	2
F5544	Trichoderma harzianum	ingroup	Ascomycota	48370	0.9865992208374977	61570	0.9658039215686275	0.9658039215686275	124	0	0	1
F2732470	Bacidia gigantensis	ingroup	Ascomycota	45050	0.9188814326799518	57391	0.9002509803921569	0.9002509803921569	117	1	1	6
F209136	Lepraria neglecta	ingroup	Ascomycota	47763	0.9742182878821873	61281	0.9612705882352941	0.9612705882352941	124	0	0	1
F560253	Letharia lupina	ingroup	Ascomycota	48272	0.9846003222714015	61716	0.9680941176470588	0.9680941176470588	125	0	0	0
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	46583	0.9501499173924572	59354	0.931043137254902	0.931043137254902	120	0	0	5
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	47873	0.9764619495380097	61406	0.9632313725490196	0.9632313725490196	125	0	0	0
F174425	Lichina confinis	ingroup	Ascomycota	46249	0.9433373447284149	59138	0.9276549019607843	0.9276549019607843	119	0	1	5
F318774	Phylliscum demangeonii	ingroup	Ascomycota	44891	0.9156383217410814	57974	0.9093960784313726	0.9093960784313726	121	1	1	2
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	44819	0.914169743202725	57686	0.904878431372549	0.904878431372549	113	0	1	11
F578093	Lineolata rhizophorae	ingroup	Ascomycota	47008	0.9588186101535888	60800	0.9537254901960784	0.9537254901960784	122	0	2	1
F1125753	Limtongia smithiae	ingroup	Ascomycota	46748	0.9535154098761907	57545	0.9026666666666666	0.9026666666666666	123	1	1	0
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	46675	0.9520264344136904	57472	0.901521568627451	0.901521568627451	123	0	1	1
F44089	Neoaidaea tothii	ingroup	Ascomycota	47427	0.9673649213698574	57954	0.9090823529411765	0.9090823529411765	124	1	0	0
F339359	Zalerion maritima	ingroup	Ascomycota	46669	0.9519040528688274	59763	0.9374588235294118	0.9374588235294118	122	0	0	3
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	46898	0.9565749484977666	60036	0.9417411764705882	0.9417411764705882	122	3	0	0
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	38480	0.784873641054929	49493	0.7763607843137255	0.7763607843137255	103	2	8	12
F148305	Pyricularia grisea	ingroup	Ascomycota	47763	0.9742182878821873	61277	0.9612078431372549	0.9612078431372549	122	1	0	2
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	47367	0.966141105921227	60648	0.9513411764705882	0.9513411764705882	124	1	0	0
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	47301	0.9647949089277337	60553	0.9498509803921569	0.9498509803921569	123	0	0	2
F563466	Scedosporium apiospermum	ingroup	Ascomycota	37677	0.7684949109674261	47991	0.7528	0.7528	101	2	1	21
F703497	Microthyrium microscopicum	ingroup	Ascomycota	48413	0.9874762885756828	61244	0.9606901960784314	0.9606901960784314	125	0	0	0
F122368	Cercospora beticola	ingroup	Ascomycota	48239	0.9839272237746548	61581	0.9659764705882353	0.9659764705882353	125	0	0	0
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	47729	0.9735247924612969	61174	0.9595921568627451	0.9595921568627451	125	0	0	0
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	47949	0.9780121157729414	61345	0.9622745098039216	0.9622745098039216	125	0	0	0
F2601811	Elsinoe batatas	ingroup	Ascomycota	46851	0.9556162930630061	59944	0.9402980392156862	0.9402980392156862	121	0	0	4
F147570	Myriangium duriaei	ingroup	Ascomycota	48072	0.9805209374426337	60978	0.9565176470588236	0.9565176470588236	125	0	0	0
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	48139	0.9818875313602708	61360	0.9625098039215686	0.9625098039215686	125	0	0	0
F741139	Lepidopterella palustris	ingroup	Ascomycota	48265	0.9844575438023946	61705	0.9679215686274509	0.9679215686274509	125	0	0	0
F390894	Lophium mytilinum	ingroup	Ascomycota	47846	0.975911232586126	61020	0.9571764705882353	0.9571764705882353	124	0	0	1
F574789	Mytilinidion resinicola	ingroup	Ascomycota	48200	0.983131743733045	61370	0.9626666666666667	0.9626666666666667	125	0	0	0
F48691	Neolecta irregularis	ingroup	Ascomycota	39235	0.8002733187835275	49020	0.7689411764705882	0.7689411764705882	112	0	6	7
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	46371	0.9458257694739634	59114	0.9272784313725491	0.9272784313725491	119	6	0	0
F199306	Coccidioides posadasii	ingroup	Ascomycota	45139	0.9206967589287536	57537	0.9025411764705882	0.9025411764705882	118	3	2	2
F63402	Nannizzia gypsea	ingroup	Ascomycota	47206	0.962857201134069	60389	0.947278431372549	0.947278431372549	123	2	0	0
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	48120	0.981499989801538	61964	0.9719843137254902	0.9719843137254902	125	0	0	0
F226899	Leptographium clavigerum	ingroup	Ascomycota	45948	0.9371978705611194	58845	0.9230588235294117	0.9230588235294117	122	0	0	3
F61273	Ophiostoma piceae	ingroup	Ascomycota	47081	0.9603075856160891	60441	0.9480941176470589	0.9480941176470589	123	0	0	2
F29908	Sporothrix schenckii	ingroup	Ascomycota	46506	0.9485793542333816	60430	0.947921568627451	0.947921568627451	122	0	0	3
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	48010	0.9792563281457156	60029	0.9416313725490196	0.9416313725490196	124	1	0	0
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	43776	0.8928957513207009	54835	0.8601568627450981	0.8601568627450981	117	0	1	7
F2813651	Orbilia oligospora	ingroup	Ascomycota	48092	0.9809288759255105	60625	0.9509803921568627	0.9509803921568627	125	0	0	0
F1940652	Gomphillus americanus	ingroup	Ascomycota	47987	0.9787871988904073	60883	0.9550274509803922	0.9550274509803922	122	0	0	3
F2704026	Stictis urceolata	ingroup	Ascomycota	47042	0.9595121055744794	60298	0.9458509803921569	0.9458509803921569	122	0	1	2
F209281	Thelotrema lepadinum	ingroup	Ascomycota	44352	0.9046443796275522	56466	0.8857411764705883	0.8857411764705883	114	4	1	6
F703506	Patellaria atrata	ingroup	Ascomycota	46780	0.9541681114487935	59659	0.9358274509803921	0.9358274509803921	121	1	1	2
F669869	Lobaria immixta	ingroup	Ascomycota	46981	0.9582678932017051	60414	0.9476705882352942	0.9476705882352942	122	1	0	2
F52883	Peltigera leucophlebia	ingroup	Ascomycota	38842	0.7922573275949987	50065	0.7853333333333333	0.7853333333333333	92	2	3	28
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	45004	0.9179431741693352	58182	0.9126588235294117	0.9126588235294117	116	5	1	3
F443868	Agyrium rufum	ingroup	Ascomycota	47341	0.9656107858934873	60930	0.955764705882353	0.955764705882353	124	1	0	0
F1006475	Circinaria calcarea	ingroup	Ascomycota	40905	0.8343361821037387	52012	0.8158745098039216	0.8158745098039216	106	2	5	12
F90408	Icmadophila ericetorum	ingroup	Ascomycota	47420	0.9672221429008505	60961	0.9562509803921568	0.9562509803921568	122	2	0	1
F1174673	Morchella importuna	ingroup	Ascomycota	48082	0.9807249066840721	60487	0.9488156862745099	0.9488156862745099	124	0	0	1
F43433	Tricharina praecox	ingroup	Ascomycota	46313	0.9446427478736207	57980	0.9094901960784314	0.9094901960784314	121	3	1	0
F39416	Tuber melanosporum	ingroup	Ascomycota	44675	0.9112325861260122	54873	0.8607529411764706	0.8607529411764706	118	0	1	6
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	45655	0.9312215717869745	58689	0.9206117647058824	0.9206117647058824	116	0	1	8
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	48216	0.9834580945193465	61087	0.9582274509803922	0.9582274509803922	124	0	0	1
F4927	Hansenula anomala	ingroup	Ascomycota	44664	0.91100821996043	53481	0.8389176470588235	0.8389176470588235	116	4	1	4
F599730	Waltiozyma pijperi	ingroup	Ascomycota	45698	0.9320986395251596	55807	0.8754039215686275	0.8754039215686275	120	1	0	4
F4903	Williopsis jadinii	ingroup	Ascomycota	45173	0.9213902543496441	55079	0.8639843137254902	0.8639843137254902	121	2	0	2
F1825666	Phyllachora maydis	ingroup	Ascomycota	39376	0.8031492850878088	51246	0.8038588235294117	0.8031492850878088	109	3	0	13
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	44713	0.9120076692434781	57485	0.9017254901960784	0.9017254901960784	116	2	0	7
F13502	Brettanomyces nanus	ingroup	Ascomycota	46266	0.9436840924388602	56854	0.8918274509803922	0.8918274509803922	121	0	1	3
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	46314	0.9446631447977645	56040	0.8790588235294118	0.8790588235294118	121	0	1	3
F4909	Pichia kudriavzevii	ingroup	Ascomycota	45356	0.9251228914679667	55719	0.8740235294117648	0.8740235294117648	121	0	0	4
F48095	Alternaria dauci	ingroup	Ascomycota	47211	0.9629591857547882	60160	0.9436862745098039	0.9436862745098039	124	0	0	1
F5454	Ascochyta rabiei	ingroup	Ascomycota	48332	0.9858241377200319	61763	0.9688313725490196	0.9688313725490196	125	0	0	0
F5022	Plenodomus lingam	ingroup	Ascomycota	47819	0.9753605156342423	61084	0.9581803921568628	0.9581803921568628	124	0	1	0
F4754	Pneumocystis carinii	ingroup	Ascomycota	47025	0.9591653578640341	57499	0.9019450980392156	0.9019450980392156	122	0	1	2
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	47452	0.9678748444734534	57999	0.9097882352941177	0.9097882352941177	122	1	0	2
F263815	Pneumocystis murina	ingroup	Ascomycota	47310	0.9649784812450283	57757	0.9059921568627451	0.9059921568627451	123	0	1	1
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	44857	0.9149448263201909	56964	0.8935529411764705	0.8935529411764705	114	0	1	10
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	43222	0.881595855345014	55238	0.866478431372549	0.866478431372549	109	0	0	16
F1453789	Toensbergia leucococca	ingroup	Ascomycota	46681	0.9521488159585535	59771	0.9375843137254902	0.9375843137254902	119	1	0	5
F706196	Saccharomyces arboricola	ingroup	Ascomycota	37964	0.7743488281967079	48196	0.7560156862745098	0.7560156862745098	104	1	0	20
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	46869	0.9559834376975952	57305	0.8989019607843137	0.8989019607843137	123	0	0	2
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	19986	0.40765292593876845	25179	0.39496470588235294	0.39496470588235294	49	67	0	9
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	45766	0.9334856303669407	56023	0.8787921568627451	0.8787921568627451	120	1	1	3
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	46245	0.9432557570318396	56567	0.8873254901960784	0.8873254901960784	122	0	0	3
F114525	Saccharomyces mikatae	ingroup	Ascomycota	46300	0.9443775878597508	56557	0.8871686274509804	0.8871686274509804	122	0	0	3
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	46453	0.9474983172537581	56929	0.8930039215686274	0.8930039215686274	122	1	0	2
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	6214	0.12674648662981622	7644	0.11990588235294118	0.11990588235294118	14	109	0	2
F230603	Saccharomyces uvarum	ingroup	Ascomycota	45790	0.9339751565463928	56262	0.8825411764705883	0.8825411764705883	121	1	0	3
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	37071	0.7561343749362596	45552	0.7145411764705882	0.7145411764705882	101	1	1	22
F56409	Hanseniaspora vineae	ingroup	Ascomycota	44278	0.9031350072409081	55208	0.8660078431372549	0.8660078431372549	119	0	0	6
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	44933	0.9164949925551227	55108	0.8644392156862745	0.8644392156862745	120	0	0	5
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	48061	0.9802965712770514	59872	0.9391686274509804	0.9391686274509804	124	1	0	0
F5606	Saitoella complicata	ingroup	Ascomycota	46910	0.9568197115874926	57961	0.9091921568627451	0.9091921568627451	122	2	0	1
F273283	Sarea resinae	ingroup	Ascomycota	47989	0.978827992738695	61837	0.9699921568627451	0.9699921568627451	125	0	0	0
F400354	Loxospora ochrophaea	ingroup	Ascomycota	46476	0.9479674465090664	59906	0.9397019607843137	0.9397019607843137	119	0	0	6
F1042397	Schaereria dolodes	ingroup	Ascomycota	45305	0.9240826483366308	58444	0.9167686274509804	0.9167686274509804	118	0	1	6
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	46875	0.9561058192424582	57202	0.8972862745098039	0.8972862745098039	121	2	0	2
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	47339	0.9655699920451996	57489	0.9017882352941177	0.9017882352941177	122	2	0	1
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	46832	0.9552287515042731	57306	0.8989176470588235	0.8989176470588235	121	3	0	1
F241526	Candida africana	ingroup	Ascomycota	25371	0.517490362453342	31985	0.5017254901960785	0.5017254901960785	69	3	1	52
F5476	Candida albicans	ingroup	Ascomycota	44730	0.9123544169539234	55411	0.8691921568627451	0.8691921568627451	118	4	0	3
F42374	Candida dubliniensis	ingroup	Ascomycota	44811	0.9140065678095743	55373	0.8685960784313725	0.8685960784313725	118	4	0	3
F5479	Candida maltosa	ingroup	Ascomycota	42199	0.8607298019458666	52453	0.8227921568627451	0.8227921568627451	113	5	1	6
F5482	Candida tropicalis	ingroup	Ascomycota	43439	0.886021987884227	53189	0.8343372549019608	0.8343372549019608	115	4	1	5
