marker	input_taxa	accepted_taxa	excluded_taxa	codon_columns	code_count	translation_codes_json
4977163at2759	470	468	2	193	3	"{""1"": 462, ""12"": 5, ""26"": 1}"
4977863at2759	482	476	6	643	3	"{""1"": 470, ""12"": 5, ""26"": 1}"
4983000at2759	486	482	4	504	3	"{""1"": 476, ""12"": 5, ""26"": 1}"
4985971at2759	492	490	2	359	3	"{""1"": 484, ""12"": 5, ""26"": 1}"
4986044at2759	495	490	5	526	2	"{""1"": 485, ""12"": 5}"
4987397at2759	480	474	6	905	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
4988239at2759	480	473	7	1063	3	"{""1"": 467, ""12"": 5, ""26"": 1}"
4999134at2759	476	469	7	2347	3	"{""1"": 463, ""12"": 5, ""26"": 1}"
5000045at2759	482	480	2	381	3	"{""1"": 474, ""12"": 5, ""26"": 1}"
5000152at2759	486	481	5	1196	3	"{""1"": 475, ""12"": 5, ""26"": 1}"
5000362at2759	475	471	4	907	3	"{""1"": 465, ""12"": 5, ""26"": 1}"
5000371at2759	465	462	3	433	2	"{""1"": 457, ""12"": 5}"
5000452at2759	462	456	6	294	3	"{""1"": 452, ""12"": 3, ""26"": 1}"
5000476at2759	479	476	3	392	3	"{""1"": 470, ""12"": 5, ""26"": 1}"
5000743at2759	493	489	4	180	3	"{""1"": 483, ""12"": 5, ""26"": 1}"
5000870at2759	486	481	5	770	3	"{""1"": 476, ""12"": 4, ""26"": 1}"
5000986at2759	472	466	6	539	3	"{""1"": 460, ""12"": 5, ""26"": 1}"
5001156at2759	478	474	4	348	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
5001273at2759	454	452	2	244	3	"{""1"": 446, ""12"": 5, ""26"": 1}"
5001280at2759	496	488	8	756	3	"{""1"": 482, ""12"": 5, ""26"": 1}"
5001318at2759	474	468	6	434	2	"{""1"": 465, ""12"": 3}"
5001413at2759	491	488	3	282	3	"{""1"": 485, ""12"": 2, ""26"": 1}"
5001473at2759	495	493	2	130	3	"{""1"": 487, ""12"": 5, ""26"": 1}"
5001660at2759	484	479	5	646	3	"{""1"": 473, ""12"": 5, ""26"": 1}"
5001734at2759	476	472	4	233	3	"{""1"": 467, ""12"": 4, ""6"": 1}"
5001941at2759	451	445	6	798	1	"{""1"": 445}"
5002334at2759	466	463	3	385	3	"{""1"": 457, ""12"": 5, ""26"": 1}"
5002573at2759	480	477	3	390	3	"{""1"": 471, ""12"": 5, ""26"": 1}"
5003022at2759	471	468	3	877	3	"{""1"": 463, ""12"": 4, ""26"": 1}"
5003192at2759	469	465	4	494	3	"{""1"": 461, ""12"": 3, ""26"": 1}"
5003205at2759	499	497	2	1394	3	"{""1"": 491, ""12"": 5, ""26"": 1}"
5003856at2759	490	486	4	312	3	"{""1"": 480, ""12"": 5, ""26"": 1}"
5003972at2759	481	477	4	258	3	"{""1"": 471, ""12"": 5, ""26"": 1}"
5004118at2759	481	478	3	249	3	"{""1"": 472, ""12"": 5, ""26"": 1}"
5004265at2759	489	479	10	321	3	"{""1"": 473, ""12"": 5, ""26"": 1}"
5004327at2759	473	469	4	837	3	"{""1"": 463, ""12"": 5, ""26"": 1}"
5004391at2759	478	473	5	1075	3	"{""1"": 467, ""12"": 5, ""26"": 1}"
5004478at2759	482	479	3	434	3	"{""1"": 474, ""12"": 4, ""26"": 1}"
5004599at2759	484	479	5	760	3	"{""1"": 473, ""12"": 5, ""26"": 1}"
5005010at2759	476	472	4	115	3	"{""1"": 466, ""12"": 5, ""26"": 1}"
5005174at2759	477	473	4	223	3	"{""1"": 467, ""12"": 5, ""26"": 1}"
5005196at2759	476	473	3	444	3	"{""1"": 469, ""12"": 3, ""26"": 1}"
5005215at2759	494	487	7	618	3	"{""1"": 481, ""12"": 5, ""26"": 1}"
5005217at2759	483	479	4	492	3	"{""1"": 474, ""12"": 4, ""26"": 1}"
5005274at2759	482	477	5	369	3	"{""1"": 471, ""12"": 5, ""26"": 1}"
5005697at2759	504	502	2	602	3	"{""1"": 496, ""12"": 5, ""26"": 1}"
5005750at2759	474	467	7	191	3	"{""1"": 461, ""12"": 5, ""26"": 1}"
5005892at2759	480	476	4	401	3	"{""1"": 470, ""12"": 5, ""26"": 1}"
5006326at2759	486	481	5	592	3	"{""1"": 475, ""12"": 5, ""26"": 1}"
5006412at2759	479	473	6	603	3	"{""1"": 468, ""12"": 4, ""26"": 1}"
5011777at2759	502	500	2	745	3	"{""1"": 494, ""12"": 5, ""26"": 1}"
5013042at2759	436	433	3	411	1	"{""1"": 433}"
5013067at2759	473	472	1	330	3	"{""1"": 466, ""12"": 5, ""26"": 1}"
5013259at2759	500	498	2	174	3	"{""1"": 492, ""12"": 5, ""26"": 1}"
5013539at2759	489	486	3	289	3	"{""1"": 480, ""12"": 5, ""26"": 1}"
5013726at2759	475	475	0	183	3	"{""1"": 469, ""12"": 5, ""26"": 1}"
5013738at2759	487	485	2	252	3	"{""1"": 480, ""12"": 4, ""26"": 1}"
5013992at2759	488	483	5	820	3	"{""1"": 479, ""12"": 3, ""26"": 1}"
5014007at2759	474	470	4	617	3	"{""1"": 464, ""12"": 5, ""26"": 1}"
5015403at2759	480	473	7	436	2	"{""1"": 468, ""12"": 5}"
5015647at2759	480	476	4	893	3	"{""1"": 470, ""12"": 5, ""26"": 1}"
5015712at2759	472	469	3	503	3	"{""1"": 463, ""12"": 5, ""26"": 1}"
5015742at2759	466	462	4	488	3	"{""1"": 456, ""12"": 5, ""26"": 1}"
5015876at2759	498	489	9	531	3	"{""1"": 483, ""12"": 5, ""26"": 1}"
5017019at2759	480	477	3	413	3	"{""1"": 471, ""12"": 5, ""26"": 1}"
5018803at2759	489	482	7	930	3	"{""1"": 476, ""12"": 5, ""26"": 1}"
529759at2759	490	488	2	245	3	"{""1"": 482, ""12"": 5, ""26"": 1}"
530014at2759	485	479	6	862	3	"{""1"": 473, ""12"": 5, ""26"": 1}"
530740at2759	466	460	6	318	3	"{""1"": 456, ""12"": 3, ""26"": 1}"
538728at2759	484	481	3	551	3	"{""1"": 475, ""12"": 5, ""26"": 1}"
538952at2759	469	464	5	531	3	"{""1"": 458, ""12"": 5, ""26"": 1}"
539632at2759	488	482	6	306	3	"{""1"": 476, ""12"": 5, ""26"": 1}"
540946at2759	478	474	4	439	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
541070at2759	477	474	3	253	3	"{""1"": 468, ""12"": 5, ""26"": 1}"
554735at2759	459	457	2	258	3	"{""1"": 451, ""12"": 5, ""26"": 1}"
649304at2759	480	477	3	318	3	"{""1"": 471, ""12"": 5, ""26"": 1}"
707076at2759	492	490	2	275	3	"{""1"": 484, ""12"": 5, ""26"": 1}"
707202at2759	492	489	3	363	3	"{""1"": 483, ""12"": 5, ""26"": 1}"
727964at2759	473	468	5	450	3	"{""1"": 462, ""12"": 5, ""26"": 1}"
730114at2759	480	476	4	537	3	"{""1"": 470, ""12"": 5, ""26"": 1}"
760428at2759	481	477	4	400	3	"{""1"": 472, ""12"": 4, ""26"": 1}"
776280at2759	502	500	2	519	3	"{""1"": 494, ""12"": 5, ""26"": 1}"
801816at2759	478	476	2	187	3	"{""1"": 470, ""12"": 5, ""26"": 1}"
3643464at2759	462	458	4	789	2	"{""1"": 457, ""12"": 1}"
5000823at2759	470	466	4	984	3	"{""1"": 460, ""12"": 5, ""26"": 1}"
4843824at2759	432	428	4	200	3	"{""1"": 422, ""12"": 5, ""26"": 1}"
