taxon_id	marker	protein_a	protein_b	gene_relationship	gene_ids_a_json	gene_ids_b_json	length_a	length_b	sequence_sha256_a	sequence_sha256_b	exact_full_sequence_identity	annotation_mode	interval_basis	intervals_a_json	intervals_b_json	location_relationship	overlap_bases	intervening_bases	same_strand
F113071	727964at2759	KAF8574895.1	KAF8587551.1	distinct_annotated_genes	"[""gene-K439DRAFT_1649707""]"	"[""gene-K439DRAFT_1645804""]"	480	480	9d61473e4450270c9fa6b995438d51c621a74c28bdc88825c1834b89da64f9c9	9d61473e4450270c9fa6b995438d51c621a74c28bdc88825c1834b89da64f9c9	True	ncbi_protein_gff	annotated_gene_feature	"[[""MU134699.1"", 70230, 72054, ""-""]]"	"[[""MU134334.1"", 24234, 26058, ""-""]]"	different_assembly_sequences			
F1213189	4896098at2759	OMH79453.1	OMH83109.1	distinct_annotated_genes	"[""gene-AX774_g7135""]"	"[""gene-AX774_g3389""]"	144	144	08dad453d71f238249119fec01938f2e15b044f6ab4723fb76ddfe71205c31f3	08dad453d71f238249119fec01938f2e15b044f6ab4723fb76ddfe71205c31f3	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01001553.1"", 21216, 21800, ""+""]]"	"[[""LSSK01000513.1"", 17656, 18190, ""+""]]"	different_assembly_sequences			
F1213189	4976279at2759	OMH78663.1	OMH83354.1	distinct_annotated_genes	"[""gene-AX774_g7939""]"	"[""gene-AX774_g3139""]"	392	392	3dd9a0644fb79d4d25ca83b8fead454739d319c605e65304fc27f8ac4e82b9a7	3dd9a0644fb79d4d25ca83b8fead454739d319c605e65304fc27f8ac4e82b9a7	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01001865.1"", 8676, 10149, ""+""]]"	"[[""LSSK01000430.1"", 8676, 10149, ""+""]]"	different_assembly_sequences			
F1213189	5000045at2759	OMH83272.1	OMH84002.1	distinct_annotated_genes	"[""gene-AX774_g3219""]"	"[""gene-AX774_g2485""]"	303	303	cd25d766aa64c9fa59542fec3f226377b2805288eec5148f5c7d6f1d92ab6d1a	cd25d766aa64c9fa59542fec3f226377b2805288eec5148f5c7d6f1d92ab6d1a	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01000463.1"", 2837, 3990, ""-""]]"	"[[""LSSK01000270.1"", 19396, 20621, ""+""]]"	different_assembly_sequences			
F1213189	5000152at2759	OMH80520.1	OMH81532.1	distinct_annotated_genes	"[""gene-AX774_g6040""]"	"[""gene-AX774_g5007""]"	1048	1048	09ccb34a2c86b7e4bdf5407c232b76ffb00ef21b7f35ae71a44da2761abb2aca	09ccb34a2c86b7e4bdf5407c232b76ffb00ef21b7f35ae71a44da2761abb2aca	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01001163.1"", 10167, 13870, ""-""]]"	"[[""LSSK01000873.1"", 10167, 13870, ""-""]]"	different_assembly_sequences			
F1213189	5006412at2759	OMH78575.1	OMH84991.1	distinct_annotated_genes	"[""gene-AX774_g8034""]"	"[""gene-AX774_g1466""]"	506	506	d849bb0e2a8c1b1f7fe88f946ab8ec24f51fcfc46a38b40bac1c1bea2cd32c36	d849bb0e2a8c1b1f7fe88f946ab8ec24f51fcfc46a38b40bac1c1bea2cd32c36	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01001890.1"", 19696, 22456, ""+""]]"	"[[""LSSK01000122.1"", 7048, 9810, ""-""]]"	different_assembly_sequences			
F1213189	5015876at2759	OMH78926.1	OMH82692.1	distinct_annotated_genes	"[""gene-AX774_g7681""]"	"[""gene-AX774_g3813""]"	581	581	f968d940bfbc801db790f5c8de8e1fd9a72f1b363329acf053c39d701a8172c8	f968d940bfbc801db790f5c8de8e1fd9a72f1b363329acf053c39d701a8172c8	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01001727.1"", 40656, 42760, ""-""]]"	"[[""LSSK01000613.1"", 6636, 8711, ""+""]]"	different_assembly_sequences			
F1213189	730114at2759	OMH79473.1	OMH81233.1	distinct_annotated_genes	"[""gene-AX774_g7102""]"	"[""gene-AX774_g5319""]"	517	517	9ba336d4e6efc79d11c0cb4cbfaee4e02d071490d73d6704ec88cddf3fb6a4fb	9ba336d4e6efc79d11c0cb4cbfaee4e02d071490d73d6704ec88cddf3fb6a4fb	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01001548.1"", 1147, 3090, ""-""]]"	"[[""LSSK01000949.1"", 15786, 17730, ""+""]]"	different_assembly_sequences			
F1213189	776280at2759	OMH79717.1	OMH84868.1	distinct_annotated_genes	"[""gene-AX774_g6867""]"	"[""gene-AX774_g1601""]"	562	562	c4f730c9d58f3175a96d9cc7bdec7cab3516aaadc1b8fc66270b69308a00a2f0	c4f730c9d58f3175a96d9cc7bdec7cab3516aaadc1b8fc66270b69308a00a2f0	True	ncbi_protein_gff	annotated_gene_feature	"[[""LSSK01001441.1"", 31297, 33400, ""-""]]"	"[[""LSSK01000136.1"", 39846, 44190, ""+""]]"	different_assembly_sequences			
F1243177	201273at2759	KAI3644038.1	KAI3644943.1	distinct_annotated_genes	"[""gene-MP228_010202""]"	"[""gene-MP228_011107""]"	262	262	39a8a4318fa88cbf0520180eb897cdf6c8acc69d35d4e59f425ee4dc6cb09309	39a8a4318fa88cbf0520180eb897cdf6c8acc69d35d4e59f425ee4dc6cb09309	True	ncbi_protein_gff	annotated_gene_feature	"[[""JALECJ010000257.1"", 781280, 782068, ""+""]]"	"[[""JALECJ010000257.1"", 2469497, 2470285, ""-""]]"	same_sequence_disjoint_intervals	0	1687428	False
F1243177	345792at2759	KAI3643764.1	KAI3646283.1	distinct_annotated_genes	"[""gene-MP228_009928""]"	"[""gene-MP228_009211""]"	299	299	a52ec53b7ca4da9e397aefc90294633e1779c933bb3a95af07af8230ccace6eb	a52ec53b7ca4da9e397aefc90294633e1779c933bb3a95af07af8230ccace6eb	True	ncbi_protein_gff	annotated_gene_feature	"[[""JALECJ010000257.1"", 265277, 266176, ""-""]]"	"[[""JALECJ010000256.1"", 1792688, 1793587, ""-""]]"	different_assembly_sequences			
F1243177	4613677at2759	KAI3642323.1	KAI3647575.1	distinct_annotated_genes	"[""gene-MP228_011878""]"	"[""gene-MP228_007796""]"	135	135	c3b187cecb7a29c34075e5898571c5b1d24982080a38ee7d61b2fd1d423b723f	c3b187cecb7a29c34075e5898571c5b1d24982080a38ee7d61b2fd1d423b723f	True	ncbi_protein_gff	annotated_gene_feature	"[[""JALECJ010000258.1"", 680678, 681146, ""-""]]"	"[[""JALECJ010000255.1"", 1310623, 1311091, ""-""]]"	different_assembly_sequences			
F1243177	4803900at2759	KAI3643833.1	KAI3645145.1	distinct_annotated_genes	"[""gene-MP228_009997""]"	"[""gene-MP228_011309""]"	128	128	6fc979ee55a80d34b1edbf08ccb5dad11d0d30db7464d4934a7e4bbdb3a038f4	6fc979ee55a80d34b1edbf08ccb5dad11d0d30db7464d4934a7e4bbdb3a038f4	True	ncbi_protein_gff	annotated_gene_feature	"[[""JALECJ010000257.1"", 385704, 386090, ""+""]]"	"[[""JALECJ010000257.1"", 2867351, 2867737, ""-""]]"	same_sequence_disjoint_intervals	0	2481260	False
F1243177	5005750at2759	KAI3651155.1	KAI3653268.1	distinct_annotated_genes	"[""gene-MP228_004636""]"	"[""gene-MP228_001215""]"	187	187	55fe30024f7add055d0b204e28ea1fd9229aa2f499ad5629841c6387d24f66d6	55fe30024f7add055d0b204e28ea1fd9229aa2f499ad5629841c6387d24f66d6	True	ncbi_protein_gff	annotated_gene_feature	"[[""JALECJ010000020.1"", 1562650, 1563213, ""+""]]"	"[[""JALECJ010000004.1"", 50621, 51184, ""+""]]"	different_assembly_sequences			
F1243177	529759at2759	KAI3647906.1	KAI3653604.1	distinct_annotated_genes	"[""gene-MP228_008127""]"	"[""gene-MP228_001551""]"	245	245	116854e4abfdfee1fe30022b16a303ba4495c8bed23bab3e4a42867c648ca0c2	116854e4abfdfee1fe30022b16a303ba4495c8bed23bab3e4a42867c648ca0c2	True	ncbi_protein_gff	annotated_gene_feature	"[[""JALECJ010000255.1"", 1944072, 1944809, ""+""]]"	"[[""JALECJ010000004.1"", 677313, 678050, ""+""]]"	different_assembly_sequences			
F1246581	5000362at2759	PJF19490.1	PJF19972.1	distinct_annotated_genes	"[""gene-PSACC_00696""]"	"[""gene-PSACC_00212""]"	855	855	9c493c8f6aed484130c9e9ddbff045b0b6865735d5e2cb02bdef24b97fc2086f	9c493c8f6aed484130c9e9ddbff045b0b6865735d5e2cb02bdef24b97fc2086f	True	ncbi_protein_gff	annotated_gene_feature	"[[""MTSL01000061.1"", 878, 3445, ""-""]]"	"[[""MTSL01000020.1"", 325, 2892, ""-""]]"	different_assembly_sequences			
F1323573	5013726at2759	KAM0745765.1	KAM0746633.1	distinct_annotated_genes	"[""gene-T439DRAFT_319824""]"	"[""gene-T439DRAFT_318916""]"	206	206	3aa616a24730f30c42d37259ae2cb699dc417221de7560958a9ea0326e045740	3aa616a24730f30c42d37259ae2cb699dc417221de7560958a9ea0326e045740	True	ncbi_protein_gff	annotated_gene_feature	"[[""PS018675.1"", 100908, 102009, ""-""]]"	"[[""PS018667.1"", 417275, 418376, ""+""]]"	different_assembly_sequences			
F133377	4810093at2759	PVZ96475.1	PWA03326.1	distinct_annotated_genes	"[""gene-BB558_007650""]"	"[""gene-BB558_000507""]"	781	781	61d615a223f7ab278a2098f3ef59b85dc95ce995e4d0d8ea71d42e6510b58565	61d615a223f7ab278a2098f3ef59b85dc95ce995e4d0d8ea71d42e6510b58565	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01001278.1"", 50761, 53193, ""-""]]"	"[[""MBFU01000021.1"", 42368, 44800, ""+""]]"	different_assembly_sequences			
F133377	4986044at2759	PVZ96525.1	PWA03274.1	distinct_annotated_genes	"[""gene-BB558_007557""]"	"[""gene-BB558_000609""]"	351	351	7770702f4eb7642cda17f6d89520ae54fc6fae72a57649aee93073b2a5681001	7770702f4eb7642cda17f6d89520ae54fc6fae72a57649aee93073b2a5681001	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01001270.1"", 17242, 18297, ""+""]]"	"[[""MBFU01000024.1"", 178545, 179600, ""+""]]"	different_assembly_sequences			
F133377	5000476at2759	PVZ96937.1	PVZ98210.1	distinct_annotated_genes	"[""gene-BB558_007138""]"	"[""gene-BB558_005785""]"	388	388	4836d9d96cbb3626b97ca4cd13f0cbb95ae5e4c587d22eaa074b9556d9aa871b	4836d9d96cbb3626b97ca4cd13f0cbb95ae5e4c587d22eaa074b9556d9aa871b	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01001070.1"", 29423, 30589, ""-""]]"	"[[""MBFU01000580.1"", 4741, 5907, ""-""]]"	different_assembly_sequences			
F133377	5000743at2759	PVZ98273.1	PVZ99933.1	distinct_annotated_genes	"[""gene-BB558_005727""]"	"[""gene-BB558_004032""]"	176	176	0ae9f206f493c6d89ae2093d2da011f5cfa86c462db920b7fbd6073abf941d04	0ae9f206f493c6d89ae2093d2da011f5cfa86c462db920b7fbd6073abf941d04	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000566.1"", 78840, 79660, ""+""]]"	"[[""MBFU01000374.1"", 50013, 50833, ""+""]]"	different_assembly_sequences			
F133377	5000870at2759	PVZ97811.1	PVZ98813.1	distinct_annotated_genes	"[""gene-BB558_006238""]"	"[""gene-BB558_005180""]"	879	879	bcc006a97aca8d974a8143f1b9de9f29d75b00558b785c1808d91ea664833a92	bcc006a97aca8d974a8143f1b9de9f29d75b00558b785c1808d91ea664833a92	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000723.1"", 80323, 82962, ""+""]]"	"[[""MBFU01000506.1"", 71441, 74080, ""+""]]"	different_assembly_sequences			
F133377	5000870at2759	PVZ97811.1	PVZ99754.1	distinct_annotated_genes	"[""gene-BB558_006238""]"	"[""gene-BB558_004217""]"	879	879	bcc006a97aca8d974a8143f1b9de9f29d75b00558b785c1808d91ea664833a92	bcc006a97aca8d974a8143f1b9de9f29d75b00558b785c1808d91ea664833a92	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000723.1"", 80323, 82962, ""+""]]"	"[[""MBFU01000389.1"", 44590, 47229, ""+""]]"	different_assembly_sequences			
F133377	5000870at2759	PVZ98813.1	PVZ99754.1	distinct_annotated_genes	"[""gene-BB558_005180""]"	"[""gene-BB558_004217""]"	879	879	bcc006a97aca8d974a8143f1b9de9f29d75b00558b785c1808d91ea664833a92	bcc006a97aca8d974a8143f1b9de9f29d75b00558b785c1808d91ea664833a92	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000506.1"", 71441, 74080, ""+""]]"	"[[""MBFU01000389.1"", 44590, 47229, ""+""]]"	different_assembly_sequences			
F133377	5000986at2759	PVZ97634.1	PWA02621.1	distinct_annotated_genes	"[""gene-BB558_006403""]"	"[""gene-BB558_001239""]"	592	592	cd7b459d14666ca22693e3ebc0c054700421529318a1b45b7ad1f16df793bb9c	cd7b459d14666ca22693e3ebc0c054700421529318a1b45b7ad1f16df793bb9c	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000772.1"", 19573, 21351, ""+""]]"	"[[""MBFU01000069.1"", 19573, 21351, ""+""]]"	different_assembly_sequences			
F133377	5013539at2759	PVZ96876.1	PVZ98364.1	distinct_annotated_genes	"[""gene-BB558_007197""]"	"[""gene-BB558_005629""]"	286	286	8adb90b9e0a80176aa19fef65673eb06a31bd18e39c057da893cc7c7c6156d9d	8adb90b9e0a80176aa19fef65673eb06a31bd18e39c057da893cc7c7c6156d9d	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01001100.1"", 26745, 27760, ""+""]]"	"[[""MBFU01000556.1"", 18319, 19334, ""+""]]"	different_assembly_sequences			
F133377	5013539at2759	PVZ96876.1	PWA01492.1	distinct_annotated_genes	"[""gene-BB558_007197""]"	"[""gene-BB558_002419""]"	286	286	8adb90b9e0a80176aa19fef65673eb06a31bd18e39c057da893cc7c7c6156d9d	8adb90b9e0a80176aa19fef65673eb06a31bd18e39c057da893cc7c7c6156d9d	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01001100.1"", 26745, 27760, ""+""]]"	"[[""MBFU01000167.1"", 45513, 46528, ""-""]]"	different_assembly_sequences			
F133377	5013539at2759	PVZ98364.1	PWA01492.1	distinct_annotated_genes	"[""gene-BB558_005629""]"	"[""gene-BB558_002419""]"	286	286	8adb90b9e0a80176aa19fef65673eb06a31bd18e39c057da893cc7c7c6156d9d	8adb90b9e0a80176aa19fef65673eb06a31bd18e39c057da893cc7c7c6156d9d	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000556.1"", 18319, 19334, ""+""]]"	"[[""MBFU01000167.1"", 45513, 46528, ""-""]]"	different_assembly_sequences			
F133377	5013726at2759	PWA00044.1	PWA02520.1	distinct_annotated_genes	"[""gene-BB558_003879""]"	"[""gene-BB558_001376""]"	182	182	0827a7bc5f0b73524c3d157f67019bad896c7641524bdf557241c21928f8d2ea	0827a7bc5f0b73524c3d157f67019bad896c7641524bdf557241c21928f8d2ea	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000365.1"", 20187, 21033, ""+""]]"	"[[""MBFU01000073.1"", 204853, 205699, ""-""]]"	different_assembly_sequences			
F133377	5013738at2759	PVZ98446.1	PWA01996.1	distinct_annotated_genes	"[""gene-BB558_005547""]"	"[""gene-BB558_001877""]"	233	233	51aea510e440cef66ec7cdaec165c476c1cf5354481a2f5280c3c579b0dee9fc	51aea510e440cef66ec7cdaec165c476c1cf5354481a2f5280c3c579b0dee9fc	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000549.1"", 7840, 8698, ""-""]]"	"[[""MBFU01000115.1"", 895, 1753, ""+""]]"	different_assembly_sequences			
F133377	5015742at2759	PVZ97273.1	PVZ99017.1	distinct_annotated_genes	"[""gene-BB558_006787""]"	"[""gene-BB558_004977""]"	480	480	319268766774d7d99b2c1c94850aba69322c709587f1969d95845a5eeca23c28	319268766774d7d99b2c1c94850aba69322c709587f1969d95845a5eeca23c28	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000889.1"", 50336, 52306, ""+""]]"	"[[""MBFU01000489.1"", 38686, 40656, ""+""]]"	different_assembly_sequences			
F133377	529759at2759	PVZ97268.1	PVZ99022.1	distinct_annotated_genes	"[""gene-BB558_006788""]"	"[""gene-BB558_004978""]"	245	245	a35de9bbb49a20746f68d505e41dfffa270122ececa6d815d4fad8c37d4a567e	a35de9bbb49a20746f68d505e41dfffa270122ececa6d815d4fad8c37d4a567e	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000889.1"", 53004, 53859, ""+""]]"	"[[""MBFU01000489.1"", 41354, 42209, ""+""]]"	different_assembly_sequences			
F133377	530014at2759	PWA00063.1	PWA02469.1	distinct_annotated_genes	"[""gene-BB558_003889""]"	"[""gene-BB558_001367""]"	858	858	ca83737ceca6890a1a8460310ea79e2e0814b4a41e9c27738c31831c5baa6127	ca83737ceca6890a1a8460310ea79e2e0814b4a41e9c27738c31831c5baa6127	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000365.1"", 44050, 46626, ""-""]]"	"[[""MBFU01000073.1"", 179260, 181836, ""+""]]"	different_assembly_sequences			
F133377	707076at2759	PVZ99343.1	PWA01426.1	distinct_annotated_genes	"[""gene-BB558_004646""]"	"[""gene-BB558_002471""]"	283	283	736404063d2f66aed6f7492e749563cd10e2d7185aa291b55d87685ad2185527	736404063d2f66aed6f7492e749563cd10e2d7185aa291b55d87685ad2185527	True	ncbi_protein_gff	annotated_gene_feature	"[[""MBFU01000446.1"", 41384, 42626, ""-""]]"	"[[""MBFU01000173.1"", 4817, 6059, ""+""]]"	different_assembly_sequences			
F1419009	5000452at2759	GJJ12754.1	GJJ16086.1	distinct_annotated_genes	"[""gene-Clacol_006999""]"	"[""gene-Clacol_010365""]"	304	304	4636221af364a4de90c70b39876276d3242ffe0d6058a333fe3a071eaf557fc1	4636221af364a4de90c70b39876276d3242ffe0d6058a333fe3a071eaf557fc1	True	ncbi_protein_gff	annotated_gene_feature	"[[""BPWL01000007.1"", 3090260, 3091330, ""+""]]"	"[[""BPWL01000012.1"", 364880, 365950, ""-""]]"	different_assembly_sequences			
F1500003	5013726at2759	KAI9137368.1	KAI9138257.1	distinct_annotated_genes	"[""gene-BKA69DRAFT_1032619""]"	"[""gene-BKA69DRAFT_1031602""]"	198	198	d3e4f3d4216239769176b36cd31aa8a48ac96a42e7aefcfd6484bc5bdd4eb674	d3e4f3d4216239769176b36cd31aa8a48ac96a42e7aefcfd6484bc5bdd4eb674	True	ncbi_protein_gff	annotated_gene_feature	"[[""JAHLJZ010000091.1"", 9746, 10624, ""-""]]"	"[[""JAHLJZ010000070.1"", 109353, 110231, ""-""]]"	different_assembly_sequences			
F1500003	760428at2759	KAI9138313.1	KAI9138318.1	distinct_annotated_genes	"[""gene-BKA69DRAFT_1092106""]"	"[""gene-BKA69DRAFT_1092158""]"	349	349	e0811e04bc3686a99f69268502756cdb3f6f8219bfb9405cfb52a47ed34e24fd	e0811e04bc3686a99f69268502756cdb3f6f8219bfb9405cfb52a47ed34e24fd	True	ncbi_protein_gff	annotated_gene_feature	"[[""JAHLJZ010000068.1"", 11314, 13565, ""-""]]"	"[[""JAHLJZ010000068.1"", 23573, 25824, ""-""]]"	same_sequence_disjoint_intervals	0	10007	True
F1507870	4747214at2759	OQO00150.1	OQO09528.1	distinct_annotated_genes	"[""gene-B0A48_13937""]"	"[""gene-B0A48_04930""]"	141	141	c5481a6eaa5bd6a23afc13a93ccdd98071e8b997e0f2957ad4c79794951ba864	c5481a6eaa5bd6a23afc13a93ccdd98071e8b997e0f2957ad4c79794951ba864	True	ncbi_protein_gff	annotated_gene_feature	"[[""NAJO01000036.1"", 137695, 138168, ""-""]]"	"[[""NAJO01000010.1"", 573403, 573880, ""-""]]"	different_assembly_sequences			
F1507870	4974767at2759	OQO03671.1	OQO04593.1	distinct_annotated_genes	"[""gene-B0A48_10336""]"	"[""gene-B0A48_09515""]"	148	148	81ed3af32335c881e1da7bb7e6276b6b5d1b211dd760c6027e1d7444afb0d78f	81ed3af32335c881e1da7bb7e6276b6b5d1b211dd760c6027e1d7444afb0d78f	True	ncbi_protein_gff	annotated_gene_feature	"[[""NAJO01000024.1"", 610289, 610929, ""+""]]"	"[[""NAJO01000021.1"", 381713, 382344, ""+""]]"	different_assembly_sequences			
F1507870	529759at2759	OQN95980.1	OQN99926.1	distinct_annotated_genes	"[""gene-B0A48_17923""]"	"[""gene-B0A48_14131""]"	246	246	1e1c40f504b5a0924dd43d011b69573f501ef8efaeec614958bebb4b9adb255e	1e1c40f504b5a0924dd43d011b69573f501ef8efaeec614958bebb4b9adb255e	True	ncbi_protein_gff	annotated_gene_feature	"[[""NAJO01000075.1"", 95366, 96171, ""+""]]"	"[[""NAJO01000037.1"", 93974, 94778, ""-""]]"	different_assembly_sequences			
F1673888	540946at2759	PWN47988.1	PWN51807.1	distinct_annotated_genes	"[""gene-IE53DRAFT_389850""]"	"[""gene-IE53DRAFT_385832""]"	524	524	e3ea22735c326320720e9f3c887ebfd3cc88280ec3f3c61730cbd1a110c8d314	e3ea22735c326320720e9f3c887ebfd3cc88280ec3f3c61730cbd1a110c8d314	True	ncbi_protein_gff	annotated_gene_feature	"[[""KZ820291.1"", 13124, 15013, ""+""]]"	"[[""KZ819816.1"", 41832, 43707, ""-""]]"	different_assembly_sequences			
F170000	352891at2759	KAI8458225.1	KAI8461407.1	distinct_annotated_genes	"[""gene-BY996DRAFT_6430297""]"	"[""gene-BY996DRAFT_6429386""]"	245	245	93f69741a066ae3087d1c68f4d3f55ba6d3460e68b9ce6ef834a0e51046378ad	93f69741a066ae3087d1c68f4d3f55ba6d3460e68b9ce6ef834a0e51046378ad	True	ncbi_protein_gff	annotated_gene_feature	"[[""MU604571.1"", 815722, 817422, ""-""]]"	"[[""MU604469.1"", 632687, 634386, ""+""]]"	different_assembly_sequences			
