representative_input_id	cluster_input_id	source	model_id	taxon_id	protein_id	marker	species_name	study_role	major_lineage
M000712	M012364	AlphaFold	AF-R8BAC6-F1	F223192	XP_007918943.1	541070at2759	Phaeoacremonium minimum	ingroup	Ascomycota
M000712	M012385	AlphaFold	AF-S0DJU4-F1	F5127	XP_023424721.1	541070at2759	Fusarium fujikuroi	ingroup	Ascomycota
M000712	M013065	AlphaFold	AF-W7LWI9-F1	F1042133	XP_044686701.1	541070at2759	Fusarium musae	ingroup	Ascomycota
M000712	M013065	AlphaFold	AF-W7LWI9-F1	F117187	XP_018743073.1	541070at2759	Fusarium verticillioides	ingroup	Ascomycota
M000712	M013615	ESMFold	ESM-S1515d95e9b542e29965588c4ebed526450e008184b064dfdcc488b02ab9c1505-d662a12b8ced	F5128	XP_083087082.1	541070at2759	Fusarium sambucinum	ingroup	Ascomycota
M000712	M014696	ESMFold	ESM-S495c71069a83ac92cfdb2d3d1d53cd64a5707502524bad98e117cc501d24e9ac-d662a12b8ced	F1328300	XP_052919803.1	541070at2759	Fusarium keratoplasticum	ingroup	Ascomycota
M000712	M015253	ESMFold	ESM-S63e52e413387aa8f99208fbc9535a642694c4e786c2ceb1ea3d1d5647517884c-d662a12b8ced	F122368	XP_023455675.2	541070at2759	Cercospora beticola	ingroup	Ascomycota
M000712	M015407	ESMFold	ESM-S6b98c102d779bc7b34ad22bf89a9e9c445dc5313d0ade966abe3b1f185d37f59-d662a12b8ced	F1506992	KAH8892499.1	541070at2759	Thozetella sp. PMI_491	ingroup	Ascomycota
M000712	M017146	ESMFold	ESM-Sc44cbc119ed0a19b07c0f4d8d15bc7654df5830811bfe320e2aca878fb6c994d-d662a12b8ced	F5507	XP_031042182.2	541070at2759	Fusarium oxysporum	ingroup	Ascomycota
M000712	M017394	ESMFold	ESM-Sd1798ca37d6b1cde9681bf0b7bfaa6832d150dbfd0b73c2b64228da35f592310-d662a12b8ced	F65468	XP_073559378.1	541070at2759	Trichoderma ghanense	ingroup	Ascomycota
M000712	M017716	ESMFold	ESM-Se40a73a580bc2c6c96d4715a68a33500cff9aebda3084a97ee1d256ab3490bf1-d662a12b8ced	F72144	XP_070863883.1	541070at2759	Remersonia thermophila	ingroup	Ascomycota
M000712	M017942	ESMFold	ESM-Sef22ddbe268b6747afe1c484a2ef3c8e84f3cb32e132ca6cdb7eff6908c9c160-d662a12b8ced	F36050	XP_044711396.1	541070at2759	Fusarium poae	ingroup	Ascomycota
M000712	M007667	AlphaFold	AF-A0A9P6H1C5-F1	F56493	KAF9777366.1	541070at2759	Thelephora terrestris	ingroup	Basidiomycota
M000712	M017827	ESMFold	ESM-Se8c95df0190dde881e6a3d07a67203c729efb07e0b1d6c65af0291bd5d1f420c-d662a12b8ced	F370292	KAF9644896.1	541070at2759	Thelephora ganbajun	ingroup	Basidiomycota
M000712	M012494	AlphaFold	AF-S3BR89-F1	F61273	EPE03774.1	541070at2759	Ophiostoma piceae	ingroup	Ascomycota
M000712	M015250	ESMFold	ESM-S63902cb91ec7e81e239f67288090cf1f3e7fc38d239e601d1d33242c82122e4b-d662a12b8ced	F112417	KAF8519573.1	541070at2759	Gautieria morchelliformis	ingroup	Basidiomycota
M000712	M015446	ESMFold	ESM-S6d714f948102022f072b2339fd22a4faed37d33b6c24534e8cb3306ed5d3fa90-d662a12b8ced	F2939404	KAI9847032.1	541070at2759	Thelocarpon superellum	ingroup	Ascomycota
M000712	M016121	ESMFold	ESM-S908f5445f5b1464d4b089803eb1af617597cb962f80193214cae70a0bddf8e29-d662a12b8ced	F170000	KAI8443252.1	541070at2759	Phakopsora pachyrhizi	ingroup	Basidiomycota
M000712	M016995	ESMFold	ESM-Sbd2efa368f4bf2959cd0e61b3088cb56a0f6e8e8932c20cf95f88385403afdf3-d662a12b8ced	F1125753	XP_066760958.1	541070at2759	Limtongia smithiae	ingroup	Ascomycota
M000719	M000719	AlphaFold	AF-A0A0N7L8U3-F1	F401625	CEH11946.1	4977863at2759	Ceraceosorus bombacis	ingroup	Basidiomycota
M000719	M004516	AlphaFold	AF-A0A6A6PD68-F1	F578093	KAF2461353.1	4977863at2759	Lineolata rhizophorae	ingroup	Ascomycota
M000719	M004845	AlphaFold	AF-A0A6A6WC02-F1	F470096	XP_033602150.1	4977863at2759	Pseudovirgaria hyperparasitica	ingroup	Ascomycota
M000724	M000724	AlphaFold	AF-A0A0N7L9Y0-F1	F401625	CEH15042.1	5000371at2759	Ceraceosorus bombacis	ingroup	Basidiomycota
M000731	M000731	AlphaFold	AF-A0A0N8PZW5-F1	F29898	XP_018269510.1	4867008at2759	Rhodotorula graminis	ingroup	Basidiomycota
M000731	M015503	ESMFold	ESM-S70dc50174c987a2db8941da178db7218088b40d15b172795869ffb866b348ebe-d662a12b8ced	F456999	XP_043187438.1	4867008at2759	Rhizoctonia solani	ingroup	Basidiomycota
M000732	M000732	AlphaFold	AF-A0A0N8PZZ8-F1	F29898	XP_018269774.1	5013738at2759	Rhodotorula graminis	ingroup	Basidiomycota
M000732	M004452	AlphaFold	AF-A0A6A6NYZ2-F1	F578093	KAF2456702.1	5013738at2759	Lineolata rhizophorae	ingroup	Ascomycota
M000732	M016063	ESMFold	ESM-S8db75ab9266688d88ae31573b8fd3d543925cea8539d33e8706b18a407e2421e-d662a12b8ced	F1145321	KAL9614139.1	5013738at2759	Letrouitia subvulpina	ingroup	Ascomycota
M000735	M000735	AlphaFold	AF-A0A0S2M600-F1	F40410	XP_024514546.1	4900375at2759	Cryptococcus deneoformans	ingroup	Basidiomycota
M000735	M003391	AlphaFold	AF-A0A2U1IW77-F1	F133377	PVZ97066.1	4900375at2759	Smittium angustum	ingroup	Kickxellomycota
M000735	M018180	ESMFold	ESM-Sfaac4173f4d1df7e209826f458cb9c2a76801eeebe7e9fa7a274b39368376ec9-d662a12b8ced	F3038894	KAK4694421.1	4900375at2759	Phenoliferia sp. Uapishka_3	ingroup	Basidiomycota
M000735	M002592	AlphaFold	AF-A0A286U5R6-F1	F2282107	PAV14936.1	4900375at2759	Pyrrhoderma noxium	ingroup	Basidiomycota
M000735	M004243	AlphaFold	AF-A0A5E8BYV5-F1	F2606893	XP_031855784.1	4900375at2759	Magnusiomyces paraingens	ingroup	Ascomycota
M000735	M015624	ESMFold	ESM-S76dc2f3f34025eef1d2637825e9eae13ee21ffa44337db767210e9c1869b45fa-d662a12b8ced	F44565	KAO0768224.1	4900375at2759	Sterigmatomyces hyphaenes	ingroup	Basidiomycota
M000735	M018148	ESMFold	ESM-Sf9650d7a50e85605e7e619a1de1a5cda65ff2875b257ab3bb2bfe7e933f9e3e6-d662a12b8ced	F1230402	KAN0710885.1	4900375at2759	Basidioascus undulatus	ingroup	Basidiomycota
M000735	M011604	AlphaFold	AF-J8Q3M1-F1	F706196	EJS42184.1	4900375at2759	Saccharomyces arboricola	ingroup	Ascomycota
M000735	M008646	AlphaFold	AF-A0AA35JEW9-F1	F114524	XP_056087108.1	4900375at2759	Saccharomyces kudriavzevii	ingroup	Ascomycota
M000735	M012040	AlphaFold	AF-Q03406-F1	F4932	NP_010777.3	4900375at2759	Saccharomyces cerevisiae	ingroup	Ascomycota
M000735	M013484	ESMFold	ESM-S0f2ec9c2a8705ef80e9ecb96b091b99b283566c0412a931987038e477efaf061-d662a12b8ced	F1080349	XP_018224010.1	4900375at2759	Saccharomyces eubayanus	ingroup	Ascomycota
M000735	M013548	ESMFold	ESM-S124342ba3a20d3069a4dcf364856bbd19dd3f8c15b2788f6abc862cee5bc90f1-d662a12b8ced	F230603	CAI4057830.1	4900375at2759	Saccharomyces uvarum	ingroup	Ascomycota
M000735	M013295	ESMFold	ESM-S0627ab2df7c30ff2b6b9dc57f4bacdb2b5a60d9b753ebdbbcd9375b1d26c69b9-d662a12b8ced	F1463510	CAO1614778.1	4900375at2759	Parajaminaea phylloscopi	ingroup	Basidiomycota
M000735	M014224	ESMFold	ESM-S307e86d39e6f26686faecb89be68c87e286257efedad77741410e29e161143cb-d662a12b8ced	F100910	BGP19304.1	4900375at2759	Rhodosporidiobolus nylandii	ingroup	Basidiomycota
M000735	M008407	AlphaFold	AF-A0A9W4SBT2-F1	F1117311	CAI2162859.1	4900375at2759	Funneliformis geosporum	ingroup	Glomeromycota
M000735	M015835	ESMFold	ESM-S81c5046a6c2a5760209792e41c3b08b3c10a12b427ffc416677d3c35a6596c47-d662a12b8ced	F112072	KAO0791170.1	4900375at2759	Naohidea sebacea	ingroup	Basidiomycota
M000735	M016102	ESMFold	ESM-S8fabf4f03869f40bf0b39818809f741d1d44f83772279702428b25e7ebd0eb42-d662a12b8ced	F610337	KAJ9104350.1	4900375at2759	Naganishia cerealis	ingroup	Basidiomycota
M000735	M017072	ESMFold	ESM-Sc0cb3a27c0466b3e89617262039ffb4a12e3d03e35768370c4d275811f0e7528-d662a12b8ced	F1690604	XP_064756409.1	4900375at2759	Lithohypha guttulata	ingroup	Ascomycota
M000748	M000748	AlphaFold	AF-A0A0W4ZBY7-F1	F4754	XP_018224386.1	5000371at2759	Pneumocystis carinii	ingroup	Ascomycota
M000752	M000752	AlphaFold	AF-A0A0W4ZCH6-F1	F42068	XP_018227896.1	4896098at2759	Pneumocystis jirovecii	ingroup	Ascomycota
M000752	M000904	AlphaFold	AF-A0A0W4ZQE3-F1	F4754	XP_018227191.1	4896098at2759	Pneumocystis carinii	ingroup	Ascomycota
M000752	M011923	AlphaFold	AF-M7PM36-F1	F263815	XP_007872435.1	4896098at2759	Pneumocystis murina	ingroup	Ascomycota
M000772	M000772	AlphaFold	AF-A0A0W4ZDP0-F1	F42068	XP_018228036.1	5004265at2759	Pneumocystis jirovecii	ingroup	Ascomycota
M000776	M000776	AlphaFold	AF-A0A0W4ZE36-F1	F4754	XP_018224965.1	5013539at2759	Pneumocystis carinii	ingroup	Ascomycota
M000776	M000902	AlphaFold	AF-A0A0W4ZQ77-F1	F42068	XP_018229827.1	5013539at2759	Pneumocystis jirovecii	ingroup	Ascomycota
M000776	M000976	AlphaFold	AF-A0A0W4ZWX9-F1	F263815	XP_007874591.2	5013539at2759	Pneumocystis murina	ingroup	Ascomycota
M000776	M001929	AlphaFold	AF-A0A1E4TZD2-F1	F4918	ODV97038.1	5013539at2759	Pachysolen tannophilus	ingroup	Ascomycota
M000776	M003377	AlphaFold	AF-A0A2T9XX99-F1	F61424	PVU84693.1	5013539at2759	Furculomyces boomerangus	ingroup	Kickxellomycota
M000776	M004455	AlphaFold	AF-A0A6A6NZP6-F1	F578093	KAF2457225.1	5013539at2759	Lineolata rhizophorae	ingroup	Ascomycota
M000776	M011477	AlphaFold	AF-J4TZ15-F1	F114524	XP_056084953.1	5013539at2759	Saccharomyces kudriavzevii	ingroup	Ascomycota
M000776	M011531	AlphaFold	AF-J8LIH1-F1	F706196	EJS41852.1	5013539at2759	Saccharomyces arboricola	ingroup	Ascomycota
M000776	M000011	AlphaFold	AF-A0A010RH31-F1	F710243	XP_053044853.1	5013539at2759	Colletotrichum fioriniae	ingroup	Ascomycota
M000776	M000669	AlphaFold	AF-A0A0H5C906-F1	F4903	XP_020068350.1	5013539at2759	Williopsis jadinii	ingroup	Ascomycota
M000776	M002262	AlphaFold	AF-A0A1U7LPE7-F1	F48691	OLL24527.1	5013539at2759	Neolecta irregularis	ingroup	Ascomycota
M000776	M005485	AlphaFold	AF-A0A6G1I9J4-F1	F703511	KAF2404786.1	5013539at2759	Trichodelitschia bisporula	ingroup	Ascomycota
M000776	M006841	AlphaFold	AF-A0A8H7PD68-F1	F91625	KAG2171762.1	5013539at2759	Umbelopsis isabellina	ingroup	Mucoromycota
M000776	M006949	AlphaFold	AF-A0A8K0L9S6-F1	F2601811	KAG8628313.1	5013539at2759	Elsinoe batatas	ingroup	Ascomycota
M000776	M004386	AlphaFold	AF-A0A6A6BTU5-F1	F462254	XP_033403214.1	5013539at2759	Aplosporella prunicola	ingroup	Ascomycota
M000776	M007312	AlphaFold	AF-A0A9P4Q2J6-F1	F705562	KAF2716944.1	5013539at2759	Polychaeton citri	ingroup	Ascomycota
M000776	M001600	AlphaFold	AF-A0A1D2VQA6-F1	F54195	XP_020050052.1	5013539at2759	Ascoidea rubescens	ingroup	Ascomycota
M000776	M012373	AlphaFold	AF-R9A9J7-F1	F245174	XP_009270428.1	5013539at2759	Wallemia ichthyophaga	ingroup	Basidiomycota
M000776	M007711	AlphaFold	AF-A0A9P6I9M8-F1	F1095194	XP_038748001.1	5013539at2759	Colletotrichum karsti	ingroup	Ascomycota
M000776	M006689	AlphaFold	AF-A0A8H4FG83-F1	F474922	XP_045259760.1	5013539at2759	Colletotrichum gloeosporioides	ingroup	Ascomycota
M000776	M008309	AlphaFold	AF-A0A9Q8SBX9-F1	F145971	XP_049135732.1	5013539at2759	Colletotrichum lupini	ingroup	Ascomycota
M000776	M009582	AlphaFold	AF-A0AAJ0DUN9-F1	F1209916	XP_060307364.1	5013539at2759	Colletotrichum costaricense	ingroup	Ascomycota
M000776	M009582	AlphaFold	AF-A0AAJ0DUN9-F1	F1209934	XP_060385704.1	5013539at2759	Colletotrichum tamarilloi	ingroup	Ascomycota
M000776	M009582	AlphaFold	AF-A0AAJ0DUN9-F1	F1671311	XP_060400087.1	5013539at2759	Colletotrichum abscissum	ingroup	Ascomycota
M000776	M009807	AlphaFold	AF-A0AAV5QKU2-F1	F43959	XP_064852054.1	5013539at2759	Saccharomycopsis crataegensis	ingroup	Ascomycota
M000776	M003434	AlphaFold	AF-A0A2U9R7I0-F1	F4909	XP_029322867.1	5013539at2759	Pichia kudriavzevii	ingroup	Ascomycota
M000776	M015371	ESMFold	ESM-S69da3479fef068080c8e1138b8b07c6df0165243de9be73976402f6bb2b2787c-d662a12b8ced	F5507	XP_031033859.2	5013539at2759	Fusarium oxysporum	ingroup	Ascomycota
M000776	M016950	ESMFold	ESM-Sba34c038461c95380010d698614ad0bfef09ae2124e044b1bb173d0491012fba-d662a12b8ced	F456999	XP_043187878.1	5013539at2759	Rhizoctonia solani	ingroup	Basidiomycota
M001404	M001404	AlphaFold	AF-A0A1B7YJ32-F1	F80884	XP_018160489.1	4969018at2759	Colletotrichum higginsianum	ingroup	Ascomycota
M001405	M001405	AlphaFold	AF-A0A1B7YKJ0-F1	F80884	XP_018160895.1	554735at2759	Colletotrichum higginsianum	ingroup	Ascomycota
M001405	M006713	AlphaFold	AF-A0A8H4FR85-F1	F474922	XP_045270782.1	554735at2759	Colletotrichum gloeosporioides	ingroup	Ascomycota
M001405	M009607	AlphaFold	AF-A0AAJ0FB99-F1	F1093897	XP_060278464.1	554735at2759	Phialemonium atrogriseum	ingroup	Ascomycota
M001405	M011729	AlphaFold	AF-K3VTU0-F1	F101028	XP_009252321.1	554735at2759	Fusarium pseudograminearum	ingroup	Ascomycota
M001415	M001415	AlphaFold	AF-A0A1B7YUG7-F1	F80884	XP_018164180.1	5005010at2759	Colletotrichum higginsianum	ingroup	Ascomycota
M001417	M001417	AlphaFold	AF-A0A1B7YV82-F1	F80884	XP_018164472.1	4970387at2759	Colletotrichum higginsianum	ingroup	Ascomycota
M001419	M001419	AlphaFold	AF-A0A1B8ABR8-F1	F36050	XP_044702113.1	5001473at2759	Fusarium poae	ingroup	Ascomycota
M001419	M011299	AlphaFold	AF-I1RRG3-F1	F5518	XP_011326315.1	5001473at2759	Fusarium graminearum	ingroup	Ascomycota
M001945	M001945	AlphaFold	AF-A0A1E4U248-F1	F4918	ODV98084.1	530740at2759	Pachysolen tannophilus	ingroup	Ascomycota
M001952	M001952	AlphaFold	AF-A0A1E4U3G2-F1	F4918	ODV98544.1	760428at2759	Pachysolen tannophilus	ingroup	Ascomycota
M001952	M002397	AlphaFold	AF-A0A1Y1VY53-F1	F61395	XP_040740026.1	760428at2759	Linderina pennispora	ingroup	Kickxellomycota
M001952	M005201	AlphaFold	AF-A0A6G1G684-F1	F1341166	XP_033535204.1	760428at2759	Eremomyces bilateralis	ingroup	Ascomycota
M001952	M006415	AlphaFold	AF-A0A8H3F0J1-F1	F116794	CAF9916077.1	760428at2759	Heterodermia speciosa	ingroup	Ascomycota
M001952	M011159	AlphaFold	AF-H0GDR0-F1	F332112	EHN07950.1	760428at2759	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota
M001952	M008643	AlphaFold	AF-A0AA35JDJ0-F1	F114524	XP_056086589.1	760428at2759	Saccharomyces kudriavzevii	ingroup	Ascomycota
M001952	M011971	AlphaFold	AF-P22007-F1	F4932	NP_010193.1	760428at2759	Saccharomyces cerevisiae	ingroup	Ascomycota
M001952	M012896	AlphaFold	AF-W2SBR7-F1	F293227	XP_008710767.1	760428at2759	Cyphellophora europaea	ingroup	Ascomycota
M001952	M014031	ESMFold	ESM-S27e35a23361db62eb26ffd162090fc7084c38634e742399a07b817dea09a8b44-d662a12b8ced	F5518	XP_011319952.1	760428at2759	Fusarium graminearum	ingroup	Ascomycota
M001952	M015485	ESMFold	ESM-S6fceb09c48f96821d465a7331655f28d13d99a788be006c1a1cab307bf8a560e-d662a12b8ced	F5507	XP_059465181.1	760428at2759	Fusarium oxysporum	ingroup	Ascomycota
M001952	M014410	ESMFold	ESM-S3ba6bf3941a6590ba4dcbf23002c20753a0349accfed5727dd4a45d338dd05fb-d662a12b8ced	F29833	KAL6943639.1	760428at2759	Hanseniaspora uvarum	ingroup	Ascomycota
M001953	M001953	AlphaFold	AF-A0A1E4U3K2-F1	F4918	ODV98580.1	538728at2759	Pachysolen tannophilus	ingroup	Ascomycota
M001956	M001956	AlphaFold	AF-A0A1E5R085-F1	F29833	KAL6951525.1	5001473at2759	Hanseniaspora uvarum	ingroup	Ascomycota
M001956	M000677	AlphaFold	AF-A0A0H5CB37-F1	F4903	XP_020073631.1	5001473at2759	Williopsis jadinii	ingroup	Ascomycota
M001956	M001308	AlphaFold	AF-A0A167E1Y8-F1	F796027	XP_018736027.1	5001473at2759	Sugiyamaella lignohabitans	ingroup	Ascomycota
M001956	M001568	AlphaFold	AF-A0A1D2VJF2-F1	F54195	XP_020048055.1	5001473at2759	Ascoidea rubescens	ingroup	Ascomycota
M001956	M002126	AlphaFold	AF-A0A1J9R5Y0-F1	F236234	XP_020133186.1	5001473at2759	Diplodia corticola	ingroup	Ascomycota
M001956	M006410	AlphaFold	AF-A0A8H3EY34-F1	F1940652	CAF9914761.1	5001473at2759	Gomphillus americanus	ingroup	Ascomycota
M001956	M008108	AlphaFold	AF-A0A9P8QAF4-F1	F599730	KAH3685915.1	5001473at2759	Waltiozyma pijperi	ingroup	Ascomycota
M001956	M008641	AlphaFold	AF-A0AA35JCH7-F1	F114524	XP_056085799.1	5001473at2759	Saccharomyces kudriavzevii	ingroup	Ascomycota
M001956	M009801	AlphaFold	AF-A0AAV5QK12-F1	F43959	XP_064852016.1	5001473at2759	Saccharomycopsis crataegensis	ingroup	Ascomycota
M001956	M002855	AlphaFold	AF-A0A2K1R2E1-F1	F2082308	PNS21458.1	5001473at2759	Sphaceloma murrayae	ingroup	Ascomycota
M001956	M005234	AlphaFold	AF-A0A6G1GCF7-F1	F1341166	XP_033537345.1	5001473at2759	Eremomyces bilateralis	ingroup	Ascomycota
M001956	M004211	AlphaFold	AF-A0A5E8BK82-F1	F2606893	XP_031853918.1	5001473at2759	Magnusiomyces paraingens	ingroup	Ascomycota
M001956	M010365	AlphaFold	AF-C1GQL4-F1	F1048829	XP_002796950.1	5001473at2759	Paracoccidioides lutzii	ingroup	Ascomycota
M001958	M001958	AlphaFold	AF-A0A1E5R4G4-F1	F29833	KAL6951664.1	5005010at2759	Hanseniaspora uvarum	ingroup	Ascomycota
M001968	M001968	AlphaFold	AF-A0A1J7IEI9-F1	F177197	OIW25878.1	4896098at2759	Coniochaeta ligniaria	ingroup	Ascomycota
M001968	M001388	AlphaFold	AF-A0A1B7Y2K9-F1	F80884	XP_018154770.1	4896098at2759	Colletotrichum higginsianum	ingroup	Ascomycota
M001968	M002911	AlphaFold	AF-A0A2P4ZP38-F1	F398673	XP_024405682.1	4896098at2759	Trichoderma gamsii	ingroup	Ascomycota
M001968	M006622	AlphaFold	AF-A0A8H4CEG6-F1	F474922	XP_045261624.1	4896098at2759	Colletotrichum gloeosporioides	ingroup	Ascomycota
M001968	M009622	AlphaFold	AF-A0AAJ0FLY3-F1	F1093897	XP_060281783.1	4896098at2759	Phialemonium atrogriseum	ingroup	Ascomycota
M001968	M010821	AlphaFold	AF-F0X7X4-F1	F226899	XP_014175710.1	4896098at2759	Leptographium clavigerum	ingroup	Ascomycota
M001972	M001972	AlphaFold	AF-A0A1J7IH67-F1	F177197	OIW26806.1	5005750at2759	Coniochaeta ligniaria	ingroup	Ascomycota
M001977	M001977	AlphaFold	AF-A0A1J7ILU8-F1	F177197	OIW28227.1	4986044at2759	Coniochaeta ligniaria	ingroup	Ascomycota
M001991	M001991	AlphaFold	AF-A0A1J7ITM8-F1	F177197	OIW31047.1	4613677at2759	Coniochaeta ligniaria	ingroup	Ascomycota
M002209	M002209	AlphaFold	AF-A0A1R1PGF4-F1	F1213189	OMH80027.1	5018803at2759	Zancudomyces culisetae	ingroup	Kickxellomycota
M002212	M002212	AlphaFold	AF-A0A1R1PI62-F1	F1213189	OMH80670.1	129234at2759	Zancudomyces culisetae	ingroup	Kickxellomycota
M002233	M002233	AlphaFold	AF-A0A1U7LJE9-F1	F48691	OLL22758.1	4838864at2759	Neolecta irregularis	ingroup	Ascomycota
M002234	M002234	AlphaFold	AF-A0A1U7LJF9-F1	F48691	OLL22768.1	319730at2759	Neolecta irregularis	ingroup	Ascomycota
M002234	M004816	AlphaFold	AF-A0A6A6W274-F1	F470096	XP_033598501.1	319730at2759	Pseudovirgaria hyperparasitica	ingroup	Ascomycota
M002234	M001453	AlphaFold	AF-A0A1B8AYL3-F1	F36050	XP_044709840.1	319730at2759	Fusarium poae	ingroup	Ascomycota
M002234	M005575	AlphaFold	AF-A0A6P8B8D5-F1	F148305	XP_030983264.1	319730at2759	Pyricularia grisea	ingroup	Ascomycota
M002234	M000415	AlphaFold	AF-A0A0C4DVD4-F1	F148304	KLU84904.1	319730at2759	Magnaporthiopsis poae	ingroup	Ascomycota
M002234	M001093	AlphaFold	AF-A0A146FZG0-F1	F1069201	XP_041547637.1	319730at2759	Aspergillus luchuensis	ingroup	Ascomycota
M002234	M001986	AlphaFold	AF-A0A1J7IQH4-F1	F177197	OIW29871.1	319730at2759	Coniochaeta ligniaria	ingroup	Ascomycota
M002234	M003813	AlphaFold	AF-A0A420Y6D6-F1	F177199	RKU43449.1	319730at2759	Coniochaeta pulveracea	ingroup	Ascomycota
M002234	M004011	AlphaFold	AF-A0A437AB30-F1	F97331	XP_067493634.1	319730at2759	Arthrobotrys flagrans	ingroup	Ascomycota
M002234	M011077	AlphaFold	AF-G1XUF9-F1	F2813651	XP_011128121.1	319730at2759	Orbilia oligospora	ingroup	Ascomycota
M002234	M011407	AlphaFold	AF-J3NY29-F1	F36779	XP_009222262.1	319730at2759	Gaeumannomyces tritici	ingroup	Ascomycota
M002234	M014783	ESMFold	ESM-S4de2fae467449e4cd25f3be50e5ff7b1aadda4b3e3f239fe546cbde1e8ba509f-d662a12b8ced	F5147	XP_065946049.1	319730at2759	Sordaria macrospora	ingroup	Ascomycota
M002234	M006453	AlphaFold	AF-A0A8H3FGC4-F1	F1940652	CAF9925436.1	319730at2759	Gomphillus americanus	ingroup	Ascomycota
M002234	M000021	AlphaFold	AF-A0A010SKR3-F1	F710243	XP_053044180.1	319730at2759	Colletotrichum fioriniae	ingroup	Ascomycota
M002234	M001282	AlphaFold	AF-A0A167CT16-F1	F796027	XP_018734549.1	319730at2759	Sugiyamaella lignohabitans	ingroup	Ascomycota
