review_rank	sequence_id	af_model_id	af_version	plddt_cutoff	protein_length	matched_residues	retained_fraction	status	ca_superposition_rmsd_angstrom	local_distance_pairs	local_distance_mean_absolute_change_angstrom	local_distance_rms_change_angstrom	pae5_local_pairs	pae5_local_retained_fraction	pae5_local_mean_absolute_change_angstrom	pae10_local_pairs	pae10_local_retained_fraction	pae10_local_mean_absolute_change_angstrom	pae15_local_pairs	pae15_local_retained_fraction	pae15_local_mean_absolute_change_angstrom
32	S659a1820bb15dfc9f3a13725b97e05f0fd9394c04506068b3f9219c68879087f	AF-A0A9P6MN20-F1	6	70	280	199	0.7107142857142857	compared	8.74952185297065	3099	0.459094678582463	2.0537912225909265	2629	0.8483381736043886	0.15809815162509588	3037	0.9799935463052598	0.18393553716876648	3037	0.9799935463052598	0.18393553716876648
33	Sb89cc8927233fd43e6b72fb83c160d8f071fcdf42e6c4266c63943832a7e1635	AF-A0A075AMT1-F1	6	70	384	357	0.9296875	compared	8.53998054504873	7298	0.25779692350429906	0.689396855340571	5919	0.8110441216771719	0.2012502437756425	7262	0.9950671416826528	0.2327411230196472	7298	1.0	0.2577969299797623
34	Sb902dd623bc7d7981b9a3eaa85a3fc47cf78704dac41e3f6536809d8086c2534	AF-A0A507BMM2-F1	6	70	150	78	0.52	compared	8.120254209143493	1103	0.35748237048334336	0.5293324317443641	1016	0.9211242067089755	0.3320571135105559	1103	1.0	0.35748239279337607	1103	1.0	0.35748239279337607
35	Se4ea0b1dc5b8a233a30028241d72761662dfa3790fc8f11efe0ad0b61150d77e	AF-A0A2H9TFL9-F1	6	70	456	269	0.5899122807017544	compared	7.817776599368621	4151	0.29841136058016104	0.7264323672298505	3788	0.9125511924837388	0.2148302270551733	3919	0.9441098530474584	0.23582476315496398	4021	0.9686822452421103	0.2526085073218749
36	Saa85bb0e0b0a516a4e1513016c10a2d2a58f8676a9216c00f74f087dff15a9fc	AF-A0A2N1J754-F1	6	70	476	356	0.7478991596638656	compared	7.344709056604125	7811	0.17079849235935465	0.2572736012494831	7563	0.9682499039815644	0.16509429643075002	7801	0.998719754192805	0.17073551096113546	7811	1.0	0.17079848974166661
37	Sfe01c3946a40831d2566f18cb216d897e8d0a17c79f11d1daae8afa760711986	AF-A0A8E2EQG3-F1	6	70	505	387	0.7663366336633664	compared	7.288181342108709	8148	0.2986775605577937	0.8314109699153615	7185	0.8818114874815906	0.2595131702368593	8129	0.9976681394207167	0.2729778508124196	8138	0.998772704958272	0.27371778324054763
38	S0017311de053245b69a8099cd7b366cc3ce54b8e615fffb2f046cf54c4458f39	AF-A0A4P9ZK29-F1	6	70	493	381	0.7728194726166329	compared	6.745343397660454	8109	0.15840757873245376	0.22465879697377522	7097	0.8752003946232582	0.14438383980454483	8090	0.9976569244049821	0.15807472460824518	8109	1.0	0.1584075840445615
39	S4e411c3dd3f6dcb8ef7147709760f09da378251569083bcf6b52331f9d47c32d	AF-A0A9W8R0K2-F1	6	70	128	74	0.578125	compared	6.452819342042697	1036	0.5230781341273913	0.8596872039191997	853	0.8233590733590733	0.40660287997661515	1033	0.997104247104247	0.5135658754497288	1036	1.0	0.5230781433133658
40	S72fc211796f8bcdf70d105076e7ffd131428f6a4af74ff504e3a677d12c62476	AF-A0A8H7ZN20-F1	6	70	121	62	0.512396694214876	compared	6.408416041196731	768	0.3038336698628446	0.41253387041354345	735	0.95703125	0.2905292918856499	768	1.0	0.30383367500155994	768	1.0	0.30383367500155994
41	S8954640ad06c29f2949b8715e594952ad4f46ab20dd7142cc8dcd8f974b3e50f	AF-F2TWE9-F1	6	70	178	151	0.848314606741573	compared	6.207134706154929	2682	0.2141626372873313	0.2970426938840172	2386	0.889634601043997	0.1953408439090697	2675	0.9973900074571216	0.2139321691221647	2682	1.0	0.21416264963922038
42	S0cd7f4a4320e55791c8373423ebd03252a1533f2a5984febbbf7b1ca0080605e	AF-A0A317XG32-F1	6	70	322	178	0.5527950310559007	compared	5.9711453983053655	2600	0.3673600122356507	1.1349040406470294	2325	0.8942307692307693	0.2461391197700943	2568	0.9876923076923076	0.28467674018138783	2583	0.9934615384615385	0.2884394676101373
43	S2b5d14cc1b5a293c9b68fd895b04d64913271cd335675a7fa8a40a089572ca9f	AF-A0A0L0S620-F1	6	70	301	250	0.8305647840531561	compared	5.780967094744527	6043	0.2515825714717043	1.627149004088529	5680	0.9399304980969717	0.14194955928298006	5994	0.9918914446466987	0.15294787932226253	6020	0.9961939434055932	0.1547529321113932
44	Sb901274d287f6704ff021bdab97f25da0c2ab4c26f11fe7eeb3746383b96c8cc	AF-A0A1Y1UVE4-F1	6	70	474	314	0.6624472573839663	compared	5.013792744198646	6248	0.32837772512750374	0.6464184411967944	5126	0.8204225352112676	0.23575958435203828	6179	0.9889564660691421	0.313410174308222	6248	1.0	0.328377728035476
45	S297f0120b24af6f029c2aeda444439116f0d82f2049a3940538e128e354972a0	AF-A0A0L0S4B0-F1	6	70	287	158	0.5505226480836237	compared	4.872945817239513	2322	0.14239147753774795	0.19504351897211947	2223	0.9573643410852714	0.13563863691533043	2321	0.9995693367786391	0.1423694071970914	2322	1.0	0.14239148686361214
46	S0e3cdfb95d6a44bf2bb99a6868c3ddfc5598b85912a0c4036515b3ca5bd0464b	AF-A0A397G9Q9-F1	6	70	299	151	0.5050167224080268	compared	4.66605384906939	2285	0.23037035961661234	0.4368463104543254	2118	0.9269146608315099	0.17477324513408224	2272	0.9943107221006564	0.221208136919275	2284	0.999562363238512	0.22699553542382117
47	S6c09727e26cda94183083ec5f2b17cf403ae29a872c5df25baba7f7959c6b354	AF-A0AAD4D0R8-F1	6	70	479	341	0.7118997912317327	compared	4.644114720421182	7918	0.21634999194494436	0.4358057404029827	7773	0.9816872947714069	0.2081921853018869	7914	0.9994948219247285	0.21156813083896892	7917	0.9998737054811822	0.2141412160119447
48	Sae6d0a78192cb35436b0abea2ca7a1e40c786ade2fa0f1c004ebad7b84da475b	AF-A0A1Y1UR30-F1	6	70	183	155	0.8469945355191257	compared	4.545140541843061	2739	0.1727286712401064	0.23569063457116357	2576	0.9404892296458561	0.16565760925064513	2739	1.0	0.17272867010446322	2739	1.0	0.17272867010446322
49	S1fc9851d8de2a799ca4937ae877b2c327c7800fcc24d91ad970bb144d31573b8	AF-F4R4P6-F1	6	70	190	157	0.8263157894736842	compared	4.298938094339853	2704	0.19457603663323703	0.27821768147053455	2547	0.9419378698224852	0.1773111834374349	2698	0.9977810650887574	0.19361963596716125	2704	1.0	0.1945760421680661
50	S774bec6308a6638102513876df2750e0d74229c901b7563018b16380423f95dd	AF-A0A1Y1X7S3-F1	6	70	409	299	0.7310513447432763	compared	4.211786027616169	7297	0.16074251536864745	0.22565993430759837	7197	0.9862957379745101	0.15789580671067327	7295	0.9997259147594902	0.16063054872320234	7297	1.0	0.1607425046313211
51	S257890d8b0744b087f4f46b44847c8f588ce1989512ac86e92cb37152ca37e65	AF-A0A139A145-F1	6	70	405	349	0.8617283950617284	compared	4.069840521184197	8069	0.20926253142622395	0.5218775987635892	7910	0.9802949560044615	0.17911529242352273	8052	0.9978931713967034	0.19467658445315097	8062	0.9991324823398191	0.20052679825687345
52	Se91323285682e068968cd6a1d4041ed7e817d1f50883604a305e4d08e8d20051	AF-J8ZR82-F1	6	70	428	305	0.7126168224299065	compared	4.0081911846918326	7621	0.5551380428820397	2.5079770444756466	6702	0.8794121506363994	0.1936081469459992	7393	0.9700826663167563	0.2255919617800756	7458	0.9786117307439969	0.23316889269888444
53	Sd76196aa7d17c5d7b9468669d8b0832b924e0141c887d397fc909711dae2948e	AF-A0A1Y1VZ25-F1	6	70	282	192	0.6808510638297872	compared	3.7997571999084214	4521	0.2665347102846223	1.3347430364702908	4316	0.9546560495465605	0.13296614744012258	4468	0.9882769298827693	0.1548303584555152	4486	0.9922583499225835	0.15756476098095124
54	S8844b6084f033f72dcf44cc618bce3ebd6e98007c7cbd4084d41a8ac488dd046	AF-A0A162N504-F1	6	70	335	259	0.7731343283582089	compared	3.7916298952947356	5947	0.32616190746455426	1.002885161869535	5825	0.9794854548511854	0.2309444824742844	5901	0.9922650075668404	0.2755949417729285	5901	0.9922650075668404	0.2755949417729285
55	S26d0ad17b2da9f307277f735d9377a0a2b9c3f295d7419f4cc107d4079184b82	AF-A0A137NQQ3-F1	6	70	231	146	0.6320346320346321	compared	3.6223461078392707	2250	0.18060144510954285	0.27242411995470145	2115	0.94	0.16025295095482778	2226	0.9893333333333333	0.17394139881518159	2246	0.9982222222222222	0.17890594990108416
56	S9d6c7030c5aab34c9429720576ec27b5ee7f79c56e30d32734fe294557cca44f	AF-A0A0L0H4U8-F1	6	70	332	178	0.536144578313253	compared	3.535170906812255	3734	0.34400792478397035	0.9036975082874454	3571	0.9563470808784146	0.3086050250635949	3730	0.9989287627209427	0.3277293830189188	3730	0.9989287627209427	0.3277293830189188
57	Seec07fff4993061363c29a3c65d69a1d73f1f2e249335c0c1b6bf67e6c87ef53	AF-E6QY58-F1	6	70	266	185	0.6954887218045113	compared	3.408757156209925	3755	0.23464586082885672	0.30530540486533253	3533	0.9408788282290279	0.22404184315081355	3751	0.9989347536617843	0.23442964686549092	3755	1.0	0.23464585743777855
58	S776d17d4f4dcd0f30dc34b905781134fb26e5ae2e15e3f88a69277abdf6e2f8d	AF-A0A138ZZJ1-F1	6	70	387	365	0.9431524547803618	compared	3.3094636884807382	8305	0.32366177410528923	0.6390036317787634	7130	0.8585189644792294	0.25832845726714243	8272	0.9960264900662251	0.31939921989849074	8305	1.0	0.32366177303806215
59	S22607b548c8d42a5d078b9b078f594d718e5c131d226e7ba3d67d17b65e04d21	AF-A0A507BLD7-F1	6	70	395	267	0.6759493670886076	compared	3.170212244014499	5142	0.24551732264542792	0.36762196622960347	3651	0.7100350058343057	0.21038584480336195	5080	0.9879424348502528	0.2451557125144373	5141	0.9998055231427461	0.2455070561824133
60	Sc5a3425f670adf6f1052311fb85543f48773b7b9b6d10980c4a7190c5818cfcb	AF-A0A9N8VS82-F1	6	70	404	388	0.9603960396039604	compared	3.1551949207349486	8349	0.18353613868800256	0.352159407456352	8079	0.9676607977003234	0.16459737538636113	8345	0.9995209007066714	0.1822570649847726	8349	1.0	0.18353614342211663
61	Sc2117ab429e4320877bc30d21638792855c4d0c5f22a9cf7990c6d5f021322c5	AF-A0A0D2UAN6-F1	6	70	191	175	0.9162303664921466	compared	3.0191740053049796	3146	0.2783749609926649	0.5347667949302621	2990	0.9504132231404959	0.24059247424870014	3144	0.9993642720915448	0.2761443320811959	3146	1.0	0.27837496942955364
62	Sbbee466499efebea08b61a171ad6c8f878a6f604d8256c227db14511ed87a60a	AF-A0A1Y2H4L9-F1	6	70	471	333	0.7070063694267515	compared	2.9666905094381932	7772	0.1941277524428897	0.3152104444267116	7589	0.9764539372104992	0.18745104632925108	7762	0.9987133299022131	0.19336122108081105	7772	1.0	0.19412775571431973
63	S9c0e0dfd0c5951ef9f4a4cad96e98397680cf157972fdc0167b94d0391456f5e	AF-A0A165CJ77-F1	6	70	388	230	0.5927835051546392	compared	2.7933939310333398	3971	0.2743020024290637	0.39958407452783984	2690	0.677411231427852	0.21869438427092813	3952	0.9952153110047847	0.2718318055298148	3971	1.0	0.27430200957684603
64	S35e770d677631aa5d723604f936fab2d4481953dcf58facb893746b2cd62fbbd	AF-B3RIE1-F1	6	70	478	250	0.5230125523012552	compared	2.7344511223676795	5114	0.42082259314835607	0.8197338196638106	4613	0.9020336331638639	0.321753758096595	5108	0.9988267500977708	0.420054944152169	5114	1.0	0.4208226030447956
65	Sb1adcaddcd03a965dc7af2592c60cabee45774183d0e6e5b08ceade79d8560d8	AF-V3Z5I1-F1	6	70	444	330	0.7432432432432432	compared	2.650873657289911	8441	0.24379834104584375	0.503409298575004	8000	0.9477550053311219	0.21906685623596045	8325	0.9862575524226987	0.22220210569231086	8336	0.987560715555029	0.22215176160681707
66	S735637a0194874e0b644b92a6f54e3ef81479e060eacfb9a8be46682fe9030ef	AF-A9UQJ9-F1	6	70	392	359	0.9158163265306123	compared	2.5666647837467833	8092	0.30821014020907406	0.6048144435168868	6801	0.8404597132970836	0.22798444023456774	8085	0.9991349480968859	0.3073897657437818	8092	1.0	0.3082101411394924
67	S0190b71633ccfee7647674d4cb35da56a39fd5725a25e03c9dc3841d987104fd	AF-A0A507BNL0-F1	6	70	381	240	0.6299212598425197	compared	2.550357584356827	4935	0.3070974029033897	0.571359215019968	4578	0.9276595744680851	0.2589130718097793	4932	0.9993920972644377	0.3062967681626628	4935	1.0	0.30709739064178426
68	S2e2d52984c613590319ad6ff80c14a7c13c09c8a7d25f9b5cae7baf0690d4568	AF-A0A0L0D0Q7-F1	6	70	396	358	0.9040404040404041	compared	2.2614002918929335	8171	0.27301093332661275	0.5156572254681725	7555	0.9246114306694407	0.23701247727381325	8143	0.9965732468486109	0.26951192968895565	8168	0.9996328478766369	0.27264167810600715
69	S7dffdf4a4e8ea78958549faa14dd5344c377d48ea8ae0c7ae678d97383ffdae1	AF-C8VRT1-F1	6	70	315	246	0.780952380952381	compared	2.2547277455944763	5587	0.3853686935672743	0.8248241979274376	5345	0.9566851619831752	0.3104551696299808	5538	0.9912296402362627	0.36477836750338677	5587	1.0	0.3853686968111029
70	Sabce9fcddc487648ca3b3de5864ccad2daa404102e9f6f8ac7effb957a3f32e9	AF-A0A4P9WYP4-F1	6	70	368	297	0.8070652173913043	compared	2.1908009343279593	7490	0.36679435416104333	0.6375628053443938	6995	0.9339118825100133	0.32777781654673266	7462	0.9962616822429906	0.3646706429724086	7490	1.0	0.3667943542125766
71	Sd5aa3a3acbe028335cc1d1a174943b3e206695625cc57b411a27ed8775d78ee1	AF-A9UNU6-F1	6	70	414	255	0.6159420289855072	compared	2.0826293327623695	5907	0.3541344357479599	1.2262444025988188	5678	0.9612324360927713	0.2084101397798337	5820	0.9852717115286947	0.26407953577321597	5832	0.9873031995937024	0.2708991583118796
72	S45e90e79daea67805386b2d8a83e7b7d639f6ffef7c66362f953152704863553	AF-A0A1Y2G5U1-F1	6	70	409	395	0.9657701711491442	compared	1.9993195984047463	9597	0.3633914056564579	1.1369474871322995	9195	0.9581119099718662	0.23303736322125534	9517	0.9916640616859436	0.32121530972651063	9596	0.9998958007710743	0.3633724286035891
73	S245072443b4a669299090c0781ba3a79be190dc18b718cdeb6e055cca2dc4309	AF-Q4WQA5-F1	6	70	489	319	0.6523517382413088	compared	1.943987099564348	7386	0.19947529694656058	0.3456560756928784	7138	0.9664229623612239	0.17669762608047987	7367	0.9974275656647712	0.19675139817919887	7380	0.9991876523151909	0.19824046965873846
74	S1bc814e81e7cf368ac409444eeeb9543fac9e7b304b6605a64ad3bcd20826eb2	AF-A0A9P6MM40-F1	6	70	483	424	0.8778467908902692	compared	1.916035014339762	10672	0.3052159757596409	0.5738690062278767	9409	0.8816529235382309	0.2202699870439954	10651	0.9980322338830585	0.3031980732963119	10672	1.0	0.30521598112246284
75	Sf79944a097609ee5ae1c382e845f9c1980e6e5b44002d2bbfbb4d850d4ea099b	AF-L8GF23-F1	6	70	153	121	0.7908496732026143	compared	1.9155905214883886	1813	0.1853243987426586	0.27250729581500255	1324	0.7302813017098732	0.1682542578544136	1803	0.9944842801985659	0.18493182765992452	1812	0.9994484280198566	0.1850630419831488
76	S7be55fe28c1b840d8a40976c85270d2981495380107df92a12ce1ffa6582a16b	AF-A0A0W4ZW42-F1	6	70	238	209	0.8781512605042017	compared	1.8873449953680257	3994	0.18077048102434712	0.2955695758834032	3854	0.9649474211316975	0.16651966714658445	3984	0.9974962443665498	0.18057954726439693	3994	1.0	0.1807704813789476
77	Sa2214fc607cb447faf2a556fca2c06d7e0f6c218dd685a15cf6a53d9218983dc	AF-Q8SQW4-F1	6	70	283	253	0.8939929328621908	compared	1.8698004644366095	5092	0.3555654115275006	0.8969171205513796	4675	0.9181068342498037	0.30620970779548135	5074	0.9964650432050275	0.3550957013782444	5092	1.0	0.35556540633363504
78	Sa06ef52890641d5dbeea67eba9cc23fda236fcef4759e11e7d88d11f2ea23a54	AF-A0A1Y1X3G1-F1	6	70	463	385	0.8315334773218143	compared	1.8603554573846737	9056	0.31523913369123274	0.8238765509548627	8443	0.932310070671378	0.21069496185665518	9023	0.9963560070671378	0.3093736797209691	9055	0.9998895759717314	0.31515575066113644
79	S268de336ecc23e41e2099b35e1bd3bc419765459ca941356c423653175d949de	AF-A0A6A6UEV9-F1	6	70	474	441	0.930379746835443	compared	1.85744385251685	10394	0.32545168722876977	0.6607057528433394	9815	0.944294785453146	0.24783516326764907	10346	0.9953819511256494	0.3116091876835331	10394	1.0	0.3254516815441428
