source	marker	taxon_id	protein_id	sequence_sha256	source_marker_ready	family_tree_entry	family_tree_side	BRF1_evidence_class
AlphaFold	4986044at2759	F34406	XP_062774407.1	872a4ce3ce54e8cf84bab978501fa63723ce396ad8376ed095cbf8f8fff97961	True	G0000818	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F36779	XP_009219876.1	393f26035405ad0238facc144ed454352d0cfbc42c01a0d45af28fa2be15fd82	True	G0000850	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F390894	KAF2501453.1	b413deaad218516990d088bc4993634a7714224fb22cd51e31edfd4206808120	True	G0000867	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F393283	XP_007842130.1	7a73c961fe546751f30ab148734e654e66213dc252245a417cad8de5311f55d4	True	G0000869	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F39416	XP_002841927.1	4e961fd5fc4346f855cf64b09e66b518ff74cffbced1741c51979f269882d15f	True	G0000871	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F398673	XP_018663448.2	2f5dcb71b47cd1532e5561cf82d9075fca428af65814b8d990881a1cad0196ab	True	G0000873	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F40559	XP_001556701.1	ae4091b5ae5a1c4ecd24f34232c0729ac0df6ad7356b1efa7cf619eb4e1cd8d1	True	G0000883	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F41990	KAJ9130523.1	b02b5638a3886741cd243f2ae954d24ac59b716d1fb4f0fb7719fc247c1aed9a	True	G0000901	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F42068	XP_018229439.1	0db340453273d6208d53a0c20d747f1d2d462975d12341af8d48f6fde8b394d5	True	G0000904	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F43959	XP_064850562.1	0ee29f45a62a2e8e3ce78f4ae6f4da1d72d0adb80947059ba434bfa8002f8ba7	True	G0000917	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F462254	XP_033403033.1	3a408b7d1d89655ee169c00c70287b19dcf430ec5e85fe952ec7a8acd8592965	True	G0000942	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F470096	XP_033603382.1	3644150d4ff8f3d278109957ea882c1ab26815349ea2282ff96d16d777c92f5e	True	G0000945	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F474922	XP_045264319.1	e3afa2e0607ccc638a3fca75713d65eb636d20a71f4b6942e7d17a330d0596dc	True	G0000948	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F4754	XP_018224721.1	b454223d0b058b163d3f398a32a11dd9eef41d4a1452ca859b8b6fb722e9c4ce	True	G0000949	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F48691	OLL24572.1	04bff02a9c1048506f5a583f830f2a90d7b18856a7f054b3bc46dc711b62d51d	True	G0000991	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F4903	XP_020072503.1	9b4685cb666042b0d20093d083f7c37262e355a0fa6731dcf89f83518073a4f6	True	G0001008	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F4909	XP_029323201.1	6a840ead221ecda2f6143d702dc3fa09ca9e79bca2159c31791077565b59b78a	True	G0001010	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F4918	ODV97584.1	d4fc84881815afed63274edf454f0c0bd527486606f2f838f289a683335ab743	True	G0001011	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F4927	XP_019041350.1	458f08cee92fc33eaff5c6006014f296b1ad2635d5f60ecde7e0dc9f7aa6edf9	True	G0001014	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F4932	NP_011762.1	bf05158060be9cb3c113f731b4fb731d0cd45873415da4d31b30f3e292b21589	True	G0001015	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5059	XP_041143036.1	e1527046166d32c550b8ae29b75dc7b5ca7bbb768a079090fbbdf85a0cb97660	True	G0001027	BRF1_undetected_enriched	BRF1_not_detected
AlphaFold	4986044at2759	F5062	XP_023091566.1	aba063d86de269f1c0e91358681a26ba920843ff6106c43497553acf17ca774c	True	G0001030	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5101	XP_024721705.1	f72ae00b0d1a28a10c27f395929768ffc73a695a42c9f44c741ec8a039b7f0a2	True	G0001040	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5116	XP_040777879.1	38e7c64c8c4c443fd404c3f26fa228636e7513814e233101ff16b0a918e0770d	True	G0001042	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5127	XP_023435848.1	2618a5938cc0961fd2cbfc6d51a0fadd7e30bcf7bdc000385b27e46d329d3a44	True	G0001044	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5219	KZV83445.1	6015a7e93482efce4f79b1eec3d40d4240ed60130af481fe362eaac50759123b	True	G0001057	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F54195	XP_020045167.1	22e036329a6bf5f9e3b026f334252d50367f9ae6ae07727584932148e3fe7bd1	True	G0001080	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5518	XP_011321652.1	31f5d97d8211e6584c562fedb377c44eaf8dead5737ba50fcdeb7841e9b4dd25	True	G0001104	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5544	XP_024776760.1	d4b39f24fbc18fee34df3e43815d95dd2d91a46f0184538b73635e6ac1ee9e8c	True	G0001109	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F5580	XP_029756854.1	bab3bb2bf213480739222b2b8da3b88e784d6e75ef060b91274610d8c8ca2879	True	G0001113	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F560253	XP_037154343.1	7c7dd3001ce7310653e7f56ff727a1a05c4914ee7ec6de667a436cdb6f25d3f1	True	G0001119	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F574656	XP_064696610.1	eed7aadf4c70a659681c5c65257f8d265d21dc28d0947f6711d66cdf12d3d96b	True	G0001137	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F574774	OCL12683.1	66a06c6b43d5a484de68ce3b8fb44cb4cb42b5ba9c5876530bc48aabda98e10d	True	G0001142	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F574789	XP_033582011.1	26d86bcf89fa55bbd60f9523435f528336467cfbb7d0ec60930246b483aab29c	True	G0001144	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F578093	KAF2457928.1	a4248112c9c1bd0e91f69061cc639aaf054da646a77bb9df57d8413b00c51d49	True	G0001147	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F58853	XP_024751023.1	77190eaa13563a1cfae1c8d38a986f675799646af9971d466afb93deed0cf6fb	True	G0001153	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F58919	XP_025594828.1	7404e8b5da3216c1162e4c76a51681979c7675bc7e2cd30385d204bcc044c38d	True	G0001159	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F599730	KAH3686229.1	387fe331a458ed58ad67958e861b731d2e263b24858fb3e2d179ebbc71cdef4d	True	G0001162	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F61273	EPE10525.1	745f18c06ab79a275ca6db7b6eb832cbbc496bec233d74b2c703ac510ce4a2a5	True	G0001183	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F63402	XP_003177540.1	fbd2e708fe2138dd785e34af94c4261e2e40059b91578078c60e6902f855baa5	True	G0001206	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F63577	XP_013947406.1	469b45c4eb7511ae03f9e25e3189885bfd55fa50259e58c8e2b6e24dbd6e1411	True	G0001207	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F703497	KAF2665280.1	8b074a25a85025b9cd1cd322df868092270242e4fd62ec9d7bcc867847f5ed95	True	G0001264	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F703506	KAF2834776.1	74139b2925a5110079658048deb0c95caedc0a2f4501b2c38bc1da5b0dec9837	True	G0001266	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F703511	KAF2405269.1	026645b5643abca88c9fc37444274fd77ee1904ad7e15696376e80c2275302c5	True	G0001269	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F705562	KAF2725011.1	2dfeb8f5d4dab048244f11edaa9d49dab0a74bf3a02ce0496b51d2240bb29ff5	True	G0001273	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F706196	EJS41253.1	ebb4d0da6bd3a48236e176f5f4e4db61cd152eae27e957f466fe2361b8e82649	True	G0001274	BRF1_undetected_enriched	BRF1_not_detected
AlphaFold	4986044at2759	F741139	OCK83876.1	b562e10546e3480a92ed9155de208e160b8a50b9edf2a65a065a7cb59f52776c	True	G0001288	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F746128	XP_754348.1	bd6444164628e470916e4a43959a3f6701727242ed792b77d6690b7a11e11f00	True	G0001289	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F796027	XP_018734913.1	455837b21c745bfa385e7109ffa96ccd44b07e1770ce1013fddd9cfac2bb5cfa	True	G0001309	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F80663	KIM73778.1	74e950bd45c2c6a4b038292c5ed7f359582a39b7d79e9d15a69d0b49e516d362	True	G0001315	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F80884	XP_018163352.1	1a58473cb1bf17622fc94d2513a332adea8f63b71cedebcb2243f6308de54fd6	True	G0001318	BRF1_enriched	BRF1_detected
AlphaFold	4986044at2759	F97331	XP_067485923.1	c12dc643cece9226810e57aed40a73aa8b7a2fd3d828b0121e4b3ad063a6498c	True	G0001358	BRF1_enriched	BRF1_detected
ESMFold	4986044at2759	F241526	KAG8204418.1	835b57d99d69ef56e4fbb4568a43aecb8d0849de8de6fc1cd8b1e10dec978ea7	False	G0000594	BRF1_undetected_enriched	BRF1_not_detected
