query	target	qstart	qend	qlen	tstart	tend	tlen	alnlen	cigar	matched_positions	implemented_denominator	inclusive_min_span	score	denominator_less_than_matched	score_above_one	theoretical_upper_bound
M007320	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.005	True	True	1.0086206896551724
M016317	M013647	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
M005433	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
M009741	M006771	2	119	122	3	120	133	118	118M	118	117	118	1.004	True	True	1.0085470085470085
M000980	M011120	1	151	151	1	151	151	151	151M	151	150	151	1.003	True	True	1.0066666666666666
M001167	M010780	1	286	286	1	286	286	286	286M	286	285	286	1.003	True	True	1.0035087719298246
M001167	M004569	1	286	286	1	286	286	286	286M	286	285	286	1.003	True	True	1.0035087719298246
M001167	M004897	1	286	286	1	286	286	286	286M	286	285	286	1.002	True	True	1.0035087719298246
M006194	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
M006771	M003040	3	124	133	2	123	124	122	122M	122	121	122	1.001	True	True	1.0082644628099173
M006771	M005822	3	118	133	2	117	129	116	116M	116	115	116	1.005	True	True	1.008695652173913
M006771	M009741	3	120	133	2	119	122	118	118M	118	117	118	1.004	True	True	1.0085470085470085
M006771	M010205	3	118	133	2	117	125	116	116M	116	115	116	1.003	True	True	1.008695652173913
M006890	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.002	True	True	1.0086206896551724
M011151	M003142	1	118	118	1	118	118	118	118M	118	117	118	1.008	True	True	1.0085470085470085
M011361	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.008	True	True	1.0086206896551724
M003142	M011151	1	118	118	1	118	118	118	118M	118	117	118	1.008	True	True	1.0085470085470085
M004897	M001167	1	286	286	1	286	286	286	286M	286	285	286	1.002	True	True	1.0035087719298246
M005822	M006771	2	117	129	3	118	133	116	116M	116	115	116	1.005	True	True	1.008695652173913
M006777	M008181	1	183	183	1	183	183	183	183M	183	182	183	1.002	True	True	1.0054945054945055
M006831	M000433	1	117	117	1	117	117	117	117M	117	116	117	1.003	True	True	1.0086206896551724
