catalog_source	assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id	taxon_name	genus	family	order	class	phylum	kingdom	superkingdom	provisional_proteome_url	selection_status	assembly_choice_reason
refseq_fungi	GCF_001417885.1	PRJNA264644	SAMD00067077	na	reference genome	1003335	4911	Kluyveromyces marxianus DMKU3-1042	strain=DMKU3-1042	na	latest	Complete Genome	Major	Full	2014-01-14	Kmar_1.0	Yamaguchi University	GCA_001417885.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/885/GCF_001417885.1_Kmar_1.0/	na	na	na	haploid	fungi	10920159	10920159	40.000000	8	8	8	Yamaguchi University	Annotation submitted by Yamaguchi University	2025-07-15	5151	4941	210	25834639	Kluyveromyces marxianus	Kluyveromyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/417/885/GCF_001417885.1_Kmar_1.0//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_001661245.1	PRJNA69545	SAMN00016633	LZCH00000000.1	reference genome	669874	4918	Pachysolen tannophilus NRRL Y-2460	strain=NRRL Y-2460	na	latest	Scaffold	Major	Full	2016-09-15	Pacta1_2	JGI	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2/	na	assembly from type material	na	haploid	fungi	12596242	12359026	30.000000	0	197	585	JGI	Annotation submitted by JGI	2016-09-15	5797	5664	128	27535936	Pachysolen tannophilus	Pachysolen	Pachysolenaceae	Alaninales	Pichiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/245/GCA_001661245.1_Pacta1_2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_000315895.1	PRJEA73835	SAMEA2272767	na	na	559304	4920	Millerozyma farinosa CBS 7064	na	na	latest	Chromosome	Major	Full	2011-11-10	ASM31589v1	Genolevures	GCF_000315895.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/895/GCA_000315895.1_ASM31589v1/	hybrid	na	na	haploid	fungi	21459642	21458708	41.500000	14	14	18	Genolevures	Annotation submitted by Genolevures	2015-03-01	11662	11175	396	na	Millerozyma farinosa	Millerozyma	Debaryomycetaceae	Serinales	Pichiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/315/895/GCA_000315895.1_ASM31589v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
genbank_fungi	GCA_001708105.1	PRJNA304627	SAMN04305316	na	reference genome	4922	4922	Komagataella pastoris	strain=ATCC 28485	na	latest	Chromosome	Major	Full	2016-08-12	ASM170810v1	Massachusetts Institute of Technology	na	na	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/105/GCA_001708105.1_ASM170810v1/	na	assembly from type material	na	haploid	fungi	9597535	9597535	41.500000	4	11	11	Massachusetts Institute of Technology	Annotation submitted by Massachusetts Institute of Technology	2016-08-12	5305	5035	190	na	Komagataella pastoris	Komagataella	Pichiaceae	Pichiales	Pichiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/105/GCA_001708105.1_ASM170810v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000209165.1	PRJNA18881	SAMN02746101	AAVQ00000000.1	reference genome	322104	4924	Scheffersomyces stipitis CBS 6054	strain=CBS 6054	na	latest	Chromosome	Major	Full	2007-02-26	ASM20916v1	DOE Joint Genome Institute	GCA_000209165.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/165/GCF_000209165.1_ASM20916v1/	na	na	na	haploid	fungi	15441179	15441079	41.000000	8	8	9	DOE Joint Genome Institute	GCF_000209165.1-RS_2026_03	2026-03-04	5815	5814	1	17334359	Scheffersomyces stipitis	Scheffersomyces	Debaryomycetaceae	Serinales	Pichiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/209/165/GCF_000209165.1_ASM20916v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_001661235.1	PRJNA352841	SAMN00760710	AEHA00000000.1	reference genome	763406	4926	Pichia membranifaciens NRRL Y-2026	strain=NRRL Y-2026	na	latest	Scaffold	Major	Full	2016-09-09	Picme2	JGI-PSF	GCA_001661235.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/235/GCF_001661235.1_Picme2/	na	assembly from type material	na	haploid	fungi	11582150	11433774	45.000000	0	10	144	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-11-14	5701	5542	159	27535936	Pichia membranifaciens	Pichia	Pichiaceae	Pichiales	Pichiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/235/GCF_001661235.1_Picme2//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_001661255.1	PRJNA352844	SAMN00138384	LWUN00000000.1	reference genome	4927	4927	Hansenula anomala	strain=NRRL Y-366-8	na	latest	Scaffold	Major	Full	2016-09-09	Wican1	JGI-PSF	GCA_001661255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/255/GCF_001661255.1_Wican1/	na	na	na	haploid	fungi	14145566	13720216	34.500000	0	46	222	JGI-PSF	Annotation submitted by JGI-PSF	2025-07-15	6571	6417	154	27535936	Hansenula anomala	Hansenula	Wickerhamomycetaceae	Phaffomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/255/GCF_001661255.1_Wican1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000149425.1	PRJNA19593	SAMN02953607	AAFM00000000.1	reference genome	294746	4929	Meyerozyma guilliermondii ATCC 6260	strain=ATCC 6260	na	latest	Scaffold	Major	Full	2007-05-08	ASM14942v1	Broad Institute	GCA_000149425.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/425/GCF_000149425.1_ASM14942v1/	na	assembly from heterotypic synonym type material	na	haploid	fungi	10609954	10574537	44.000000	0	9	71	Broad Institute	GCF_000149425.1-RS_2026_03	2026-03-04	6062	5920	136	19465905	Meyerozyma guilliermondii	Meyerozyma	Debaryomycetaceae	Serinales	Pichiomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/149/425/GCF_000149425.1_ASM14942v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000146045.2	PRJNA128	na	na	reference genome	559292	4932	Saccharomyces cerevisiae S288C	strain=S288C	na	latest	Complete Genome	Major	Full	2014-12-17	R64	Saccharomyces Genome Database	GCA_000146045.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64/	na	na	na	haploid	fungi	12071326	12071326	38.500000	16	16	16	SGD	SGD R64-5-1	2026-07-10	6477	6021	438	1574125;7670463;7731988;7813418;8091229;8196765;8641269;8849441;9169867;9169868;9169869;9169870;9169871;9169872;9169873;9169874;9169875;9872396;34897464	Saccharomyces cerevisiae	Saccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/045/GCF_000146045.2_R64//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_000243375.1	PRJNA79345	SAMEA2272433	na	reference genome	4950	4950	Torulaspora delbrueckii	strain=type strain:CBS 1146	na	latest	Chromosome	Major	Full	2011-12-08	ASM24337v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000243375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/375/GCF_000243375.1_ASM24337v1/	na	assembly designated as neotype	na	haploid	fungi	9220678	9218568	42.000000	8	8	34	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	2025-07-15	5174	4970	204	22123960	Torulaspora delbrueckii	Torulaspora	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/375/GCF_000243375.1_ASM24337v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
refseq_fungi	GCF_001761485.1	PRJNA1159202	SAMN04088558	na	reference genome	4952	4952	Yarrowia lipolytica	strain=CLIB89(W29)	na	latest	Complete Genome	Major	Full	2016-10-12	ASM176148v1	University of California, Irvine	GCA_001761485.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/761/485/GCF_001761485.1_ASM176148v1/	na	na	na	haploid	fungi	20500066	20500066	49.000000	6	6	6	University of California, Irvine	Annotation submitted by University of California, Irvine	2024-09-10	8689	7918	652	27603307	Yarrowia lipolytica	Yarrowia		Dipodascales	Dipodascomycetes	Ascomycota	Fungi	Eukaryota	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/761/485/GCF_001761485.1_ASM176148v1//_protein.faa.gz	candidate_only_availability_and_quality_unverified	Annotated latest assembly; prefer reference then RefSeq then assembly level then release date. Quality reassessment can replace this choice.
