reviewed_group_id	representative_input_id	models	unique_sequences	taxa	outgroup_taxa	markers	sources	edge_scope	biological_family_status
RG_M001370	M001370	1	1	3	0	4986044at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001371	M001371	1	1	1	1	5001473at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001378	M001378	49	49	53	0	345792at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001381	M001381	1	1	1	0	201273at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001387	M001387	1	1	1	0	4976279at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001404	M001404	1	1	1	0	4969018at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001405	M001405	4	4	4	0	554735at2759	AlphaFold	representative_star_only	not_established
RG_M001415	M001415	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001417	M001417	1	1	1	0	4970387at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001419	M001419	2	2	2	0	5001473at2759	AlphaFold	representative_star_only	not_established
RG_M001502	M001502	5	5	5	0	5013738at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001512	M001512	3	3	3	0	4976279at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001521	M001521	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001530	M001530	18	18	18	0	5017019at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001538	M001538	2	2	2	0	5013992at2759	AlphaFold	representative_star_only	not_established
RG_M001541	M001541	2	2	2	0	5003972at2759	AlphaFold	representative_star_only	not_established
RG_M001554	M001554	5	5	5	0	5004327at2759	AlphaFold	representative_star_only	not_established
RG_M001557	M001557	1	1	1	0	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001561	M001561	4	4	4	0	5011777at2759	AlphaFold	representative_star_only	not_established
RG_M001562	M001562	2	2	2	0	5005274at2759	AlphaFold	representative_star_only	not_established
RG_M001563	M001563	12	12	12	0	5002334at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001567	M001567	8	8	8	0	4987397at2759;5015647at2759	AlphaFold	representative_star_only	not_established
RG_M001586	M001586	74	74	76	0	5005892at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001593	M001593	2	2	2	0	4940884at2759	AlphaFold	representative_star_only	not_established
RG_M001596	M001596	1	1	1	0	538728at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001598	M001598	1	1	1	0	340246at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001602	M001602	5	5	5	0	5005697at2759	AlphaFold	representative_star_only	not_established
RG_M001605	M001605	3	3	3	0	5001734at2759	AlphaFold	representative_star_only	not_established
RG_M001610	M001610	109	109	111	0	5000362at2759	AlphaFold	representative_star_only	not_established
RG_M001626	M001626	11	11	11	0	5018803at2759	AlphaFold	representative_star_only	not_established
RG_M001630	M001630	15	15	15	0	4976279at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001631	M001631	3	3	3	0	5005217at2759	AlphaFold	representative_star_only	not_established
RG_M001632	M001632	49	49	50	0	5013042at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001660	M001660	1	1	1	0	5013259at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001664	M001664	4	4	4	0	5013992at2759	AlphaFold	representative_star_only	not_established
RG_M001677	M001677	2	2	2	0	5005697at2759	AlphaFold	representative_star_only	not_established
RG_M001691	M001691	1	1	1	0	5001318at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001697	M001697	1	1	1	0	5001473at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001710	M001710	1	1	1	0	5018803at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001712	M001712	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001719	M001719	1	1	1	0	541070at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001735	M001735	1	1	1	0	4896098at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001736	M001736	2	2	2	0	5005174at2759	AlphaFold	representative_star_only	not_established
RG_M001739	M001739	1	1	1	0	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001740	M001740	7	7	7	0	4986044at2759	AlphaFold	representative_star_only	not_established
RG_M001747	M001747	1	1	1	0	5005274at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001755	M001755	1	1	1	0	5006326at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001764	M001764	1	1	1	0	5015712at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001770	M001770	1	1	1	0	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001789	M001789	1	1	1	0	5000823at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001823	M001823	1	1	1	0	4843824at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001830	M001830	1	1	1	0	5005750at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001837	M001837	4	4	4	0	4985971at2759	AlphaFold	representative_star_only	not_established
RG_M001844	M001844	3	3	3	0	4747214at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001846	M001846	1	1	1	0	4896098at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001847	M001847	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001848	M001848	2	2	2	0	5015403at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001851	M001851	1	1	1	0	5001473at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001858	M001858	1	1	1	0	4975094at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001864	M001864	6	6	6	0	4983000at2759	AlphaFold	representative_star_only	not_established
RG_M001876	M001876	3	3	3	0	707202at2759	AlphaFold	representative_star_only	not_established
RG_M001878	M001878	2	2	2	0	4940884at2759	AlphaFold	representative_star_only	not_established
RG_M001886	M001886	3	3	3	0	5011777at2759	AlphaFold	representative_star_only	not_established
RG_M001887	M001887	15	15	15	1	4837017at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001894	M001894	1	1	1	0	5005274at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001945	M001945	1	1	1	0	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001952	M001952	11	11	11	0	760428at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M001953	M001953	1	1	1	0	538728at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001956	M001956	13	13	13	0	5001473at2759	AlphaFold	representative_star_only	not_established
RG_M001958	M001958	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001968	M001968	6	6	6	0	4896098at2759	AlphaFold	representative_star_only	not_established
RG_M001972	M001972	1	1	1	0	5005750at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001977	M001977	1	1	1	0	4986044at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M001991	M001991	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002003	M002003	1	1	1	0	5001318at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002012	M002012	1	1	1	0	5018803at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002021	M002021	1	1	1	0	260326at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002053	M002053	1	1	1	0	5015403at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002071	M002071	2	2	2	0	5004391at2759	AlphaFold	representative_star_only	not_established
RG_M002077	M002077	1	1	1	0	5001473at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002113	M002113	64	64	64	0	4977163at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002129	M002129	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002149	M002149	1	1	1	0	4803900at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002160	M002160	109	109	112	0	4908955at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002165	M002165	96	96	99	0	5000823at2759	AlphaFold	representative_star_only	not_established
RG_M002168	M002168	2	2	2	0	540946at2759	AlphaFold	representative_star_only	not_established
RG_M002209	M002209	1	1	1	0	5018803at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002212	M002212	1	1	1	0	129234at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002233	M002233	1	1	1	0	4838864at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002234	M002234	52	52	54	0	319730at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002242	M002242	1	1	1	0	160487at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002243	M002243	1	1	1	0	4823929at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002245	M002245	2	2	2	0	4837017at2759	AlphaFold	representative_star_only	not_established
RG_M002249	M002249	2	2	2	0	4803900at2759	AlphaFold	representative_star_only	not_established
RG_M002254	M002254	1	1	1	0	5000452at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002266	M002266	1	1	1	0	776280at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002272	M002272	1	1	1	0	5001318at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002273	M002273	1	1	1	0	5005274at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002274	M002274	1	1	1	0	5004327at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002275	M002275	1	1	1	0	5013259at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002283	M002283	1	1	1	0	4896098at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002285	M002285	1	1	1	0	4985971at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002287	M002287	1	1	1	0	649304at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002293	M002293	1	1	1	0	539632at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002307	M002307	2	2	2	0	538952at2759	AlphaFold	representative_star_only	not_established
RG_M002308	M002308	4	4	4	0	207567at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002313	M002313	1	1	1	0	5005697at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002318	M002318	1	1	1	0	5005174at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002321	M002321	1	1	1	0	530740at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002322	M002322	1	1	1	0	5006412at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002335	M002335	3	3	4	0	5005010at2759	AlphaFold	representative_star_only	not_established
RG_M002342	M002342	4	4	4	0	5003856at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002345	M002345	1	1	1	0	4986044at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002346	M002346	63	63	64	0	5003972at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002348	M002348	1	1	1	0	5004478at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002352	M002352	2	2	2	0	4896098at2759	AlphaFold	representative_star_only	not_established
RG_M002358	M002358	1	1	1	0	5005697at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002359	M002359	1	1	1	0	5013539at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002360	M002360	1	1	1	0	5004265at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002362	M002362	1	1	1	0	5005750at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002364	M002364	1	1	1	0	5002573at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002373	M002373	1	1	1	1	129234at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002375	M002375	1	1	1	1	5004265at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002376	M002376	104	104	105	1	4695236at2759	AlphaFold	representative_star_only	not_established
RG_M002379	M002379	1	1	1	0	5003022at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002382	M002382	1	1	1	0	5005215at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002396	M002396	1	1	1	0	5000362at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002401	M002401	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002409	M002409	1	1	1	0	760428at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002412	M002412	2	2	2	0	4813267at2759	AlphaFold	representative_star_only	not_established
RG_M002457	M002457	1	1	1	0	4613677at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002500	M002500	1	1	1	0	5005010at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002503	M002503	7	7	7	0	4843240at2759	AlphaFold	representative_star_only	not_established
RG_M002541	M002541	3	3	3	0	5002334at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002553	M002553	1	1	1	0	5006412at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002555	M002555	1	1	1	0	5004265at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002556	M002556	1	1	1	0	5013738at2759	AlphaFold	no_retained_nonself_edge	not_established
RG_M002564	M002564	2	2	2	0	5005010at2759	AlphaFold	representative_star_only	not_established
RG_M002565	M002565	3	3	3	0	5003972at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002575	M002575	92	92	94	1	5013992at2759	AlphaFold	representative_star_only	not_established
RG_M002577	M002577	48	48	48	0	345792at2759	AlphaFold;ESMFold	representative_star_only	not_established
RG_M002581	M002581	1	1	1	0	129234at2759	AlphaFold	no_retained_nonself_edge	not_established
