model_name	model_id	version	sequence_sha256	length	valid_states	invalid_states	valid_focal_plddt70	valid_feature_plddt70	valid_feature_plddt70_pae10	encoding_path	encoding_sha256
AF-A0A0W4ZWX9-F1-v6	AF-A0A0W4ZWX9-F1	6	7ef55fdf68448c321b006b3210ef510aa8cf6e7f496646b0e230c10a7408dade	311	309	2	248	240	240	results/structural_alphabet/audited-marker-v2/AF-A0A0W4ZWX9-F1-v6.npz	d6b05e294bef1124c0d5e2b80fdc61e8806b6412e06e33e8da361e260af6c331
AF-A0A0W4ZX00-F1-v6	AF-A0A0W4ZX00-F1	6	2cb4cd3ccf49ac0c88832f22259af7384590fa85647392a5e2c460fda0768429	401	399	2	364	344	344	results/structural_alphabet/audited-marker-v2/AF-A0A0W4ZX00-F1-v6.npz	9cf46f0fed72d6075c76fda24d841df75a8d19e222dcf0e8ed0a4d82e04fe29d
AF-A0A0W7V972-F1-v6	AF-A0A0W7V972-F1	6	428f7360561daaa9409cd2d2a0982fcca73b3e05e364d3ed79a1d247be527a2d	527	525	2	505	480	478	results/structural_alphabet/audited-marker-v2/AF-A0A0W7V972-F1-v6.npz	9ec183e834c02cc4334957e2f0b2582348579e8da1fc6193c06464f5f9c6596b
AF-A0A0W7VAW4-F1-v6	AF-A0A0W7VAW4-F1	6	4f2acfd478d82deb725bc3f74c02b58b99ffe1948db6e9f3b90009eafcbf2484	151	149	2	128	119	119	results/structural_alphabet/audited-marker-v2/AF-A0A0W7VAW4-F1-v6.npz	ccafafbd430133726087e1ce02b5124d4d26dac5f5ff5577128fc316ae2e8665
AF-A0A146EYA8-F1-v6	AF-A0A146EYA8-F1	6	35e1fcf1d3c3b65db6b1ff85722b5720f5963292a2859ddd07e9d32715e4b1f6	464	462	2	269	253	253	results/structural_alphabet/audited-marker-v2/AF-A0A146EYA8-F1-v6.npz	323502411da3e46f50ce6b16b8c9033ac92120b98b809b07ee063548ddb49fb8
AF-A0A146EZ52-F1-v6	AF-A0A146EZ52-F1	6	c327d066fff0f4a3345587cfbc4fb5999722de19c708868dee4228cc40808960	246	244	2	234	229	229	results/structural_alphabet/audited-marker-v2/AF-A0A146EZ52-F1-v6.npz	b1d126943b5745fce6baca151169b7dfc2f5a104dedaed3ed0080cbd7128da47
AF-A0A146EZE0-F1-v6	AF-A0A146EZE0-F1	6	c3c42b0b2888ed6cc0a566d65e225c70acff53b4ef2bc73c0e3dfe14caa61779	963	961	2	617	542	539	results/structural_alphabet/audited-marker-v2/AF-A0A146EZE0-F1-v6.npz	19d4862c8ef6121255d82e55c625fb0c5f56836f86349d09d3b851f09983efd3
AF-A0A161HEH7-F1-v6	AF-A0A161HEH7-F1	6	334f04583d5008e8d78839ec27489219fc069dd5ff9b2ee8db11b72a1d4ef77a	647	645	2	571	538	538	results/structural_alphabet/audited-marker-v2/AF-A0A161HEH7-F1-v6.npz	8c770ef8cf6202aac3931bcdcebeff30b624b34c6a33048f7950174f790a53f8
AF-A0A161HG11-F1-v6	AF-A0A161HG11-F1	6	e12792bed3a18a9f3b37f1a3061c98cec55be06c6ea2fb12368b5c7217f368e9	206	204	2	204	204	204	results/structural_alphabet/audited-marker-v2/AF-A0A161HG11-F1-v6.npz	1a31672179024cb512bef184894f8bdef3a48bee3eeb61a60578f7cd4904a59a
AF-A0A162VF59-F1-v6	AF-A0A162VF59-F1	6	a3202537313a66503a0136c04bd3a1a84355bcd0c4124e0413fdef82f2e0713a	357	355	2	262	233	233	results/structural_alphabet/audited-marker-v2/AF-A0A162VF59-F1-v6.npz	1a48a209e9051c8c0418c1c7ea0adb73fb3d41bf44c7f91e573d69a955359af7
AF-A0A162VHC9-F1-v6	AF-A0A162VHC9-F1	6	2049d50f480e5ae708f7a591243eff13b84e55a704ec0fdfab216b09df8b4ffa	191	189	2	189	189	189	results/structural_alphabet/audited-marker-v2/AF-A0A162VHC9-F1-v6.npz	07978efc510998e11fc30db6616592f4c79fee74352ec872e52739bf3ba4e209
AF-A0A1B7XRX1-F1-v6	AF-A0A1B7XRX1-F1	6	b809cfbf75485040ef98c3c2439503c918545297e7f519866a5ae6d14ffd7438	455	453	2	423	406	406	results/structural_alphabet/audited-marker-v2/AF-A0A1B7XRX1-F1-v6.npz	d7a23dc57b5410a57c9b9eb521268c188b1e2051bfc967c4f601659ef9d0912a
AF-A0A1B7XRX5-F1-v6	AF-A0A1B7XRX5-F1	6	65f769926194d815f461434110e6db3c752af33fbd2b8cbe1b9b40c93e9de900	816	814	2	517	468	464	results/structural_alphabet/audited-marker-v2/AF-A0A1B7XRX5-F1-v6.npz	0d1d8aa911dbe6a75df3832947838faa5887d83b3278134f0fd40db83e772d42
AF-A0A1B8ABR8-F1-v6	AF-A0A1B8ABR8-F1	6	25391304a54152e3d44f76230b11311d7b3afc5436d04daa9b5e1dffcc8dcd24	153	151	2	97	89	89	results/structural_alphabet/audited-marker-v2/AF-A0A1B8ABR8-F1-v6.npz	1d4ea5caca889246c19ff3a36907085bcded6066e72a24e45bc12889c48e8f72
AF-A0A1B8ACI0-F1-v6	AF-A0A1B8ACI0-F1	6	2fbbc25763bc10b91256f3c3a1729600d4355044e25d79183c9d302f18972bad	148	146	2	135	130	130	results/structural_alphabet/audited-marker-v2/AF-A0A1B8ACI0-F1-v6.npz	9bbee3e278c0dad2ca51ae607f81414f3246c0819e36b7f918f3d628719e5035
AF-A0A1D2V898-F1-v6	AF-A0A1D2V898-F1	6	acae9e001aa384030dcaa70bd5add2ae592543ba9d2363fcd856bba9a839dc36	227	225	2	181	173	173	results/structural_alphabet/audited-marker-v2/AF-A0A1D2V898-F1-v6.npz	ba3cb0f60ddb576af3281159bef201efde7501faf1220420a7590aba8c8de0c0
AF-A0A1D2V8B1-F1-v6	AF-A0A1D2V8B1-F1	6	fd4858e7e364dde839ce9eb297619a4fa2a84004001aa52e8d407a05c8dfd648	461	459	2	438	425	425	results/structural_alphabet/audited-marker-v2/AF-A0A1D2V8B1-F1-v6.npz	a4e7b3bcdd302cbf32793b50ef7b8977b44c50d01974593f0041b25382a841a4
AF-A0A1E3NUP3-F1-v6	AF-A0A1E3NUP3-F1	6	39f842b0fcd0cbf484d58c959ff586f008822b4ba079239b7ef7cac55597e741	258	256	2	243	241	241	results/structural_alphabet/audited-marker-v2/AF-A0A1E3NUP3-F1-v6.npz	82b52c5b8babb1c86b1f7460ea9fe91ab9669b1376501142f1398a7b5ec6096b
AF-A0A1E3NV61-F1-v6	AF-A0A1E3NV61-F1	6	5795f105f40aed584b7841447c32b20e0ecbaa890396d04b6a1d32a892105fcf	286	284	2	249	240	240	results/structural_alphabet/audited-marker-v2/AF-A0A1E3NV61-F1-v6.npz	c258f865c06249e9847eab3c1b7747c4f7561f346022b4d972b2aa20ad8df41e
AF-A0A1E4TMS6-F1-v6	AF-A0A1E4TMS6-F1	6	0ba81e6657ed57a2ac49a6fbda49fafc1c5baca83ccde7f50edabb71355d8acc	321	319	2	234	228	228	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TMS6-F1-v6.npz	cae6a1926eb1bafb7c7c7e05d392d16bdc1f9f3523c728cfe919b583f0d038f0
AF-A0A1E4TMT3-F1-v6	AF-A0A1E4TMT3-F1	6	90a48750a5c700540cc6b3cf1621c13b098a334d4b66277507e9b84350aeead9	306	304	2	177	167	167	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TMT3-F1-v6.npz	a1af99ab000579f9e85ec3efa740a25afaba969ef84ca4185c0c40d74c26d226
AF-A0A1E4TMU5-F1-v6	AF-A0A1E4TMU5-F1	6	d3cdb61ce19e66b9e311e3136ef064e11dd69f0b105f0a2d5e78590a79d2c86d	503	501	2	381	353	353	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TMU5-F1-v6.npz	7105dd5f72c8de002049db4b71b4f7be0ad749d475ce6995bbfc79e00ff909d8
AF-A0A1E4TMW3-F1-v6	AF-A0A1E4TMW3-F1	6	17c369e53a4c6e1960314da6059d5f7e96da7cb4ab3cfa3b0c330b26a09945d0	171	169	2	169	169	169	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TMW3-F1-v6.npz	37e5fa3573f004ab82942fd603a4c8145b27d725ce8ee6d959cc84df134ceb55
AF-A0A1E4TN32-F1-v6	AF-A0A1E4TN32-F1	6	5035f92ccde15220eb4474c3d42cfb3be318b16fb20078e767c6e607adc38a95	795	793	2	490	417	417	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TN32-F1-v6.npz	01469e0e62dce27c6b20a07275385e118cdb2cb9794603fc39caa3d225f48352
AF-A0A1E4TN43-F1-v6	AF-A0A1E4TN43-F1	6	ff1141ed0002cd0c2fa5e5b54b2cbb9da102bf4d5dd4eab5882ea3c63cc6d32c	471	469	2	359	337	337	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TN43-F1-v6.npz	3eb4dff82ea4b9bd20c38d6993a3696026795060a6fd5582f2fb98fe36b5d625
AF-A0A1E4TNF4-F1-v6	AF-A0A1E4TNF4-F1	6	ef05a3a61df51f98a105147e6fd1d3372e0e5f828e99cfb960e3715989f35eb5	148	146	2	131	127	127	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TNF4-F1-v6.npz	bedbeed5be2f6fd8d61708ef76f8282bda6f824489cc2d13dc346b06e2123e28
AF-A0A1E4TNM3-F1-v6	AF-A0A1E4TNM3-F1	6	b59a2fa836b5deec75c32ae7e92932d5f53b29da859a59ac41c67927be211137	747	745	2	393	304	303	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TNM3-F1-v6.npz	625d73f3947a7cbc6000829084b6f24b719a701e984d80157d6a4c7fceb83171
AF-A0A1E4TNN2-F1-v6	AF-A0A1E4TNN2-F1	6	b9143787f4b9e2140dbd701e4f4738c55a9ffd2d366502b3a0e8674ae4f8889d	237	235	2	162	144	144	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TNN2-F1-v6.npz	e1611b9ef800ac6352273f92d27c069f413dab4ec3b7150d4cc6ef18fafbafd3
AF-A0A1E4TNX4-F1-v6	AF-A0A1E4TNX4-F1	6	7f8fd5b3e452c78637363ea04a1ea83617b994d474f4baff29bc6cb3fd2df1af	115	113	2	101	98	98	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TNX4-F1-v6.npz	19179115394c5cf9c9b9345c87094118ab055e8d6f0ff0e00d755acc014d492d
AF-A0A1E4TNX9-F1-v6	AF-A0A1E4TNX9-F1	6	1cab59285a43bf731c21a74b8d7f3be3b279f83ff524fce2896e230b418f8f78	328	326	2	292	284	284	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TNX9-F1-v6.npz	9c96037fa9cc324f8fc141600bb9e468f3db7f10529d9e09f7d319a9f39a40c0
AF-A0A1E4TNY1-F1-v6	AF-A0A1E4TNY1-F1	6	c5d2d5faebb9e521b2a1ed6fc4581fc79fa6ee5cb79472c7c9af53b66e4c299e	378	376	2	338	303	303	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TNY1-F1-v6.npz	7d335b71b16c56f7575648da434840d299b8aee7a540de3c7fa45e215c6c04a5
AF-A0A1E4TP44-F1-v6	AF-A0A1E4TP44-F1	6	698e9e769271bfaa2bd404f95135ecf69693626d6b4d179c26993afcbfb7cf76	475	473	2	399	367	367	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TP44-F1-v6.npz	e95fb498134f2704e35c357b88f99bbbf85d105709b3ea5adb22e1c63020f75b
AF-A0A1E4TP58-F1-v6	AF-A0A1E4TP58-F1	6	c3d56c6d6c2d67d12f80000749fa7634624cec8750cff198207d333650050038	149	147	2	83	82	82	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TP58-F1-v6.npz	fd56592f3600569fc7a5d1f8abc34223d3ae6fc16f094cdb70686c696cf2896f
AF-A0A1E4TP81-F1-v6	AF-A0A1E4TP81-F1	6	a1f51673f5e927639f7b5e014066ad720e7bb74ff6db15ae7a8231c43e47c0e3	500	498	2	451	440	440	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TP81-F1-v6.npz	f5e6c6365878e667c82c325f74dda97f41c1a78745d79ff23c5efbfe222af76e
AF-A0A1E4TPD0-F1-v6	AF-A0A1E4TPD0-F1	6	881f931faead74d9b7717cfcdc51d38d087e9da42318e934cbfbba08ab538685	598	596	2	340	304	304	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TPD0-F1-v6.npz	eb19b42d3f8d94d2ccb45a39fff3b5d28c3aa91257e9d09bb66fbf3e122ba2d8
AF-A0A1E4TPD8-F1-v6	AF-A0A1E4TPD8-F1	6	557b3f6cf75290fb11a1d49d9228deee77e15c360393ab499c398a6ac8e0cc1b	584	582	2	520	477	477	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TPD8-F1-v6.npz	386b18f4375175c619e26e02ca44f8b7eabd29b7c933398602c77bcaf9dc4858
AF-A0A1E4TPF1-F1-v6	AF-A0A1E4TPF1-F1	6	3da8bfa6f09541d586ec92df83cf1e516981dad8360947289fe9b5c18a9b1ec5	269	267	2	227	210	210	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TPF1-F1-v6.npz	06037fedbca28e31f9c14a8b6e55991e03edabb1c1aabfb1249518059973d71b
AF-A0A1E4TPF5-F1-v6	AF-A0A1E4TPF5-F1	6	1fca25f9e81daba0d6ab3f9f644d92a29d37d100ebbde149cc674701e683d0be	912	910	2	819	795	793	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TPF5-F1-v6.npz	8d9ff9c69a14ab6b43ac26cd2a195108967a08f162a2ca3e153cc25c53bd1958
AF-A0A1E4TPL9-F1-v6	AF-A0A1E4TPL9-F1	6	2415de749858a8762fcc85da3612814d3bf08a46b508ee01ff063f13bee8137d	489	487	2	381	336	336	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TPL9-F1-v6.npz	7e36d2defa3ddfe0b31fa87ff8342ffc153d472218c16666fc23258e0dbff876
AF-A0A1E4TPM2-F1-v6	AF-A0A1E4TPM2-F1	6	fbb722c232b3467877c415ec52faf6ede2cc13258569574c6b089ad0fa76d396	1013	1011	2	810	767	767	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TPM2-F1-v6.npz	73ec755f55f9d4f85c8e06193e506cc5feb44b7c99bf473f16f6afafd1100257
AF-A0A1E4TQ03-F1-v6	AF-A0A1E4TQ03-F1	6	2ba55cec035f4113dbd6e0a43393bf6aa4951e9522ccce8aacf72111354dff5c	439	437	2	369	337	337	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TQ03-F1-v6.npz	4d8d56b20665f27b35ef39a478736f78773e48b8874282caebcc3d67e148d52e
AF-A0A1E4TQ70-F1-v6	AF-A0A1E4TQ70-F1	6	9f223f4554fad733398e04abfe2e2008bf2e07e718802cff438f6ee9ab240216	972	970	2	351	181	181	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TQ70-F1-v6.npz	5bf19cb0806625dd52b6bcb8eb2f610a6d25e5a2c984660ad8b84195ea5de9c2
AF-A0A1E4TQF9-F1-v6	AF-A0A1E4TQF9-F1	6	c5396667ec3df86ae93e705f5f5958d391b3e3c733b82d41b84e0cd1dfe7d744	248	246	2	236	230	230	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TQF9-F1-v6.npz	c5fa8dd19f1c48903dbd548e51792e05354a70a8b0361a8d5684b59e07e61a22
AF-A0A1E4TQJ4-F1-v6	AF-A0A1E4TQJ4-F1	6	cdde0c15364275ae838529672a2d9f2401b144a8df4d398da09237f9163b29dc	149	147	2	140	137	137	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TQJ4-F1-v6.npz	617d5d4043e461ea2112dd1cfe4064b1c4f191876ca37593571a47cfe2571681
AF-A0A1E4TQQ0-F1-v6	AF-A0A1E4TQQ0-F1	6	bae572c7efb802b5f162cae6d50d2785bb1454c6ec7cb4732b62c878c46198dc	259	257	2	225	220	220	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TQQ0-F1-v6.npz	36f2d4b22760655e750ad489ab997c3d972296126f548e2061c64af9ad5920a6
AF-A0A1E4TQU9-F1-v6	AF-A0A1E4TQU9-F1	6	c304fe0660eb2b827b4d2500308d4789fee07f146397f8f6bc2bd6aec1a39a8b	501	499	2	458	438	438	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TQU9-F1-v6.npz	f02e0e0ba38a086ec3037f0bea01e09458bf99e2fdafd0cad0e59d6d404cedca
AF-A0A1E4TR03-F1-v6	AF-A0A1E4TR03-F1	6	8f42c6271d6cd99f43f49ac1adee694b9e97314d5d058b94dfc04af2e434f213	494	492	2	489	482	482	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TR03-F1-v6.npz	b05ede425a46e377a74b575194aa2eafc21a0ce831ace1c81ad240f59c2305ae
AF-A0A1E4TR31-F1-v6	AF-A0A1E4TR31-F1	6	101c3382c14de49ad926b66576c62df083222662af56ecbb1a28b24026484eab	469	467	2	405	381	379	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TR31-F1-v6.npz	e3c7f9a1e29ae6d682b25a23507344011a30c58d2b9418a0037bc437e77d46b8
AF-A0A1E4TR78-F1-v6	AF-A0A1E4TR78-F1	6	0d3b94794f58cbbdc287ff70220b7783b59a7913d561bdbbcea2c0a8652b4956	601	599	2	516	474	474	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TR78-F1-v6.npz	3d0a13b03a557600c383fdbbdff672e22e6a481fa87624dd87a8a3780fdb5a74
AF-A0A1E4TR91-F1-v6	AF-A0A1E4TR91-F1	6	841a94f7dd120b142407aa83aeae1c066c2722ce123787c2b17408f8fb2747ba	322	320	2	306	300	300	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TR91-F1-v6.npz	ac17b445a9f9fbbdb347505dfebb442d4e5f0cce953ec8029ea359176fbb0252
AF-A0A1E4TR98-F1-v6	AF-A0A1E4TR98-F1	6	df3bcc9383464ece61d5fbda3fd54e75851f086f31244cfbdeea70b3c225913c	397	395	2	277	265	265	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TR98-F1-v6.npz	f4222d133d710b34f511858e20e489346636d3bacc568d4b64bfb398ceaaf2c5
AF-A0A1E4TRE2-F1-v6	AF-A0A1E4TRE2-F1	6	2ac95e7d4828434ec5857f6042b9b38074c05bc77c58d2a76bc25c243ef2cac9	588	586	2	396	370	370	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TRE2-F1-v6.npz	4a5740e461d587847252559a01e665b58395fc413bdf815f4787651fa7694635
AF-A0A1E4TRF4-F1-v6	AF-A0A1E4TRF4-F1	6	3a3fc93e32ca6be0be729338623c4154c5e9d2621ee803caef1904585bd051fa	296	294	2	278	264	264	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TRF4-F1-v6.npz	05793f77cb4a65270c2ea3189481c3ab6b2717f20285b4ce5e88ccf6770f948a
AF-A0A1E4TRG2-F1-v6	AF-A0A1E4TRG2-F1	6	96bedb5158e3eb3c75029e91653eb1ea54d795954b0a30158f23fafc4980b661	965	963	2	815	749	749	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TRG2-F1-v6.npz	6788066217f5fb8f5ca1cad292fd5714067d5d99ba1e37530cd4fa58305155dc
AF-A0A1E4TRH1-F1-v6	AF-A0A1E4TRH1-F1	6	41238f9c2055208cbb57383fffda0b94448d5c3b523d9d88c3b1ea757d8291c3	183	181	2	180	176	176	results/structural_alphabet/audited-marker-v2/AF-A0A1E4TRH1-F1-v6.npz	454fba9b678ada45ef1bd678c4ab19d9e27f54edde2d36e1f7ad6928ede22680
