taxon_id	marker	protein_id	selected_original_marker	in_final_busco_table	final_busco_status	recorded_fcs_cds_overlap	fcs_actions	full_sequence_bit_score	dataset_score_cutoff	score_minus_dataset_cutoff	full_sequence_evalue	profile_length	protein_length	reported_domain_rows	profile_union_coverage_fraction	protein_union_coverage_fraction	gene_ids_json	gene_mapping_status	representative_decision	sequence_sha256	alternative_no_recorded_overlap_at_or_above_score_cutoff	review_sequence_id	cds_audit_records	cds_audit_statuses	translation_tables	review_disposition
F610337	5004118at2759	KAJ9103634.1	False	False		False		128.0	46.27	81.72999999999999	1.8e-37	172	373	4	0.9069767441860465	0.4691689008042895	"[""gene-QFC19_004209""]"	unique_gene	longest_per_gene_lexical_tiebreak	f4843cf4b091e9088ca85afae95820a42fb96ef1b9110b113a2fec36cb25b39e	True	F610337|5004118at2759|KAJ9103634.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5005010at2759	KAJ9101953.1	False	False		False		30.0	28.7	1.3000000000000007	2.1e-07	93	124	1	0.946236559139785	0.7338709677419355	"[""gene-QFC19_005035""]"	unique_gene	longest_per_gene_lexical_tiebreak	472d590b937bd813c4be52a12b40a7cbd6e0dc6118a1baa9db7e7acdad8e000a	True	F610337|5005010at2759|KAJ9101953.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5005215at2759	KAJ9102662.1	False	False		False		380.7	119.14	261.56	3.1e-114	342	656	2	0.9736842105263158	0.5853658536585366	"[""gene-QFC19_004771""]"	unique_gene	longest_per_gene_lexical_tiebreak	340a507dbfc800e77dff8b94f3ca2ced7fd7c06fefdd34c8dd89c5360b1a3df3	True	F610337|5005215at2759|KAJ9102662.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5005274at2759	KAJ9111689.1	False	False		False		175.8	56.84	118.96000000000001	4.9e-52	238	440	2	0.9747899159663865	0.6045454545454545	"[""gene-QFC19_001048""]"	unique_gene	longest_per_gene_lexical_tiebreak	6463b19221d2189f42a3bfe422d680248d3ced927a2c902a81d073384cfda1f3	True	F610337|5005274at2759|KAJ9111689.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5005697at2759	KAJ9110910.1	False	False		False		85.0	80.5	4.5	2.8e-24	275	585	2	0.8545454545454545	0.41196581196581195	"[""gene-QFC19_001419""]"	unique_gene	longest_per_gene_lexical_tiebreak	7c02dd940b36335047a91d8510c54a7bb29e4053e3b28c825e7dc433c8d3ac0d	True	F610337|5005697at2759|KAJ9110910.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5011777at2759	KAJ9100114.1	False	False		False		483.2	58.8	424.4	5.6e-145	687	1470	3	0.8457059679767104	0.4312925170068027	"[""gene-QFC19_005794""]"	unique_gene	longest_per_gene_lexical_tiebreak	d6ed5354d5bbf609f4beb9f0ee8aab9b588d3bd8172a217a4f0388b00496ed32	True	F610337|5011777at2759|KAJ9100114.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5011777at2759	KAJ9110660.1	False	False		False		71.8	58.8	13.0	1.7e-20	687	804	2	0.3245997088791849	0.2524875621890547	"[""gene-QFC19_001489""]"	unique_gene	longest_per_gene_lexical_tiebreak	24c81571b35203f1135647ad594fdf12420aa3f95f32393d5b2cf7043bba2f4d	True	F610337|5011777at2759|KAJ9110660.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5011777at2759	KAJ9113858.1	False	False		False		64.5	58.8	5.700000000000003	2.8e-18	687	472	1	0.27074235807860264	0.3771186440677966	"[""gene-QFC19_000051""]"	unique_gene	longest_per_gene_lexical_tiebreak	2efdbd874eb61d053fcdb6d60522977dd970a30177f0eec00856b613b9eec596	True	F610337|5011777at2759|KAJ9113858.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5013259at2759	KAJ9091993.1	False	False		False		138.5	64.47	74.03	8.7e-41	149	153	1	0.6845637583892618	0.6666666666666666	"[""gene-QFC19_008861""]"	unique_gene	longest_per_gene_lexical_tiebreak	051d1816afccd86a6953fa90af79cedf49ce2fa8d40e6a7c9af6d807f8896b23	True	F610337|5013259at2759|KAJ9091993.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5013726at2759	KAJ9093817.1	False	False		False		231.4	98.91	132.49	3.1e-69	171	1498	1	0.9707602339181286	0.11682242990654206	"[""gene-QFC19_008194""]"	unique_gene	longest_per_gene_lexical_tiebreak	177ea4a6157e1b55f529b5b2aa2d5d809f695d4eecc15ff578b559f669d5d274	True	F610337|5013726at2759|KAJ9093817.1	1	non_triplet_length	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5014007at2759	KAJ9102892.1	False	False		False		413.6	144.59	269.01	4.7e-124	523	594	3	0.8546845124282982	0.8367003367003367	"[""gene-QFC19_004622""]"	unique_gene	longest_per_gene_lexical_tiebreak	a7717d3f644d458be44fa8e76a7b74f6046e520f15b88d9033de57bf7ee01bc3	True	F610337|5014007at2759|KAJ9102892.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	5015876at2759	KAJ9100935.1	False	False		False		133.8	89.54	44.260000000000005	3e-39	332	295	1	0.39457831325301207	0.49830508474576274	"[""gene-QFC19_005331""]"	unique_gene	longest_per_gene_lexical_tiebreak	a56f95e035a8bb713dbd193dc42e9748bc54c07511e5934f86b61f8c59ae6087	True	F610337|5015876at2759|KAJ9100935.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	760428at2759	KAJ9095355.1	False	False		False		174.4	94.85	79.55000000000001	1.6e-51	380	1478	2	0.8368421052631579	0.2232746955345061	"[""gene-QFC19_007599""]"	unique_gene	longest_per_gene_lexical_tiebreak	573571ea4b3b9a9c2be0587e490b9b9117cafc3e07eb03c3d75e7d54a6646ddd	True	F610337|760428at2759|KAJ9095355.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	760428at2759	KAJ9108591.1	False	False		False		112.0	94.85	17.150000000000006	1.4e-32	380	143	1	0.29736842105263156	0.9790209790209791	"[""gene-QFC19_002307""]"	unique_gene	longest_per_gene_lexical_tiebreak	009aa9322aa2d74c726f1a16297e54fd3ff4fe1531191308084a5857a81eded3	True	F610337|760428at2759|KAJ9108591.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F610337	776280at2759	KAJ9113971.1	False	False		False		84.5	56.7	27.799999999999997	3.3e-24	334	129	1	0.25748502994011974	0.7751937984496124	"[""gene-QFC19_000167""]"	unique_gene	longest_per_gene_lexical_tiebreak	9ff466258d968e31a2973d07ddabf06f52bdd9d5c8a7883d4f8d0b0e374e6063	True	F610337|776280at2759|KAJ9113971.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	345792at2759	CAG8780007.1	False	False		False		249.2	93.03	156.17	2.4e-74	231	125	1	0.5411255411255411	1.0	"[""gene-ACOLOM_LOCUS14279""]"	unique_gene	longest_per_gene_lexical_tiebreak	d600cc14a459b106d90ce953f6e741905106a18c6f52d769242883f739b74f71	True	F27376|345792at2759|CAG8780007.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	4813267at2759	CAG8523761.1	False	False		False		362.6	104.09	258.51	2.7e-108	589	841	4	0.7724957555178268	0.6409036860879905	"[""gene-ACOLOM_LOCUS3773""]"	unique_gene	longest_per_gene_lexical_tiebreak	a1ae54349941eb68b48805403e91a5febfa59410adfe78e461c6d47fbdaf8d84	True	F27376|4813267at2759|CAG8523761.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	4970538at2759	CAG8497297.1	False	False		False		96.3	57.47	38.83	7.7e-28	913	952	5	0.6998904709748083	0.6712184873949579	"[""gene-ACOLOM_LOCUS2641""]"	unique_gene	longest_per_gene_lexical_tiebreak	01fb2f08e053936876146bc33951260e5cdd0a8e0089d2256ff23b332397c26d	True	F27376|4970538at2759|CAG8497297.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	4970538at2759	CAG8609760.1	False	False		False		784.8	57.47	727.3299999999999	6.7e-236	913	665	1	0.660460021905805	0.9548872180451128	"[""gene-ACOLOM_LOCUS6974""]"	unique_gene	longest_per_gene_lexical_tiebreak	a36ed94bcf2e027471f42d691563b874ef34fe7a0f954f0b745dea17f7bca201	True	F27376|4970538at2759|CAG8609760.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	5001273at2759	CAG8465372.1	False	False		False		200.6	68.74	131.86	1.6e-59	232	651	2	0.8232758620689655	0.3118279569892473	"[""gene-ACOLOM_LOCUS1352""]"	unique_gene	longest_per_gene_lexical_tiebreak	181b42681f0d04eb7754035598cc3b22b53516bd7749f0d384a040fa06611534	True	F27376|5001273at2759|CAG8465372.1	1	non_triplet_length	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	5003856at2759	CAG8452709.1	False	False		False		58.7	48.23	10.470000000000006	4.5e-16	224	138	1	0.24107142857142858	0.4057971014492754	"[""gene-ACOLOM_LOCUS823""]"	unique_gene	longest_per_gene_lexical_tiebreak	cb71bbe687c8f22702ac153bb5e48163543e0028cb7e0b65c2bfcd3769221e00	True	F27376|5003856at2759|CAG8452709.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	5006326at2759	CAG8560967.1	False	False		False		357.5	74.27	283.23	8.2e-107	539	267	1	0.3970315398886827	0.846441947565543	"[""gene-ACOLOM_LOCUS5231""]"	unique_gene	longest_per_gene_lexical_tiebreak	881a3714359af87a281dc6af8cf5e7079a826d1e2eb39533ab89efd27187434c	True	F27376|5006326at2759|CAG8560967.1	1	exact_translation	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	5006326at2759	CAG8560988.1	False	False		False		265.4	74.27	191.13	6.9e-79	539	191	1	0.3172541743970315	0.9109947643979057	"[""gene-ACOLOM_LOCUS5232""]"	unique_gene	longest_per_gene_lexical_tiebreak	4834fc68f25b56200c85663a8f50e8b330279ac2b37bc56310b23aea42c7609b	True	F27376|5006326at2759|CAG8560988.1	1	non_triplet_length	1	candidate_only_phylogenetic_copy_and_alignment_review_required
F27376	5015742at2759	CAG8606725.1	False	False		False		468.8	263.09	205.71000000000004	9.4e-141	423	1575	6	0.3806146572104019	0.3358730158730159	"[""gene-ACOLOM_LOCUS6879""]"	unique_gene	longest_per_gene_lexical_tiebreak	77c9dea69fe8744c65998d97b2c87b40298e59d93b8dcb5434693c69c0fda54d	True	F27376|5015742at2759|CAG8606725.1	1	non_triplet_length	1	candidate_only_phylogenetic_copy_and_alignment_review_required
