case_id	taxa	nucleotide_columns	log_likelihood	gamma_alpha	total_tree_length	internal_edges	bootstrap_trees	maximum_ufb_rounding_difference	near_zero_edges_le1e_5	long_edges_ge10	warning_lines	translation_table	marker_copy_caveat	memory_adjustment_warning_lines	saturated_pairwise_distance_warning_lines	parameter_boundary_warning_lines	nni_convergence_warning_lines	other_warning_lines	review_required_before_codon_interpretation	selection_eligibility
Amanita__4803900at2759__code1	7	369	-1664.0226	0.3092	1.4093424138	4	1000	0.3999999999999986	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4810093at2759__code1	7	2313	-11882.8094	0.4542	1.8138628743	4	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4813267at2759__code1	6	2469	-10404.8027	0.2617	1.7489804102	3	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4823929at2759__code1	7	1305	-6332.3173	0.3522	1.5464508052	4	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4837017at2759__code1	7	678	-3275.7992	0.4066	1.6587942357999998	4	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4838864at2759__code1	6	1926	-8693.1093	0.3606	1.5601949791	3	1000	0.3999999999999986	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4843240at2759__code1	4	1935	-6777.8177	0.4743	1.0070476549	1	1000	0	0	0	1001	1	none_recorded	1001	0	0	0	0	False	not_established
Amanita__4867008at2759__code1	5	537	-2367.7644	0.4908	10.796772641799999	2	1000	0.29999999999999716	0	0	12	1	none_recorded	0	1	0	11	0	True	not_established
Amanita__4888252at2759__code1	5	2724	-12116.0471	0.4618	1.7088982966	2	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4896098at2759__code1	7	549	-2535.4189	0.2288	2.0786213329	4	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4900375at2759__code1	7	573	-3062.2886	0.5534	11.2513987003	4	1000	0.4000000000000057	1	0	2	1	none_recorded	0	1	0	1	0	True	not_established
Amanita__4908955at2759__code1	5	975	-3700.346	0.3412	1.3567907350000001	2	1000	0.10000000000000142	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4911644at2759__code1	5	2733	-10601.4333	0.2761	1.6651861123	2	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4940884at2759__code1	6	2730	-10988.0778	0.1954	2.0954465252	3	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4969018at2759__code1	7	1374	-6495.1896	0.2701	2.0939654575	4	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Amanita__4969636at2759__code1	6	1143	-5520.3588	0.3855	2.1195937463	3	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__115730at2759__code1	10	990	-4786.2905	0.2335	1.2594961551000001	7	1000	0.3999999999999986	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__129234at2759__code1	10	567	-2921.006	0.2207	2.1247947860000003	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__160487at2759__code1	10	2649	-13752.0299	0.2415	1.7101114264	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__201273at2759__code1	10	777	-3575.6077	0.2786	1.1052454641999998	7	1000	0.5	3	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__207567at2759__code1	9	528	-3204.4982	0.473	2.4734539655999996	6	1000	0.4000000000000057	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__260326at2759__code1	10	498	-2472.3433	0.148	3.6193208823	7	1000	0.5	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__2852757at2759__code1	10	1482	-8050.9764	0.2876	1.7100796412999997	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__288615at2759__code1	10	1974	-10712.0368	0.266	1.8716769271000002	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__319730at2759__code1	10	1341	-7535.4843	0.2445	2.7090984057000007	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__340246at2759__code1	10	2052	-12043.6765	0.2913	2.5883609393	7	1000	0.4000000000000057	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__345792at2759__code1	10	870	-3479.5011	0.2706	0.8477038494000001	7	1000	0.5	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__352891at2759__code1	10	756	-4005.4439	0.2368	1.7802359571	7	1000	0.4000000000000057	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4613677at2759__code1	9	357	-1994.9352	0.3226	2.7151923063	6	1000	0.3999999999999986	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4695236at2759__code1	9	3234	-15345.0827	0.3125	1.2677267325	6	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4747214at2759__code1	9	417	-2214.8142	0.2633	1.9577225975	6	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4764044at2759__code1	10	1542	-9017.2861	0.3176	2.0831391609	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4803900at2759__code1	10	366	-2083.1219	0.2646	2.5684210691	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4810093at2759__code1	8	2376	-11381.3506	0.2663	1.8621362303000002	5	1000	0.3999999999999986	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4813267at2759__code1	10	2637	-14883.3765	0.2734	2.0905717226	7	1000	0.29999999999999716	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4823929at2759__code1	10	1278	-7247.62	0.343	1.7531500371999997	7	1000	0.5	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4837017at2759__code1	10	687	-3644.4604	0.3789	1.3035976389000001	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4838864at2759__code1	10	1932	-11175.6918	0.2754	2.0207142091	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4843240at2759__code1	10	2016	-13227.1186	0.4024	2.5223140556	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4867008at2759__code1	10	522	-3381.968	0.6664	1.9513455612	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4888252at2759__code1	10	2775	-17312.0102	0.3618	2.5027790425	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4896098at2759__code1	10	594	-3280.1584	0.2507	1.9569351270999995	7	1000	0.4000000000000057	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4900375at2759__code1	10	597	-3503.4245	0.5274	1.3953122134999998	7	1000	0.3999999999999986	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4908955at2759__code1	10	954	-5406.286	0.275	1.9734660506	7	1000	0.29999999999999716	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4911644at2759__code1	10	2892	-15356.4946	0.2406	1.9804729169	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4940884at2759__code1	10	2823	-15523.6847	0.2731	1.8858284913000003	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4969018at2759__code1	10	1371	-6750.6819	0.2482	1.6332798387000003	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Aspergillus__4969636at2759__code1	9	1248	-6344.1852	0.2887	1.5176891131999999	6	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Candida__115730at2759__code12	4	693	-1603.843	0.1438	0.3925596197	1	1000	0.09999999999999432	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__160487at2759__code12	4	2610	-6517.9624	0.2091	0.3950806235	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__207567at2759__code12	4	540	-1418.5276	0.3532	0.5152275433	1	1000	0.20000000000000284	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__260326at2759__code12	4	510	-1359.5656	0.1293	1.0494066395000001	1	1000	0.5	0	0	1005	12	none_recorded	1001	0	2	2	0	True	not_established
Candida__2852757at2759__code12	4	1398	-3895.438	0.2882	0.6650709601	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__288615at2759__code12	4	1794	-5290.5759	0.3434	0.7594592429	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__319730at2759__code12	4	1335	-3250.2721	0.3192	0.3381620972	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__345792at2759__code12	4	840	-1885.0531	0.1294	0.286691457	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4613677at2759__code12	4	348	-1017.3587	0.8143	0.514877768	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4695236at2759__code12	4	3195	-8355.1106	0.3498	0.43234245849999997	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4747214at2759__code12	4	414	-987.0592	0.2235	0.3141372613	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4764044at2759__code12	4	1200	-3499.2692	0.4925	0.5981016161	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4810093at2759__code12	4	2226	-6461.9418	0.3734	0.6734281575	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4823929at2759__code12	4	1200	-3727.6912	0.551	0.7690896819	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4837017at2759__code12	4	666	-1760.4588	0.2421	0.5163684695999999	1	1000	0.5	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4838864at2759__code12	4	1848	-5452.0143	0.4771	0.6549242451999999	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4843240at2759__code12	4	1887	-6064.088	0.3994	1.1838010592000001	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4867008at2759__code12	4	537	-1496.1196	0.3637	0.5841024264	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4888252at2759__code12	4	2496	-7960.4185	0.5128	0.9703950430000001	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4896098at2759__code12	4	570	-1770.9404	0.3856	0.7498219435	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4900375at2759__code12	4	624	-2072.4371	0.551	1.133359714	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4908955at2759__code12	4	795	-2873.5341	0.6548	3.7144991218	1	1000	0.5	1	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4911644at2759__code12	4	2280	-6150.3582	0.2685	0.5112882394	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Candida__4969018at2759__code12	4	1374	-3164.6634	0.2409	0.2999089475	1	1000	0	0	0	1001	12	none_recorded	1001	0	0	0	0	False	not_established
Colletotrichum__115730at2759__code1	10	966	-2766.4237	0.1883	0.407336359	7	1000	0.29999999999999716	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__129234at2759__code1	10	567	-1677.5198	0.1685	0.7299520078999999	7	1000	0.5	5	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__160487at2759__code1	10	2637	-8434.0286	0.1972	0.6386234227	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__201273at2759__code1	8	777	-2809.6194	0.9731	0.7484861505	5	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__207567at2759__code1	10	537	-1451.4842	0.02003	0.4548809815	7	1000	0.4000000000000057	5	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__260326at2759__code1	10	504	-1685.7549	0.2183	0.6108622858999999	7	1000	0.29999999999999716	3	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__2852757at2759__code1	9	1479	-4269.2214	0.2859	0.41998149900000004	6	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__288615at2759__code1	9	1986	-6123.8293	0.2145	0.6341167554999999	6	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__319730at2759__code1	9	1338	-3536.393	0.2779	0.33449770039999993	6	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__340246at2759__code1	10	2085	-7526.987	0.2455	0.7216298141999999	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__345792at2759__code1	10	897	-2569.8169	0.2144	0.5647041938999998	7	1000	0.5	1	0	3	1	none_recorded	0	0	3	0	0	True	not_established
Colletotrichum__352891at2759__code1	8	756	-1900.2119	0.177	0.3796831342	5	1000	0.29999999999999716	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4613677at2759__code1	10	381	-1291.8167	0.2782	0.6192271291	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4695236at2759__code1	10	3222	-10520.6365	0.2383	0.5732035463999999	7	1000	0.29999999999999716	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4747214at2759__code1	9	423	-1266.4034	0.193	0.6795934136	6	1000	0.4000000000000057	3	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4764044at2759__code1	9	1518	-4564.3181	0.2187	0.7096452978999999	6	1000	0.20000000000000284	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4810093at2759__code1	8	2373	-7993.4851	0.2539	0.7846952431	5	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4813267at2759__code1	10	2670	-9681.5452	0.191	1.298965257	7	1000	0.3999999999999986	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4823929at2759__code1	10	1251	-5081.0638	0.3947	0.9168917770999999	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4837017at2759__code1	10	696	-2108.3061	0.1892	0.4115847697000001	7	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4838864at2759__code1	9	1788	-5752.2916	0.252	0.6183219825999999	6	1000	0.5	0	0	1	1	none_recorded	0	0	0	1	0	True	not_established
Colletotrichum__4843240at2759__code1	10	2058	-8039.2386	0.3207	0.9090926156000001	7	1000	0.3999999999999986	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4867008at2759__code1	10	525	-1783.4111	0.2393	0.5352620657	7	1000	0.29999999999999716	2	0	1	1	none_recorded	0	0	0	1	0	True	not_established
Colletotrichum__4888252at2759__code1	10	2829	-10817.0936	0.2445	0.9509452176	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4896098at2759__code1	9	606	-2161.3681	0.3276	0.6506825359	6	1000	0.29999999999999716	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4900375at2759__code1	10	624	-2416.9781	0.355	0.7650516712999998	7	1000	0.5	4	0	6	1	none_recorded	0	0	0	6	0	True	not_established
Colletotrichum__4908955at2759__code1	10	975	-3864.1836	0.3334	10.396257981300003	7	1000	0.3999999999999986	3	0	1	1	none_recorded	0	1	0	0	0	True	not_established
Colletotrichum__4911644at2759__code1	10	2871	-9433.1247	0.1957	0.8054478374999999	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4940884at2759__code1	10	2721	-10772.8228	0.3577	0.9239843385	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4969018at2759__code1	10	1368	-3776.7045	0.2216	0.336026013	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4969636at2759__code1	10	1257	-4005.8143	0.2011	0.5109565555000001	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Colletotrichum__4969990at2759__code1	10	1056	-3577.7163	0.172	0.6900183348	7	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__115730at2759__code1	10	975	-3594.1269	0.3395	1.075878237	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__129234at2759__code1	8	558	-1837.6791	0.294	0.8606936451	5	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__160487at2759__code1	9	2616	-9014.7725	0.3527	0.9080715525	6	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__201273at2759__code1	10	762	-2382.0227	0.2479	0.7295484253	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__207567at2759__code1	10	540	-1834.1238	0.1788	1.2360951889000003	7	1000	0.29999999999999716	4	0	10	1	none_recorded	0	0	0	10	0	True	not_established
Cryptococcus__260326at2759__code1	10	510	-1785.4206	0.277	0.9637781747	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__2852757at2759__code1	10	1440	-5802.7816	0.4797	1.1154726229000003	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__288615at2759__code1	10	1875	-9980.6856	0.5232	1.5027997562000004	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__319730at2759__code1	10	1338	-4784.3913	0.436	0.8588633546	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__340246at2759__code1	10	2007	-7779.7462	0.4123	1.1777111069	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__345792at2759__code1	10	882	-2723.8946	0.2841	0.6706837376	7	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__352891at2759__code1	10	747	-2800.6398	0.3124	1.2510623987000002	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4613677at2759__code1	9	318	-1113.5961	0.2919	0.9814083141000001	6	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4695236at2759__code1	10	3228	-11619.7614	0.393	0.9070444558999999	7	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4747214at2759__code1	10	423	-1588.0355	0.4217	0.9585934747000001	7	1000	0.4000000000000057	1	0	1	1	none_recorded	0	0	0	1	0	True	not_established
Cryptococcus__4764044at2759__code1	10	1371	-5771.5373	0.5001	1.5200029184000006	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4803900at2759__code1	10	369	-1258.3786	0.2721	0.817968093	7	1000	0.3999999999999986	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4810093at2759__code1	10	2307	-9912.0348	0.4121	1.1269183208999998	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4813267at2759__code1	9	2445	-8795.0374	0.3266	1.2243407031	6	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4823929at2759__code1	10	1296	-5450.2542	0.4609	1.4987858791000002	7	1000	0.4000000000000057	2	0	13	1	none_recorded	0	0	0	13	0	True	not_established
Cryptococcus__4837017at2759__code1	10	678	-2718.4313	0.692	0.8718794066999999	7	1000	0.5	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4838864at2759__code1	10	1917	-7168.654	0.3731	0.9822068011999999	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4843240at2759__code1	10	1767	-7879.8293	0.6253	1.7485467336999998	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4867008at2759__code1	10	534	-2015.8979	0.3612	1.1254779675000002	7	1000	0.5	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4888252at2759__code1	9	2712	-10987.0219	0.4364	1.3627113797000001	6	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4896098at2759__code1	10	612	-2333.8522	0.4628	1.0766416508000003	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4900375at2759__code1	10	636	-2496.3914	0.4327	1.4030830842	7	1000	0.5	3	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4908955at2759__code1	9	972	-3625.0214	0.3717	1.2069397667000001	6	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4911644at2759__code1	10	2739	-10167.2338	0.3612	0.9624102598999998	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4940884at2759__code1	10	2610	-9509.459	0.3955	0.9994352691000001	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4969018at2759__code1	10	1368	-4715.3126	0.3259	0.8803565900999999	7	1000	0.4000000000000057	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Cryptococcus__4969636at2759__code1	10	1185	-4443.2082	0.2484	1.6423630743999997	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__115730at2759__code1	10	957	-4817.2061	0.4099	1.2050630039999999	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__129234at2759__code1	10	570	-1698.16	0.2303	0.48355922120000006	7	1000	0.4000000000000057	1	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__160487at2759__code1	10	2637	-8999.1554	0.3343	0.6968534553	7	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__201273at2759__code1	10	777	-2277.7983	0.2076	0.40835090719999995	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__207567at2759__code1	10	537	-1538.0856	0.158	0.5410291718	7	1000	0.4000000000000057	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__260326at2759__code1	10	504	-1723.1077	0.2152	0.8416919187999999	7	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__2852757at2759__code1	10	1479	-4682.6968	0.2477	0.5568757940000001	7	1000	0.5	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__288615at2759__code1	10	1986	-7113.7599	0.3252	0.7070730507000001	7	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__319730at2759__code1	9	1329	-4044.3438	0.2357	0.458345341	6	1000	0.20000000000000284	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__340246at2759__code1	10	2073	-7665.0656	0.367	0.6952487316000001	7	1000	0.29999999999999716	0	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__345792at2759__code1	10	894	-2152.2296	0.6229	0.23986201449999994	7	1000	0.29999999999999716	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__352891at2759__code1	10	756	-2089.5168	0.2464	0.46335471010000007	7	1000	0.4000000000000057	2	0	0	1	none_recorded	0	0	0	0	0	False	not_established
Fusarium__4613677at2759__code1	9	363	-1261.3448	0.3649	0.7105516224000001	6	1000	0.3999999999999986	2	0	2	1	none_recorded	0	0	0	2	0	True	not_established
