taxon_id	species_name	study_role	lineage_group	markers	raw_complete_single	raw_duplicated	raw_fragmented	raw_missing	duplicated_one_annotated_gene	duplicated_multiple_annotated_genes	duplicated_unresolved_gene_mapping	detected_markers_with_no_original_hit_retained	duplicated_markers_with_one_original_hit_retained
F705562	Polychaeton citri	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1093897	Phialemonium atrogriseum	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F223376	Phialemonium thermophilum	ingroup	Ascomycota	125	107	1	3	14	0	1	0	0	0
F1506992	Thozetella sp. PMI_491	ingroup	Ascomycota	125	122	3	0	0	0	3	0	0	0
F293227	Cyphellophora europaea	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F2486360	Exophiala viscosa	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1690604	Lithohypha guttulata	ingroup	Ascomycota	125	119	1	0	5	0	1	0	0	0
F1052096	Cladosporium halotolerans	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1507870	Cryoendolithus antarcticus	ingroup	Ascomycota	125	15	110	0	0	0	110	0	0	0
F1507873	Rachicladosporium monterosium	ingroup	Ascomycota	125	91	2	6	26	0	2	0	0	0
F91930	Coniochaeta hoffmannii	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F177197	Coniochaeta ligniaria	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F177199	Coniochaeta pulveracea	ingroup	Ascomycota	125	120	3	0	2	2	1	0	0	2
F164576	Chaenotheca gracillima	ingroup	Ascomycota	125	123	1	0	1	0	1	0	0	0
F2939403	Sclerophora amabilis	ingroup	Ascomycota	125	121	0	2	2	0	0	0	0	0
F5116	Cryphonectria parasitica	ingroup	Ascomycota	125	112	1	2	10	0	1	0	0	0
F1214568	Diaporthe amygdali	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F148313	Discula destructiva	ingroup	Ascomycota	125	121	3	0	1	3	0	0	0	3
F2268995	Blastobotrys vanleenenianus	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F2606893	Magnusiomyces paraingens	ingroup	Ascomycota	125	124	0	1	0	0	0	0	0	0
F796027	Sugiyamaella lignohabitans	ingroup	Ascomycota	125	114	0	3	8	0	0	0	0	0
F5580	Aureobasidium pullulans	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F2781224	Neodothiora populina	ingroup	Ascomycota	125	120	4	1	0	4	0	0	0	4
F2024903	Zalaria obscura	ingroup	Ascomycota	125	106	1	0	18	0	1	0	0	0
F1341166	Eremomyces bilateralis	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F182096	Aspergillus chevalieri	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F5059	Aspergillus flavus	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F746128	Aspergillus fumigatus	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1069201	Aspergillus luchuensis	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F41759	Aspergillus multicolor	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F162425	Aspergillus nidulans	ingroup	Ascomycota	125	123	0	0	2	0	0	0	0	0
F5062	Aspergillus oryzae	ingroup	Ascomycota	125	118	1	1	5	0	1	0	0	0
F1220207	Aspergillus puulaauensis	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1810926	Aspergillus stella-maris	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F1810928	Aspergillus undulatus	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F315204	Geoglossum umbratile	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F1670608	Glutinoglossum americanum	ingroup	Ascomycota	125	121	1	0	3	0	1	0	0	0
F265104	Trichoglossum hirsutum	ingroup	Ascomycota	125	120	1	1	3	0	1	0	0	0
F1671311	Colletotrichum abscissum	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F1209916	Colletotrichum costaricense	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F34406	Colletotrichum destructivum	ingroup	Ascomycota	125	123	1	1	0	0	1	0	0	0
F710243	Colletotrichum fioriniae	ingroup	Ascomycota	125	120	1	1	3	0	1	0	0	0
F474922	Colletotrichum gloeosporioides	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F80884	Colletotrichum higginsianum	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F2283408	Colletotrichum jinshuiense	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F1095194	Colletotrichum karsti	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F145971	Colletotrichum lupini	ingroup	Ascomycota	125	123	1	0	1	0	1	0	0	0
F1209934	Colletotrichum tamarilloi	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F5570	Cenococcum geophilum	ingroup	Ascomycota	125	121	1	0	3	0	1	0	0	0
F574774	Glonium stellatum	ingroup	Ascomycota	125	121	1	1	2	0	1	0	0	0
F5101	Amorphotheca resinae	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F40559	Botrytis cinerea	ingroup	Ascomycota	125	117	8	0	0	8	0	0	0	8
F2656787	Venustampulla echinocandica	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F195108	Fusarium falciforme	ingroup	Ascomycota	125	121	2	0	2	0	2	0	0	0
F5127	Fusarium fujikuroi	ingroup	Ascomycota	125	122	2	0	1	0	2	0	0	0
F5518	Fusarium graminearum	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F1328300	Fusarium keratoplasticum	ingroup	Ascomycota	125	123	1	0	1	0	1	0	0	0
F1042133	Fusarium musae	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F5507	Fusarium oxysporum	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F36050	Fusarium poae	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F101028	Fusarium pseudograminearum	ingroup	Ascomycota	125	123	0	0	2	0	0	0	0	0
F5128	Fusarium sambucinum	ingroup	Ascomycota	125	123	1	0	1	0	1	0	0	0
F117187	Fusarium verticillioides	ingroup	Ascomycota	125	102	23	0	0	23	0	0	0	23
F173216	Trichoderma aggressivum	ingroup	Ascomycota	125	122	1	1	1	0	1	0	0	0
F101201	Trichoderma asperellum	ingroup	Ascomycota	125	121	3	1	0	3	0	0	0	3
F63577	Trichoderma atroviride	ingroup	Ascomycota	125	117	2	3	3	1	1	0	0	1
F2034170	Trichoderma breve	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F1738374	Trichoderma camerunense	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F58853	Trichoderma citrinoviride	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F549676	Trichoderma evansii	ingroup	Ascomycota	125	123	2	0	0	0	2	0	0	0
F398673	Trichoderma gamsii	ingroup	Ascomycota	125	117	2	0	6	0	2	0	0	0
F65468	Trichoderma ghanense	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F5544	Trichoderma harzianum	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F2732470	Bacidia gigantensis	ingroup	Ascomycota	125	117	1	1	6	0	1	0	0	0
F209136	Lepraria neglecta	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F560253	Letharia lupina	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F2939399	Claussenomyces sp. TS43310	ingroup	Ascomycota	125	120	0	0	5	0	0	0	0	0
F3384825	Phaeococcomyces sp. EXF-18165	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F174425	Lichina confinis	ingroup	Ascomycota	125	119	0	1	5	0	0	0	0	0
F318774	Phylliscum demangeonii	ingroup	Ascomycota	125	121	1	1	2	0	1	0	0	0
F2796175	Watsoniomyces obsoletus	ingroup	Ascomycota	125	113	0	1	11	0	0	0	0	0
F578093	Lineolata rhizophorae	ingroup	Ascomycota	125	122	0	2	1	0	0	0	0	0
F1125753	Limtongia smithiae	ingroup	Ascomycota	125	123	1	1	0	0	1	0	0	0
F383834	Lipomyces doorenjongii	ingroup	Ascomycota	125	123	0	1	1	0	0	0	0	0
F44089	Neoaidaea tothii	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F339359	Zalerion maritima	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F36779	Gaeumannomyces tritici	ingroup	Ascomycota	125	122	3	0	0	3	0	0	0	3
F148304	Magnaporthiopsis poae	ingroup	Ascomycota	125	103	2	8	12	1	1	0	0	1
F148305	Pyricularia grisea	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F2035830	Berkeleyomyces rouxiae	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F2019550	Ceratocystis lukuohia	ingroup	Ascomycota	125	123	0	0	2	0	0	0	0	0
F563466	Scedosporium apiospermum	ingroup	Ascomycota	125	101	2	1	21	0	2	0	0	0
F703497	Microthyrium microscopicum	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F122368	Cercospora beticola	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F574656	Recurvomyces mirabilis	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1690608	Saxophila tyrrhenica	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F2601811	Elsinoe batatas	ingroup	Ascomycota	125	121	0	0	4	0	0	0	0	0
F147570	Myriangium duriaei	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F2082308	Sphaceloma murrayae	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F741139	Lepidopterella palustris	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F390894	Lophium mytilinum	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F574789	Mytilinidion resinicola	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F48691	Neolecta irregularis	ingroup	Ascomycota	125	112	0	6	7	0	0	0	0	0
F92988	Neophaeotheca triangularis	ingroup	Ascomycota	125	119	6	0	0	0	6	0	0	0
F199306	Coccidioides posadasii	ingroup	Ascomycota	125	118	3	2	2	3	0	0	0	3
F63402	Nannizzia gypsea	ingroup	Ascomycota	125	123	2	0	0	0	2	0	0	0
F1048829	Paracoccidioides lutzii	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F226899	Leptographium clavigerum	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F61273	Ophiostoma piceae	ingroup	Ascomycota	125	123	0	0	2	0	0	0	0	0
F29908	Sporothrix schenckii	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F97331	Arthrobotrys flagrans	ingroup	Ascomycota	125	124	1	0	0	1	0	0	0	1
F1814901	Dactylella cylindrospora	ingroup	Ascomycota	125	117	0	1	7	0	0	0	0	0
F2813651	Orbilia oligospora	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1940652	Gomphillus americanus	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F2704026	Stictis urceolata	ingroup	Ascomycota	125	122	0	1	2	0	0	0	0	0
F209281	Thelotrema lepadinum	ingroup	Ascomycota	125	114	4	1	6	0	4	0	0	0
F703506	Patellaria atrata	ingroup	Ascomycota	125	121	1	1	2	0	1	0	0	0
F669869	Lobaria immixta	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F52883	Peltigera leucophlebia	ingroup	Ascomycota	125	92	2	3	28	0	2	0	0	0
F169141	Pseudocyphellaria aurata	ingroup	Ascomycota	125	116	5	1	3	0	5	0	0	0
F443868	Agyrium rufum	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F1006475	Circinaria calcarea	ingroup	Ascomycota	125	106	2	5	12	0	2	0	0	0
F90408	Icmadophila ericetorum	ingroup	Ascomycota	125	122	2	0	1	0	2	0	0	0
F1174673	Morchella importuna	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F43433	Tricharina praecox	ingroup	Ascomycota	125	121	3	1	0	0	3	0	0	0
F39416	Tuber melanosporum	ingroup	Ascomycota	125	118	0	1	6	0	0	0	0	0
F158046	Phaeomoniella chlamydospora	ingroup	Ascomycota	125	116	0	1	8	0	0	0	0	0
F703511	Trichodelitschia bisporula	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F4927	Hansenula anomala	ingroup	Ascomycota	125	116	4	1	4	0	4	0	0	0
F599730	Waltiozyma pijperi	ingroup	Ascomycota	125	120	1	0	4	0	1	0	0	0
F4903	Williopsis jadinii	ingroup	Ascomycota	125	121	2	0	2	0	2	0	0	0
F1825666	Phyllachora maydis	ingroup	Ascomycota	125	109	3	0	13	2	1	0	0	2
F1276059	Polystigma amygdalinum	ingroup	Ascomycota	125	116	2	0	7	0	2	0	0	0
F13502	Brettanomyces nanus	ingroup	Ascomycota	125	121	0	1	3	0	0	0	0	0
F1005962	Ogataea parapolymorpha	ingroup	Ascomycota	125	121	0	1	3	0	0	0	0	0
F4909	Pichia kudriavzevii	ingroup	Ascomycota	125	121	0	0	4	0	0	0	0	0
F48095	Alternaria dauci	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F5454	Ascochyta rabiei	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F5022	Plenodomus lingam	ingroup	Ascomycota	125	124	0	1	0	0	0	0	0	0
F4754	Pneumocystis carinii	ingroup	Ascomycota	125	122	0	1	2	0	0	0	0	0
F42068	Pneumocystis jirovecii	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F263815	Pneumocystis murina	ingroup	Ascomycota	125	123	0	1	1	0	0	0	0	0
F2977754	Pyrenula ochraceoflavens	ingroup	Ascomycota	125	114	0	1	10	0	0	0	0	0
F3060298	Pyrenula sp. 1 TL-2023	ingroup	Ascomycota	125	109	0	0	16	0	0	0	0	0
F1453789	Toensbergia leucococca	ingroup	Ascomycota	125	119	1	0	5	0	1	0	0	0
F706196	Saccharomyces arboricola	ingroup	Ascomycota	125	104	1	0	20	0	1	0	0	0
F4932	Saccharomyces cerevisiae	ingroup	Ascomycota	125	123	0	0	2	0	0	0	0	0
F332112	Saccharomyces cerevisiae x Saccharomyces kudriavzevii	ingroup	Ascomycota	125	49	67	0	9	0	67	0	0	0
F1080349	Saccharomyces eubayanus	ingroup	Ascomycota	125	120	1	1	3	0	1	0	0	0
F114524	Saccharomyces kudriavzevii	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F114525	Saccharomyces mikatae	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F27291	Saccharomyces paradoxus	ingroup	Ascomycota	125	122	1	0	2	0	1	0	0	0
F27292	Saccharomyces pastorianus	ingroup	Ascomycota	125	14	109	0	2	0	109	0	0	0
F230603	Saccharomyces uvarum	ingroup	Ascomycota	125	121	1	0	3	0	1	0	0	0
F29833	Hanseniaspora uvarum	ingroup	Ascomycota	125	101	1	1	22	0	1	0	0	0
F56409	Hanseniaspora vineae	ingroup	Ascomycota	125	119	0	0	6	0	0	0	0	0
F36035	Saccharomycodes ludwigii	ingroup	Ascomycota	125	120	0	0	5	0	0	0	0	0
F1099800	Saitoella coloradoensis	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F5606	Saitoella complicata	ingroup	Ascomycota	125	122	2	0	1	0	2	0	0	0
F273283	Sarea resinae	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F400354	Loxospora ochrophaea	ingroup	Ascomycota	125	119	0	0	6	0	0	0	0	0
F1042397	Schaereria dolodes	ingroup	Ascomycota	125	118	0	1	6	0	0	0	0	0
F4897	Schizosaccharomyces japonicus	ingroup	Ascomycota	125	121	2	0	2	0	2	0	0	0
F2545709	Schizosaccharomyces osmophilus	ingroup	Ascomycota	125	122	2	0	1	0	2	0	0	0
F4896	Schizosaccharomyces pombe	ingroup	Ascomycota	125	121	3	0	1	0	3	0	0	0
F241526	Candida africana	ingroup	Ascomycota	125	69	3	1	52	0	3	0	0	0
F5476	Candida albicans	ingroup	Ascomycota	125	118	4	0	3	0	4	0	0	0
F42374	Candida dubliniensis	ingroup	Ascomycota	125	118	4	0	3	0	4	0	0	0
F5479	Candida maltosa	ingroup	Ascomycota	125	113	5	1	6	0	5	0	0	0
F5482	Candida tropicalis	ingroup	Ascomycota	125	115	4	1	5	0	4	0	0	0
F5486	Candida viswanathii	ingroup	Ascomycota	125	31	84	3	7	0	84	0	0	0
F2609844	Podospora pseudoanserina	ingroup	Ascomycota	125	124	0	1	0	0	0	0	0	0
F72144	Remersonia thermophila	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F5147	Sordaria macrospora	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F2754530	Protomyces lactucae-debilis	ingroup	Ascomycota	125	122	2	1	0	0	2	0	0	0
F5011	Taphrina deformans	ingroup	Ascomycota	125	112	0	0	13	0	0	0	0	0
F1145299	Brigantiaea leucoxantha	ingroup	Ascomycota	125	105	1	3	16	0	1	0	0	0
F1145321	Letrouitia subvulpina	ingroup	Ascomycota	125	111	1	1	12	0	1	0	0	0
F116982	Xanthoria calcicola	ingroup	Ascomycota	125	113	9	3	0	9	0	0	0	9
F3342545	Pseudogymnoascus australis	ingroup	Ascomycota	125	121	1	1	2	0	1	0	0	0
F655981	Pseudogymnoascus destructans	ingroup	Ascomycota	125	122	2	1	0	0	2	0	0	0
F342668	Pseudogymnoascus verrucosus	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F1116844	Thelocarpon impressellum	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F2939404	Thelocarpon superellum	ingroup	Ascomycota	125	121	0	2	2	0	0	0	0	0
F1093900	Thyridium curvatum	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F223192	Phaeoacremonium minimum	ingroup	Ascomycota	125	118	1	1	5	0	1	0	0	0
F2918522	Lignoscripta atroalba	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F129515	Trapelia coarctata	ingroup	Ascomycota	125	119	0	0	6	0	0	0	0	0
F51930	Tortispora caseinolytica	ingroup	Ascomycota	125	118	1	3	3	0	1	0	0	0
F2939406	Bogoriella megaspora	ingroup	Ascomycota	125	123	0	0	2	0	0	0	0	0
F364730	Trypethelium subeluteriae	ingroup	Ascomycota	125	112	0	0	13	0	0	0	0	0
F1048519	Viridothelium virens	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F318760	Hypocenomyce scalaris	ingroup	Ascomycota	125	124	0	1	0	0	0	0	0	0
F136370	Lasallia pustulata	ingroup	Ascomycota	125	120	2	1	2	0	2	0	0	0
F87287	Umbilicaria vellea	ingroup	Ascomycota	125	111	0	3	11	0	0	0	0	0
F1048955	Tothia fuscella	ingroup	Ascomycota	125	125	0	0	0	0	0	0	0	0
F50376	Venturia effusa	ingroup	Ascomycota	125	124	1	0	0	0	1	0	0	0
F253628	Verruconis gallopava	ingroup	Ascomycota	125	111	13	0	1	13	0	0	0	13
F364733	Endocarpon pusillum	ingroup	Ascomycota	125	116	1	2	6	0	1	0	0	0
F2939408	Vezdaea acicularis	ingroup	Ascomycota	125	123	0	2	0	0	0	0	0	0
F2939405	Vezdaea aestivalis	ingroup	Ascomycota	125	122	0	0	3	0	0	0	0	0
F326681	Hypoxylon trugodes	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F1682393	Microdochium trichocladiopsis	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F326684	Xylaria bambusicola	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F1130053	Cirrosporium novae-zelandiae	ingroup	Ascomycota	125	120	4	0	1	0	4	0	0	0
F1217826	Xylona heveae	ingroup	Ascomycota	125	124	0	0	1	0	0	0	0	0
F423460	Basidiobolus meristosporus	ingroup	Basidiobolomycota	125	107	18	0	0	0	18	0	0	0
F34480	Basidiobolus ranarum	ingroup	Basidiobolomycota	125	90	34	0	1	7	27	0	0	7
F87326	Amanita brunnescens	ingroup	Basidiomycota	125	102	20	2	1	19	1	0	1	19
F933333	Amanita inopinata	ingroup	Basidiomycota	125	121	3	0	1	2	1	0	0	2
F41956	Amanita muscaria	ingroup	Basidiomycota	125	120	3	1	1	0	3	0	0	0
F67723	Amanita phalloides	ingroup	Basidiomycota	125	125	0	0	0	0	0	0	0	0
F1004511	Amanita polypyramis	ingroup	Basidiomycota	125	109	13	2	1	13	0	0	0	13
F71933	Amanita rubescens	ingroup	Basidiomycota	125	109	14	2	0	0	14	0	0	0
F235537	Amanita thiersii	ingroup	Basidiomycota	125	125	0	0	0	0	0	0	0	0
F89243	Laccaria amethystina	ingroup	Basidiomycota	125	121	4	0	0	0	4	0	0	0
F29883	Laccaria bicolor	ingroup	Basidiomycota	125	111	4	1	9	0	4	0	0	0
F44565	Sterigmatomyces hyphaenes	ingroup	Basidiomycota	125	124	1	0	0	0	1	0	0	0
F2831993	Plicatura crispa	ingroup	Basidiomycota	125	123	2	0	0	0	2	0	0	0
F1759441	Athelia psychrophila	ingroup	Basidiomycota	125	114	10	0	1	0	10	0	0	0
F2748771	Athelia sp. TMB	ingroup	Basidiomycota	125	43	80	1	1	0	80	0	0	0
F80663	Piloderma croceum	ingroup	Basidiomycota	125	121	3	0	1	0	3	0	0	0
F1938712	Atractiella rhizophila	ingroup	Basidiomycota	125	101	19	4	1	0	19	0	0	0
F1331295	Auricularia subglabra	ingroup	Basidiomycota	125	118	6	0	1	0	6	0	0	0
F2829486	Auriculariales sp. MPI-PUGE-AT-0066	ingroup	Basidiomycota	125	121	1	0	3	0	1	0	0	0
F5219	Exidia glandulosa	ingroup	Basidiomycota	125	97	24	2	2	0	24	0	0	0
F48563	Suillus bovinus	ingroup	Basidiomycota	125	124	1	0	0	0	1	0	0	0
F48565	Suillus brevipes	ingroup	Basidiomycota	125	122	3	0	0	0	3	0	0	0
F1904413	Suillus clintonianus	ingroup	Basidiomycota	125	123	1	0	1	0	1	0	0	0
F1912936	Suillus discolor	ingroup	Basidiomycota	125	123	2	0	0	0	2	0	0	0
F1912939	Suillus fuscotomentosus	ingroup	Basidiomycota	125	117	7	0	1	0	7	0	0	0
F48578	Suillus paluster	ingroup	Basidiomycota	125	121	3	0	1	0	3	0	0	0
F116603	Suillus plorans	ingroup	Basidiomycota	125	121	4	0	0	0	4	0	0	0
F48586	Suillus subalutaceus	ingroup	Basidiomycota	125	120	3	0	2	0	3	0	0	0
F48587	Suillus subaureus	ingroup	Basidiomycota	125	116	5	0	4	0	5	0	0	0
F48593	Suillus weaverae	ingroup	Basidiomycota	125	123	1	0	1	0	1	0	0	0
F264124	Botryobasidium botryosum	ingroup	Basidiomycota	125	123	2	0	0	0	2	0	0	0
F1750568	Cantharellus anzutake	ingroup	Basidiomycota	125	106	16	2	1	0	16	0	0	0
F170446	Ceratobasidium sp. AG-Ba	ingroup	Basidiomycota	125	19	104	0	2	0	104	0	0	0
F139363	Hydnum rufescens	ingroup	Basidiomycota	125	118	3	1	3	0	3	0	0	0
F456999	Rhizoctonia solani	ingroup	Basidiomycota	125	116	1	2	6	0	1	0	0	0
F156515	Tulasnella calospora	ingroup	Basidiomycota	125	105	7	7	6	0	7	0	0	0
F401625	Ceraceosorus bombacis	ingroup	Basidiomycota	125	111	0	1	13	0	0	0	0	0
F1522189	Ceraceosorus guamensis	ingroup	Basidiomycota	125	123	0	0	2	0	0	0	0	0
F203533	Classicula fluitans	ingroup	Basidiomycota	125	116	7	1	1	0	7	0	0	0
F202698	Punctularia strigosozonata	ingroup	Basidiomycota	125	123	1	0	1	0	1	0	0	0
F2778381	Cyphobasidiales sp. Tagirdzhanova-0007	ingroup	Basidiomycota	125	118	0	1	6	0	0	0	0	0
F29899	Cystobasidium minutum	ingroup	Basidiomycota	125	125	0	0	0	0	0	0	0	0
F29902	Mrakia frigida	ingroup	Basidiomycota	125	125	0	0	0	0	0	0	0	0
F264483	Phaffia rhodozyma	ingroup	Basidiomycota	125	124	0	0	1	0	0	0	0	0
F29889	Calocera cornea	ingroup	Basidiomycota	125	124	0	0	1	0	0	0	0	0
F63146	Calocera viscosa	ingroup	Basidiomycota	125	122	3	0	0	0	3	0	0	0
F1858805	Dacryopinax primogenitus	ingroup	Basidiomycota	125	120	2	1	2	0	2	0	0	0
F58919	Tilletiopsis washingtonensis	ingroup	Basidiomycota	125	121	0	1	3	0	0	0	0	0
F5414	Erythrobasidium hasegawianum	ingroup	Basidiomycota	125	124	1	0	0	0	1	0	0	0
