entry_id	taxon_id	protein_id	repeat_order	canonical_residues	gap_residues	ambiguous_residues	source_BRF1_hits	source_gene_status
G0000074	F109760	XP_016610841.1	1	86	6	0	0	unique_gene
G0000075	F109760	XP_016610874.1	1	87	5	0	1	unique_gene
G0000077	F109876	ORZ32262.1	1	84	8	0	0	unique_gene
G0000080	F109876	ORZ37691.1	1	82	10	0	0	unique_gene
G0000081	F109889	KAJ3380545.1	1	87	5	0	1	unique_gene
G0000083	F109889	KAJ3396307.1	1	87	5	0	0	unique_gene
G0000084	F109899	KIM25500.1	1	81	11	0	0	unique_gene
G0000085	F109899	KIM26995.1	1	71	21	0	1	unique_gene
G0000087	F109932	KAJ3345026.1	1	85	7	0	1	unique_gene
G0000088	F109932	KAJ3345204.1	1	85	7	0	0	unique_gene
G0000089	F1099800	BFZ62965.1	1	79	13	0	1	unique_gene
G0000090	F1099800	BFZ65174.1	1	86	6	0	0	unique_gene
G0000091	F110093	XP_052962621.1	1	86	6	0	0	unique_gene
G0000093	F110093	XP_052964835.1	1	83	9	0	1	unique_gene
G0000094	F1116844	KAI9821366.1	1	86	6	0	0	unique_gene
G0000095	F1116844	KAI9821389.1	1	82	10	0	1	unique_gene
G0000097	F1117311	CAI2163589.1	1	89	3	0	0	unique_gene
G0000099	F1117311	CAI2173001.1	1	87	5	0	0	unique_gene
G0000101	F112072	KAO0799741.1	1	88	4	0	0	unique_gene
G0000102	F112072	KAO0801807.1	1	91	1	0	1	unique_gene
G0000106	F1123529	KXS17188.1	1	83	9	0	0	unique_gene
G0000108	F112417	KAF8502973.1	1	90	2	0	1	unique_gene
G0000109	F112417	KAF8515000.1	1	87	5	0	0	unique_gene
G0000110	F1125753	XP_066760421.1	1	87	5	0	0	unique_gene
G0000111	F1125753	XP_066761632.1	1	91	1	0	1	unique_gene
G0000112	F1130053	KAI9727586.1	1	84	8	0	1	unique_gene
G0000113	F1130053	KAI9730816.1	1	86	6	0	0	unique_gene
G0000114	F113071	KAF8574195.1	1	87	5	0	0	unique_gene
G0000116	F113071	KAF8583525.1	1	90	2	0	1	unique_gene
G0000118	F1141098	XP_040710197.1	1	88	4	0	0	unique_gene
G0000119	F1141098	XP_040710702.1	1	87	5	0	1	unique_gene
G0000120	F114524	XP_056085708.1	1	89	3	0	0	unique_gene
G0000121	F114524	XP_056088007.1	1	90	2	0	1	unique_gene
G0000122	F114525	XP_056079833.1	1	90	2	0	1	unique_gene
G0000124	F114525	XP_056080065.1	1	90	2	0	0	unique_gene
G0000125	F1145299	KAL8740984.1	1	80	12	0	0	unique_gene
G0000126	F1145299	KAL8746383.1	1	88	4	0	0	unique_gene
G0000128	F1145321	KAL9613842.1	1	88	4	0	0	unique_gene
G0000129	F116603	XP_041153715.1	1	88	4	0	0	unique_gene
G0000132	F116794	CAF9909603.1	1	83	9	0	1	unique_gene
G0000135	F116794	CAF9919473.1	1	87	5	0	0	unique_gene
G0000139	F116821	KAG7008427.1	1	85	7	0	0	unique_gene
G0000140	F116821	KAG7009578.1	1	72	20	0	1	unique_gene
G0000141	F116982	CAO1596844.1	1	83	9	0	1	unique_gene
G0000142	F116982	CAO1601628.1	1	89	3	0	0	unique_gene
G0000144	F117179	KAE8213984.1	1	86	6	0	0	unique_gene
G0000145	F117179	KAE8216633.1	1	87	5	0	1	unique_gene
G0000146	F117187	XP_018743646.1	1	85	7	0	0	unique_gene
G0000147	F117187	XP_018757245.1	1	84	8	0	1	unique_gene
G0000148	F1174673	XP_045968362.1	1	83	9	0	0	unique_gene
G0000149	F1174673	XP_045969037.1	1	87	5	0	0	unique_gene
G0000150	F1174673	XP_045970904.1	1	87	5	0	0	unique_gene
G0000151	F1174673	XP_045971023.1	1	85	7	0	1	unique_gene
G0000152	F1176130	KAF1983727.1	1	83	9	0	0	unique_gene
G0000153	F1176130	KAF1987306.1	1	84	8	0	1	unique_gene
G0000155	F1176355	KAK1349435.1	1	85	7	0	0	unique_gene
G0000156	F120017	XP_041409806.1	1	87	5	0	1	unique_gene
G0000157	F120017	XP_041412108.1	1	87	5	0	0	unique_gene
G0000158	F1209916	XP_060316181.1	1	88	4	0	1	unique_gene
G0000159	F1209916	XP_060316375.1	1	86	6	0	0	unique_gene
G0000160	F1209934	XP_060376407.1	1	86	6	0	0	unique_gene
G0000161	F1209934	XP_060383788.1	1	88	4	0	1	unique_gene
G0000167	F1214568	XP_052992186.1	1	88	4	0	0	unique_gene
G0000168	F1214568	XP_052995351.1	1	65	27	0	1	unique_gene
G0000169	F121624	XP_066746361.1	1	87	5	0	0	unique_gene
G0000170	F121624	XP_066749666.1	1	84	8	0	1	unique_gene
G0000171	F1217826	XP_018185271.1	1	85	7	0	1	unique_gene
G0000172	F1217826	XP_018185335.1	1	86	6	0	0	unique_gene
G0000173	F1220207	XP_041554367.1	1	85	7	0	1	unique_gene
G0000174	F1220207	XP_041554901.1	1	87	5	0	0	unique_gene
G0000175	F122368	XP_023455660.1	1	83	9	0	1	unique_gene
G0000176	F122368	XP_023456382.1	1	86	6	0	0	unique_gene
G0000177	F1230402	KAN0704773.1	1	88	4	0	1	unique_gene
G0000178	F1230402	KAN0706460.1	1	87	5	0	0	unique_gene
G0000179	F1243177	KAI3642019.1	1	87	5	0	1	unique_gene
G0000180	F1243177	KAI3645886.1	1	84	8	0	0	unique_gene
G0000181	F1243177	KAI3647261.1	1	87	5	0	1	unique_gene
G0000182	F1243177	KAI3648366.1	1	84	8	0	0	unique_gene
G0000183	F1246581	PJF19050.1	1	87	5	0	1	unique_gene
G0000184	F1246581	PJF19848.1	1	87	5	0	0	unique_gene
G0000185	F1269715	KAN0063535.1	1	85	7	0	1	unique_gene
G0000186	F1269715	KAN0063901.1	1	87	5	0	0	unique_gene
G0000187	F1276059	KAN5907884.1	1	87	5	0	1	unique_gene
G0000188	F1276059	KAN5919274.1	1	87	5	0	0	unique_gene
G0000189	F1280837	XP_025351996.1	1	87	5	0	1	unique_gene
G0000190	F1280837	XP_025353971.1	1	83	9	0	0	unique_gene
G0000191	F1286916	KAI9226779.1	1	87	5	0	0	unique_gene
G0000193	F1286916	KAI9227636.1	1	89	3	0	1	unique_gene
G0000195	F129515	MCJ1244759.1	1	87	5	0	0	unique_gene
G0000196	F129515	MCJ1244789.1	1	84	8	0	1	unique_gene
G0000197	F1300064	KAL6121319.1	1	79	13	0	1	unique_gene
G0000198	F1300064	KAL6121991.1	1	86	6	0	0	unique_gene
G0000199	F1314805	KAI0029930.1	1	88	4	0	0	unique_gene
G0000200	F1314805	KAI0036367.1	1	88	4	0	1	unique_gene
G0000201	F1323573	KAM0748972.1	1	86	6	0	0	unique_gene
G0000203	F1323573	KAM0752536.1	1	89	3	0	1	unique_gene
G0000204	F1328300	XP_052911834.1	1	87	5	0	1	unique_gene
G0000205	F1328300	XP_052919485.1	1	85	7	0	0	unique_gene
G0000206	F13290	CAD7067213.1	1	86	6	0	0	unique_gene
G0000207	F13290	CAD7068324.1	1	87	5	0	1	unique_gene
G0000210	F13291	CAD6971897.1	1	87	5	0	1	unique_gene
G0000211	F13291	CAD6972469.1	1	86	6	0	0	unique_gene
G0000213	F1331295	EJD41890.1	1	83	9	0	0	unique_gene
G0000214	F1331295	EJD50755.1	1	88	4	0	1	unique_gene
G0000215	F1331295	EJD53975.1	1	88	4	0	0	unique_gene
G0000216	F133377	PVZ96525.1	1	85	7	0	0	unique_gene
G0000218	F133377	PWA03274.1	1	85	7	0	0	unique_gene
G0000219	F133385	PVU88184.1	1	87	5	0	0	unique_gene
G0000222	F133385	PVU94956.1	1	86	6	0	1	unique_gene
G0000223	F1341166	XP_033534454.1	1	86	6	0	0	unique_gene
G0000224	F1341166	XP_033534638.1	1	87	5	0	1	unique_gene
G0000227	F1343610	KAG0257876.1	1	74	18	0	1	unique_gene
G0000228	F1343610	KAG0258747.1	1	88	4	0	0	unique_gene
G0000229	F1343614	KAI1307209.1	1	86	6	0	0	unique_gene
G0000230	F1343614	KAI1316422.1	1	88	4	0	1	unique_gene
G0000232	F1348612	RHZ50774.1	1	89	3	0	1	unique_gene
G0000233	F1348612	RHZ62737.1	1	87	5	0	0	unique_gene
G0000235	F1348612	RHZ88516.1	1	87	5	0	0	unique_gene
G0000237	F1348612	RHZ88861.1	1	79	13	0	0	unique_gene
G0000239	F13502	XP_038777611.1	1	85	7	0	0	unique_gene
G0000240	F13502	XP_038778107.1	1	91	1	0	1	unique_gene
G0000243	F135208	TFY77090.1	1	88	4	0	0	unique_gene
G0000244	F135589	KAI5119602.1	1	88	4	0	0	unique_gene
G0000245	F135589	KAI5120990.1	1	88	4	0	1	unique_gene
G0000247	F136370	KAA6415845.1	1	84	8	0	1	unique_gene
G0000248	F136370	KAA6416116.1	1	86	6	0	0	unique_gene
G0000249	F139363	KAF9515260.1	1	87	5	0	0	unique_gene
G0000250	F139363	KAF9518324.1	1	85	7	0	1	unique_gene
G0000252	F1396493	XP_052921179.1	1	89	3	0	1	unique_gene
G0000253	F1396493	XP_052927634.1	1	87	5	0	0	unique_gene
G0000254	F1397036	MCJ1473732.1	1	86	6	0	1	unique_gene
G0000255	F1397036	MCJ1473846.1	1	87	5	0	0	unique_gene
G0000256	F1419009	GJJ07198.1	1	87	5	0	0	unique_gene
G0000257	F1419009	GJJ14676.1	1	90	2	0	1	unique_gene
G0000258	F1424756	KAJ9113696.1	1	79	13	0	0	unique_gene
G0000259	F1424756	KAJ9121508.1	1	90	2	0	1	unique_gene
G0000260	F143232	XP_062624597.1	1	84	8	0	0	unique_gene
G0000261	F143232	XP_062631038.1	1	83	9	0	1	unique_gene
G0000262	F1440133	KAF9928220.1	1	86	6	0	0	unique_gene
G0000265	F1440133	KAF9963586.1	1	82	10	0	0	unique_gene
G0000267	F1440133	KAF9997157.1	1	76	16	0	1	unique_gene
G0000269	F144530	CAG8486999.1	1	88	4	0	1	unique_gene
G0000271	F144530	CAG8595485.1	1	87	5	0	0	unique_gene
G0000272	F144538	CAG8468918.1	1	86	6	0	0	unique_gene
G0000275	F144538	CAG8608137.1	1	88	4	0	1	unique_gene
G0000276	F144539	CAG8465463.1	1	86	6	0	0	unique_gene
G0000280	F144679	CAG8583053.1	1	88	4	0	1	unique_gene
G0000286	F1453789	MCJ1225984.1	1	84	8	0	0	unique_gene
G0000287	F1453789	MCJ1226620.1	1	85	7	0	1	unique_gene
G0000288	F1453791	KAI9808956.1	1	89	3	0	0	unique_gene
G0000289	F1453791	KAI9810911.1	1	83	9	0	1	unique_gene
G0000290	F145971	XP_049141135.1	1	86	6	0	0	unique_gene
G0000291	F145971	XP_049141351.1	1	88	4	0	1	unique_gene
G0000292	F1463510	CAO1617712.1	1	85	7	0	0	unique_gene
G0000293	F1463510	CAO1623765.1	1	88	4	0	1	unique_gene
G0000294	F147570	KAF2147761.1	1	87	5	0	0	unique_gene
G0000295	F147570	KAF2153164.1	1	87	5	0	1	unique_gene
G0000297	F147573	KAF2860257.1	1	83	9	0	1	unique_gene
G0000298	F147573	KAF2860307.1	1	85	7	0	0	unique_gene
G0000299	F147573	KAF2861032.1	1	85	7	0	0	unique_gene
G0000300	F148304	KLU84682.1	1	85	7	0	0	unique_gene
G0000301	F148304	KLU91445.1	1	87	5	0	1	unique_gene
G0000302	F148305	XP_030976520.1	1	87	5	0	1	unique_gene
G0000303	F148313	CAN8101979.1	1	84	8	0	0	unique_gene
G0000304	F148313	CAN8102684.1	1	85	7	0	1	unique_gene
G0000305	F1498855	KAI3659879.1	1	89	3	0	1	unique_gene
G0000306	F1498855	KAI3662357.1	1	86	6	0	0	unique_gene
G0000307	F1500003	KAI9137914.1	1	89	3	0	1	unique_gene
G0000308	F1500003	KAI9138302.1	1	83	9	0	0	unique_gene
G0000310	F1504668	KAF2096962.1	1	87	5	0	1	unique_gene
G0000311	F1504668	KAF2097281.1	1	84	8	0	0	unique_gene
G0000312	F1506992	KAH8886891.1	1	87	5	0	0	unique_gene
G0000313	F1506992	KAH8895829.1	1	86	6	0	1	unique_gene
G0000314	F1507870	OQO01292.1	1	85	7	0	0	unique_gene
G0000315	F1507870	OQO07814.1	1	83	9	0	1	unique_gene
G0000316	F1507870	OQO10494.1	1	83	9	0	1	unique_gene
G0000317	F1507870	OQO10652.1	1	85	7	0	0	unique_gene
G0000318	F1507873	KAK5139523.1	1	83	9	0	1	unique_gene
G0000319	F1507873	KAK5143726.1	1	85	7	0	0	unique_gene
G0000321	F150792	KAF8514878.1	1	87	5	0	0	unique_gene
G0000322	F150792	KAF8526611.1	1	90	2	0	1	unique_gene
G0000327	F1520584	KAJ1967352.1	1	81	11	0	0	unique_gene
G0000328	F1522189	XP_025367439.1	1	87	5	0	1	unique_gene
G0000329	F1522189	XP_025371089.1	1	86	6	0	0	unique_gene
G0000330	F152956	KAN0109589.1	1	88	4	0	0	unique_gene
G0000331	F152956	KAN0125990.1	1	88	4	0	1	unique_gene
G0000332	F1540922	TIA90838.1	1	88	4	0	0	unique_gene
G0000333	F1540922	TIA93145.1	1	88	4	0	1	unique_gene
G0000334	F1542792	KAL9083600.1	1	83	9	0	1	unique_gene
G0000335	F1542792	KAL9085470.1	1	88	4	0	0	unique_gene
G0000337	F1555241	RKO99175.1	1	89	3	0	1	unique_gene
G0000338	F1555241	RKP00792.1	1	86	6	0	0	unique_gene
G0000339	F156515	KIO26879.1	1	84	8	0	1	unique_gene
G0000340	F156515	KIO29467.1	1	84	8	0	0	unique_gene
G0000343	F1569628	XP_025359801.1	1	83	9	0	0	unique_gene
G0000345	F157183	CAD6939011.1	1	86	6	0	0	unique_gene
G0000346	F157183	CAD6961651.1	1	87	5	0	1	unique_gene
G0000350	F158046	KKY28821.1	1	88	4	0	0	unique_gene
G0000351	F1590129	MCJ1394665.1	1	87	5	0	0	unique_gene
G0000352	F1590129	MCJ1394670.1	1	86	6	0	1	unique_gene
G0000353	F1604274	KAJ1558766.1	1	84	8	0	1	unique_gene
G0000355	F162425	XP_660720.1	1	64	28	0	1	unique_gene
G0000356	F162425	XP_662532.1	1	88	4	0	0	unique_gene
G0000357	F164576	KAI9757924.1	1	85	7	0	1	unique_gene
G0000358	F164576	KAI9762156.1	1	89	3	0	0	unique_gene
G0000359	F164912	KAF7682760.1	1	85	7	0	0	unique_gene
G0000360	F164912	KAF7683212.1	1	78	14	0	1	unique_gene
G0000361	F1658444	XP_049164614.1	1	83	9	0	1	unique_gene
G0000363	F1658444	XP_049166563.1	1	86	6	0	0	unique_gene
G0000364	F1670608	KAH0536588.1	1	82	10	0	1	unique_gene
G0000365	F1670608	KAH0542692.1	1	87	5	0	0	unique_gene
G0000366	F1671311	XP_060390095.1	1	88	4	0	1	unique_gene
G0000367	F1671311	XP_060393975.1	1	86	6	0	0	unique_gene
G0000368	F1673888	PWN48997.1	1	87	5	0	0	unique_gene
G0000369	F1673888	PWN52447.1	1	85	7	0	1	unique_gene
G0000370	F1682393	XP_046017689.1	1	88	4	0	1	unique_gene
G0000371	F1682393	XP_046017721.1	1	87	5	0	0	unique_gene
G0000373	F1684307	XP_025346162.1	1	82	10	0	0	unique_gene
G0000376	F1690604	XP_064754531.1	1	87	5	0	0	unique_gene
G0000377	F1690608	XP_064658872.1	1	85	7	0	1	unique_gene
G0000378	F1690608	XP_064659059.1	1	84	8	0	0	unique_gene
G0000379	F169141	MCJ1463586.1	1	84	8	0	1	unique_gene
G0000380	F169141	MCJ1468689.1	1	85	7	0	0	unique_gene
G0000381	F170000	KAI8442626.1	1	89	3	0	1	unique_gene
G0000382	F170000	KAI8454205.1	1	85	7	0	0	unique_gene
G0000383	F170000	KAI8454778.1	1	89	3	0	1	unique_gene
G0000385	F170446	QRV72977.1	1	86	6	0	0	unique_gene
G0000386	F170446	QRV81271.1	1	86	6	0	1	unique_gene
G0000387	F170446	QRV87845.1	1	86	6	0	0	unique_gene
G0000388	F170446	QRV95740.1	1	86	6	0	1	unique_gene
G0000389	F1708541	XP_006955981.1	1	86	6	0	0	unique_gene
G0000390	F1708541	XP_006956816.1	1	88	4	0	1	unique_gene
G0000391	F1708542	KAN2999831.1	1	88	4	0	1	unique_gene
G0000392	F1708542	KAN3001808.1	1	86	6	0	0	unique_gene
G0000394	F173216	XP_062752731.1	1	84	8	0	1	unique_gene
G0000396	F173216	XP_062760657.1	1	86	6	0	0	unique_gene
G0000397	F1738374	XP_083068326.1	1	84	8	0	1	unique_gene
G0000398	F1738374	XP_083069105.1	1	86	6	0	0	unique_gene
G0000400	F174425	KAI9746910.1	1	86	6	0	0	unique_gene
G0000401	F174425	KAI9750164.1	1	84	8	0	1	unique_gene
G0000402	F174680	KAM0680958.1	1	86	6	0	0	unique_gene
G0000403	F174680	KAM0681334.1	1	77	15	0	1	unique_gene
G0000406	F174688	KAM0675345.1	1	88	4	0	0	unique_gene
G0000409	F1750568	XP_038919833.1	1	84	8	0	1	unique_gene
G0000410	F1750568	XP_038920917.1	1	87	5	0	0	unique_gene
G0000411	F1754190	ORY25696.1	1	87	5	0	0	unique_gene
G0000414	F1754190	ORY48373.1	1	87	5	0	1	unique_gene
G0000415	F1754190	ORY77515.1	1	84	8	0	1	unique_gene
G0000417	F1754191	ORX45185.1	1	87	5	0	1	unique_gene
G0000420	F1754191	ORX57155.1	1	83	9	0	0	unique_gene
G0000422	F1754192	ORX79577.1	1	89	3	0	0	unique_gene
G0000424	F1754192	ORX87955.1	1	87	5	0	1	unique_gene
G0000430	F1759441	KZP20121.1	1	88	4	0	0	unique_gene
G0000431	F177197	OIW28227.1	1	88	4	0	1	unique_gene
G0000432	F177197	OIW31655.1	1	87	5	0	0	unique_gene
G0000434	F177199	RKU46257.1	1	88	4	0	1	unique_gene
G0000435	F177199	RKU48758.1	1	87	5	0	0	unique_gene
G0000437	F1774096	KAJ3219258.1	1	85	7	0	0	unique_gene
G0000438	F1774096	KAJ3220419.1	1	85	7	0	1	unique_gene
G0000440	F1806994	XP_031023662.1	1	87	5	0	1	unique_gene
G0000442	F1806994	XP_031028016.1	1	80	12	0	0	unique_gene
G0000443	F1810926	XP_073625300.1	1	84	8	0	1	unique_gene
G0000444	F1810926	XP_073632729.1	1	87	5	0	0	unique_gene
G0000445	F1810928	XP_073615209.1	1	87	5	0	0	unique_gene
G0000446	F1810928	XP_073618010.1	1	84	8	0	1	unique_gene
G0000448	F181123	MBW0474835.1	1	89	3	0	1	unique_gene
G0000449	F181123	MBW0490555.1	1	86	6	0	0	unique_gene
G0000450	F1814901	KAF3937949.1	1	87	5	0	0	unique_gene
G0000451	F1814901	KAF3939044.1	1	89	3	0	1	unique_gene
G0000452	F182096	XP_043133321.1	1	85	7	0	1	unique_gene
G0000453	F182096	XP_043134095.1	1	87	5	0	0	unique_gene
G0000454	F1825666	KAK2066735.1	1	80	12	0	1	unique_gene
G0000455	F1825666	KAK2071633.1	1	86	6	0	0	unique_gene
G0000458	F183962	XP_076488137.1	1	91	1	0	1	unique_gene
G0000459	F183962	XP_076488362.1	1	85	7	0	0	unique_gene
G0000460	F1851185	KAI8051955.1	1	87	5	0	0	unique_gene
G0000461	F1851185	KAI8053535.1	1	89	3	0	1	unique_gene
G0000465	F1851187	KAI9593243.1	1	87	5	0	0	unique_gene
G0000466	F1851187	KAI9594057.1	1	89	3	0	1	unique_gene
G0000467	F1858805	XP_040628176.1	1	83	9	0	1	unique_gene
G0000468	F1858805	XP_040633255.1	1	85	7	0	0	unique_gene
G0000469	F1859096	XP_062881723.1	1	82	10	0	1	unique_gene
G0000470	F1859096	XP_062881835.1	1	78	14	0	0	unique_gene
G0000472	F1859121	XP_066613696.1	1	78	14	0	0	unique_gene
G0000473	F1859121	XP_066613821.1	1	82	10	0	1	unique_gene
G0000474	F1859122	XP_064721703.1	1	82	10	0	1	unique_gene
G0000475	F1859122	XP_064721829.1	1	78	14	0	0	unique_gene
G0000477	F1882483	PWY97336.1	1	87	5	0	0	unique_gene
G0000478	F1882483	PWZ02524.1	1	86	6	0	1	unique_gene
G0000479	F1890679	KAL7418455.1	1	82	10	0	1	unique_gene
G0000480	F1890679	KAL7421446.1	1	84	8	0	0	unique_gene
G0000485	F1897645	KAF9023460.1	1	86	6	0	0	unique_gene
G0000486	F1904413	XP_041211102.1	1	88	4	0	0	unique_gene
G0000487	F1904413	XP_041214705.1	1	88	4	0	1	unique_gene
G0000491	F1907219	RKP15496.1	1	89	3	0	1	unique_gene
G0000492	F1912936	XP_041291089.1	1	88	4	0	0	unique_gene
G0000494	F1912936	XP_041298441.1	1	88	4	0	1	unique_gene
G0000496	F1912939	XP_041222038.1	1	88	4	0	0	unique_gene
G0000497	F1912939	XP_041230374.1	1	88	4	0	1	unique_gene
G0000499	F1938712	KAH8918401.1	1	87	5	0	1	unique_gene
G0000504	F1938954	OZJ03788.1	1	89	3	0	1	unique_gene
G0000506	F1940652	CAF9905527.1	1	86	6	0	0	unique_gene
G0000507	F1940652	CAF9926553.1	1	88	4	0	1	unique_gene
G0000508	F195108	XP_053002523.1	1	85	7	0	0	unique_gene
G0000509	F195108	XP_053009142.1	1	87	5	0	1	unique_gene
G0000510	F199306	XP_003068756.1	1	85	7	0	1	unique_gene
G0000511	F199306	XP_065980127.1	1	87	5	0	0	unique_gene
G0000512	F2019550	XP_070856484.1	1	86	6	0	0	unique_gene
G0000513	F2019550	XP_070858870.1	1	88	4	0	1	unique_gene
G0000514	F2020955	NODE_19_length_47148_cov_1.447810.p10	1	88	4	0	0	provisional_orf
G0000517	F2020955	NODE_74_length_24438_cov_0.900283.p5	1	86	6	0	0	provisional_orf
G0000519	F2020962	XP_056061936.1	1	89	3	0	0	unique_gene
G0000521	F2020962	XP_056063304.1	1	82	10	0	1	unique_gene
G0000522	F2024903	KAK8192529.1	1	85	7	0	0	unique_gene
G0000524	F202697	KDQ58519.1	1	88	4	0	1	unique_gene
G0000526	F202697	KDQ64438.1	1	88	4	0	0	unique_gene
G0000527	F202698	XP_007383301.1	1	88	4	0	1	unique_gene
G0000529	F2034170	XP_056024179.1	1	86	6	0	0	unique_gene
G0000530	F2034170	XP_056028352.1	1	84	8	0	1	unique_gene
G0000532	F203533	KAO0814835.1	1	88	4	0	1	unique_gene
G0000534	F203533	KAO0820232.1	1	87	5	0	0	unique_gene
G0000535	F2035830	XP_073602864.1	1	86	6	0	0	unique_gene
G0000536	F2035830	XP_073604673.1	1	88	4	0	1	unique_gene
G0000537	F203908	XP_007409597.1	1	86	6	0	0	unique_gene
G0000538	F203908	XP_007415490.1	1	89	3	0	1	unique_gene
G0000539	F2082308	PNS15795.1	1	87	5	0	1	unique_gene
G0000540	F2082308	PNS15912.1	1	85	7	0	0	unique_gene
G0000541	F208348	XP_053017256.1	1	89	3	0	1	unique_gene
G0000542	F208348	XP_053017628.1	1	85	7	0	0	unique_gene
G0000543	F208348	XP_053018701.1	1	85	7	0	0	unique_gene
G0000546	F208960	XP_007268820.1	1	86	6	0	0	unique_gene
G0000549	F208960	XP_007270306.1	1	88	4	0	1	unique_gene
G0000550	F209136	KAK3167270.1	1	89	3	0	1	unique_gene
G0000551	F209136	KAK3167344.1	1	89	3	0	0	unique_gene
G0000552	F209281	MCJ1325428.1	1	87	5	0	0	unique_gene
G0000553	F209281	MCJ1325479.1	1	83	9	0	1	unique_gene
G0000554	F2109901	NODE_16_length_41655_cov_0.272813.p6	1	85	7	0	1	provisional_orf
G0000555	F2109901	NODE_547_length_6851_cov_0.322867.p2	1	86	6	0	0	provisional_orf
G0000556	F215250	XP_025374550.1	1	84	8	0	0	unique_gene
G0000558	F215637	KAJ1978742.1	1	88	4	0	1	unique_gene
G0000560	F215637	KAJ1985986.1	1	85	7	0	0	unique_gene
G0000563	F223192	XP_007917749.1	1	85	7	0	0	unique_gene
G0000564	F223192	XP_007918858.1	1	87	5	0	1	unique_gene
G0000565	F223376	KAL1837819.1	1	74	18	0	0	unique_gene
