taxon_id	marker	protein_id	model_id	sequence_sha256	experimental_entries	experimental_entities	interpretation
F4932	5001156at2759	NP_012410.1	AF-P46959-F1	e3bbd87e97b3dc0432d0814633b368f3604cb00d07d43c01354e6d8a64f9ea67	2	2	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5001273at2759	NP_015323.1	AF-Q12483-F1	d67c4c11fd7bf43a5857862aa91cdb933dd70b6ddbe5bbd1703a9f039481ff49	2	2	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5001280at2759	NP_010223.1	AF-Q07381-F1	b6d1f09ad6d4e53fefcb5686e389010be7f9153d60e48a315d684f3f09b21fec	11	11	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F27291	5001473at2759	XP_033769926.1	AF-P20435-F1	b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	333	333	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5001473at2759	NP_015513.1	AF-P20435-F1	b35ac6750b96213d2e2f4608750f185b2daf71c690e6c7ef0382f39de2ec7d1c	333	333	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5001660at2759	NP_015232.1	AF-Q02892-F1	9b034068144dc1c8f367dcc1d0940877c694565a6c15b2ee590634a8d512edac	45	45	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5001734at2759	NP_012584.3	AF-P21374-F1	79e70f93481438ecc0fe7221fe714ee55f7860bd2a27b6e4cba51e50ab0d7be8	7	7	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5001941at2759	NP_012042.1	AF-P38863-F1	1c163f85ae86dcca2b942339fb9b5aae7f2fdbc3682ba022ba3571dcc1166dd5	8	8	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5002573at2759	NP_014397.1	AF-P33309-F1	9290d7c5d79158df0e0dcb67b0c05aa7e2a325310393e00f30c9a05ae73b9018	4	4	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5003205at2759	NP_014297.3	AF-P13382-F1	de337cd8afd0120b5cf00627f819c9c316606171f44248079b9d68cf807e4a32	9	9	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5003856at2759	NP_011936.1	AF-P38792-F1	ccce9788f3915b66b10c95984805423f74edfc35c20dbe56dbd8840477ad22bc	5	5	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	5004118at2759	EHN06095.1	AF-P34247-F1	1245ee2f7cd83f9369a6d49b5bf35022d2741b637b7851a33541728b4662e659	34	34	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5004118at2759	NP_012823.2	AF-P34247-F1	1245ee2f7cd83f9369a6d49b5bf35022d2741b637b7851a33541728b4662e659	34	34	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5004265at2759	NP_009377.2	AF-P10962-F1	c23ebf76afa06aa1be095f20e72e07bc9da9e0a2d92d4a1370bc697d290b748b	14	14	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5004478at2759	NP_009806.3	AF-P38333-F1	7853bc1aad7c359d8c4309a1340c0742d4c26c3dbb95f6c3720b0c4dfee7cdaa	42	42	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	5005174at2759	EHN04487.1	AF-Q08746-F1	4f84b0e10a5b3c764e93baed539d90856f0578cc8d539e760befd2779bbdbae3	11	11	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5005174at2759	NP_014937.1	AF-Q08746-F1	4f84b0e10a5b3c764e93baed539d90856f0578cc8d539e760befd2779bbdbae3	11	11	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4896	5005274at2759	NP_593575.1	AF-O13802-F1	56dda84f4e439fc103ca8ad379ae95081c1247f16a2b4185a751ed938a40c3f1	7	7	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5005274at2759	NP_012749.1	AF-P36049-F1	69b75365f8a13f44361dc06155facde5c7b69920d4b15224becbad9da053cc21	19	19	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5005750at2759	NP_011957.1	AF-P28007-F1	75c3910bd91171d404e09f1ebcc01cb8ff2946b4fc81a81949075938624b5f23	2	2	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5005892at2759	NP_014192.1	AF-P40160-F1	96d19daa18e83769d4a23f65b801e1dec1a3c4176e1b4edb640a3ceeb7ed20f1	7	7	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5006412at2759	NP_012535.3	AF-P47083-F1	5bf066d076b004974606b1090a7d63589eabd59b61cfb3b2e1bf0c2f6bc8f8fc	41	41	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	5011777at2759	EHN05330.1	AF-P49956-F1	156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	1	1	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5011777at2759	NP_013795.1	AF-P49956-F1	156cf677b796c2aaebdb1cd6921ef4a0fd409dce1c8b22e2d01eadc82b0b8d81	1	1	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	5013067at2759	EHN05390.1	AF-P40217-F1	db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	7	7	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5013067at2759	NP_013866.1	AF-P40217-F1	db0c848d26f2719aa11d159afc8f0b1133f6037749ff3b62a403b4993a55b53d	7	7	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5013259at2759	NP_013109.1	AF-Q07915-F1	1d54d8fc6fd3850a44b980391ada8291d7463d18caf3143cb61d4a3be8997bc2	44	44	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5013539at2759	NP_014565.2	AF-Q08235-F1	9c6a83a9da179422c01547e108ce6567394cb22d09cd08dfff98fa7fd2cf807e	21	21	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5013726at2759	NP_012018.1	AF-P32899-F1	3944f7cc837195985c71597fc913f05d1fd8834da7306203566d3a13a6fd5082	37	37	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5013738at2759	NP_014788.1	AF-Q99216-F1	84d2c25c65d615286c613fa6cb43c3a6ded04bf3ea656def6fecf3a43dcb69c6	43	43	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5013992at2759	NP_010704.1	AF-Q04048-F1	87e11eed16e5eef1a5be3c5be754e77a0f2e76ff41d41913f2e98a6b111b0f5d	10	10	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5014007at2759	NP_009729.1	AF-P33755-F1	89d2fdfca2ef088a14904ec0666b8ad3b69f7e91ab028ebe763777e0acf6c69c	3	3	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F27292	5015647at2759	QID84902.1	AF-P53091-F1	03b7797a0460645fc3278608ce831cc02c9437647883cfcf335a74b1b3aeb9c3	62	62	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5015647at2759	NP_011314.2	AF-P53091-F1	03b7797a0460645fc3278608ce831cc02c9437647883cfcf335a74b1b3aeb9c3	62	62	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5015712at2759	NP_010254.1	AF-P19736-F1	8ffdab9ad3bb166a8856b225168506babb0f843c04a03ac7585f9214c3993f79	6	6	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5015742at2759	NP_015504.1	AF-P20053-F1	cf91b4c59edaf90cca66b436e170d980254b8459f21b45789691b88e2ac340a6	6	6	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5015876at2759	NP_011005.1	AF-P40055-F1	0b8d4e8ec034bbe7e38401be0db088e127c66d44ef0872e7474c7aa39df06ce9	31	31	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	5018803at2759	NP_010345.3	AF-Q12176-F1	bd89b29f1dee0ca7f16d34684bef2a87af5a28c4281a644e26bb32d75698b6bd	2	2	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	529759at2759	NP_015341.1	AF-Q12522-F1	a9c859214bc288900788ea22094f6779f5e80a857b1a76ad3d655a47854cced8	62	62	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	530014at2759	NP_009984.1	AF-P25635-F1	a483c6065162d6202fd56b069eaa00b4eb1f0edf65e3599160b9781ea59d6eb2	33	33	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	530740at2759	EHN05658.1	AF-P53769-F1	42c3cc58d342d47777b255d2541e64d720a5f198cecfe020e709d5ff214e0c02	1	1	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	530740at2759	NP_013427.1	AF-P53769-F1	42c3cc58d342d47777b255d2541e64d720a5f198cecfe020e709d5ff214e0c02	1	1	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	538728at2759	EHN05472.1	AF-Q02554-F1	2ea25057732aa1f9986fae8911bbe8b83192454d0e37e6ef698ab312e4d4a6e2	5	5	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	538728at2759	NP_013967.1	AF-Q02554-F1	2ea25057732aa1f9986fae8911bbe8b83192454d0e37e6ef698ab312e4d4a6e2	5	5	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F27291	539632at2759	XP_033767277.1	AF-P20459-F1	103b52af36a2c9b9a84c89fd243732557e3cf5b88438528be6a1f8c2023e782e	23	23	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	539632at2759	NP_012540.3	AF-P20459-F1	103b52af36a2c9b9a84c89fd243732557e3cf5b88438528be6a1f8c2023e782e	23	23	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	540946at2759	NP_012273.1	AF-P10363-F1	d93f7257bb249fb169016330c2e75b78069fe0b18d330a7b0aa84aac019fa3e3	6	6	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	541070at2759	NP_009517.1	AF-P38197-F1	3ab20e43cb9a9ed62a43edda032c310a5fee86328bb762d1c4f9387bccf0c74b	1	1	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F27292	707076at2759	QID83933.1	AF-P25627-F1	16ef0308fcca0ae723cec16bc05336351aa7a2e3c38a787e303e8a71c1993864	4	4	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F332112	707076at2759	EHN08217.1	AF-P25627-F1	16ef0308fcca0ae723cec16bc05336351aa7a2e3c38a787e303e8a71c1993864	4	4	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	707076at2759	NP_009976.1	AF-P25627-F1	16ef0308fcca0ae723cec16bc05336351aa7a2e3c38a787e303e8a71c1993864	4	4	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	707202at2759	NP_014633.1	AF-Q08096-F1	9e04036772422792dba04f1ee5510efa70bab5493b0a62a87dd0300b26fc7f86	44	44	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F746128	760428at2759	XP_751793.1	AF-Q4WPS9-F1	1388a54cb398512d6ac226de5606198945e6acbd290b575424e095cd7fbe6438	4	4	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
F4932	801816at2759	NP_012994.1	AF-P36149-F1	a6b32a264dc4356f9e3046c543340e02100714d88b1b4a3842cb39bcaf4bff97	10	10	Exact sequence reference candidate; deposited organism may differ from project taxon; no species-specific experimental validation implied.
