taxon_id	assembly_accession	validation_status	report_rows	flagged_sequence_count	exclude_fix_trim_union_bp	review_rare_union_bp	review_union_bp	reported_actions	report_sha256	report_path	fcs_run_metadata
F1042133	GCF_019915245.1	publisher_verified_report	0	0	0	0	0	{}	50b50723e10249483a0b4b459c4d2e74f77ed5ba252fd16704afe08a3924cee0	results/qc/selected-assembly-fcs-v1/reports/GCF_019915245.1/GCF_019915245.1_ASM1991524v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:57:08 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.970443, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes""], ""corrected-primary-divs"": [""fung:ascomycetes""]}}]"
F1042397	GCA_022814065.1	publisher_verified_report	0	0	0	0	0	{}	a1b4a0d30a5c14dda6bd5aeb4f860e89ac80c1cea08cc419be749551226d0372	results/qc/selected-assembly-fcs-v1/reports/GCA_022814065.1/GCA_022814065.1_ASM2281406v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Sat Mar  4 02:01:44 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.436772, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""]}}]"
F104341	GCF_002117355.1	publisher_verified_report	0	0	0	0	0	{}	40c309208e7a245be19d4eb493f9bddafbb1fcde5a453d403d37e65f66346122	results/qc/selected-assembly-fcs-v1/reports/GCF_002117355.1/GCF_002117355.1_PosplRSB12_1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:45:27 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.840474, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes""], ""corrected-primary-divs"": [""fung:basidiomycetes""]}}]"
F104355	GCF_000344685.1	publisher_verified_report	0	0	0	0	0	{}	bb2133c9a9f8d354305940db04c2c05726848b761284136e6d616e6c3c5bc65e	results/qc/selected-assembly-fcs-v1/reports/GCF_000344685.1/GCF_000344685.1_Glotr1_1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:46:07 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.77113, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:basidiomycetes"", ""fung:fungi""]}}]"
F104408	GCA_013423385.1	publisher_checksum_mismatch_unresolved						{}			
F104669	GCF_001720205.1	publisher_verified_report	0	0	0	0	0	{}	cdcdc56b85415c3ea0b9a7592391c514e1d726b5a600d176e9badedafc126699	results/qc/selected-assembly-fcs-v1/reports/GCF_001720205.1/GCF_001720205.1_Cryp_amyl_CBS6039_V3_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 19:11:26 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.986675, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes""], ""corrected-primary-divs"": [""fung:basidiomycetes""]}}]"
F1048519	GCA_010094025.1	publisher_verified_report	0	0	0	0	0	{}	2d6ffeb47852b843456f3a396e52d5c4dafe301e424c85051d4930b0919b8c01	results/qc/selected-assembly-fcs-v1/reports/GCA_010094025.1/GCA_010094025.1_Tryvi1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar  6 03:22:13 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.626715, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""]}}]"
F1048829	GCF_000150705.2	publisher_verified_report	0	0	0	0	0	{}	e7131d9783ddb87fe6cfe0c524aecf18b7ebf229c47300286abf1e4d3f157261	results/qc/selected-assembly-fcs-v1/reports/GCF_000150705.2/GCF_000150705.2_Paracocci_br_Pb01_V2_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:37:43 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.909549, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes""], ""corrected-primary-divs"": [""fung:ascomycetes""]}}]"
F1048955	GCA_010583015.1	publisher_verified_report	0	0	0	0	0	{}	bde34c0da567e58607d5e39f5d460dec1a8cd6dce50f42bf4414fc5915536420	results/qc/selected-assembly-fcs-v1/reports/GCA_010583015.1/GCA_010583015.1_Totfu1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar  6 03:22:49 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.329723, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi"", ""fung:budding yeasts""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi"", ""fung:budding yeasts""]}}]"
F1052096	GCF_011745625.1	repeat_identical_https_report_without_publisher_md5	0	0	0	0	0	{}	04a5ab02b1336f908f65f725440d345a321d22e20ed3d8da770521a25aba778f	results/qc/selected-assembly-fcs-v1/reports/GCF_011745625.1/GCF_011745625.1_ASM1174562v2_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.1"", ""run-date"": ""Fri Mar 22 07:05:47 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.959836, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""species"": ""Cladosporium sp. TM138-S3""}}]"
F1055551	GCA_058225015.1	repeat_identical_https_report_without_publisher_md5	0	0	0	0	0	{}	c0c481c331fdaec4505e0a3de7aa067bc1e0491aa9765480399e4b96078230d3	results/qc/selected-assembly-fcs-v1/reports/GCA_058225015.1/GCA_058225015.1_ASM5822501v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.5"", ""run-date"": ""Wed May  6 03:27:28 2026"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.198677, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes"", ""fung:ascomycetes"", ""fung:fungi"", ""fung:budding yeasts""], ""corrected-primary-divs"": [""fung:basidiomycetes"", ""fung:ascomycetes"", ""fung:fungi"", ""fung:budding yeasts""], ""species"": ""Tritirachium sp. CBS 265.96"", ""genome-hash"": ""b418c21bf93382b4""}}]"
F105984	GCF_003942205.1	publisher_verified_report	1	1	6717	0	0	"{""EXCLUDE"": 1}"	22a8fbc6acfa045076c64d4d081433a0867b708aac19c69f1ca58323bc452c8c	results/qc/selected-assembly-fcs-v1/reports/GCF_003942205.1/GCF_003942205.1_ASM394220v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.3"", ""run-date"": ""Mon May 13 22:54:17 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.949024, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes""], ""corrected-primary-divs"": [""fung:basidiomycetes""], ""species"": ""Apiotrichum porosum"", ""genome-hash"": ""335ff8b88d9b0b84""}}]"
F106004	GCA_002105055.1	repeat_identical_https_report_without_publisher_md5	0	0	0	0	0	{}	73f0b3c5b70b2ebcb651a897bd8e1fe49aa0981b8cda15f437994c0c64260ec6	results/qc/selected-assembly-fcs-v1/reports/GCA_002105055.1/GCA_002105055.1_Leucr1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Sat Mar 11 10:12:52 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.981353, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes""], ""corrected-primary-divs"": [""fung:basidiomycetes""]}}]"
F1069201	GCF_016861625.1	publisher_verified_report	0	0	0	0	0	{}	7ca8afc3b79fbf1244abbe73765a0f494520e08df2303ee1d638aabc0089c2c2	results/qc/selected-assembly-fcs-v1/reports/GCF_016861625.1/GCF_016861625.1_AkawachiiIFO4308_assembly01_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.4-27-g6e971e1"", ""run-date"": ""Fri Aug  9 11:09:56 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.952403, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""species"": ""Aspergillus luchuensis"", ""genome-hash"": ""33ae391cc005268a""}}]"
F1080349	GCF_001298625.1	publisher_verified_report	0	0	0	0	0	{}	e404d51ead444b9fd1aff65f9661a47db7e175deea5adb696c37cfbcb4d88c55	results/qc/selected-assembly-fcs-v1/reports/GCF_001298625.1/GCF_001298625.1_SEUB3.0_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 19:01:11 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.998569, ""asserted-div"": ""fung:budding yeasts"", ""inferred-primary-divs"": [""fung:budding yeasts"", ""fung:ascomycetes""], ""corrected-primary-divs"": [""fung:budding yeasts"", ""fung:ascomycetes""]}}]"
F1081669	GCA_002087885.1	publisher_verified_report	0	0	0	0	0	{}	73c2f0dfb3d33ade59074ccf69568d99ce562536209c7e536f46a2a60f47042f	results/qc/selected-assembly-fcs-v1/reports/GCA_002087885.1/GCA_002087885.1_ASM208788v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.3"", ""run-date"": ""Sat May 11 00:28:14 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.124716, ""asserted-div"": ""fung:microsporidians"", ""inferred-primary-divs"": [""fung:microsporidians"", ""fung:budding yeasts""], ""corrected-primary-divs"": [""fung:microsporidians"", ""fung:budding yeasts""], ""species"": ""Hepatospora eriocheir"", ""genome-hash"": ""06f62e0273694a64""}}]"
F1093897	GCF_030411735.1	publisher_verified_report	0	0	0	0	0	{}	47ffd8195104080365f999966f10577a83dd1a2c269dc9a88459aea5c663e94d	results/qc/selected-assembly-fcs-v1/reports/GCF_030411735.1/GCF_030411735.1_Phiatr1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0-139-g61227c1"", ""run-date"": ""Thu Aug 31 02:03:01 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.5068, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""species"": ""Phialemonium atrogriseum""}}]"
F1093900	GCF_004353045.1	publisher_verified_report	6	6	2922	0	0	"{""EXCLUDE"": 6}"	3bf67bcbcc88c85e90d365d044189202353927f77c97f106a625f52950e30192	results/qc/selected-assembly-fcs-v1/reports/GCF_004353045.1/GCF_004353045.1_ASM435304v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.3"", ""run-date"": ""Mon May 13 23:52:26 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.94998, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:fungi""], ""species"": ""Thyridium curvatum"", ""genome-hash"": ""164d06087bef1854""}}]"
F1095194	GCF_011947395.1	publisher_verified_report	0	0	0	0	0	{}	23857adb0ec710f740ee0a80a475f336043c468d252e093b635c7aaceeaa016c	results/qc/selected-assembly-fcs-v1/reports/GCF_011947395.1/GCF_011947395.1_ASM1194739v2_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 19:02:18 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.964793, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes""], ""corrected-primary-divs"": [""fung:ascomycetes""]}}]"
F109760	GCF_000182565.1	publisher_verified_report	0	0	0	0	0	{}	e3a45c084dce7e01efe433b313787f1db60da66f59a70c3c17a72a60cfcae909	results/qc/selected-assembly-fcs-v1/reports/GCF_000182565.1/GCF_000182565.1_S_punctatus_V1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:43:56 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.993376, ""asserted-div"": ""fung:chytrids"", ""inferred-primary-divs"": [""fung:chytrids""], ""corrected-primary-divs"": [""fung:chytrids""]}}]"
F109876	GCA_002102555.1	publisher_verified_report	0	0	0	0	0	{}	3ed3b4d364788266b9ce56de7445c326d4db6eb5cb70374108daf28bab0636f8	results/qc/selected-assembly-fcs-v1/reports/GCA_002102555.1/GCA_002102555.1_Catan2_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Wed Mar  8 06:33:15 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.242205, ""asserted-div"": ""fung:fungi"", ""inferred-primary-divs"": [""fung:fungi""], ""corrected-primary-divs"": [""fung:fungi""]}}]"
F109889	GCA_027604685.1	publisher_verified_report	0	0	0	0	0	{}	ab1c3c656a53330746e06500d59eb5822f0226847eb6ae024dc36d311e0ba5c3	results/qc/selected-assembly-fcs-v1/reports/GCA_027604685.1/GCA_027604685.1_ASM2760468v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Thu Mar  2 16:43:08 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.113828, ""asserted-div"": ""fung:chytrids"", ""inferred-primary-divs"": [""fung:chytrids"", ""fung:fungi"", ""fung:budding yeasts"", ""fung:basidiomycetes"", ""fung:ascomycetes""], ""corrected-primary-divs"": [""fung:chytrids"", ""fung:fungi"", ""fung:budding yeasts"", ""fung:basidiomycetes"", ""fung:ascomycetes""]}}]"
F109899	GCA_000827415.1	publisher_verified_report	0	0	0	0	0	{}	bf7d7d73e3e4bc252da856118ee695a6f7dd64a6e069d40843b336478d89b4a6	results/qc/selected-assembly-fcs-v1/reports/GCA_000827415.1/GCA_000827415.1_Sebacina_vermifera_MAFF_305830_v1.0_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Wed Mar  8 10:40:13 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.298198, ""asserted-div"": ""fung:basidiomycetes"", ""inferred-primary-divs"": [""fung:basidiomycetes"", ""fung:ascomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:basidiomycetes"", ""fung:ascomycetes"", ""fung:fungi""]}}]"
F109932	GCA_027604725.1	publisher_verified_report	0	0	0	0	0	{}	3b64614b483a22ca1c227fe56051209eba2ddecc667032695686511b091192d4	results/qc/selected-assembly-fcs-v1/reports/GCA_027604725.1/GCA_027604725.1_ASM2760472v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.3"", ""run-date"": ""Tue Apr 30 23:07:12 2024"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.358656, ""asserted-div"": ""fung:chytrids"", ""inferred-primary-divs"": [""fung:chytrids"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:chytrids"", ""fung:fungi""], ""species"": ""Entophlyctis luteolus"", ""genome-hash"": ""edfe792d542c1449""}}]"
F1099800	GCA_051599425.1	publisher_verified_report	74	38	3849	0	0	"{""TRIM"": 74}"	b46cc18ed69e7e52183f16155f41263076051765f4763d86ba5115f56a374639	results/qc/selected-assembly-fcs-v1/reports/GCA_051599425.1/GCA_051599425.1_Sai_col_YB2330_v1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.5.5"", ""run-date"": ""Thu Jul 31 15:02:06 2025"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.917129, ""asserted-div"": ""fung:ascomycetes"", ""inferred-primary-divs"": [""fung:ascomycetes"", ""fung:budding yeasts"", ""fung:basidiomycetes"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:ascomycetes"", ""fung:budding yeasts"", ""fung:basidiomycetes"", ""fung:fungi""], ""species"": ""Saitoella coloradoensis"", ""genome-hash"": ""a8a77dfa757dd05d""}}]"
F110093	GCF_025602895.1	publisher_verified_report	0	0	0	0	0	{}	995edc5dc50b207e0baa311e7357198f570ff14ae190d7ccb1564f24953cf292	results/qc/selected-assembly-fcs-v1/reports/GCF_025602895.1/GCF_025602895.1_Polagg1_1_fcs_report.txt	"[[""FCS genome report"", 2, 1], {""git-rev"": ""v0.4.0"", ""run-date"": ""Mon Mar 20 18:16:33 2023"", ""db"": {""build-date"": ""2023-01-24"", ""seqs"": 3025824, ""Gbp"": 709.264}, ""run-info"": {""agg-cvg"": 0.23372, ""asserted-div"": ""fung:chytrids"", ""inferred-primary-divs"": [""fung:chytrids"", ""fung:fungi""], ""corrected-primary-divs"": [""fung:chytrids"", ""fung:fungi""]}}]"
