containing_accession	containing_name	nested_accession	nested_name	containing_clan	nested_clan	source_NE_occurrence
PF16254.11	DUF4910	PF09940.17	DUF2172	CL0865	CL0364	1
PF11863.15	E217_gp31_N	PF29548.1	E217_gp31_insert	CL0955		1
PF12217.15	End_beta_propel	PF12195.15	End_beta_barrel	CL0186	CL0186	1
PF03372.30	Exo_endo_phos	PF00041.28	fn3	CL0530	CL0159	1
PF03372.30	Exo_endo_phos	PF00645.26	zf-PARP	CL0530	CL0839	2
PF00373.24	FERM_M	PF00169.36	PH	CL0632	CL0266	1
PF00373.24	FERM_M	PF01753.25	zf-MYND	CL0632	CL0175	2
PF13861.13	FLgD_tudor	PF13860.13	FlgD_ig	CL0010	CL0159	1
PF14450.13	FtsA	PF02491.26	SHS2_FTSA	CL0108	CL0319	1
PF04930.21	FUN14	PF13202.13	EF-hand_5		CL0220	1
PF04930.21	FUN14	PF13202.13	EF-hand_5		CL0220	2
PF02934.21	GatB_N	PF02938.20	GAD	CL0286	CL0250	1
PF17132.10	Glyco_hydro_106	PF00754.32	F5_F8_type_C		CL0202	1
PF00704.35	Glyco_hydro_18	PF00187.25	Chitin_bind_1	CL0036		1
PF00704.35	Glyco_hydro_18	PF01471.24	PG_binding_1	CL0036	CL0244	2
PF01055.33	Glyco_hydro_31_2nd	PF00686.26	CBM_20	CL0036	CL0369	1
PF01915.28	Glyco_hydro_3_C	PF07691.18	PA14		CL0301	1
PF01915.28	Glyco_hydro_3_C	PF03422.22	CBM_6		CL0202	2
PF01915.28	Glyco_hydro_3_C	PF06268.20	Fascin		CL0066	3
PF13199.13	Glyco_hydro_66	PF16990.12	CBM_35	CL0036	CL0202	1
PF07971.19	Glyco_hydro_92	PF00754.32	F5_F8_type_C	CL0059	CL0202	1
PF03917.24	GSH_synth_ATP	PF03199.22	GSH_synthase	CL0063	CL0063	1
PF01837.23	HcyBio	PF00037.33	Fer4		CL0344	1
PF00632.31	HECT	PF01780.26	Ribosomal_L37ae	CL0552	CL0167	1
PF03996.22	Hema_esterase	PF02710.20	Hema_HEFG	CL0264		1
PF00730.32	HhH-GPD	PF00633.30	HHH	CL0198	CL0198	1
PF03486.21	HI0933_like	PF22780.2	HI0933_like_1st	CL0063		1
PF05203.22	Hom_end_hint	PF05204.20	Hom_end	CL0363	CL0324	1
PF00702.33	Hydrolase	PF00403.33	HMA	CL0137	CL0704	1
PF00478.32	IMPDH	PF00571.34	CBS	CL0036		1
PF14890.12	Intein_splicing	PF14528.12	LAGLIDADG_3	CL0363	CL0324	1
PF14890.12	Intein_splicing	PF01381.29	HTH_3	CL0363	CL0123	2
PF14890.12	Intein_splicing	PF14528.12	LAGLIDADG_3	CL0363	CL0324	3
PF14890.12	Intein_splicing	PF14528.12	LAGLIDADG_3	CL0363	CL0324	4
PF14890.12	Intein_splicing	PF09061.12	Stirrup	CL0363		5
PF14890.12	Intein_splicing	PF13392.13	HNH_3	CL0363	CL0263	6
PF14890.12	Intein_splicing	PF18714.7	PI-TkoII_IV	CL0363		7
PF01790.24	LGT	PF00595.30	PDZ		CL0466	1
PF00060.33	Lig_chan	PF00497.26	SBP_bac_3	CL0030	CL0177	1
PF01676.24	Metalloenzyme	PF06415.19	iPGM_N	CL0088		1
PF01676.24	Metalloenzyme	PF10143.15	PhosphMutase	CL0088		2
PF01676.24	Metalloenzyme	PF06415.19	iPGM_N	CL0088		3
PF12631.13	MnmE_helical	PF01926.30	MMR_HSR1		CL0023	1
PF05192.24	MutS_III	PF05190.24	MutS_IV			1
PF07994.19	NAD_binding_5	PF01658.23	Inos-1-P_synth	CL0063	CL0139	1
PF08030.18	NAD_binding_6	PF00018.35	SH3_1	CL0091	CL0010	1
PF08030.18	NAD_binding_6	PF14604.13	SH3_9	CL0091	CL0010	2
PF01077.28	NIR_SIR	PF00037.33	Fer4		CL0344	1
PF02357.25	NusG	PF07009.17	NusG_II	CL0439		1
PF03137.27	OATP	PF07648.21	Kazal_2	CL0015	CL0005	1
PF00278.29	Orn_DAP_Arg_deC	PF02784.23	Orn_Arg_deC_N	CL0866	CL0036	1
PF03929.22	PepSY_TM	PF03413.26	PepSY	CL0490	CL0320	1
PF00413.31	Peptidase_M10	PF00040.25	fn2	CL0126	CL0602	1
PF00413.31	Peptidase_M10	PF00040.25	fn2	CL0126	CL0602	2
PF00413.31	Peptidase_M10	PF00040.25	fn2	CL0126	CL0602	3
PF08548.18	Peptidase_M10_C	PF00353.26	HemolysinCabind	CL0592	CL0592	1
PF01546.34	Peptidase_M20	PF07687.20	M20_dimer	CL0865		1
PF02128.22	Peptidase_M36	PF02225.28	PA	CL0126	CL0364	1
PF01435.25	Peptidase_M48	PF13202.13	EF-hand_5	CL0126	CL0220	1
PF02163.29	Peptidase_M50	PF17820.8	PDZ_6	CL0126	CL0466	1
PF00082.28	Peptidase_S8	PF02225.28	PA		CL0364	1
PF02811.27	PHP	PF00929.32	RNase_T	CL0036	CL0219	1
PF08337.18	Plexin_cytopl	PF20170.5	Plexin_RBD		CL0072	1
PF04831.19	POPDC1-3	PF00027.36	cNMP_binding	CL0029	CL0029	1
PF03063.26	Prismane	PF00037.33	Fer4	CL0113	CL0344	1
PF06605.19	Prophage_tail	PF01551.30	Peptidase_M23	CL0504	CL0105	1
PF06605.19	Prophage_tail	PF00877.26	NLPC_P60	CL0504	CL0125	2
PF01619.25	Pro_dh	PF13499.13	EF-hand_7	CL0036	CL0220	1
PF07992.21	Pyr_redox_2	PF00037.33	Fer4	CL0063	CL0344	1
PF04055.28	Radical_SAM	PF00037.33	Fer4	CL0036	CL0344	1
PF02867.21	Ribonuc_red_lgC	PF14890.12	Intein_splicing	CL0339	CL0363	1
PF02867.21	Ribonuc_red_lgC	PF14528.12	LAGLIDADG_3	CL0339	CL0324	2
PF16906.12	Ribosomal_L26	PF00467.36	KOW	CL0010	CL0010	1
PF01193.30	RNA_pol_L	PF01000.32	RNA_pol_A_bac	CL0509		1
PF01193.30	RNA_pol_L	PF00037.33	Fer4	CL0509	CL0344	2
PF04997.18	RNA_pol_Rpb1_1	PF01381.29	HTH_3		CL0123	1
PF04998.23	RNA_pol_Rpb1_5	PF04992.20	RNA_pol_Rpb1_6			1
PF04998.23	RNA_pol_Rpb1_5	PF04990.18	RNA_pol_Rpb1_7			2
PF04563.21	RNA_pol_Rpb2_1	PF04561.20	RNA_pol_Rpb2_2			1
PF01137.27	RTC	PF05189.19	RTC_insert	CL0290		1
PF01139.23	RtcB	PF13392.13	HNH_3		CL0263	1
PF01139.23	RtcB	PF14890.12	Intein_splicing		CL0363	2
PF01139.23	RtcB	PF14890.12	Intein_splicing		CL0363	3
PF18516.8	RuvC_1	PF18510.8	NUC	CL0219		1
PF05773.28	RWD	PF00642.31	zf-CCCH	CL0208	CL0537	1
PF00497.26	SBP_bac_3	PF00060.33	Lig_chan	CL0177	CL0030	1
PF00497.26	SBP_bac_3	PF07885.23	Ion_trans_2	CL0177	CL0030	2
PF02889.22	Sec63	PF14520.13	HHH_5		CL0198	1
PF07517.21	SecA_DEAD	PF01043.27	SecA_PP_bind	CL0023	CL0023	1
PF00856.34	SET	PF01753.25	zf-MYND	CL0489	CL0175	1
PF02463.26	SMC_N	PF04423.20	Rad50_zn_hook	CL0023		1
PF02463.26	SMC_N	PF06470.19	SMC_hinge	CL0023		2
PF00176.30	SNF2-rel_dom	PF02037.34	SAP	CL0023	CL0306	1
PF00176.30	SNF2-rel_dom	PF00628.36	PHD	CL0023	CL0229	2
PF00176.30	SNF2-rel_dom	PF00538.26	Linker_histone	CL0023	CL0123	3
PF00176.30	SNF2-rel_dom	PF07496.22	zf-CW	CL0023	CL0229	4
PF00176.30	SNF2-rel_dom	PF00439.31	Bromodomain	CL0023		5
PF05124.18	S_layer_C	PF05123.18	S_layer_N	CL0546		1
PF00335.27	Tetraspanin	PF03939.19	Ribosomal_L23eN	CL0347		1
PF12851.14	Tet_JBP	PF02759.25	RUN	CL0029		1
PF00899.28	ThiF	PF10585.15	UBA_E1_SCCH	CL0063		1
PF06283.18	ThuA	PF00754.32	F5_F8_type_C	CL0014	CL0202	1
PF00133.29	tRNA-synt_1	PF08264.20	Anticodon_1	CL0039	CL0258	1
PF00152.26	tRNA-synt_2	PF02938.20	GAD	CL0040	CL0250	1
PF00152.26	tRNA-synt_2	PF00454.34	PI3_PI4_kinase	CL0040	CL0016	2
PF00587.31	tRNA-synt_2b	PF04073.21	tRNA_edit	CL0040		1
PF00443.36	UCH	PF00627.38	UBA	CL0125	CL0214	1
PF00443.36	UCH	PF00627.38	UBA	CL0125	CL0214	2
PF00443.36	UCH	PF02148.26	zf-UBP	CL0125	CL0229	3
PF00443.36	UCH	PF02809.27	UIM	CL0125	CL0702	4
PF00443.36	UCH	PF02809.27	UIM	CL0125	CL0702	5
PF00443.36	UCH	PF02809.27	UIM	CL0125	CL0702	6
PF00443.36	UCH	PF01753.25	zf-MYND	CL0125	CL0175	7
PF00443.36	UCH	PF14533.13	USP7_C2	CL0125	CL0072	8
PF00443.36	UCH	PF00261.26	Tropomyosin	CL0125	CL0452	9
PF00443.36	UCH	PF00397.33	WW	CL0125	CL0680	10
PF00443.36	UCH	PF06839.18	Zn_ribbon_GRF	CL0125	CL0167	11
PF13361.13	UvrD_C	PF00929.32	RNase_T	CL0023	CL0219	1
PF05764.19	YL1	PF00575.30	S1		CL0021	1
PF01297.23	ZnuA	PF09223.18	ZinT	CL0043	CL0116	1
