marker	alphabet	test	possible_pairs	reported_tested_pairs	pairs_not_in_reported_counts	reported_maximum_test_pvalue	maximum_test_estimable	nominal_maximum_p_below_0_05
5001156at2759	3di	Mar	105	0	105	nan	False	False
5001156at2759	3di	Int	105	0	105	nan	False	False
5001156at2759	aa	Sym	105	105	0	0.736871	True	False
5001156at2759	aa	Mar	105	53	52	0.435218	True	False
5001156at2759	aa	Int	105	53	52	0.80287	True	False
5001273at2759	3di	Sym	9870	9869	1	0.342293	True	False
5001273at2759	3di	Mar	9870	0	9870	nan	False	False
5001273at2759	3di	Int	9870	0	9870	nan	False	False
5001273at2759	aa	Sym	9870	9868	2	0.465935	True	False
5001273at2759	aa	Mar	9870	3460	6410	0.635308	True	False
5001273at2759	aa	Int	9870	3460	6410	0.342028	True	False
5001318at2759	3di	Sym	78	75	3	0.341859	True	False
5001318at2759	3di	Mar	78	0	78	nan	False	False
5001318at2759	3di	Int	78	0	78	nan	False	False
5001318at2759	aa	Sym	78	77	1	0.743527	True	False
5001318at2759	aa	Mar	78	14	64	0.812881	True	False
5001318at2759	aa	Int	78	14	64	0.546297	True	False
5001413at2759	3di	Sym	2556	2556	0	0.204143	True	False
5001413at2759	3di	Mar	2556	110	2446	nan	False	False
5001413at2759	3di	Int	2556	110	2446	nan	False	False
5001413at2759	aa	Sym	2556	2556	0	0.486694	True	False
5001413at2759	aa	Mar	2556	1103	1453	nan	False	False
5001413at2759	aa	Int	2556	1103	1453	nan	False	False
5001473at2759	3di	Sym	7260	7164	96	0.500676	True	False
5001473at2759	3di	Mar	7260	0	7260	nan	False	False
5001473at2759	3di	Int	7260	0	7260	nan	False	False
5001473at2759	aa	Sym	7260	7161	99	0.522438	True	False
5001473at2759	aa	Mar	7260	0	7260	nan	False	False
5001473at2759	aa	Int	7260	0	7260	nan	False	False
5001734at2759	3di	Sym	7140	6941	199	0.287008	True	False
5001734at2759	3di	Mar	7140	0	7140	nan	False	False
5001734at2759	3di	Int	7140	0	7140	nan	False	False
5001734at2759	aa	Sym	7140	7134	6	0.418743	True	False
5001734at2759	aa	Mar	7140	374	6766	0.179404	True	False
5001734at2759	aa	Int	7140	374	6766	0.742585	True	False
5002334at2759	3di	Sym	171	171	0	0.401497	True	False
5002334at2759	3di	Mar	171	0	171	nan	False	False
5002334at2759	3di	Int	171	0	171	nan	False	False
5002334at2759	aa	Sym	171	171	0	0.191541	True	False
5002334at2759	aa	Mar	171	121	50	0.00241963	True	True
5002334at2759	aa	Int	171	121	50	0.901193	True	False
5002573at2759	3di	Sym	55	55	0	0.210362	True	False
5002573at2759	3di	Mar	55	26	29	0.0941401	True	False
5002573at2759	3di	Int	55	26	29	0.55737	True	False
5002573at2759	aa	Sym	55	55	0	0.0779222	True	False
5002573at2759	aa	Mar	55	23	32	3.1092e-06	True	True
5002573at2759	aa	Int	55	23	32	0.952427	True	False
5003856at2759	3di	Sym	595	593	2	0.380524	True	False
5003856at2759	3di	Mar	595	14	581	nan	False	False
5003856at2759	3di	Int	595	14	581	nan	False	False
5003856at2759	aa	Sym	595	594	1	0.500264	True	False
5003856at2759	aa	Mar	595	223	372	nan	False	False
5003856at2759	aa	Int	595	223	372	nan	False	False
5003972at2759	3di	Sym	3003	3003	0	0.102308	True	False
5003972at2759	3di	Mar	3003	0	3003	nan	False	False
5003972at2759	3di	Int	3003	0	3003	nan	False	False
5003972at2759	aa	Sym	3003	3003	0	0.112527	True	False
5003972at2759	aa	Mar	3003	1026	1977	0.280941	True	False
5003972at2759	aa	Int	3003	1026	1977	0.120342	True	False
5004118at2759	3di	Sym	136	114	22	0.0619688	True	False
5004118at2759	3di	Mar	136	0	136	nan	False	False
5004118at2759	3di	Int	136	0	136	nan	False	False
5004118at2759	aa	Sym	136	136	0	0.43078	True	False
5004118at2759	aa	Mar	136	0	136	nan	False	False
5004118at2759	aa	Int	136	0	136	nan	False	False
5004478at2759	3di	Sym	15	15	0	0.620516	True	False
5004478at2759	3di	Mar	15	0	15	nan	False	False
5004478at2759	3di	Int	15	0	15	nan	False	False
5004478at2759	aa	Sym	15	15	0	0.489844	True	False
5004478at2759	aa	Mar	15	5	10	nan	False	False
5004478at2759	aa	Int	15	5	10	nan	False	False
5005010at2759	3di	Sym	10440	10264	176	0.548812	True	False
5005010at2759	3di	Mar	10440	0	10440	nan	False	False
5005010at2759	3di	Int	10440	0	10440	nan	False	False
5005010at2759	aa	Sym	10440	10439	1	0.515345	True	False
5005010at2759	aa	Mar	10440	252	10188	nan	False	False
5005010at2759	aa	Int	10440	252	10188	nan	False	False
5005174at2759	3di	Sym	5151	5146	5	0.201767	True	False
5005174at2759	3di	Mar	5151	0	5151	nan	False	False
5005174at2759	3di	Int	5151	0	5151	nan	False	False
5005174at2759	aa	Sym	5151	5151	0	0.596083	True	False
5005174at2759	aa	Mar	5151	98	5053	nan	False	False
5005174at2759	aa	Int	5151	98	5053	nan	False	False
5005196at2759	3di	Sym	36	36	0	0.795588	True	False
5005196at2759	3di	Mar	36	19	17	0.60386	True	False
5005196at2759	3di	Int	36	19	17	0.78772	True	False
5005196at2759	aa	Sym	36	36	0	0.741273	True	False
5005196at2759	aa	Mar	36	26	10	0.266044	True	False
5005196at2759	aa	Int	36	26	10	0.873362	True	False
5005274at2759	3di	Sym	153	148	5	0.123845	True	False
5005274at2759	3di	Mar	153	0	153	nan	False	False
5005274at2759	3di	Int	153	0	153	nan	False	False
5005274at2759	aa	Sym	153	153	0	0.214695	True	False
5005274at2759	aa	Mar	153	0	153	nan	False	False
5005274at2759	aa	Int	153	0	153	nan	False	False
5005750at2759	3di	Sym	8911	8911	0	0.113735	True	False
5005750at2759	3di	Mar	8911	0	8911	nan	False	False
5005750at2759	3di	Int	8911	0	8911	nan	False	False
5005750at2759	aa	Sym	8911	8901	10	0.519798	True	False
5005750at2759	aa	Mar	8911	0	8911	nan	False	False
5005750at2759	aa	Int	8911	0	8911	nan	False	False
5005892at2759	3di	Sym	78	78	0	0.201176	True	False
5005892at2759	3di	Mar	78	0	78	nan	False	False
5005892at2759	3di	Int	78	0	78	nan	False	False
5005892at2759	aa	Sym	78	78	0	0.0777321	True	False
5005892at2759	aa	Mar	78	43	35	0.165423	True	False
5005892at2759	aa	Int	78	43	35	0.129736	True	False
5013042at2759	3di	Sym	21	21	0	0.650855	True	False
5013042at2759	3di	Mar	21	0	21	nan	False	False
5013042at2759	3di	Int	21	0	21	nan	False	False
5013042at2759	aa	Sym	21	21	0	0.149937	True	False
5013042at2759	aa	Mar	21	15	6	0.0119833	True	True
5013042at2759	aa	Int	21	15	6	0.601331	True	False
5013067at2759	3di	Sym	136	135	1	0.716563	True	False
5013067at2759	3di	Mar	136	55	81	nan	False	False
5013067at2759	3di	Int	136	55	81	nan	False	False
5013067at2759	aa	Sym	136	133	3	0.645835	True	False
5013067at2759	aa	Mar	136	119	17	0.121904	True	False
5013067at2759	aa	Int	136	119	17	0.888909	True	False
5013259at2759	3di	Sym	7503	7259	244	0.41588	True	False
5013259at2759	3di	Mar	7503	0	7503	nan	False	False
5013259at2759	3di	Int	7503	0	7503	nan	False	False
5013259at2759	aa	Sym	7503	7495	8	0.455653	True	False
5013259at2759	aa	Mar	7503	75	7428	nan	False	False
5013259at2759	aa	Int	7503	75	7428	nan	False	False
5013539at2759	3di	Sym	1275	1274	1	0.333331	True	False
5013539at2759	3di	Mar	1275	131	1144	nan	False	False
5013539at2759	3di	Int	1275	131	1144	nan	False	False
5013539at2759	aa	Sym	1275	1274	1	0.457576	True	False
5013539at2759	aa	Mar	1275	397	878	0.321864	True	False
5013539at2759	aa	Int	1275	397	878	0.574095	True	False
5013726at2759	3di	Sym	9180	9177	3	0.437259	True	False
5013726at2759	3di	Mar	9180	0	9180	nan	False	False
5013726at2759	3di	Int	9180	0	9180	nan	False	False
5013726at2759	aa	Sym	9180	9179	1	0.483363	True	False
5013726at2759	aa	Mar	9180	1254	7926	nan	False	False
5013726at2759	aa	Int	9180	1254	7926	nan	False	False
5013738at2759	3di	Sym	9180	9177	3	0.215225	True	False
5013738at2759	3di	Mar	9180	0	9180	nan	False	False
5013738at2759	3di	Int	9180	0	9180	nan	False	False
5013738at2759	aa	Sym	9180	9174	6	0.626118	True	False
5013738at2759	aa	Mar	9180	25	9155	nan	False	False
5013738at2759	aa	Int	9180	25	9155	nan	False	False
5015403at2759	3di	Sym	78	78	0	0.0490303	True	True
5015403at2759	3di	Mar	78	29	49	nan	False	False
5015403at2759	3di	Int	78	29	49	nan	False	False
5015403at2759	aa	Sym	78	78	0	0.353896	True	False
5015403at2759	aa	Mar	78	48	30	0.636891	True	False
5015403at2759	aa	Int	78	48	30	0.249177	True	False
5015712at2759	3di	Sym	15	15	0	0.0409283	True	True
5015712at2759	3di	Mar	15	0	15	nan	False	False
5015712at2759	3di	Int	15	0	15	nan	False	False
5015712at2759	aa	Sym	15	15	0	0.143129	True	False
5015712at2759	aa	Mar	15	7	8	0.00032132	True	True
5015712at2759	aa	Int	15	7	8	0.888906	True	False
5015742at2759	3di	Sym	6	6	0	0.569436	True	False
5015742at2759	3di	Mar	6	6	0	0.571035	True	False
5015742at2759	3di	Int	6	6	0	0.505255	True	False
5015742at2759	aa	Sym	6	6	0	0.0085688	True	True
5015742at2759	aa	Mar	6	5	1	1.58858e-05	True	True
5015742at2759	aa	Int	6	5	1	0.509352	True	False
5017019at2759	3di	Sym	28	28	0	0.611769	True	False
5017019at2759	3di	Mar	28	0	28	nan	False	False
5017019at2759	3di	Int	28	0	28	nan	False	False
5017019at2759	aa	Sym	28	28	0	0.667748	True	False
5017019at2759	aa	Mar	28	16	12	0.611767	True	False
5017019at2759	aa	Int	28	16	12	0.595677	True	False
529759at2759	3di	Sym	10153	10146	7	0.415407	True	False
529759at2759	3di	Mar	10153	0	10153	nan	False	False
529759at2759	3di	Int	10153	0	10153	nan	False	False
529759at2759	aa	Sym	10153	10148	5	0.588255	True	False
529759at2759	aa	Mar	10153	211	9942	0.624681	True	False
529759at2759	aa	Int	10153	211	9942	0.469125	True	False
539632at2759	3di	Sym	465	464	1	0.19707	True	False
539632at2759	3di	Mar	465	0	465	nan	False	False
539632at2759	3di	Int	465	0	465	nan	False	False
539632at2759	aa	Sym	465	463	2	0.554001	True	False
539632at2759	aa	Mar	465	176	289	0.933531	True	False
539632at2759	aa	Int	465	176	289	0.201847	True	False
540946at2759	3di	Sym	36	36	0	0.622666	True	False
540946at2759	3di	Mar	36	0	36	nan	False	False
540946at2759	3di	Int	36	0	36	nan	False	False
540946at2759	aa	Sym	36	36	0	0.117757	True	False
540946at2759	aa	Mar	36	33	3	0.000331491	True	True
540946at2759	aa	Int	36	33	3	0.831168	True	False
541070at2759	3di	Sym	7381	7380	1	0.186045	True	False
541070at2759	3di	Mar	7381	0	7381	nan	False	False
541070at2759	3di	Int	7381	0	7381	nan	False	False
541070at2759	aa	Sym	7381	7380	1	0.0555651	True	False
541070at2759	aa	Mar	7381	3049	4332	0.00491396	True	True
541070at2759	aa	Int	7381	3049	4332	0.435491	True	False
554735at2759	3di	Sym	8515	8515	0	0.151307	True	False
554735at2759	3di	Mar	8515	76	8439	nan	False	False
554735at2759	3di	Int	8515	76	8439	nan	False	False
554735at2759	aa	Sym	8515	8515	0	0.527229	True	False
554735at2759	aa	Mar	8515	692	7823	0.178019	True	False
554735at2759	aa	Int	8515	692	7823	0.750647	True	False
649304at2759	3di	Sym	325	322	3	0.472286	True	False
649304at2759	3di	Mar	325	0	325	nan	False	False
649304at2759	3di	Int	325	0	325	nan	False	False
649304at2759	aa	Sym	325	322	3	0.759332	True	False
649304at2759	aa	Mar	325	155	170	nan	False	False
649304at2759	aa	Int	325	155	170	nan	False	False
707076at2759	3di	Sym	3741	3740	1	0.255968	True	False
707076at2759	3di	Mar	3741	110	3631	nan	False	False
707076at2759	3di	Int	3741	110	3631	nan	False	False
707076at2759	aa	Sym	3741	3740	1	0.42935	True	False
707076at2759	aa	Mar	3741	307	3434	0.201908	True	False
707076at2759	aa	Int	3741	307	3434	0.706137	True	False
707202at2759	3di	Sym	36	36	0	0.291168	True	False
707202at2759	3di	Mar	36	19	17	0.0857974	True	False
707202at2759	3di	Int	36	19	17	0.655608	True	False
707202at2759	aa	Sym	36	36	0	0.55855	True	False
707202at2759	aa	Mar	36	29	7	0.278501	True	False
707202at2759	aa	Int	36	29	7	0.69704	True	False
727964at2759	3di	Sym	55	55	0	0.00372523	True	True
727964at2759	3di	Mar	55	0	55	nan	False	False
727964at2759	3di	Int	55	0	55	nan	False	False
727964at2759	aa	Sym	55	55	0	0.298843	True	False
727964at2759	aa	Mar	55	23	32	0.0659147	True	False
727964at2759	aa	Int	55	23	32	0.689963	True	False
760428at2759	3di	Sym	120	120	0	0.466792	True	False
760428at2759	3di	Mar	120	0	120	nan	False	False
760428at2759	3di	Int	120	0	120	nan	False	False
760428at2759	aa	Sym	120	120	0	0.550033	True	False
760428at2759	aa	Mar	120	101	19	0.60133	True	False
760428at2759	aa	Int	120	101	19	0.462285	True	False
776280at2759	3di	Sym	6	6	0	0.158497	True	False
776280at2759	3di	Mar	6	0	6	nan	False	False
776280at2759	3di	Int	6	0	6	nan	False	False
776280at2759	aa	Sym	6	6	0	0.170776	True	False
776280at2759	aa	Mar	6	2	4	0.0805694	True	False
776280at2759	aa	Int	6	2	4	0.443105	True	False
801816at2759	3di	Sym	11781	11776	5	0.361966	True	False
801816at2759	3di	Mar	11781	0	11781	nan	False	False
801816at2759	3di	Int	11781	0	11781	nan	False	False
801816at2759	aa	Sym	11781	11778	3	0.255603	True	False
801816at2759	aa	Mar	11781	2106	9675	nan	False	False
801816at2759	aa	Int	11781	2106	9675	nan	False	False
