marker	genus_label	tree_taxa	manifest_group_taxa	group_taxa_in_tree	missing_group_taxa	status	edge_separable	separating_edge_sh_alrt	incompatible_edges	incompatible_edges_sh_alrt_ge80	max_incompatible_edge_sh_alrt
2852757at2759	Malassezia	477	5	5		assessed	True	100	0	0	
2852757at2759	Microbotryum	477	4	4		assessed	True	98.6	0	0	
2852757at2759	Naganishia	477	4	3	F610337	insufficient_taxon_coverage					
2852757at2759	Saccharomyces	477	9	7	F27292;F332112	assessed	True	99.7	0	0	
2852757at2759	Serendipita	477	5	5		assessed	False		2	1	83.1
2852757at2759	Suillus	477	10	10		assessed	True	99.7	0	0	
2852757at2759	Tilletia	477	5	2	F13290;F13291;F157183	insufficient_taxon_coverage					
2852757at2759	Trichoderma	477	10	9	F63577	assessed	True	99.8	0	0	
2852757at2759	Umbelopsis	477	4	4		assessed	True	99.6	0	0	
2852757at2759	Wallemia	477	4	4		assessed	True	100	0	0	
288615at2759	Amanita	504	7	7		assessed	True	100	0	0	
288615at2759	Aspergillus	504	10	10		assessed	False		3	1	100.0
288615at2759	Candida	504	6	6		assessed	True	100	0	0	
288615at2759	Colletotrichum	504	10	10		assessed	True	100	0	0	
288615at2759	Cryptococcus	504	10	10		assessed	True	100	0	0	
288615at2759	Fusarium	504	10	10		assessed	True	93.4	0	0	
288615at2759	Malassezia	504	5	5		assessed	True	100	0	0	
288615at2759	Microbotryum	504	4	4		assessed	True	100	0	0	
288615at2759	Naganishia	504	4	4		assessed	True	100	0	0	
288615at2759	Saccharomyces	504	9	7	F27292;F332112	assessed	True	100	0	0	
288615at2759	Serendipita	504	5	5		assessed	True	100	0	0	
288615at2759	Suillus	504	10	10		assessed	True	99.9	0	0	
288615at2759	Tilletia	504	5	5		assessed	True	100	0	0	
288615at2759	Trichoderma	504	10	9	F101201	assessed	True	100	0	0	
288615at2759	Umbelopsis	504	4	4		assessed	True	100	0	0	
288615at2759	Wallemia	504	4	4		assessed	True	100	0	0	
319730at2759	Amanita	491	7	7		assessed	True	97.9	0	0	
319730at2759	Aspergillus	491	10	10		assessed	True	98.2	0	0	
319730at2759	Candida	491	6	5	F5486	assessed	True	100	0	0	
319730at2759	Colletotrichum	491	10	10		assessed	True	99.9	0	0	
319730at2759	Cryptococcus	491	10	10		assessed	True	97.5	0	0	
319730at2759	Fusarium	491	10	9	F117187	assessed	True	100	0	0	
319730at2759	Malassezia	491	5	5		assessed	True	99.8	0	0	
319730at2759	Microbotryum	491	4	4		assessed	True	100	0	0	
319730at2759	Naganishia	491	4	2	F1424756;F610337	insufficient_taxon_coverage					
319730at2759	Saccharomyces	491	9	8	F27292	assessed	True	99.6	0	0	
319730at2759	Serendipita	491	5	3	F2600213;F2600215	insufficient_taxon_coverage					
319730at2759	Suillus	491	10	10		assessed	True	100	0	0	
319730at2759	Tilletia	491	5	5		assessed	True	99.2	0	0	
319730at2759	Trichoderma	491	10	9	F101201	assessed	True	100	0	0	
319730at2759	Umbelopsis	491	4	4		assessed	True	99.8	0	0	
319730at2759	Wallemia	491	4	4		assessed	False		23	15	100.0
340246at2759	Amanita	468	7	5	F1004511;F87326	assessed	True	99.9	0	0	
340246at2759	Aspergillus	468	10	10		assessed	True	99.9	0	0	
340246at2759	Candida	468	6	3	F241526;F5482;F5486	insufficient_taxon_coverage					
340246at2759	Colletotrichum	468	10	10		assessed	True	99.7	0	0	
340246at2759	Cryptococcus	468	10	10		assessed	True	99.4	0	0	
340246at2759	Fusarium	468	10	10		assessed	True	94.2	0	0	
340246at2759	Malassezia	468	5	5		assessed	True	100	0	0	
340246at2759	Microbotryum	468	4	4		assessed	True	100	0	0	
340246at2759	Naganishia	468	4	4		assessed	False		16	10	100.0
340246at2759	Saccharomyces	468	9	8	F27292	assessed	True	100	0	0	
340246at2759	Serendipita	468	5	5		assessed	True	99.3	0	0	
340246at2759	Suillus	468	10	10		assessed	True	100	0	0	
340246at2759	Tilletia	468	5	5		assessed	True	100	0	0	
340246at2759	Trichoderma	468	10	10		assessed	True	99.9	0	0	
340246at2759	Umbelopsis	468	4	4		assessed	True	100	0	0	
340246at2759	Wallemia	468	4	4		assessed	True	100	0	0	
345792at2759	Amanita	482	7	6	F87326	assessed	True	99.4	0	0	
345792at2759	Aspergillus	482	10	10		assessed	True	97.3	0	0	
345792at2759	Candida	482	6	6		assessed	True	77.8	0	0	
345792at2759	Colletotrichum	482	10	10		assessed	True	99.7	0	0	
345792at2759	Cryptococcus	482	10	10		assessed	True	94	0	0	
345792at2759	Fusarium	482	10	10		assessed	False		1	0	59.7
345792at2759	Malassezia	482	5	5		assessed	True	97.3	0	0	
345792at2759	Microbotryum	482	4	4		assessed	True	83.3	0	0	
345792at2759	Naganishia	482	4	4		assessed	False		32	19	99.5
345792at2759	Saccharomyces	482	9	8	F27292	assessed	True	79.2	0	0	
345792at2759	Serendipita	482	5	5		assessed	False		2	1	86.8
345792at2759	Suillus	482	10	10		assessed	True	98.8	0	0	
345792at2759	Tilletia	482	5	5		assessed	True	99.3	0	0	
345792at2759	Trichoderma	482	10	10		assessed	True	100	0	0	
345792at2759	Umbelopsis	482	4	1	F44442;F64526;F91625	insufficient_taxon_coverage					
345792at2759	Wallemia	482	4	4		assessed	True	99.9	0	0	
352891at2759	Amanita	472	7	7		assessed	True	96.7	0	0	
352891at2759	Aspergillus	472	10	10		assessed	True	73.3	0	0	
352891at2759	Candida	472	6	4	F5479;F5486	assessed	True	100	0	0	
352891at2759	Colletotrichum	472	10	9	F145971	assessed	True	99.8	0	0	
352891at2759	Cryptococcus	472	10	10		assessed	True	99.8	0	0	
352891at2759	Fusarium	472	10	10		assessed	False		1	0	31.4
352891at2759	Malassezia	472	5	5		assessed	True	99.9	0	0	
352891at2759	Microbotryum	472	4	4		assessed	True	99.9	0	0	
352891at2759	Naganishia	472	4	4		assessed	True	99.7	0	0	
352891at2759	Saccharomyces	472	9	7	F27292;F332112	assessed	True	99.2	0	0	
352891at2759	Serendipita	472	5	5		assessed	True	100	0	0	
352891at2759	Suillus	472	10	10		assessed	True	100	0	0	
352891at2759	Tilletia	472	5	5		assessed	True	100	0	0	
352891at2759	Trichoderma	472	10	10		assessed	True	99.7	0	0	
352891at2759	Umbelopsis	472	4	4		assessed	True	100	0	0	
352891at2759	Wallemia	472	4	4		assessed	True	100	0	0	
3643464at2759	Amanita	462	7	7		assessed	True	100	0	0	
3643464at2759	Aspergillus	462	10	10		assessed	True	99.8	0	0	
3643464at2759	Candida	462	6	0	F241526;F42374;F5476;F5479;F5482;F5486	insufficient_taxon_coverage					
3643464at2759	Colletotrichum	462	10	10		assessed	True	99.6	0	0	
3643464at2759	Cryptococcus	462	10	10		assessed	True	100	0	0	
3643464at2759	Fusarium	462	10	10		assessed	True	97.9	0	0	
3643464at2759	Malassezia	462	5	5		assessed	True	100	0	0	
3643464at2759	Microbotryum	462	4	4		assessed	True	100	0	0	
3643464at2759	Naganishia	462	4	3	F610337	insufficient_taxon_coverage					
3643464at2759	Saccharomyces	462	9	8	F27292	assessed	True	100	0	0	
3643464at2759	Serendipita	462	5	5		assessed	True	100	0	0	
3643464at2759	Suillus	462	10	10		assessed	True	100	0	0	
3643464at2759	Tilletia	462	5	5		assessed	True	100	0	0	
3643464at2759	Trichoderma	462	10	10		assessed	True	100	0	0	
3643464at2759	Umbelopsis	462	4	4		assessed	True	100	0	0	
3643464at2759	Wallemia	462	4	4		assessed	True	100	0	0	
4613677at2759	Amanita	469	7	7		assessed	False		4	1	84.7
4613677at2759	Aspergillus	469	10	9	F5062	assessed	True	99.7	0	0	
4613677at2759	Candida	469	6	4	F241526;F5486	assessed	False		2	1	91.1
4613677at2759	Colletotrichum	469	10	10		assessed	True	98.8	0	0	
4613677at2759	Cryptococcus	469	10	9	F104669	assessed	True	94.9	0	0	
4613677at2759	Fusarium	469	10	9	F117187	assessed	False		12	6	89.6
4613677at2759	Malassezia	469	5	5		assessed	True	96.3	0	0	
4613677at2759	Microbotryum	469	4	3	F269621	insufficient_taxon_coverage					
4613677at2759	Naganishia	469	4	3	F89922	insufficient_taxon_coverage					
4613677at2759	Saccharomyces	469	9	7	F27292;F332112	assessed	True	98.9	0	0	
4613677at2759	Serendipita	469	5	5		assessed	False		1	0	4.2
4613677at2759	Suillus	469	10	10		assessed	True	99.9	0	0	
4613677at2759	Tilletia	469	5	5		assessed	True	85.8	0	0	
4613677at2759	Trichoderma	469	10	10		assessed	True	98.9	0	0	
4613677at2759	Umbelopsis	469	4	4		assessed	True	93.3	0	0	
4613677at2759	Wallemia	469	4	4		assessed	True	63.6	0	0	
4747214at2759	Amanita	480	7	7		assessed	True	78.3	0	0	
4747214at2759	Aspergillus	480	10	9	F5062	assessed	True	95.1	0	0	
4747214at2759	Candida	480	6	4	F241526;F5486	assessed	True	93.1	0	0	
4747214at2759	Colletotrichum	480	10	10		assessed	True	94	0	0	
4747214at2759	Cryptococcus	480	10	10		assessed	False		2	0	79.5
4747214at2759	Fusarium	480	10	10		assessed	True	80.5	0	0	
4747214at2759	Malassezia	480	5	5		assessed	True	98.2	0	0	
4747214at2759	Microbotryum	480	4	4		assessed	True	98.5	0	0	
4747214at2759	Naganishia	480	4	4		assessed	False		22	12	96.4
4747214at2759	Saccharomyces	480	9	7	F27292;F332112	assessed	True	98.1	0	0	
4747214at2759	Serendipita	480	5	5		assessed	True	87.4	0	0	
4747214at2759	Suillus	480	10	4	F116603;F1912936;F1912939;F48563;F48565;F48578	assessed	True	99.3	0	0	
4747214at2759	Tilletia	480	5	5		assessed	True	97.7	0	0	
4747214at2759	Trichoderma	480	10	10		assessed	True	80.4	0	0	
4747214at2759	Umbelopsis	480	4	4		assessed	True	93.6	0	0	
4747214at2759	Wallemia	480	4	4		assessed	True	100	0	0	
4764044at2759	Amanita	475	7	7		assessed	True	98.5	0	0	
4764044at2759	Aspergillus	475	10	10		assessed	True	96.4	0	0	
4764044at2759	Candida	475	6	4	F241526;F5486	assessed	True	99.6	0	0	
4764044at2759	Colletotrichum	475	10	10		assessed	True	100	0	0	
4764044at2759	Cryptococcus	475	10	10		assessed	True	100	0	0	
4764044at2759	Fusarium	475	10	10		assessed	True	98.7	0	0	
4764044at2759	Malassezia	475	5	5		assessed	True	100	0	0	
4764044at2759	Microbotryum	475	4	4		assessed	True	100	0	0	
4764044at2759	Naganishia	475	4	3	F1424756	insufficient_taxon_coverage					
4764044at2759	Saccharomyces	475	9	8	F27292	assessed	True	100	0	0	
4764044at2759	Serendipita	475	5	5		assessed	True	100	0	0	
4764044at2759	Suillus	475	10	10		assessed	True	100	0	0	
4764044at2759	Tilletia	475	5	5		assessed	True	99.9	0	0	
4764044at2759	Trichoderma	475	10	10		assessed	True	99.9	0	0	
4764044at2759	Umbelopsis	475	4	4		assessed	True	100	0	0	
4764044at2759	Wallemia	475	4	4		assessed	True	100	0	0	
4803900at2759	Amanita	418	7	7		assessed	True	95.7	0	0	
4803900at2759	Aspergillus	418	10	10		assessed	False		2	2	86.7
4803900at2759	Candida	418	6	3	F241526;F5482;F5486	insufficient_taxon_coverage					
4803900at2759	Colletotrichum	418	10	3	F1095194;F1209916;F1209934;F145971;F1671311;F474922;F80884	insufficient_taxon_coverage					
4803900at2759	Cryptococcus	418	10	10		assessed	True	95.2	0	0	
4803900at2759	Fusarium	418	10	2	F101028;F1042133;F1328300;F195108;F36050;F5127;F5128;F5518	insufficient_taxon_coverage					
4803900at2759	Malassezia	418	5	5		assessed	True	98.8	0	0	
4803900at2759	Microbotryum	418	4	4		assessed	True	99.5	0	0	
4803900at2759	Naganishia	418	4	2	F1424756;F89922	insufficient_taxon_coverage					
4803900at2759	Saccharomyces	418	9	6	F27292;F332112;F706196	assessed	True	99.7	0	0	
4803900at2759	Serendipita	418	5	5		assessed	True	99.8	0	0	
4803900at2759	Suillus	418	10	10		assessed	True	89.9	0	0	
4803900at2759	Tilletia	418	5	4	F157183	assessed	True	99.1	0	0	
4803900at2759	Trichoderma	418	10	6	F398673;F5544;F63577;F65468	assessed	True	97.2	0	0	
4803900at2759	Umbelopsis	418	4	3	F41833	insufficient_taxon_coverage					
4803900at2759	Wallemia	418	4	2	F1540922;F245174	insufficient_taxon_coverage					
