marker	taxon_id	protein_id	sequence_sha256
4971272at2759	F574774	OCL02091.1	0b39389e2f70929b4df9e961a5f6b2dfcb2e0b54dfdfa13f0c451e827908f6b2
4974767at2759	F574774	OCL06497.1	e4155d7bbea45b1028f39940ddba6bdb598fc52e0f7418b7bbff6505bb6822e3
4977163at2759	F574774	OCL03597.1	33d9e413c0127945b0f11257b0cc532da3b57cde9b529f4007fe2f5f74ce5e96
4985971at2759	F574774	OCL11675.1	671d40e0267a344ca55874038e8ea41d49eed309830a906fb00aa9c0256b64a0
5000045at2759	F574774	OCL12472.1	172f2774c34660742c3153e2d60e57fe53583c022d7c7f1931cbb6a41864025c
5000371at2759	F574774	OCL01319.1	07d199ee55bce043621a84f56322bbfc7f0b5c4f6eb8b421a1147c26a1199df6
5000452at2759	F574774	OCL02467.1	ee8893df7b5454897bbc5aba508c80ea1eba790163ddd776eb32872af2feab74
5000476at2759	F574774	OCL07751.1	86e4ea57808534e4ce74676e5aeef337ad6089eda62cd9818c3f6501d027d2e7
5000743at2759	F574774	OCL13513.1	fe73accefad57a3eed40d7c0728534aaffa3917bf7f5c867dbbccafd1dcad22a
5001273at2759	F574774	OCL10870.1	11b2a39aea84ab90ff3bb753e3e7a9b01150ac157f033e4e1c7a4f208094b937
5001318at2759	F574774	OCL12790.1	d066c36028b976cd3dbba26480cfa91e165619928887ac337108cfc41e8d3f6c
5001413at2759	F574774	OCL15410.1	4518de9148fba4699460fe11d64f82da553e98ec43bd9ffbff677268ad45d8f1
5001473at2759	F574774	OCL04931.1	d05930ac48ff880f0a8ffb45cfda54f7087e5d23e0344af99c5309953ca1125e
5001734at2759	F574774	OCL03645.1	e89eced5ebec8ef1dc8d66496460fe99f388e0780066afe45897a0a00255244c
5002334at2759	F574774	OCL09226.1	8d33f71d8407e9d71a36d14c6d53287ad7cfbaaae28efd3691da6b1b0e45b612
5002573at2759	F574774	OCL07398.1	4388c1e6fb8de530283dd017ba3f8506380360b57f7e2f13708f52ff7443c3b8
5003856at2759	F574774	OCL12172.1	06b25989c44a3ee6c0d9276645dd8a5f6d3535a8f559ac8bed83431e18d4b4b4
5003972at2759	F574774	OCL05111.1	aa0877ec9a89a236b611c0333e1a24a0ae4313dc50cf3a8e699d7ee40b00f221
5004118at2759	F574774	OCL12248.1	412ffc41bfec919a20f2c836a70fd6fec12e3a063a879f99d3fe4b498a9f81e7
5004478at2759	F574774	OCL12771.1	bdf7c81a9ff6d2450112a3d4dc64d71500cfb846e7af3a4a2471c551377892bc
5005010at2759	F574774	OCL01823.1	f8e10f31bbd66696eb10497d90c0228086848b5e2a34e09ed11dc73380778157
5005174at2759	F574774	OCL12278.1	5146de4c90828b4594069650805e852782c7b915f38a7f873a76863f7ff21992
5005196at2759	F574774	OCL01481.1	1764882870662b7e0ca808dd9046bd54048e776fdd0d1f258f7a07105e3c4bf2
5005274at2759	F574774	OCL01733.1	470ca334b8a5a9188b095c5fb0eba4ac2c318cdf4305ac4c1e09f1f86538b1f8
5005750at2759	F574774	OCL01936.1	c97722bb88ff35efc5d30905be3ff0b72cb0fdf5061f3d95237397772b27ff9c
5005892at2759	F574774	OCL08602.1	144a30196f3845f87bb71e10fbfd15efbb3e822f6c00e5737bcd7a83ec2dac81
5013042at2759	F574774	OCL01833.1	6b67e80d8c560453f0179dbb8dd1091f5349e1c40413044d1a854f7d1185f134
5013067at2759	F574774	OCL05839.1	82c45259262f8f49c30e778c33eb99632e6d9df0a8d911121da5ccc324a04b0f
5013259at2759	F574774	OCL06804.1	f375e6f946dcd0625ef61e65c7e2e65cb6b336428ebfbdb2616061a7f0ed4b31
5013539at2759	F574774	OCL13573.1	645fdafb3644ee53051a927e7b9ff4f71e116e68d488cd3b781c691ef693e9ad
5013726at2759	F574774	OCL13394.1	32bf65ff792f907da8ef80a0533501ee5282a00dc670e6e9c05cfe8c737ff59d
5013738at2759	F574774	OCL07219.1	070412bfb405b8b9c4f11661ec3a7ef2ea98cc4a09b4100640a0e4632afe5750
5015403at2759	F574774	OCL08613.1	4e9fd5c4ecdd9ac96905da08a41a39fa97ee252b83e024f7cde359169e7f7064
5015712at2759	F574774	OCL02974.1	4e3dae4e7698df2e9b17eafcc17e9559e407f17dc35789826c90ae31c703ac59
5015742at2759	F574774	OCL01838.1	cad6c3d7452fba415588b93179925ef72654665aab677cc9a1acce7cdef4ce6e
529759at2759	F574774	OCL08135.1	c29c1a9a2e7250d41898651a879825243b8346c391e34925cc71e2ecf370634a
530740at2759	F574774	OCL03642.1	d44d3f853550e7085c2d3db1be7c61b9d63adc7c951629c8d7875bcf65e07d56
539632at2759	F574774	OCL04611.1	2493da729e95e631998525ec44ce3939d503f4659b849593c2f9378cb17c3664
541070at2759	F574774	OCL08737.1	594654b797d838dd3d3d42a6efc9ac2d87651818ef5f21074841a36ef995a648
554735at2759	F574774	OCL11489.1	b430ebe00eaa20f2217ff3c5325f0800b27d806f88b282ab06a0fa14fe0657e2
649304at2759	F574774	OCL03987.1	08080380e1e4cdf382045a2b77a52d5187a7ff588a55aa925a9ba3b4b2e7cc05
707076at2759	F574774	OCL13343.1	c76634910d405406f0b47133749ea551a293a79f8e2fc038b7c6325608e4e50d
727964at2759	F574774	OCL13629.1	f0148f8c8ad96f2c8322e73e0e6d3c4697765ea903405984c0f2f072fcabc7c7
760428at2759	F574774	OCL01591.1	b07aa595c3ec21992d270a584ee048220e98865bf4c25daf5c46d5d58e1d1b2f
801816at2759	F574774	OCL08723.1	68c2ce4f9ab180c08ba7889a6cc1ea9b999d9115845ebc307d32b39d541009b5
115730at2759	F741139	OCK81906.1	f51d65eef05d73e0a8afe0a044d48008fef9ac3804beae2091a4a3bbd96636a9
129234at2759	F741139	OCK81726.1	a724f2d8c84d23708b1c228a5c51621f042627af4fcab4bd4617cb904170736f
201273at2759	F741139	OCK77905.1	a87e4890c2139259bb7764a3408fbf86026b748bd1f5e6471d435d4ee8f3a138
207567at2759	F741139	OCK82896.1	7c0507e37cda1f240dce883cd88c54fa053fcbeb50553ccb22493af8f4ede293
260326at2759	F741139	OCK80514.1	59cb590887f87850ae473646d5e066c00771e4720bd9fc8734af51c969448a04
2852757at2759	F741139	OCK85155.1	3cc7ff77bdcec17489df547aeb9d6b136d55ac6669b6a7e3f79afd967c40eb64
319730at2759	F741139	OCK81281.1	1509c4142b2c796553f485b1a6ebfdcab59c6ac286a94311ef7257076fc8a441
345792at2759	F741139	OCK84279.1	de690d76d19c07591d16cd27df91d3a21b4e2e7743d31714de1dafeefdb6dac6
352891at2759	F741139	OCK78694.1	5c7d72ebbc16a733eeeebe722d834c5a629e9cfa0cec8e84380036b68dd58687
4613677at2759	F741139	OCK79507.1	197987b2b2b0ef8f7ae475251ffa7c65a28c826dd25c5f7eac64d9d946af09d7
4747214at2759	F741139	OCK80197.1	bfccb982fb6c082d27667f604be32641ddbdd9f4e3105ca48b70c6a681e26315
4803900at2759	F741139	OCK82860.1	889ba88b63468467e119c88400524992a8c779859e1ea83f43332aad712aa91f
4823929at2759	F741139	OCK83425.1	bca4c77115ef0cf850c02e295a68c4e0efa2ae09126df088183da9cdf0ba4354
4837017at2759	F741139	OCK76777.1	c4c5b6552ba505067f9f75c4216830b037f1db25c3f6ea6d9b83b964875361bc
4843824at2759	F741139	OCK85104.1	ce5683ae6bbb405ff5484874fb39f112bb54fc92d1012eef071a25c962ff4fa8
4867008at2759	F741139	OCK76465.1	16517cd3a0b6454e311c4a6faf943515099aa34aae91c7aec4739ab79e53f0a6
4896098at2759	F741139	OCK85713.1	00d16f6810b1a3a154532ae658b32851beab35c6578713101e6ea80803f01af9
4900375at2759	F741139	OCK79188.1	ce354d405537e61b1d3aad528ea243d0ceda0587f72585af069e9792cee0ce7d
4908955at2759	F741139	OCK76986.1	bbb1567ca32b92419fa978356e6e1163f1ed9e8655b626ff0b78b15692d4d846
4969018at2759	F741139	OCK77270.1	e59914b9462e6f1889b067543796968484fd846e35b308c6b62b11aa190c5ce6
4969636at2759	F741139	OCK80840.1	ea6114e431e68d44d6407c6e26c40c3f262a3ca99f9bcad81f41f40efe37f369
4969990at2759	F741139	OCK73902.1	0f1815da3e6a58b82a6ccaeabc54c994dc075e2a188d1dab7f7d5500465af4a2
4970387at2759	F741139	OCK86403.1	28b474de33bfdba98a437c4e417ecc1dde025d5233071d09326737f53f031208
4971272at2759	F741139	OCK81816.1	acaaead9299e2b4391fe080bdc433e648cae1bd632fb4aadb3e9266d4e7aa5ce
4974767at2759	F741139	OCK83989.1	f7eafcdef2e53c0111fafe74db02039128f68aa4f8e060e42c031b72c52d7710
4977163at2759	F741139	OCK78058.1	6b651d11d42a06b56cb563d9e543b0d8caf46a387f56c39c3d73f2253aef752f
4985971at2759	F741139	OCK85925.1	a3cef78aa80728dbaf9b5279a864c4a8079b9c856aa5b104cafc1e1d34dee8e4
5000045at2759	F741139	OCK84883.1	2e9b7c273921852e9de59bbdad649555d7d0bd4a345122f66f014bb7d33a4dcf
5000371at2759	F741139	OCK76684.1	f9affd6d8f051a15a83c6b71cf73327c5dd471a82a9200ea797aebd1c0b8a5a8
5000452at2759	F741139	OCK84995.1	6b3e6bdf65fab62f02104502a5d30edb36e502cbb7722c69e61a55f3b19a5ac1
5000476at2759	F741139	OCK81661.1	5f1ffe737613982c0b768e310b3fe7bf1118d909ae4a62ce2e92b9d4a349fb77
5000743at2759	F741139	OCK81584.1	edcdee9da89c96275420ee08db083a937904b69b820efb992cd2356e49fa63c6
5001273at2759	F741139	OCK85814.1	118d7a29ddcc1c03da068e730d61fb3369ad31b7ada6dd2d811ad407965ccb03
5001318at2759	F741139	OCK85876.1	4f424fbf28a6c99f485a38d88166a99d6ede18af2c819f246917736421b9d85c
5001413at2759	F741139	OCK79393.1	d94eeaac46bba635b8877a09590768267e33b751f5aa511bdb5a45c5fa53dbf2
5001473at2759	F741139	OCK74735.1	b407bb5793460e53bb9ba43ae062ccfa572ca3e945956ba71e9aaad670f8fe96
5001734at2759	F741139	OCK74487.1	828e34abf8f173fd1d3cf468013edc169ee5879e2e5a2fba3fb3b35b449106e1
5002573at2759	F741139	OCK83940.1	cc9f8c6aa8c1524ec0951249b580401bafd856f37af5b364b78475a6f4998743
5003856at2759	F741139	OCK79826.1	0f09b43c44f15c3cf9c68b4ec3bd129d0647c9cb58cbb51e2c4c41d1dfdaab2d
5003972at2759	F741139	OCK78934.1	b9cfe8f89ae6c6cd80b1a74ceaa7a7305874c1fc14be0d2a11cc577d3ee50d48
5004118at2759	F741139	OCK79352.1	cdc5370e311b8065ec78b3935857ea00c4566fa50a7982b3b98eabfb0c5f25dd
5004265at2759	F741139	OCK75575.1	caf3faf1be8d461756f641121b7d74a567f916053f34e96e193cb765acf79dcf
5004478at2759	F741139	OCK85675.1	f39c25247dc4da66908c1255531246bd44669e6ed013b3f876d0f38246c4e080
5005010at2759	F741139	OCK77919.1	972e070f5dd3fc8a2da7c0f2573fb08098be46a62928c625696ceeebc2e2af0c
5005174at2759	F741139	OCK82744.1	b497a2254faab353671e025a2542a0bbe0a696957c5a6c5a791f41c541f2e233
5005196at2759	F741139	OCK78163.1	cf62b06d52c07b58e81693fc297cfeb7eaff941f53fae420560c7d48d08e3c95
5005274at2759	F741139	OCK81876.1	d97ca77c263c9c3249521b94de47ca0e75e5d1fce954eaafd8a08931ceec03b1
5005750at2759	F741139	OCK84896.1	81ba93bf4bc0f9405b47886625e321856a2c93a0162d647fae8d15a5ec298e51
5005892at2759	F741139	OCK79355.1	470c328074b94701242195ace9ef3853d40090bae17bbd411b0cd6f91cba6b3d
5013042at2759	F741139	OCK77907.1	cea98b162cb2f8ecf97a126b3ed65316574ef3f9efb9d02927c40583d2b16175
5013067at2759	F741139	OCK75125.1	d65e712b17d736d63057c981eb211892bf0885c212fe71f0c795d86dad13ac01
5013259at2759	F741139	OCK79337.1	66ac5e6075ef3e3458798af281e19dbb8b5bb72772ec9585807f204563409a97
5013539at2759	F741139	OCK82812.1	ba82fc6b549d738e3beec38dc014b8b7f5910fe4f0576ed5044abe002f196094
5013726at2759	F741139	OCK84152.1	5fb16f53a95b2d083b5b16df3193b9691b34b30384c9353bc9bb20549e26772b
5013738at2759	F741139	OCK84120.1	b741fbdda1230b686ad6b951d3d82df37d2131236a543eec019ddb7baddf3a48
5015403at2759	F741139	OCK83223.1	73466d46817165ed872b31b1424949d6e3533ad78f7ccd16ca60a80083ed5448
5015712at2759	F741139	OCK79538.1	05f7679404154c5db0201678b0ad70aebbd4bd3484ba27f8dec136c68b89d9b6
5015742at2759	F741139	OCK77901.1	bad0a811a9fffdd9ea28718a2bb4d3d1d48c147f130d77378f433c1c9f6bd1d0
529759at2759	F741139	OCK85298.1	a9d70cb530adc4608c1a313f646bcd1444fdbfb55ea38daea951fcf00f1b4a9a
530740at2759	F741139	OCK74552.1	e3098b361993cf83609069cf2d76a0bdae922116907ca39321311f9076406952
539632at2759	F741139	OCK77624.1	7460ffa282cce4c11b3adeb5db0c16f1d1d58db7a5649a144fa8075d58cfac26
541070at2759	F741139	OCK76632.1	1aebab8eec255ec237106f866449593881057f52f4f3e03d8bc7b10583b0211d
554735at2759	F741139	OCK81096.1	ff28f7e3f60f4c81d1d40761f59c861d89062526a81bd85022a08b6ff2fecc2f
649304at2759	F741139	OCK78766.1	584dd562cf1f3e660168a038d0bc337f8f827b98259b86f3903072c4cefb53c1
707076at2759	F741139	OCK77234.1	9d24276b3cc4249719d773727c1b883c2b67fc16466608f9aed6db0a58e655cc
707202at2759	F741139	OCK77700.1	99e1bc0f18562f4f44d9f0c9626433d379264c2c916fc5b18351b683fcb7cf51
727964at2759	F741139	OCK82057.1	c5db591fc74096e371e67f01cc0299ed7d6a32f7d741d960059a68d66db3ac65
760428at2759	F741139	OCK80379.1	020dc35422f45f4b53d74a5adebc63a989011c03765ee43b2dbecbfa1352f208
801816at2759	F741139	OCK84836.1	993c39712455c3bbbab167a473139ae4af67396689c08b943a6e91c75757e8e2
115730at2759	F39416	XP_002839838.1	19029a2214e8719543fa2261fefcd80ff872c5b93c6c2adbac3d78f538e6e407
129234at2759	F39416	XP_002842168.1	7870b3425e27e1ff0f1e4698c556b26704fc22df43f782c8301dba9b0469a0b6
201273at2759	F39416	XP_002841477.1	5cfc5621a57d9f81b7d855d648d023c558388291054e5c193096b3bf8a958314
207567at2759	F39416	XP_002842555.1	47924963e76e6ddec37d0c310c9029c800b56c4ce853ffc16f6e9546c929311e
260326at2759	F39416	XP_002841415.1	98be84463c31fb2ae236a303dd258808ab0136bc7a69858570f846b96f4c5614
319730at2759	F39416	XP_002837452.1	c2578c28df2333f163bcf4932293152f603d019839781476ca061d8c44efde0c
352891at2759	F39416	XP_002836036.1	6b6b7768086da40b52c2925db5cb92c3320861c415137ec20f45d5e42e6e6eaf
4613677at2759	F39416	XP_002838062.1	b0b6546afff4b4720d804a05da034cb1c6aae2d71b64dce2244ab6a8ce6ef676
4747214at2759	F39416	XP_002836354.1	bd6516863db3fdcfcd7d1505e5592470e06262d3b025086cc93b357587663482
4803900at2759	F39416	XP_002836559.1	18caa90f7ec80f143500ac505936220134d1da9a5ff964a6c6918e3c82455b34
4823929at2759	F39416	XP_002841544.1	4af8f22a109f68e8f2765158d793b515c6fd4f7eca2503e6e8d2254e949258ad
4837017at2759	F39416	XP_002840557.1	a683ae42a64d23c4645efcb48dd7218d7aadad9a77a1f5518b4fda416271a2ac
4843824at2759	F39416	XP_002840870.1	1b6f76d541196a805a0528a117a85b188d72a233865969f5ad55d358cb688965
4867008at2759	F39416	XP_002836252.1	2625c2b34b8943547df8f2e386b2448fdbe0ba28fed535ea778e4beb443a3918
4896098at2759	F39416	XP_002838036.1	054161ef3fc2affd7eddf6a969d8f82d8f1ab23ceef842f0508a8d5994e50073
4900375at2759	F39416	XP_002836200.1	faf8ba1a7bac1ae64f8bbf71ed223c0f8a38aad732f6861444492939d1d768d8
4908955at2759	F39416	XP_002837843.1	9647756a11bd545c024fcd8a9603676ba968b0de0904dbde9c9ef9bdd1d5cd02
4969018at2759	F39416	XP_002840923.1	7a5c76acc029ec9606ca0109bbd69f4d3bda2fecf93d7e9eca2a863f464233ce
4969636at2759	F39416	XP_002838414.1	f53d4ecd340720ecd4a40d504a44eedf47d4120e09d84a609d5afbb329fb6acc
4969990at2759	F39416	XP_002836158.1	cdf7795bc1e72dc21fc6d1a261819e0351e89c4e7b8ac1f162234ea451647465
4970387at2759	F39416	XP_002835450.1	7fefaaa92c6025c0935ed2455a37aa13ce143fd745858b228891f602980ed460
4971272at2759	F39416	XP_002837490.1	24be3011a88104391dcd08c8e3fab2efdd9097c2e5aab6f13da3b42840af96f4
4974767at2759	F39416	XP_002838335.1	ba11f24a4848039a782f2b36324a1db3f5f122a44dd35ba4113e20a76df2938f
4976279at2759	F39416	XP_002840862.1	5ee5905660dc41827284c940185615633ec7812237d0cb6aaf50b67295a9bc4b
4977163at2759	F39416	XP_002841574.1	ab974704ccfb274915880e8757342f06db84fa11b452c8ea2db9c194392ea3c4
4985971at2759	F39416	XP_002839856.1	0364604c7f302e557c19f67e73648160fa777c252cadc80e3961d080fc64a6ee
5000045at2759	F39416	XP_002839475.1	5801df476cd85a8a67984157bcd855bd7ff2118acd42823fbdfde6fbdf5a8d5c
5000371at2759	F39416	XP_002836951.1	cf8d5bbf5157238ebc5c3e6d62881202b8e79333c22a7761d25c54d6be0a922b
5000452at2759	F39416	XP_002841726.1	f7473c401301b84e312a357e5ed025ee8bcb80b3d7838431e8d20fd237e3d153
5000476at2759	F39416	XP_002841401.1	b1fc56376a72711d49a63f35afe956a948c39d5f64a47463e1e141ec63141f7c
5000743at2759	F39416	XP_002840992.1	6e65cb5843008a73ebffc530aee5dbef7aac791d3034bf1ca7ed914dec391d1b
5001273at2759	F39416	XP_002838647.1	6937bf69e7aaa48e6321a29e5f1799de58f377ecdc804dc79c02e3ea89ff81e2
5001413at2759	F39416	XP_002840026.1	79adedc991446c178c0be877c9b13d7f779640c76d0fd6b89c06997ebfc13a4c
5001473at2759	F39416	XP_002837003.1	5e949b8afa8fd5a6ecbc21b2f8dbf3f651f9848d179feba2a6daebcab2f4e79c
5001734at2759	F39416	XP_002840747.1	6b3769f5ad15065119f53a51d4e3b9cd19889b9cf5bb592cb77fe8deeef935f9
5002334at2759	F39416	XP_002839245.1	c3e553ed7313c77adf57de19deb60ae48ff6b424139bbe3be2fbb747edcb824c
5002573at2759	F39416	XP_002839307.1	c4f5985d88d8c3771de0079618a945f6e07531c81e0794ffb62a7d23296b7362
5003856at2759	F39416	XP_002840672.1	a04c7caab35c12cf32c5deb03ec21360e93eea3761dddd170a433b8b271819d6
5003972at2759	F39416	XP_002839730.1	8ecae5518deb4885e0be00760d744f8ec019025e507e0f3080342ccea73489f8
5004118at2759	F39416	XP_002837542.1	f730fbaa8e4e4b4bcf092965bc8579037ed985c39567bf2769f402d8a2697b41
5004265at2759	F39416	XP_002836570.1	1c48751f0929da4e19f32a21df13f21d49fea54b5e74a9259b762cce9f7e9748
5004478at2759	F39416	XP_002841476.1	54d2debc6f55a3b8d6c80bec7dc74e548fe7825278fb8c72a6fbec0280db021b
5005010at2759	F39416	XP_002840331.1	bfb5bf86227f40c5bc4cf532d5525663c1ba44fd0632cac86b3060e7df04c9ff
5005174at2759	F39416	XP_002836930.1	6b9856d933edcb88cb8a462367c1e83839f842483ebee78241e063a7885be758
5005217at2759	F39416	XP_002836879.1	118455a0a42d0d08f4acdafdc496fea521f0f75f01a7fb633671d7fd256e35d0
5005274at2759	F39416	XP_002836722.1	1ed65670284d6d7c04db3969296e872e8b6d6d969d822f360262d043344dadb4
5005750at2759	F39416	XP_002840536.1	e91aaac8a5f47f2a374a71ff95c0c4621eb143325c83bce760dc577a7c92f45e
5005892at2759	F39416	XP_002842054.1	1d1387dceafd878f68f99d87da0c3bb48a7532167a4775b0ae166aa4f871c0a2
5013042at2759	F39416	XP_002837634.1	73164ca4be76a64872b8c6d60e136c670d4a661e8245b3bdc0d3a8d138db7500
5013067at2759	F39416	XP_002840508.1	a100a82fe186cd225a30f6e9e1a2a2ec8fe7a146fb8109e781b705a9223f23cb
5013259at2759	F39416	XP_002841327.1	8d2b407c6fc14b4396b0165ff41c80a52e0957fd06209dbc825acbdc9fd35168
5013539at2759	F39416	XP_002838154.1	f92f4a45638c26dcc518744c6e27d8e5b46cd3e8660103b9cc0734ee5b3f923d
5013726at2759	F39416	XP_002840728.1	1aeeabb160f68bbef2ce27c70570e2446b90ca03e7f8253e19aff404fa3a242b
5013738at2759	F39416	XP_002835150.1	91158631fb53626c56c5b5ddbe89025b9a479c2d452a543a27ad6e3058f2094b
5015403at2759	F39416	XP_002836156.1	76d669d9fd9ed76e6a0ab72065b13e05e80127e03cb7428f7f8604b041a8bd4d
5015712at2759	F39416	XP_002835565.1	df47c6079c4665cfeaf9f3e77d95d89c341fa642a693a204125e2c6e84e8aaf7
529759at2759	F39416	XP_002838744.1	262802e43ed86d8e7cb650c27fab959e475a9968be97dcd7dcfa0d9749a300f7
538952at2759	F39416	XP_002837338.1	2a7b5e4aa8afeac0e2f1925404814b816f9f3ddda138875fb4e0449980677716
539632at2759	F39416	XP_002836153.1	ddba9d349676464fb2a3a068f04fa259d2e57a121a9425f741aa0afaff1e0a13
541070at2759	F39416	XP_002835897.1	60b52691624999b17eded3edf28513e8992aa81ef94392d5a2261832e057c4e1
554735at2759	F39416	XP_002836770.1	dc7e46ab154aad4c915fc5f3b6168821513ac7009547045f89968b90102ee9c1
649304at2759	F39416	XP_002839794.1	4959473b229c7c532c246b0534b2043258935d399018b3ec89a9622103033526
707076at2759	F39416	XP_002842495.1	6a54d27bf4b399f3e8f70e5b9334ac7164973632643f17d03a13c17d9bc374ac
727964at2759	F39416	XP_002841340.1	7a686c1351b2dd9e857188908294de21798ff2b348f5a74fef8cf899be7fda7f
801816at2759	F39416	XP_002840954.1	4dd38f323e4d4becd4cb53acd9129bdeecdec13196136d7cf53996cd0283c415
4747214at2759	F41956	KAM6498257.1	81bc69823694ba1ffb29ac053dd0d71f2f9c6e35697c0b12b9fcf6b349aa950c
4971272at2759	F41956	KAM6498474.1	ad990b123375153069fd88f4539b41eaee6e1f25377c6e6e0fa19e40ae23fd3f
4974767at2759	F41956	KAM6496205.1	e3f15f63eec22c9f9dc6bdbe8a3e1b4c6a65e9364ece150ad83536ed7136a8dd
5000476at2759	F41956	KAM6500054.1	6fa20e9a4c9dc270d7ebf2114f0fd739f17e7210eb12c46ed1f817ef9a89a5d8
5000743at2759	F41956	KAM6500128.1	1b42fb16e996c5be45a8c789c0d8f1ca2e974b122efa81f7a87d37674af989a7
5013726at2759	F41956	KAM6495508.1	26ccb369da5a3ef4f3953aa1b2c9ac70cd2c17c24d044fb4f01cef36782ba1cf
529759at2759	F41956	KAM6504292.1	7927665e08eb2f55fe8019184c393f924185bea8690758f8c3b25f51400d4d90
115730at2759	F235537	PFH46061.1	4d91df6bf73e0a328f5b841781b231de96b08184751a343687fd9285e94dc780
129234at2759	F235537	PFH46690.1	843156c44a41bf1a0a8b4159c03cd4f2ac81cf513352b4ad501e1eebd4d6b951
201273at2759	F235537	PFH51534.1	228b1be38f0accec847cc2d2c6af95e8a6b760e72fcf4057dd8ce753863733d8
207567at2759	F235537	PFH54788.1	3bad684cad0d525d02f576e09fef158b62dad0837a906c71fe671405f76bb4a6
260326at2759	F235537	PFH46447.1	8106702b12c518d42610847ae621ba181a3e1e7287e6c6bf9a4f58d983989d0f
2852757at2759	F235537	PFH48016.1	32d66d1c86c10143e0c2f3e54d32c1824620463a99795631a06c17594b2c03ef
319730at2759	F235537	PFH53442.1	a5e0174f3371dea6ca3fc7429211019bda7773e3ed931b28ab6fd3da9d4b21e1
345792at2759	F235537	PFH46090.1	4c553e8edb69ef1b9630a37683fb8d72e588b41b3628032aaa8ce53dfe194fa9
352891at2759	F235537	PFH52526.1	c4055a434df95780ec704021a3acc85ab3b513dac47dd2ddebad8c4009ef04bd
4613677at2759	F235537	PFH50684.1	2b61f635bd6bc2ee945f2c2e10ecb4991abe72979e6d081c1968f063720d7dc8
4747214at2759	F235537	PFH54625.1	1057c2d62019cddd201df2808c8d459113b9e2ff102397461446593656894e69
4803900at2759	F235537	PFH49879.1	c386d665321b5476770b412c15cb7edbcc41938bf8099986bfe722f8e712a639
4823929at2759	F235537	PFH54130.1	249c05328e34ea9aafef30322f0031c6c2fc0a61293e180c17e580c0945af186
4837017at2759	F235537	PFH53995.1	6b872f8959af2869bf28376db8d02e798e9d850120b3c7e1e318128b475d8230
4843824at2759	F235537	PFH50983.1	e1cbb02808039248f82116a6a52d0c905448a365dd476a62e97a04a2e9d3f1ea
4867008at2759	F235537	PFH52442.1	11fd83504c115f8c5d682a1d5a5cbb61047f9a12a652ee1415120b1d5b90e27e
4896098at2759	F235537	PFH52927.1	90d7922c1242a847845dcc8233ca96150c372c97f75be4b1b9470f9fae3a5429
4900375at2759	F235537	PFH49642.1	92c06938d544ffcad9f11283a415c32c095fe238403f88ac3f5c37a30de1f0cd
4908955at2759	F235537	PFH47658.1	e9a4481d8c840100bbb67db931d23704e9f34ca7b8d120483b2ec7e9a3f27a97
