case_id	target_node	target_is_terminal	split_smaller_side_taxa	target_dS	target_dN	target_branch_parameter	taxa	codons	minimum_taxon_codon_coverage	target_terminal_codon_coverage	delta_ll_at_half	delta_ll_at_double	delta_ll_at_tenfold	maximum_slice_improvement	marker_copy_caveat	saturated_pairwise_distance_warning_lines	parameter_boundary_warning_lines	nni_convergence_warning_lines	other_warning_lines
Saccharomyces__5000152at2759__code1	F706196	True	F706196	16.409511455576094	1.6136760295912707	42.06509064414684	7	1053	0.8442545109211775	0.8442545109211775	-93.97994615362222	-42.02506811016974	-90.731113064503	1.8189894035458565e-12	none_recorded	1	0	1	0
Naganishia__5000371at2759__code1	F610337	True	F610337	16.19366544772579	0.7142104953893804	31.74882239834103	4	403	1.0	1.0	-57.82937253300588	-49.48026987059802	-152.6699093740972	0.0	none_recorded	0	0	15	0
Trichoderma__4843240at2759__code1	F398673	True	F398673	15.75828718606615	1.0990507668252798	42.32456425807526	10	682	0.6480938416422287	0.9824046920821115	-87.99650680334344	-55.75970980807506	-151.43565196137752	-1.8189894035458565e-12	none_recorded	1	0	0	0
Amanita__4867008at2759__code1	F933333	True	F933333	15.135982640507315	1.012879905002041	29.96560735331768	5	179	0.9050279329608939	0.9050279329608939	-22.47414363291955	-13.275852957795905	-31.204053872859276	0.0	none_recorded	1	0	11	0
Malassezia__5000743at2759__code1	F2020962	True	F2020962	14.75042054959284	0.6538114227010106	27.44287613415799	5	165	0.8909090909090909	0.8909090909090909	-20.38525288867595	-19.478189849364753	-68.31580334219598	-4.547473508864641e-13	none_recorded	0	0	0	0
Colletotrichum__760428at2759__code1	F474922	True	F474922	14.739911630113768	0.819343129591461	31.92893181423831	10	388	0.7371134020618557	0.7809278350515464	-43.89818209494479	-33.81521256207179	-88.8444428380335	0.0	none_recorded	1	0	0	0
Naganishia__776280at2759__code1	F1424756	True	F1424756	13.784976432633416	0.569307776763823	24.23470883320479	4	314	1.0	1.0	-26.075555408245236	-28.126074318915926	-115.97494338414981	0.0	none_recorded	0	0	0	0
Amanita__5005697at2759__code1	F933333	True	F933333	13.644608546865992	0.8021717288219787	27.09454148852823	7	574	0.4912891986062718	0.4912891986062718	-39.254864300312875	-29.887792640498446	-81.58745087224906	0.0	none_recorded	1	0	0	1
Fusarium__4843824at2759__code1	InternalNode5	False	F1328300;F195108	13.137281196105343	0.10785338472282381	17.73085743481223	9	190	1.0		-7.25388197312418	-11.801385837601629	-194.750454412218	-6.821210263296962e-13	none_recorded	0	0	0	0
Trichoderma__776280at2759__code1	InternalNode2	False	F173216;F65468	13.00234367511825	0.9335575409442204	29.67314118798156	10	484	0.7417355371900827		-49.36104133664503	-32.46493357820509	-83.97781747711542	-9.094947017729282e-13	none_recorded	1	0	1	0
Trichoderma__4837017at2759__code1	F63577	True	F63577	12.709897126701293	0.9589155253981558	37.43017167991665	10	232	0.8448275862068966	0.8448275862068966	-27.79356108533284	-17.8544799905344	-44.674271083015356	-9.094947017729282e-13	none_recorded	1	0	1	0
Naganishia__5005274at2759__code1	F610337	True	F610337	12.432601633405103	0.5318560100319243	18.71580544827872	4	274	1.0	1.0	-35.260075447849886	-35.884105702209126	-135.0875288063021	4.547473508864641e-13	none_recorded	0	0	0	0
Naganishia__4867008at2759__code1	F610337	True	F610337	12.250032928108798	0.39719413427064937	27.07463809231696	4	174	1.0	1.0	-19.078909818092143	-22.604778845917735	-143.24309838223348	4.547473508864641e-13	none_recorded	0	0	0	0
Malassezia__801816at2759__code1	F76777	True	F76777	12.20186019898601	0.37468382312810633	28.06811550159321	4	121	1.0	1.0	-12.940482757407835	-15.33741828426946	-98.99587626801622	-2.2737367544323206e-13	none_recorded	0	0	0	0
Malassezia__5001413at2759__code1	F223818	True	F223818	12.116184315288404	0.06692869672016603	42.93833489761461	5	275	1.0	1.0	-6.741791100469982	-10.421618235207461	-196.8840731299265	4.547473508864641e-13	none_recorded	0	3	2	0
Saccharomyces__530740at2759__code1	F706196	True	F706196	12.076015148834289	1.8218706240790938	23.50044595432812	7	216	0.7083333333333334	0.7083333333333334	-14.155111184785255	-5.949564827493759	-11.467688994979653	-4.547473508864641e-13	none_recorded	0	0	4	0
Saccharomyces__760428at2759__code1	InternalNode1	False	F1080349;F706196	12.016272982479041	0.8944928300755538	30.33642167120652	7	291	1.0		-39.826526513434146	-27.28015441962407	-77.05320119012913	4.547473508864641e-13	none_recorded	1	0	1	0
Naganishia__5005892at2759__code1	F610337	True	F610337	11.925335382932028	0.43439021894189545	20.48383792685524	4	357	1.0	1.0	-42.382544919213615	-47.77675876336525	-249.86463163865847	-4.547473508864641e-13	none_recorded	0	0	17	0
Naganishia__760428at2759__code1	F610337	True	F610337	11.857129234219016	0.6090355103409208	22.73803289536115	4	317	1.0	1.0	-44.97113845291733	-42.76299249403792	-158.5264912589705	0.0	none_recorded	0	0	16	0
Suillus__5011777at2759__code1	F48563	True	F48563	11.303697729529368	1.180138118608284	22.39419528259617	10	678	0.7507374631268436	0.7507374631268436	-64.7354020743951	-34.02736034598456	-75.4648589468461	-9.094947017729282e-13	none_recorded	1	0	0	0
Amanita__5013259at2759__code1	F1004511	True	F1004511	11.297004405017187	0.7520308233147032	22.59306362466459	6	143	0.8601398601398601	0.8741258741258742	-18.650128716088375	-15.092158370049447	-48.87263838056447	2.2737367544323206e-13	none_recorded	0	0	1	0
Naganishia__5013259at2759__code1	F610337	True	F610337	10.344462083520623	0.48788347023039025	19.26034411287807	4	121	1.0	1.0	-15.027817974845448	-16.36845798160539	-74.05740099207242	0.0	none_recorded	0	0	0	0
Tilletia__776280at2759__code1	InternalNode1	False	F1031713;F117179	9.847800736401318	0.7189760876417193	25.33455559885724	4	366	1.0		-46.95794303059347	-39.47034410620199	-125.6822797436862	4.547473508864641e-13	none_recorded	0	0	0	0
Naganishia__5000870at2759__code1	F610337	True	F610337	9.674568368269748	0.3306405041191726	17.30151866838787	4	719	1.0	1.0	-73.04338404571081	-94.02514679688738	-679.4626315791902	0.0	none_recorded	0	0	0	0
Naganishia__5014007at2759__code1	F610337	True	F610337	9.503747370806371	0.519451905446979	18.65137790368307	4	468	1.0	1.0	-61.459669733093506	-64.06836101676527	-279.1416609627322	9.094947017729282e-13	none_recorded	0	0	0	0
Malassezia__5001473at2759__code1	F76777	True	F76777	9.221014545765923	0.3172574724008907	14.53860631117167	5	117	0.6153846153846154	0.6153846153846154	-6.352557977754714	-8.210656828186302	-64.43402355497255	-4.547473508864641e-13	none_recorded	0	2	0	0
Wallemia__4843824at2759__code1	InternalNode1	False	F1540922;F245174	9.000609784444917	0.16740126679735587	12.12772378159257	4	170	1.0		-10.195860433593907	-14.503525004641688	-188.3311943762767	-2.2737367544323206e-13	none_recorded	0	0	0	0
Naganishia__345792at2759__code1	F610337	True	F610337	8.593329497719843	0.19509186907468423	16.71166616015491	4	279	1.0	1.0	-20.24063510746555	-27.248657406719303	-318.6667331034241	4.547473508864641e-13	none_recorded	0	0	0	0
Trichoderma__760428at2759__code1	F63577	True	F63577	8.58838383734949	0.8211561517943545	18.92937493781564	10	389	0.7737789203084833	0.7737789203084833	-43.67645074041866	-32.37992128855785	-93.70289374796266	0.0	none_recorded	1	0	0	0
Wallemia__801816at2759__code1	F245174	True	F245174	8.457881459824485	0.1598180238579833	14.28767498530672	4	178	1.0	1.0	-8.750033166781122	-13.379514613886613	-174.62102539699663	4.547473508864641e-13	none_recorded	0	0	0	0
Naganishia__5006326at2759__code1	F610337	True	F610337	8.34550061701421	0.3853748160113793	15.29711020042826	4	532	1.0	1.0	-58.72825041547003	-71.51432519896389	-431.78497347592656	0.0	none_recorded	0	0	0	0
Malassezia__5000452at2759__code1	F223818	True	F223818	8.070855722207769	0.12732769804685545	21.87982281265778	5	278	0.9928057553956835	1.0	-9.521641978778916	-15.124869032202241	-245.0590354371293	4.547473508864641e-13	none_recorded	0	0	0	0
Candida__5005750at2759__code12	F5482	True	F5482	8.062004307416434	0.14534352208201196	12.26927095711412	4	155	1.0	1.0	-9.274298356563804	-12.3083494934408	-169.08309530056658	-4.547473508864641e-13	none_recorded	0	3	0	0
Microbotryum__776280at2759__code1	F796604	True	F796604	7.375740922905548	0.8370271303366018	13.56977842645665	4	369	1.0	1.0	-56.44136282123691	-39.66281479198324	-98.6011064366262	-4.547473508864641e-13	none_recorded	0	0	0	0
Umbelopsis__5013259at2759__code1	F44442	True	F44442	6.8525127684575216	0.22404458166068458	13.73982494456071	4	144	1.0	1.0	-10.114306258360557	-15.299683670710465	-161.5495153907359	-2.2737367544323206e-13	none_recorded	0	0	0	0
Wallemia__5003192at2759__code1	F245174	True	F245174	6.504856443706994	0.14247992523904598	13.6086096113929	4	426	1.0	1.0	-18.405542336892722	-28.69150235546749	-424.15947232597046	0.0	none_recorded	0	0	0	0
Wallemia__5000476at2759__code1	InternalNode1	False	F1540922;F245174	5.363095127655423	0.2225239140222383	11.80564396956587	4	383	1.0		-26.833077115377364	-37.158840082447114	-395.18887648387636	4.547473508864641e-13	none_recorded	0	0	0	0
Malassezia__4976279at2759__code1	F2020962	True	F2020962	4.576186322780833	0.18233968435919531	12.41443047054043	4	249	1.0	1.0	-12.842377467806273	-19.14372506986865	-243.2349393305708	0.0	none_recorded	0	0	0	0
Fusarium__530740at2759__code1	F117187	True	F117187	4.5350167559199415	0.28459546698873345	6.825152325165814	8	291	0.7972508591065293	0.7972508591065293	-21.871248062569066	-28.174367119481303	-235.8340878348763	4.547473508864641e-13	none_recorded	0	0	0	0
Wallemia__707076at2759__code1	InternalNode1	False	F1540922;F245174	4.3582454058314415	0.08049249517186519	10.27051825437234	4	265	1.0		-8.461836127086826	-12.615431026891201	-224.71984393117646	4.547473508864641e-13	none_recorded	0	0	0	0
Candida__5001273at2759__code12	F5479	True	F5479	4.210931827705677	0.10552080207514675	8.495784935725931	4	215	1.0	1.0	-8.659982023501016	-12.88939937557575	-208.6929118345065	4.547473508864641e-13	none_recorded	0	0	0	0
Cryptococcus__5005010at2759__code1	InternalNode1	False	F104669;F5619	4.164892779507752	0.2262291235124728	6.308161506473398	10	112	0.9821428571428571		-9.668583079750306	-11.715694868084029	-124.40075082969543	2.2737367544323206e-13	none_recorded	0	0	0	0
Wallemia__5000743at2759__code1	InternalNode1	False	F1540922;F245174	4.137239016539107	0.2099923564103813	8.188982931656145	4	151	1.0		-14.326295862604638	-16.974313892628743	-179.78344024077887	-2.2737367544323206e-13	none_recorded	0	0	0	0
Naganishia__5001273at2759__code1	F104408	True	F104408	3.878425038624704	0.11229731351901931	8.275130622910737	4	236	1.0	1.0	-12.142928379925934	-15.500050169620636	-248.00479819751013	2.2737367544323206e-13	none_recorded	0	0	0	0
Malassezia__4843824at2759__code1	F2020962	True	F2020962	3.782761482801516	0.09258045815588724	8.769944831639647	5	190	0.9	0.9	-6.151781651680267	-8.918583562237927	-158.82745433132595	4.547473508864641e-13	none_recorded	0	0	0	0
Aspergillus__530740at2759__code1	F1069201	True	F1069201	3.5796277838379607	0.23661254181964492	7.428270754351241	10	293	0.9692832764505119	0.9692832764505119	-22.608799875510158	-30.40368482804388	-304.1180195704319	-9.094947017729282e-13	none_recorded	0	0	0	0
Wallemia__4983000at2759__code1	InternalNode1	False	F1540922;F245174	3.5191235463806887	0.06716843849048174	6.43296378832104	4	496	1.0		-15.775289480471656	-20.760106114964856	-390.38409967437974	0.0	none_recorded	0	0	0	0
Amanita__5013738at2759__code1	F41956	True	F41956	3.510576891390096	0.2251619107311364	6.599800523829023	6	227	0.8237885462555066	0.8237885462555066	-14.324522086499655	-18.397918347079667	-196.03070105203642	9.094947017729282e-13	none_recorded	0	0	0	0
Wallemia__541070at2759__code1	InternalNode1	False	F1540922;F245174	3.335425822912146	0.216015574566501	5.415827606484119	4	181	1.0		-14.39626788919395	-18.246826519542765	-188.43652824981996	4.547473508864641e-13	none_recorded	0	0	0	0
Aspergillus__207567at2759__code1	InternalNode4	False	F182096;F5059;F5062;F746128	3.307480182158039	0.17783585655118822	6.332599353893484	9	176	0.9943181818181818		-11.212184745719696	-15.392300150834217	-200.41434303736287	-4.547473508864641e-13	none_recorded	0	0	0	0
Wallemia__5003022at2759__code1	InternalNode1	False	F1540922;F245174	3.2524439975564743	0.14208086395156658	8.978740776532998	4	783	1.0		-41.4838493244888	-56.84844205172976	-776.4794190836747	0.0	none_recorded	0	0	0	0
Cryptococcus__5000452at2759__code1	InternalNode1	False	F104669;F5619	3.194005409839919	0.261569188889394	7.750784788810637	10	272	0.9889705882352942		-28.006192031036335	-31.5819864524874	-286.8397426068559	-4.547473508864641e-13	none_recorded	0	0	0	0
Wallemia__5000452at2759__code1	InternalNode1	False	F1540922;F245174	3.192929823381991	0.1957391327382236	8.249314436478427	4	266	1.0		-20.38883495961636	-25.382658940259716	-278.54011410834664	0.0	none_recorded	0	0	0	0
Wallemia__539632at2759__code1	InternalNode1	False	F1540922;F245174	3.120627599227981	0.06979797044517634	5.700705850947658	4	296	1.0		-12.574152446006337	-14.06390723629329	-242.87488695990078	0.0	none_recorded	0	0	0	0
Cryptococcus__5017019at2759__code1	InternalNode1	False	F104669;F5619	3.0625690929638734	0.11872882725998002	6.510738559006549	10	398	0.9949748743718593		-19.00316546659633	-25.012502561930887	-391.74400382015574	0.0	none_recorded	0	0	3	0
Wallemia__4888252at2759__code1	F1540922	True	F1540922	3.058145894546338	0.20702790745820887	6.471444943616556	4	738	1.0	1.0	-44.50022836193784	-64.00404681440159	-717.4184877253338	0.0	none_recorded	0	0	0	0
Cryptococcus__5001280at2759__code1	F5208	True	F5208	3.0427546648808375	0.2002927262238967	6.544969879615385	10	701	0.9586305278174037	0.9586305278174037	-40.76232631619314	-57.7803879377243	-686.0793722290055	0.0	none_recorded	0	0	0	0
Wallemia__730114at2759__code1	InternalNode1	False	F1540922;F245174	3.0295747412111607	0.09139352575738395	5.734974424336222	4	525	1.0		-20.278567701878274	-28.31681286985713	-489.71063008771944	0.0	none_recorded	0	0	0	0
Wallemia__5002334at2759__code1	InternalNode1	False	F1540922;F245174	3.010057232762232	0.09764224062588557	8.730672590159008	4	266	1.0		-9.782433421771202	-13.920827202100554	-237.4226882583621	4.547473508864641e-13	none_recorded	0	0	0	0
Wallemia__538728at2759__code1	InternalNode1	False	F1540922;F245174	2.9952109912657665	0.05766478359551649	4.12121527609988	4	437	1.0		-13.624344877049225	-17.565598413671523	-318.8360853696986	4.547473508864641e-13	none_recorded	0	0	0	0
Naganishia__5002334at2759__code1	F104408	True	F104408	2.931547155528505	0.08384293341670797	6.056161845824967	4	338	1.0	1.0	-17.20310235235047	-16.522649781141354	-289.08115381621246	4.547473508864641e-13	none_recorded	0	0	0	0
