marker	total_taxa_audited	original_marker_columns	eligible_taxa	retained_columns	status	aa_variable_columns	aa_parsimony_informative_columns	3di_variable_columns	3di_parsimony_informative_columns
4969636at2759	526	295	3	294	insufficient_structural_coverage	126	0	67	0
4969990at2759	526	346	3	326	insufficient_structural_coverage	126	0	55	0
4970387at2759	526	136	2	130	insufficient_structural_coverage	71	0	7	0
4970538at2759	526	900	3	863	insufficient_structural_coverage	567	0	293	0
4971272at2759	526	375	3	359	insufficient_structural_coverage	176	0	46	0
4974767at2759	526	134	3	133	insufficient_structural_coverage	39	0	16	0
4975094at2759	526	852	3	725	insufficient_structural_coverage	417	0	215	0
4976279at2759	526	228	5	224	ready_for_inference	135	35	97	26
4977163at2759	526	141	5	141	ready_for_inference	100	16	47	11
4977863at2759	526	288	2	282	insufficient_structural_coverage	133	0	72	0
4983000at2759	526	453	3	437	insufficient_structural_coverage	268	0	130	0
4985971at2759	526	281	7	272	ready_for_inference	121	40	45	21
4986044at2759	526	313	3	269	insufficient_structural_coverage	165	0	67	0
4987397at2759	526	681	2	563	insufficient_structural_coverage	147	0	64	0
4988239at2759	526	893	5	732	ready_for_inference	299	83	129	42
4999134at2759	526	2295	0	0	insufficient_structural_coverage	0	0	0	0
5000045at2759	526	301	2	191	insufficient_structural_coverage	75	0	8	0
5000152at2759	526	1184	6	1181	ready_for_inference	924	381	555	248
5000362at2759	526	672	1	483	insufficient_structural_coverage	0	0	0	0
5000371at2759	526	429	1	365	insufficient_structural_coverage	0	0	0	0
5000452at2759	526	292	3	291	insufficient_structural_coverage	211	0	101	0
5000476at2759	526	306	7	294	ready_for_inference	157	24	49	10
5000743at2759	526	166	7	165	ready_for_inference	110	45	75	20
5000823at2759	526	802	5	699	ready_for_inference	493	99	178	39
5000870at2759	526	707	3	571	insufficient_structural_coverage	213	0	70	0
5000986at2759	526	404	3	370	insufficient_structural_coverage	203	0	134	0
5001156at2759	526	229	2	228	insufficient_structural_coverage	81	0	51	0
5001273at2759	526	229	6	205	ready_for_inference	139	56	66	25
5001280at2759	526	754	3	550	insufficient_structural_coverage	309	0	165	0
5001318at2759	526	310	2	241	insufficient_structural_coverage	87	0	51	0
5001413at2759	526	251	2	243	insufficient_structural_coverage	95	0	53	0
5001473at2759	526	81	3	81	insufficient_structural_coverage	23	0	12	0
5001660at2759	526	636	3	581	insufficient_structural_coverage	229	0	69	0
5001734at2759	526	177	5	135	ready_for_inference	38	3	10	2
5001941at2759	526	568	5	513	ready_for_inference	265	36	134	17
5002334at2759	526	227	6	227	ready_for_inference	135	55	85	39
5002573at2759	526	357	11	344	ready_for_inference	253	117	126	61
5003022at2759	526	776	1	391	insufficient_structural_coverage	0	0	0	0
5003192at2759	526	399	4	326	ready_for_inference	203	19	141	15
5003205at2759	526	1015	0	0	insufficient_structural_coverage	0	0	0	0
5003856at2759	526	219	3	169	insufficient_structural_coverage	79	0	37	0
5003972at2759	526	205	4	200	ready_for_inference	89	10	75	11
5004118at2759	526	134	5	131	ready_for_inference	94	22	22	5
5004265at2759	526	219	3	176	insufficient_structural_coverage	86	0	36	0
5004327at2759	526	697	5	672	ready_for_inference	515	86	298	58
5004391at2759	526	865	3	641	insufficient_structural_coverage	246	0	114	0
5004478at2759	526	299	1	237	insufficient_structural_coverage	0	0	0	0
5004599at2759	526	382	2	355	insufficient_structural_coverage	126	0	48	0
5005010at2759	526	92	2	92	insufficient_structural_coverage	50	0	3	0
5005174at2759	526	169	4	162	ready_for_inference	99	3	38	5
5005196at2759	526	371	10	371	ready_for_inference	268	185	150	89
5005215at2759	526	243	5	243	ready_for_inference	126	39	61	24
5005217at2759	526	361	3	361	insufficient_structural_coverage	209	0	123	0
5005274at2759	526	233	1	155	insufficient_structural_coverage	0	0	0	0
5005697at2759	526	243	5	233	ready_for_inference	116	29	74	19
5005750at2759	526	107	4	91	ready_for_inference	31	6	13	1
5005892at2759	526	302	5	272	ready_for_inference	142	44	76	23
5006326at2759	526	539	2	533	insufficient_structural_coverage	224	0	107	0
5006412at2759	526	168	3	164	insufficient_structural_coverage	89	0	25	0
5011777at2759	526	656	3	406	insufficient_structural_coverage	207	0	89	0
5013042at2759	526	333	0	0	insufficient_structural_coverage	0	0	0	0
5013067at2759	526	323	6	306	ready_for_inference	188	141	134	94
5013259at2759	526	144	5	143	ready_for_inference	71	22	27	12
5013539at2759	526	224	5	220	ready_for_inference	98	46	41	14
5013726at2759	526	171	1	167	insufficient_structural_coverage	0	0	0	0
5013738at2759	526	170	6	170	ready_for_inference	54	21	22	7
5013992at2759	526	786	3	591	insufficient_structural_coverage	163	0	52	0
5014007at2759	526	521	4	504	ready_for_inference	282	22	138	22
5015403at2759	526	314	4	314	ready_for_inference	165	18	111	14
5015647at2759	526	525	6	445	ready_for_inference	177	66	98	42
5015712at2759	526	485	3	412	insufficient_structural_coverage	220	0	82	0
5015742at2759	526	419	1	350	insufficient_structural_coverage	0	0	0	0
5015876at2759	526	325	2	325	insufficient_structural_coverage	135	0	74	0
5017019at2759	526	140	4	134	ready_for_inference	86	9	55	8
5018803at2759	526	408	3	368	insufficient_structural_coverage	193	0	96	0
529759at2759	526	226	4	220	ready_for_inference	54	11	34	8
530014at2759	526	776	4	761	ready_for_inference	453	46	194	42
530740at2759	526	304	3	178	insufficient_structural_coverage	73	0	17	0
538728at2759	526	279	4	232	ready_for_inference	110	9	60	14
538952at2759	526	266	1	179	insufficient_structural_coverage	0	0	0	0
539632at2759	526	257	12	245	ready_for_inference	102	49	56	28
540946at2759	526	403	2	385	insufficient_structural_coverage	183	0	96	0
541070at2759	526	222	1	213	insufficient_structural_coverage	0	0	0	0
554735at2759	526	231	1	228	insufficient_structural_coverage	0	0	0	0
649304at2759	526	293	5	283	ready_for_inference	164	32	94	31
707076at2759	526	239	9	217	ready_for_inference	118	83	77	51
707202at2759	526	326	2	321	insufficient_structural_coverage	189	0	114	0
727964at2759	526	241	4	241	ready_for_inference	109	17	50	12
730114at2759	526	530	5	530	ready_for_inference	322	67	191	81
760428at2759	526	338	4	333	ready_for_inference	217	24	146	30
776280at2759	526	261	4	253	ready_for_inference	150	7	113	18
801816at2759	526	153	7	148	ready_for_inference	69	23	40	20
