marker	fit	taxa	columns	log_likelihood	gamma_alpha	total_branch_length	branches	branches_le_1e_minus5	branches_ge_10	warning_count	elapsed_seconds
4976279at2759	3di_af_empirical	5	224	-1281.697	1.3071	0.8815748434999999	7	0	0	1	0.03495210385881364
4976279at2759	3di_llm	5	224	-1418.6282	1.6499	0.6631906104	7	0	0	1	0.0331337321549654
4977163at2759	aa	5	141	-1119.2402	2.0084	3.2101515958	7	0	0	1	1.1135778918396682
4977163at2759	3di_af	5	141	-651.811	1.296	0.7922141864000001	7	2	0	3	0.02652124408632517
4977163at2759	3di_af_empirical	5	141	-636.454	0.9172	0.8903632963	7	2	0	3	0.023210927844047546
4977163at2759	3di_llm	5	141	-658.5554	1.2612	0.7237946946000001	7	2	0	3	0.025493042077869177
4985971at2759	aa	7	272	-1730.5457	0.4938	1.2202374471	11	3	0	1	3.7186065188143402
4985971at2759	3di_af	7	272	-1081.4834	0.2573	0.2454233333	11	2	0	1	0.031031421152874827
4985971at2759	3di_af_empirical	7	272	-958.5788	0.2394	0.2756759367	11	2	0	2	0.049809789983555675
4985971at2759	3di_llm	7	272	-1104.9572	0.3066	0.2198381211	11	2	0	1	0.04397561284713447
4988239at2759	aa	5	732	-4425.4376	0.58	0.9805868776	7	0	0	0	2.5102928790729493
4988239at2759	3di_af	5	732	-3025.9891	0.3063	0.2634339453	7	0	0	0	0.03567659412510693
4988239at2759	3di_af_empirical	5	732	-2878.4838	0.3209	0.2853366246	7	0	0	0	0.03573241806589067
4988239at2759	3di_llm	5	732	-3134.8026	0.3331	0.23795585819999998	7	0	0	0	0.03519668499939144
5000152at2759	aa	6	1181	-12145.939	1.6445	3.1710316641000005	9	0	0	0	12.95160328806378
5000152at2759	3di_af	6	1181	-7705.6666	1.1882	0.9762884006999999	9	0	0	0	0.11970846494659781
5000152at2759	3di_af_empirical	6	1181	-7435.4163	0.8992	0.9921837157000001	9	0	0	0	0.12290189415216446
5000152at2759	3di_llm	6	1181	-7948.0766	1.302	0.9015943664999999	9	0	0	0	0.11912139388732612
5000476at2759	aa	7	294	-1762.5287	1.0888	1.5838735112999998	11	6	0	2	4.419956573983654
5000476at2759	3di_af	7	294	-1023.5239	0.849	0.2215069772	11	6	0	2	0.04377070302143693
5000476at2759	3di_af_empirical	7	294	-897.0815	0.4157	0.2647484688	11	6	0	2	0.05943755782209337
5000476at2759	3di_llm	7	294	-1031.7692	0.9375	0.19587199370000002	11	6	0	2	0.03718886012211442
5000743at2759	aa	7	165	-1318.7803	0.9877	2.3077779771999998	11	6	0	1	3.0648934999480844
5000743at2759	3di_af	7	165	-911.2112	1.4827	0.7835312050000001	11	6	0	1	0.05176282697357237
5000743at2759	3di_af_empirical	7	165	-894.1413	1.4482	0.8287486717	11	6	0	1	0.037488765083253384
5000743at2759	3di_llm	7	165	-927.6107	1.7664	0.7095266757	11	6	0	1	0.03794278483837843
5000823at2759	aa	5	699	-5750.8196	1.2815	3.0209683482000007	7	0	0	0	4.851254412904382
5000823at2759	3di_af	5	699	-2730.7654	0.8491	0.4497505414	7	0	0	1	0.04493388906121254
5000823at2759	3di_af_empirical	5	699	-2387.0872	0.5225	0.5216302115999999	7	0	0	1	0.04836811311542988
5000823at2759	3di_llm	5	699	-2702.5579	0.8926	0.4111541613	7	0	0	1	0.050348099088296294
5001273at2759	aa	6	205	-1659.5809	2.408	2.5407224781000006	9	2	0	0	2.200255813077092
5001273at2759	3di_af	6	205	-945.0017	0.7962	0.7212875535000001	9	2	0	1	0.035444102017208934
5001273at2759	3di_af_empirical	6	205	-890.3389	0.5706	0.8613560397000002	9	3	0	2	0.03614938212558627
5001273at2759	3di_llm	6	205	-936.658	0.8826	0.6663967994	9	2	0	1	0.047745217103511095
5001734at2759	aa	5	135	-623.459	0.3366	0.6692192086000001	7	3	0	1	0.6012578911613673
5001734at2759	3di_af	5	135	-345.1965	998.4477	0.08637105560000001	7	2	0	1	0.016905936878174543
5001734at2759	3di_af_empirical	5	135	-283.5919	998.4474	0.0839002336	7	2	0	1	0.01764277508482337
5001734at2759	3di_llm	5	135	-333.6924	998.4476	0.0806676381	7	2	0	1	0.016747856978327036
5001941at2759	aa	5	513	-3104.9271	2.3252	2.5121103256	7	0	0	1	2.683951187878847
5001941at2759	3di_af	5	513	-2085.21	1.1563	0.7045594897	7	1	0	3	0.04125001607462764
5001941at2759	3di_af_empirical	5	513	-1916.3325	0.5694	1.0131727145	7	1	0	3	0.05584907089360058
5001941at2759	3di_llm	5	513	-2112.4229	1.1643	0.6183961447	7	1	0	3	0.060340570053085685
5002334at2759	aa	6	227	-1978.7883	0.672	2.0638423512000004	9	0	0	0	2.3804782109800726
5002334at2759	3di_af	6	227	-1317.8172	0.6078	0.6174992399	9	0	0	1	0.03670539706945419
5002334at2759	3di_af_empirical	6	227	-1169.7585	0.4677	0.8402367930000001	9	0	0	1	0.03451390005648136
5002334at2759	3di_llm	6	227	-1357.5786	0.5771	0.5361982355	9	0	0	1	0.02924244594760239
5002573at2759	aa	11	344	-3302.5275	1.3765	3.0311268578	19	7	0	1	18.51171403704211
5002573at2759	3di_af	11	344	-1934.3493	0.7194	0.8069890264999998	19	6	0	1	0.13498783996328712
5002573at2759	3di_af_empirical	11	344	-1913.4461	0.783	0.7661307467999998	19	6	0	1	0.1270639488939196
5002573at2759	3di_llm	11	344	-1958.6873	0.7845	0.7457946097999997	19	6	0	1	0.1411788200493902
5003192at2759	aa	4	326	-2136.2174	1.3669	2.3223472405	5	0	0	1	0.9983530368190259
5003192at2759	3di_af	4	326	-1789.291	0.9172	1.0396242901	5	0	0	2	0.03536407114006579
5003192at2759	3di_af_empirical	4	326	-1712.6055	0.7357	1.2678571677	5	0	0	2	0.030656812945380807
5003192at2759	3di_llm	4	326	-1852.3093	1.1737	0.8818758118000001	5	0	0	2	0.029411283088847995
5003972at2759	aa	4	200	-1232.436	0.469	1.4149075872	5	0	0	1	0.4930563981179148
5003972at2759	3di_af	4	200	-1015.2042	3.2862	0.5219084645	5	1	0	3	0.025119176134467125
5003972at2759	3di_af_empirical	4	200	-972.1322	3.2797	0.6039860767	5	1	0	3	0.02445046091452241
5003972at2759	3di_llm	4	200	-1050.03	3.9521	0.4770271002	5	1	0	3	0.031395666068419814
5004118at2759	aa	5	131	-1146.735	0.7857	3.6430270345999998	7	0	0	1	1.1600228128954768
5004118at2759	3di_af	5	131	-398.4986	0.02	0.5905634936999999	7	3	0	1	0.03200341900810599
5004118at2759	3di_af_empirical	5	131	-339.2299	0.0706	1.2389369334	7	4	0	2	0.029505786951631308
5004118at2759	3di_llm	5	131	-375.6697	0.0797	0.5867321137	7	3	0	1	0.03518973593600094
5004327at2759	aa	5	672	-5945.4998	1.4709	3.5181661782000004	7	0	0	0	5.4170526310335845
5004327at2759	3di_af	5	672	-3703.743	0.7594	0.948806775	7	0	0	1	0.051830131094902754
5004327at2759	3di_af_empirical	5	672	-3453.3477	0.4977	1.451764667	7	0	0	1	0.07195454509928823
5004327at2759	3di_llm	5	672	-3796.2657	0.7465	0.8256849477	7	0	0	1	0.0523701598867774
5005174at2759	aa	4	162	-1138.7667	1.386	2.1588890736	5	0	0	1	0.5962747999001294
5005174at2759	3di_af	4	162	-595.5457	0.4779	0.4894129625	5	0	0	2	0.02572690905071795
5005174at2759	3di_af_empirical	4	162	-571.5752	0.4677	0.48720037990000004	5	0	0	2	0.028221176005899906
5005174at2759	3di_llm	4	162	-582.2917	0.545	0.46372082159999994	5	0	0	2	0.023074772907420993
5005196at2759	aa	10	371	-3798.2172	1.4486	2.2731540911	17	6	0	1	10.98565999721177
5005196at2759	3di_af	10	371	-2460.4322	0.5936	0.8477053381999998	17	6	0	1	0.06997350906021893
5005196at2759	3di_af_empirical	10	371	-2392.234	0.6101	0.8527492611999998	17	6	0	1	0.0722648180089891
5005196at2759	3di_llm	10	371	-2531.6664	0.6314	0.7853138220999999	17	6	0	1	0.06803409405983984
5005215at2759	aa	5	243	-1631.4668	0.8621	1.2730736021000002	7	0	0	0	1.431537349941209
5005215at2759	3di_af	5	243	-1040.8278	0.8926	0.3492079643	7	0	0	1	0.02342745801433921
5005215at2759	3di_af_empirical	5	243	-1001.6381	0.6281	0.39315417329999996	7	0	0	1	0.025372912175953388
5005215at2759	3di_llm	5	243	-1065.064	0.868	0.317351296	7	0	0	1	0.02178741805255413
5005697at2759	aa	5	233	-1472.2916	0.7013	1.3411971184	7	0	0	0	1.4308320889249444
5005697at2759	3di_af	5	233	-1218.9157	0.7314	0.48158155649999995	7	0	0	1	0.028906468069180846
5005697at2759	3di_af_empirical	5	233	-1143.8415	0.6267	0.5889677663999999	7	0	0	1	0.026382294949144125
5005697at2759	3di_llm	5	233	-1268.4729	0.7445	0.4340581250000001	7	0	0	1	0.03174803196452558
5005750at2759	aa	4	91	-445.6369	1.3416	0.6070219233	5	0	0	2	0.3415497369132936
5005750at2759	3di_af	4	91	-343.54	0.8395	0.2205017416	5	1	0	2	0.01954284100793302
5005750at2759	3di_af_empirical	4	91	-319.3704	0.4342	0.2213132766	5	1	0	2	0.02367893001064658
5005750at2759	3di_llm	4	91	-354.2867	1.089	0.20957641970000002	5	1	0	2	0.029370271135121584
5005892at2759	aa	5	272	-1853.2774	0.7323	1.6251113274999998	7	0	0	0	2.0119277369230986
5005892at2759	3di_af	5	272	-1221.3955	0.7312	0.4337181385	7	0	0	1	0.036827333038672805
5005892at2759	3di_af_empirical	5	272	-1201.3479	0.5767	0.49979788030000005	7	0	0	1	0.04451158992014825
5005892at2759	3di_llm	5	272	-1249.1835	0.7488	0.3968323431	7	0	0	1	0.037928524892777205
5013067at2759	aa	6	306	-2439.2704	1.0088	1.7525253217999999	9	2	0	0	2.8088714538607746
5013067at2759	3di_af	6	306	-1917.0811	1.2367	0.7676455804000001	9	2	0	0	0.040832313941791654
5013067at2759	3di_af_empirical	6	306	-1798.5002	0.7902	0.8762816045	9	2	0	0	0.04039937583729625
5013067at2759	3di_llm	6	306	-1987.8812	1.464	0.7003800401000001	9	2	0	0	0.03578576189465821
5013259at2759	aa	5	143	-923.1539	0.7106	1.8150003546999998	7	0	0	0	0.9991910080425441
5013259at2759	3di_af	5	143	-502.2245	0.2044	0.5712996466	7	2	0	2	0.020677694119513035
5013259at2759	3di_af_empirical	5	143	-460.2683	0.2238	0.6903801551000001	7	2	0	2	0.029080631909891963
5013259at2759	3di_llm	5	143	-487.1925	0.218	0.556721176	7	2	0	2	0.026327532017603517
5013539at2759	aa	5	220	-1329.3726	0.7696	0.9435921355000001	7	1	0	0	1.2078605571296066
5013539at2759	3di_af	5	220	-908.7714	0.3621	0.2863914448	7	0	0	0	0.02354028122499585
5013539at2759	3di_af_empirical	5	220	-883.1454	0.3964	0.2710448828	7	0	0	1	0.023102235049009323
5013539at2759	3di_llm	5	220	-937.3258	0.369	0.2730869266	7	0	0	0	0.022871915949508548
5013738at2759	aa	6	170	-932.8629	0.448	0.6066504442	9	0	0	1	1.6827973069157451
5013738at2759	3di_af	6	170	-605.64	0.163	0.20788768030000002	9	3	0	2	0.02398289297707379
5013738at2759	3di_af_empirical	6	170	-575.0993	0.1535	0.2182962599	9	2	0	2	0.025404260959476233
5013738at2759	3di_llm	6	170	-610.1552	0.1483	0.193174241	9	3	0	2	0.023173663998022676
5014007at2759	aa	4	504	-3216.1506	1.3179	1.4380419976999999	5	0	0	1	1.1730066060554236
5014007at2759	3di_af	4	504	-2264.463	1.2913	0.3867982586	5	0	0	1	0.02439562906511128
5014007at2759	3di_af_empirical	4	504	-2232.4885	1.1442	0.4154298948	5	0	0	1	0.023737599840387702
5014007at2759	3di_llm	4	504	-2336.8813	1.5597	0.35350527730000003	5	0	0	1	0.029079290106892586
5015403at2759	aa	4	314	-2015.6344	0.9054	1.3561693248	5	0	0	1	1.0895281459670514
5015403at2759	3di_af	4	314	-1650.2145	1.0949	0.6407781449	5	0	0	1	0.0262535500805825
5015403at2759	3di_af_empirical	4	314	-1604.5787	0.9637	0.6762128257000001	5	0	0	1	0.029664618894457817
5015403at2759	3di_llm	4	314	-1699.5131	1.2607	0.5713703353999999	5	0	0	1	0.024875436909496784
5015647at2759	aa	6	445	-2739.4803	0.4985	0.9809863717999999	9	0	0	0	3.5238014440983534
5015647at2759	3di_af	6	445	-2027.0825	0.3613	0.35381768729999996	9	0	0	0	0.04304284113459289
5015647at2759	3di_af_empirical	6	445	-1992.5537	0.3843	0.3630570085	9	0	0	0	0.04799251607619226
5015647at2759	3di_llm	6	445	-2098.7768	0.3759	0.3266091213	9	0	0	0	0.03896027198061347
5017019at2759	aa	4	134	-866.0772	1.7372	2.1887412971	5	0	0	1	0.41081009106710553
5017019at2759	3di_af	4	134	-665.0599	2.4999	0.7006915987	5	0	0	2	0.02756403014063835
5017019at2759	3di_af_empirical	4	134	-634.9011	0.9977	0.9686170228000001	5	0	0	2	0.03163958806544542
5017019at2759	3di_llm	4	134	-687.151	2.4575	0.6253109791	5	0	0	2	0.03757059294730425
529759at2759	aa	4	220	-949.2014	1.2768	0.3357147372	5	0	0	2	0.4386245431378484
529759at2759	3di_af	4	220	-891.8731	0.2437	0.1967463089	5	0	0	2	0.01885520713403821
529759at2759	3di_af_empirical	4	220	-834.0276	0.2497	0.21707644659999997	5	0	0	2	0.017991306027397513
529759at2759	3di_llm	4	220	-932.0742	0.2599	0.18287203729999998	5	0	0	2	0.017885874956846237
530014at2759	aa	4	761	-5234.0388	1.619	1.3712411455	5	0	0	1	1.0625555939041078
530014at2759	3di_af	4	761	-3547.1391	0.7028	0.3702463653	5	0	0	1	0.037740119965747
530014at2759	3di_af_empirical	4	761	-3407.6084	0.6445	0.38518873349999994	5	0	0	1	0.02929851389490068
530014at2759	3di_llm	4	761	-3674.2858	0.7854	0.338720973	5	0	0	1	0.03677295194938779
538728at2759	aa	4	232	-1380.3589	1.2538	1.1416757817	5	0	0	2	0.4966575929429382
538728at2759	3di_af	4	232	-866.0664	0.6079	0.4447778538	5	0	0	2	0.028705883072689176
538728at2759	3di_af_empirical	4	232	-818.696	0.4824	0.4931070313	5	0	0	2	0.024379554903134704
538728at2759	3di_llm	4	232	-852.0473	0.6033	0.41988263020000005	5	0	0	2	0.022875671973451972
539632at2759	aa	12	245	-1739.007	0.3407	1.7510623943999999	21	8	0	1	18.978621278190985
539632at2759	3di_af	12	245	-1193.9407	0.1919	0.6450780511	21	9	0	1	0.08392235403880477
539632at2759	3di_af_empirical	12	245	-1182.7576	0.1908	0.625915749	21	9	0	1	0.09814216406084597
539632at2759	3di_llm	12	245	-1207.1865	0.2051	0.5890937106999998	21	9	0	1	0.07962543983012438
649304at2759	aa	5	283	-2143.1354	0.6348	2.1444084978999998	7	0	0	0	1.5117089918348938
649304at2759	3di_af	5	283	-1420.3709	0.5086	0.5500980512	7	0	0	1	0.027486552949994802
649304at2759	3di_af_empirical	5	283	-1282.6443	0.4248	0.7555940693	7	0	0	1	0.041223719948902726
649304at2759	3di_llm	5	283	-1465.0597	0.4781	0.4817992456	7	0	0	1	0.03280865307897329
707076at2759	aa	9	217	-1798.9945	0.6601	1.7928989976000003	15	4	0	1	6.5094455170910805
707076at2759	3di_af	9	217	-1250.5954	0.4593	0.7044698197	15	4	0	1	0.04836454219184816
707076at2759	3di_af_empirical	9	217	-1220.8106	0.4273	0.7956960109999999	15	4	0	1	0.048022584058344364
707076at2759	3di_llm	9	217	-1283.6445	0.4618	0.6564048123999998	15	4	0	1	0.048404684057459235
727964at2759	aa	4	241	-1344.0444	1.6983	0.9430937775999999	5	0	0	1	0.5521664770785719
727964at2759	3di_af	4	241	-984.9115	0.312	0.310156633	5	0	0	2	0.02079526404850185
727964at2759	3di_af_empirical	4	241	-879.0311	0.2456	0.4031884640000001	5	0	0	2	0.021907601971179247
727964at2759	3di_llm	4	241	-1023.2181	0.3011	0.2744860834	5	0	0	2	0.01883313385769725
730114at2759	aa	5	530	-4264.961	0.604	2.4085577701	7	0	0	1	3.33409026497975
730114at2759	3di_af	5	530	-2920.1868	0.8007	0.5565793438000001	7	0	0	0	0.03888832405209541
730114at2759	3di_af_empirical	5	530	-2834.5659	0.6903	0.6505045463	7	0	0	0	0.037434977013617754
730114at2759	3di_llm	5	530	-3037.7762	0.8031	0.5058306109	7	0	0	0	0.03717956016771495
760428at2759	aa	4	333	-2574.4876	1.2505	2.1981855119	5	0	0	1	0.7729407290462404
760428at2759	3di_af	4	333	-1863.8861	1.5662	0.6639051518000001	5	0	0	2	0.0299638241995126
760428at2759	3di_af_empirical	4	333	-1744.006	0.94	0.9632524493	5	0	0	2	0.02699955296702683
760428at2759	3di_llm	4	333	-1945.8543	1.7659	0.5754605964	5	0	0	2	0.04277793993242085
776280at2759	aa	4	253	-1786.7535	0.8041	2.3597893404	5	0	0	1	0.6787816700525582
776280at2759	3di_af	4	253	-1434.6291	0.8404	0.8688708268	5	0	0	2	0.03090696595609188
776280at2759	3di_af_empirical	4	253	-1340.7633	0.611	1.2521413794	5	0	0	3	0.030670105945318937
776280at2759	3di_llm	4	253	-1499.2688	0.9312	0.738293955	5	0	0	2	0.02465387200936675
801816at2759	aa	7	148	-933.6167	1.2768	0.9092136217000002	11	0	0	1	2.0472871160600334
801816at2759	3di_af	7	148	-737.7834	0.2842	0.5528594899	11	1	0	2	0.05902643990702927
801816at2759	3di_af_empirical	7	148	-725.6976	0.2726	0.6045105989999999	11	1	0	2	0.030863709980621934
801816at2759	3di_llm	7	148	-745.9247	0.2858	0.5119597564	11	1	0	2	0.03023288305848837
