marker	alphabet	taxa	columns	Name	SymSig	SymNon	SymPval	MarSig	MarNon	MarPval	IntSig	IntNon	IntPval
4969018at2759	3di	8	336	Noname	0	28	0.296143	0	0	nan	0	0	nan
4969018at2759	aa	8	336	Noname	0	28	0.484316	0	7	0.404451	0	7	0.535935
4969636at2759	3di	13	291	Noname	0	78	0.514836	0	0	nan	0	0	nan
4969636at2759	aa	13	291	Noname	1	77	0.147371	23	20	0.004581	0	43	0.93485
4969990at2759	3di	9	345	Noname	3	33	0.129775	0	0	nan	0	0	nan
4969990at2759	aa	9	345	Noname	4	32	0.0402911	11	11	1.80322e-06	0	22	0.937399
4970387at2759	3di	135	136	Noname	134	8888	0.00470122	0	0	nan	0	0	nan
4970387at2759	aa	135	136	Noname	5	9038	0.772863	0	0	nan	0	0	nan
4971272at2759	3di	6	375	Noname	0	15	0.672413	0	0	nan	0	0	nan
4971272at2759	aa	6	375	Noname	3	12	0.154813	5	7	1.06452e-05	0	12	0.983894
4974767at2759	3di	24	74	Noname	0	272	0.332145	0	0	nan	0	0	nan
4974767at2759	aa	24	74	Noname	0	273	0.458944	0	0	nan	0	0	nan
4976279at2759	3di	11	228	Noname	0	55	0.220698	0	0	nan	0	0	nan
4976279at2759	aa	11	228	Noname	0	55	0.664404	5	37	0.907735	0	42	0.360537
4977163at2759	3di	144	141	Noname	8	10281	0.532104	0	0	nan	0	0	nan
4977163at2759	aa	144	141	Noname	0	10292	0.440493	266	2548	nan	3	2811	nan
4985971at2759	3di	16	281	Noname	1	119	0.339716	0	0	nan	0	0	nan
4985971at2759	aa	16	281	Noname	0	120	0.439102	1	14	0.28319	0	15	0.559982
5000045at2759	3di	16	301	Noname	0	120	0.0571296	0	0	nan	0	0	nan
5000045at2759	aa	16	301	Noname	3	117	0.439582	36	46	0.00063231	0	82	0.993662
5000371at2759	3di	15	411	Noname	0	105	0.639868	0	59	nan	0	59	nan
5000371at2759	aa	15	411	Noname	0	105	0.662129	21	76	0.350595	0	97	0.732618
5000452at2759	3di	47	292	Noname	45	1034	0.834942	0	0	nan	0	0	nan
5000452at2759	aa	47	292	Noname	28	1051	0.724904	172	362	0.168108	6	528	0.895048
5000476at2759	3di	10	306	Noname	1	44	0.807083	0	0	nan	0	0	nan
5000476at2759	aa	10	306	Noname	0	45	0.402747	5	25	0.0537577	0	30	0.779749
5000743at2759	3di	158	166	Noname	9	12391	0.376265	1	347	0.786081	3	345	0.147462
5000743at2759	aa	158	166	Noname	1	12399	0.339218	335	6490	0.154483	26	6799	0.567391
5001156at2759	3di	15	229	Noname	0	105	0.587759	0	0	nan	0	0	nan
5001156at2759	aa	15	229	Noname	0	105	0.736871	1	52	0.435218	1	52	0.80287
5001273at2759	3di	141	229	Noname	75	9794	0.342293	0	0	nan	0	0	nan
5001273at2759	aa	141	229	Noname	19	9849	0.465935	376	3084	0.635308	7	3453	0.342028
5001318at2759	3di	13	261	Noname	0	75	0.341859	0	0	nan	0	0	nan
5001318at2759	aa	13	261	Noname	0	77	0.743527	0	14	0.812881	0	14	0.546297
5001413at2759	3di	72	251	Noname	3	2553	0.204143	9	101	nan	0	110	nan
5001413at2759	aa	72	251	Noname	3	2553	0.486694	58	1045	nan	7	1096	nan
5001473at2759	3di	121	81	Noname	0	7164	0.500676	0	0	nan	0	0	nan
5001473at2759	aa	121	81	Noname	0	7161	0.522438	0	0	nan	0	0	nan
5001734at2759	3di	120	172	Noname	0	6941	0.287008	0	0	nan	0	0	nan
5001734at2759	aa	120	172	Noname	0	7134	0.418743	0	374	0.179404	2	372	0.742585
5002334at2759	3di	19	227	Noname	5	166	0.401497	0	0	nan	0	0	nan
5002334at2759	aa	19	227	Noname	0	171	0.191541	19	102	0.00241963	0	121	0.901193
5002573at2759	3di	11	357	Noname	0	55	0.210362	1	25	0.0941401	0	26	0.55737
5002573at2759	aa	11	357	Noname	1	54	0.0779222	12	11	3.1092e-06	0	23	0.952427
5003856at2759	3di	35	219	Noname	0	593	0.380524	0	14	nan	0	14	nan
5003856at2759	aa	35	219	Noname	2	592	0.500264	24	199	nan	1	222	nan
5003972at2759	3di	78	201	Noname	11	2992	0.102308	0	0	nan	0	0	nan
5003972at2759	aa	78	201	Noname	7	2996	0.112527	80	946	0.280941	2	1024	0.120342
5004118at2759	3di	17	81	Noname	11	103	0.0619688	0	0	nan	0	0	nan
5004118at2759	aa	17	81	Noname	0	136	0.43078	0	0	nan	0	0	nan
5004478at2759	3di	6	261	Noname	0	15	0.620516	0	0	nan	0	0	nan
5004478at2759	aa	6	261	Noname	0	15	0.489844	0	5	nan	0	5	nan
5005010at2759	3di	145	92	Noname	0	10264	0.548812	0	0	nan	0	0	nan
5005010at2759	aa	145	92	Noname	0	10439	0.515345	1	251	nan	0	252	nan
5005174at2759	3di	102	136	Noname	0	5146	0.201767	0	0	nan	0	0	nan
5005174at2759	aa	102	136	Noname	0	5151	0.596083	1	97	nan	0	98	nan
5005196at2759	3di	9	291	Noname	0	36	0.795588	3	16	0.60386	0	19	0.78772
5005196at2759	aa	9	291	Noname	0	36	0.741273	0	26	0.266044	2	24	0.873362
5005274at2759	3di	18	157	Noname	1	147	0.123845	0	0	nan	0	0	nan
5005274at2759	aa	18	157	Noname	0	153	0.214695	0	0	nan	0	0	nan
5005750at2759	3di	134	107	Noname	1	8910	0.113735	0	0	nan	0	0	nan
5005750at2759	aa	134	107	Noname	0	8901	0.519798	0	0	nan	0	0	nan
5005892at2759	3di	13	288	Noname	7	71	0.201176	0	0	nan	0	0	nan
5005892at2759	aa	13	288	Noname	0	78	0.0777321	7	36	0.165423	0	43	0.129736
5013042at2759	3di	7	333	Noname	0	21	0.650855	0	0	nan	0	0	nan
5013042at2759	aa	7	333	Noname	0	21	0.149937	5	10	0.0119833	0	15	0.601331
5013067at2759	3di	17	306	Noname	0	135	0.716563	7	48	nan	0	55	nan
5013067at2759	aa	17	306	Noname	0	133	0.645835	1	118	0.121904	0	119	0.888909
5013259at2759	3di	123	120	Noname	22	7237	0.41588	0	0	nan	0	0	nan
5013259at2759	aa	123	120	Noname	0	7495	0.455653	1	74	nan	0	75	nan
5013539at2759	3di	51	223	Noname	0	1274	0.333331	0	131	nan	13	118	nan
5013539at2759	aa	51	223	Noname	0	1274	0.457576	1	396	0.321864	2	395	0.574095
5013726at2759	3di	136	165	Noname	0	9177	0.437259	0	0	nan	0	0	nan
5013726at2759	aa	136	165	Noname	4	9175	0.483363	5	1249	nan	3	1251	nan
5013738at2759	3di	136	170	Noname	0	9177	0.215225	0	0	nan	0	0	nan
5013738at2759	aa	136	170	Noname	1	9173	0.626118	0	25	nan	0	25	nan
5015403at2759	3di	13	314	Noname	4	74	0.0490303	1	28	nan	0	29	nan
5015403at2759	aa	13	314	Noname	0	78	0.353896	1	47	0.636891	0	48	0.249177
5015712at2759	3di	6	422	Noname	3	12	0.0409283	0	0	nan	0	0	nan
5015712at2759	aa	6	422	Noname	0	15	0.143129	7	0	0.00032132	0	7	0.888906
5015742at2759	3di	4	394	Noname	0	6	0.569436	0	6	0.571035	0	6	0.505255
5015742at2759	aa	4	394	Noname	1	5	0.0085688	3	2	1.58858e-05	0	5	0.509352
5017019at2759	3di	8	139	Noname	0	28	0.611769	0	0	nan	0	0	nan
5017019at2759	aa	8	139	Noname	0	28	0.667748	0	16	0.611767	1	15	0.595677
529759at2759	3di	143	226	Noname	4	10142	0.415407	0	0	nan	0	0	nan
529759at2759	aa	143	226	Noname	6	10142	0.588255	0	211	0.624681	5	206	0.469125
539632at2759	3di	31	257	Noname	0	464	0.19707	0	0	nan	0	0	nan
539632at2759	aa	31	257	Noname	0	463	0.554001	4	172	0.933531	2	174	0.201847
540946at2759	3di	9	401	Noname	0	36	0.622666	0	0	nan	0	0	nan
540946at2759	aa	9	401	Noname	0	36	0.117757	11	22	0.000331491	0	33	0.831168
541070at2759	3di	122	222	Noname	13	7367	0.186045	0	0	nan	0	0	nan
541070at2759	aa	122	222	Noname	88	7292	0.0555651	573	2476	0.00491396	7	3042	0.435491
554735at2759	3di	131	231	Noname	46	8469	0.151307	2	74	nan	1	75	nan
554735at2759	aa	131	231	Noname	9	8506	0.527229	187	505	0.178019	0	692	0.750647
649304at2759	3di	26	276	Noname	1	321	0.472286	0	0	nan	0	0	nan
649304at2759	aa	26	276	Noname	0	322	0.759332	1	154	nan	1	154	nan
707076at2759	3di	87	228	Noname	1	3739	0.255968	4	106	nan	2	108	nan
707076at2759	aa	87	228	Noname	0	3740	0.42935	2	305	0.201908	0	307	0.706137
707202at2759	3di	9	323	Noname	0	36	0.291168	1	18	0.0857974	0	19	0.655608
707202at2759	aa	9	323	Noname	0	36	0.55855	1	28	0.278501	0	29	0.69704
727964at2759	3di	11	241	Noname	14	41	0.00372523	0	0	nan	0	0	nan
727964at2759	aa	11	241	Noname	0	55	0.298843	1	22	0.0659147	0	23	0.689963
760428at2759	3di	16	331	Noname	4	116	0.466792	0	0	nan	0	0	nan
760428at2759	aa	16	331	Noname	0	120	0.550033	22	79	0.60133	0	101	0.462285
776280at2759	3di	4	243	Noname	1	5	0.158497	0	0	nan	0	0	nan
776280at2759	aa	4	243	Noname	0	6	0.170776	0	2	0.0805694	0	2	0.443105
801816at2759	3di	154	153	Noname	1	11775	0.361966	0	0	nan	0	0	nan
801816at2759	aa	154	153	Noname	42	11736	0.255603	110	1996	nan	15	2091	nan
