dataset	marker	taxon_id	protein_id	fcs_actions	exact_structure_link_present	present_in_ready_paired_alignment	model_id
alphafold_expanded	4823929at2759	F610337	KAJ9099655.1	EXCLUDE	False	False	
alphafold_expanded	4838864at2759	F610337	KAJ9103533.1	EXCLUDE	False	False	
alphafold_expanded	4867008at2759	F610337	KAJ9102150.1	EXCLUDE	False	False	
alphafold_expanded	4896098at2759	F610337	KAJ9112000.1	EXCLUDE	False	False	
alphafold_expanded	4908955at2759	F610337	KAJ9109651.1	EXCLUDE	False	False	
alphafold_expanded	4911644at2759	F610337	KAJ9103416.1	EXCLUDE	False	False	
alphafold_expanded	4970538at2759	F27376	CAG8598816.1	EXCLUDE	False	False	
alphafold_expanded	4970538at2759	F610337	KAJ9101597.1	EXCLUDE	False	False	
alphafold_expanded	4976279at2759	F610337	KAJ9101352.1	EXCLUDE	False	False	
alphafold_expanded	4999134at2759	O400682	XP_003387129.1	REVIEW	False	False	
alphafold_expanded	5000371at2759	F610337	KAJ9093989.1	EXCLUDE	False	False	
alphafold_expanded	5000452at2759	F610337	KAJ9103443.1	EXCLUDE	False	False	
alphafold_expanded	5000743at2759	F610337	KAJ9101344.1	EXCLUDE	False	False	
alphafold_expanded	5000870at2759	F610337	KAJ9097970.1	EXCLUDE	False	False	
alphafold_expanded	5001273at2759	F27376	CAG8562009.1	EXCLUDE	False	False	
alphafold_expanded	5001318at2759	F610337	KAJ9100793.1	EXCLUDE	False	False	
alphafold_expanded	5001413at2759	F610337	KAJ9096669.1	EXCLUDE	False	False	
alphafold_expanded	5001473at2759	F610337	KAJ9101290.1	EXCLUDE	False	False	
alphafold_expanded	5002573at2759	F610337	KAJ9113374.1	EXCLUDE	False	False	
alphafold_expanded	5003856at2759	F27376	CAG8523324.1	EXCLUDE	False	False	
alphafold_expanded	5003856at2759	F610337	KAJ9105684.1	EXCLUDE	False	False	
alphafold_expanded	5003972at2759	F610337	KAJ9099438.1	EXCLUDE	False	False	
alphafold_expanded	5004118at2759	F610337	KAJ9095121.1	EXCLUDE	False	False	
alphafold_expanded	5005010at2759	F610337	KAJ9093008.1	EXCLUDE	False	False	
alphafold_expanded	5005196at2759	F610337	KAJ9099659.1	EXCLUDE	False	False	
alphafold_expanded	5005215at2759	F610337	KAJ9104903.1	EXCLUDE	False	False	
alphafold_expanded	5005274at2759	F610337	KAJ9095890.1	EXCLUDE	False	False	
alphafold_expanded	5005697at2759	F610337	KAJ9101430.1	EXCLUDE	False	False	
alphafold_expanded	5005892at2759	F610337	KAJ9113323.1	EXCLUDE	False	False	
alphafold_expanded	5006326at2759	F27376	CAG8475227.1	EXCLUDE	False	False	
alphafold_expanded	5006326at2759	F610337	KAJ9095863.1	EXCLUDE	False	False	
alphafold_expanded	5011777at2759	F610337	KAJ9109395.1	EXCLUDE	False	False	
alphafold_expanded	5013259at2759	F610337	KAJ9104885.1	EXCLUDE	False	False	
alphafold_expanded	5013726at2759	F610337	KAJ9098415.1	EXCLUDE	False	False	
alphafold_expanded	5014007at2759	F610337	KAJ9102108.1	EXCLUDE	False	False	
alphafold_expanded	5015742at2759	F27376	CAG8681694.1	EXCLUDE	False	False	
alphafold_expanded	5015876at2759	F610337	KAJ9103434.1	EXCLUDE	False	False	
alphafold_expanded	540946at2759	F27376	CAG8523990.1	EXCLUDE	False	False	
alphafold_expanded	540946at2759	F610337	KAJ9095431.1	EXCLUDE	False	False	
alphafold_expanded	727964at2759	F610337	KAJ9093270.1	EXCLUDE	False	False	
alphafold_expanded	760428at2759	F610337	KAJ9105671.1	EXCLUDE	False	False	
alphafold_expanded	776280at2759	F610337	KAJ9106482.1	EXCLUDE	False	False	
