marker	taxa	profile_columns	mafft_columns	profile_retained_residues	mafft_retained_residues	common_retained_residues	profile_edges_on_common_residues	mafft_edges_on_common_residues	shared_edges	edge_jaccard	fraction_profile_edges_shared	fraction_mafft_edges_shared
4977863at2759	482	288	643	135725	278817	134430	31430004	30397829	30174412	0.9532749082634702	0.9600511663950154	0.9926502316991125
4983000at2759	486	453	504	214081	234774	206552	47648324	46161238	43994247	0.8831470201483218	0.9233115313772632	0.9530560467204108
4985971at2759	492	281	359	134974	162252	133833	31968968	31537648	31135497	0.961829493753367	0.9739287486540072	0.9872485418062882
4986044at2759	495	313	526	146786	226115	139012	31758547	31361812	29184584	0.8599946221944246	0.9189521170474203	0.9305770980324733
4987397at2759	480	681	905	311639	404716	309272	70845752	69354481	68599084	0.9580723907098194	0.968287893958695	0.9891081731258288
4988239at2759	480	893	1063	422830	485125	415769	97384102	95787123	94125330	0.9503203540136621	0.9665369199584548	0.9826511857966546
4999134at2759	476	2295	2347	1075992	1099527	1071052	249745399	249190594	247306850	0.9828227646906543	0.9902358601609313	0.99244054934112
5000045at2759	482	301	381	142312	180563	141725	33341259	32097155	31555482	0.9313090732525745	0.9464394250978945	0.983123956001708
5000152at2759	486	1184	1196	556134	565060	546390	126580294	126401469	123117130	0.9480420277320616	0.972640575475358	0.9740166073544604
5000362at2759	475	672	907	315896	420071	313694	73171156	71187483	70421253	0.9524444507681135	0.9624182102576048	0.9892364504585729
5000371at2759	465	429	433	192210	189147	180640	39425557	39270064	37650293	0.9172857139794327	0.9549717458652518	0.9587530338631483
5000452at2759	462	292	294	128647	128153	121070	25765411	25809003	23287622	0.8232684003191313	0.9038327391711314	0.9023061448751042
5000476at2759	479	306	392	146028	182751	144200	34100319	33831923	33632996	0.9805753747473049	0.9862956413985453	0.9941201391360461
5000743at2759	493	166	180	78918	84497	77596	18216658	17913391	17600855	0.9498985762683472	0.9661956106328614	0.9825529404231728
5000823at2759	470	802	984	371034	432330	366279	83790906	82299706	77730371	0.8796984947109866	0.9276707307592544	0.9444793277876351
5000870at2759	486	707	770	337233	360287	330494	78022679	77602775	75775894	0.9489832379790195	0.9712034368878824	0.9764585609213072
5000986at2759	472	404	539	184165	228053	176155	38965505	37395268	35408948	0.8646488404362931	0.9087254996438516	0.9468831190085334
5001156at2759	478	229	348	97819	151119	94487	20383380	20052384	19774870	0.9571158924681574	0.9701467568185453	0.9861605482919138
5001273at2759	454	229	244	101221	106408	98611	21381384	20950993	20323983	0.9234650651928532	0.9505457177140638	0.9700725402371143
5001280at2759	496	754	756	357987	349487	327288	73857182	74436527	66370932	0.8101645773067483	0.8986388351507915	0.8916446625727178
5001318at2759	474	310	434	135278	182732	132759	28460941	27713114	26614047	0.900339641315388	0.9351077675190008	0.9603412665931371
5001413at2759	491	251	282	120518	135941	119701	28542552	27981655	27730983	0.9631079520653887	0.9715663476762695	0.9910415591929784
5001473at2759	495	81	130	38714	56178	38572	9209847	9161832	9117871	0.9853101555597437	0.9900132977236212	0.9952017238473703
5001660at2759	484	636	646	302412	303419	296220	69446961	69233941	65860761	0.9044305613195668	0.9483605913295472	0.9512785210363801
5001734at2759	476	177	233	81922	104395	79768	18104665	17653976	16865903	0.8927188319660179	0.9315777452938234	0.9553600276787507
5001941at2759	451	568	798	245900	328390	241246	51811762	50347001	49141976	0.92691350760279	0.9484714300972817	0.9760656051787474
5002334at2759	466	227	385	104271	159904	103632	23659276	23193763	22982372	0.96278717306056	0.9713894879961669	0.9908858687570448
5002573at2759	480	357	390	168856	181867	166728	38987414	38511635	37651799	0.9449033245707044	0.9657424059979972	0.9776733446918054
5003022at2759	471	776	877	355092	389132	349353	79324229	78596779	77035438	0.9524002612579722	0.9711463820215637	0.980134796618065
5003192at2759	469	399	494	174045	210103	160175	33492838	32387066	30117820	0.8421718376367552	0.8992316506591648	0.9299335728651679
5003205at2759	499	1015	1394	490664	637939	476257	113234654	109493193	103961374	0.8753427745555769	0.9181056357535212	0.9494779643516287
5003856at2759	490	219	312	98989	140231	96235	21788324	21138655	20852068	0.9446048502755006	0.9570294622018656	0.9864425149092977
5003972at2759	481	205	258	94240	115333	93215	21236162	20878584	20607697	0.9581833844336338	0.9704059047957913	0.9870256048015517
5004118at2759	481	134	249	59891	107275	57288	12929489	12311518	11983032	0.9038357667743377	0.9267985764943998	0.9733188060156351
5004265at2759	489	219	321	104409	140611	101129	23521458	22644155	20891200	0.8265750820800467	0.8881762346534811	0.922586866235459
5004327at2759	473	697	837	318195	362133	298464	65839995	64459097	61349636	0.8897769403720893	0.9317989164488849	0.9517607111374831
5004391at2759	478	865	1075	400525	465464	385122	86997017	84332932	76943653	0.8151994119993861	0.8844401297115739	0.91237967393331
5004478at2759	482	299	434	137588	193419	132674	30316711	29985059	29446167	0.954321553851986	0.9712850117547381	0.9820279826696355
5004599at2759	484	382	760	184224	343816	183982	44217303	43424584	42911657	0.9593435356804559	0.9704720570587492	0.9881880964017986
5005010at2759	476	92	115	42903	52922	42692	9946146	9805206	9761529	0.9771473428508193	0.9814383380256031	0.9955455295890775
5005174at2759	477	169	223	77828	93059	74087	16607135	15940618	15185429	0.8746196073751417	0.9143918562714158	0.9526248605919796
5005196at2759	476	371	444	175265	207130	173616	40662147	39927578	39620812	0.9670945382417151	0.974390555422467	0.9923169394346935
5005215at2759	494	243	618	116707	278401	116150	27842889	27403561	27238971	0.9725606149700228	0.9783097939297895	0.9939938462742123
5005217at2759	483	361	492	169578	221702	167102	38799356	37144497	36042709	0.9033001409683893	0.9289512176439217	0.9703377865098025
5005274at2759	482	233	369	107380	151909	102437	22962685	22159201	20805327	0.8556032537333921	0.9060494014528353	0.9389023999556663
5005697at2759	504	243	602	118899	271547	117198	28341381	27796620	27465523	0.9579054520505692	0.9690961424921389	0.988088587749158
5005750at2759	474	107	191	48802	77224	47624	10773215	10638326	10393648	0.9433426155073389	0.9647675276136233	0.9770003288111306
5005892at2759	480	302	401	139850	175688	138443	31887690	31322990	31073450	0.9668988273102567	0.9744653814685228	0.9920333275973973
5006326at2759	486	539	592	256360	280985	254513	60160274	58941702	58283129	0.9583070359752134	0.9687975988939146	0.9888267054113911
5006412at2759	479	168	603	79706	248900	78371	18365270	17682141	17358231	0.9287850510295261	0.9451661206178836	0.9816815169610965
5011777at2759	502	656	745	295757	323691	261466	56123084	55425412	48307533	0.7638646014925484	0.8607426669567909	0.871577337124711
5013042at2759	436	333	411	137335	173046	135589	28088291	27632867	27196367	0.9534291416894167	0.9682457006729245	0.9842035934961074
5013067at2759	473	323	330	151070	153841	149477	34639527	34636095	34029009	0.9654547232666015	0.9823751057570734	0.9824724467351184
5013259at2759	500	144	174	67515	77984	65199	15034822	14950581	14110735	0.8888837864199742	0.9385368845736917	0.943825193148012
5013539at2759	489	224	289	106576	133589	106083	25119485	24883135	24635029	0.9711221298072805	0.980713935815165	0.9900291502658327
5013726at2759	475	171	183	80559	86015	80296	18819429	18494806	18348432	0.9674482013759186	0.9749728325976309	0.9920856698902384
5013738at2759	487	170	252	81799	112361	81749	19657091	19565393	19528515	0.9915987478197006	0.99345905251189	0.9981151413620979
5013992at2759	488	786	820	360434	381579	349241	79108771	78579190	74455352	0.8945454539338061	0.9411769524266784	0.9475199731633782
5014007at2759	474	521	617	237568	269924	231509	51776691	50511189	48295676	0.8944935087295195	0.9327686854302837	0.956138173662869
5015403at2759	480	314	436	146984	197005	146484	34162760	33342816	33166730	0.9658661796613666	0.9708445687643504	0.9947189223609667
5015647at2759	480	525	893	249657	403816	247803	58617786	57565509	57167253	0.9686731109483757	0.9752543878064586	0.9930816906352726
5015712at2759	472	485	503	222950	222697	212511	47518396	47172438	43867866	0.863150416559694	0.9231764893747676	0.9299469745447543
5015742at2759	466	419	488	188912	215259	184664	40827779	40113634	37894219	0.8802947527776143	0.9281479406459999	0.9446718041053075
5015876at2759	498	325	531	156617	247817	154901	37113112	36170975	35644536	0.9469968438252624	0.9604297262918831	0.9854458167080097
5017019at2759	480	140	413	63794	185131	61389	13843471	13515558	13004476	0.9059478201794232	0.9393941736144064	0.962185653008185
5018803at2759	489	408	930	193949	393870	190956	44775312	42789522	41814253	0.9139611363623994	0.9338684898499423	0.9772077612832413
529759at2759	490	226	245	109605	118887	109265	26414762	26388464	26322012	0.9939881154995387	0.9964887058229032	0.9974817784013499
530014at2759	485	776	862	370573	406484	368480	87420269	85531608	84518135	0.9557227036711847	0.9668025043482765	0.988150895046893
530740at2759	466	304	318	121971	126085	107307	20028718	20145456	14636849	0.573155136648024	0.7307931041817055	0.7265583365300841
538728at2759	484	279	551	132247	238397	129756	30329810	29802224	28111996	0.8779501136132318	0.9268767592015907	0.9432851722743913
538952at2759	469	266	531	120445	224552	117231	26304366	25693454	25300488	0.9476785170892732	0.9618360693430132	0.9847055985544022
539632at2759	488	257	306	124345	146083	124062	29906850	29394326	29177831	0.9686119187626739	0.9756236781874387	0.9926348030568892
540946at2759	478	403	439	188063	197589	183077	42004003	41883088	40640316	0.9397305579433379	0.9675343561898136	0.9703275938011066
541070at2759	477	222	253	103401	113085	99292	22498722	22153197	21656253	0.9417536765406143	0.9625548064463395	0.9775678426910572
554735at2759	459	231	258	104903	115463	104195	23474587	22904296	22689327	0.9577776383820786	0.9665485062633903	0.990614468132965
649304at2759	480	293	318	138354	144989	135019	31314264	30910718	30156450	0.9403751316087684	0.9630259871348086	0.9755984962885689
707076at2759	492	239	275	112291	127983	108318	25003082	24126132	23602075	0.9245875536620065	0.9439666277941255	0.9782784492764941
707202at2759	492	326	363	157253	173127	153098	36210210	35303711	34390483	0.9263819530938918	0.949745472340536	0.974132237826216
727964at2759	473	241	450	105222	197611	104659	23317212	22910093	22769787	0.970681851336531	0.9765227077748403	0.9938757996311931
730114at2759	480	530	537	249771	252939	246632	57657414	57615971	56504601	0.9614730330305966	0.980005815037074	0.9807107303632876
760428at2759	481	338	400	154385	175153	143110	32047020	31785443	30713718	0.9273816987932363	0.9583954451927199	0.9662825212157653
776280at2759	502	261	519	121416	228023	117367	26737941	25632987	24432197	0.8744920089606074	0.9137650875959372	0.9531545036089629
801816at2759	478	153	187	72524	87435	71729	16829865	16563298	16472350	0.9734963680527644	0.9787571082715162	0.9945090645594856
