representative_input_id	cluster_input_id	source	model_id	model_version	sequence_sha256	length	mean_ca_plddt	model_path	model_sha256	reviewed_group_id	disposition	normalization_membership_change
M000433	M005349	AlphaFold	AF-A0A6G1H8K8-F1	6	3b8e5783a612762bfa4c41aed35e8da7ff119c75d38f2d9e063493e8e98ba197	117	91.58213675213679	data/structures/afdb/AF-A0A6G1H8K8-F1-v6.cif	dcec2d18a645d3a6e37b7ad1b262fae282b7c3207896105303cda7a89a66bcd6	RG_M000433	bidirectional_edge_pass	restored
M000433	M005433	AlphaFold	AF-A0A6G1HX92-F1	6	25d6d4209292bf7425fedef7235433b17369ef48caf2949bb575906e88cb3bd2	117	92.01068376068376	data/structures/afdb/AF-A0A6G1HX92-F1-v6.cif	5fb83317c4903dc361e4ac3905ca554092d4a3da5e6097793000c8f79d9af6db	RG_M000433	bidirectional_edge_pass	restored
M006163	M005501	AlphaFold	AF-A0A6G1IAZ3-F1	6	906ed41f21e158f1ba37809591781dd9ffc59b72f2210e8159e86274803c636f	122	94.59918032786881	data/structures/afdb/AF-A0A6G1IAZ3-F1-v6.cif	50f565523db234ee611e39612ebcbd41c0065c30ff6cf7ef90ef17c5dae192a5	RG_M006163	bidirectional_edge_pass	restored
M000433	M005594	AlphaFold	AF-A0A6P8BCH3-F1	6	ac3275efbf474175f0b633db08e68c6e521ae50ca5af4a63bfb01419f88122d3	117	91.2920512820513	data/structures/afdb/AF-A0A6P8BCH3-F1-v6.cif	c96b6656a99a87aaaefecdc192ebaf3af1dc2585acb23534f9c86aa27411a902	RG_M000433	bidirectional_edge_pass	restored
M006771	M005822	AlphaFold	AF-A0A7R7XTK9-F1	6	2204787be06d98abd3c44a632b83782e8e73b02f24731d90c1b7eb3f823286ec	129	90.71209302325582	data/structures/afdb/AF-A0A7R7XTK9-F1-v6.cif	f49391ba389e5c6ce908698f8eee1595dd970850c4b1c3f266eae0a1a9029f11	RG_M006771	bidirectional_edge_pass	restored
M005867	M005965	AlphaFold	AF-A0A7U2N025-F1	6	9e5c94ead5011f764d23aa597d303a6b42a92df251cf6a24cc5b216a042ea0da	193	88.37803108808289	data/structures/afdb/AF-A0A7U2N025-F1-v6.cif	5ec72e61652ec080eabb389ac9c140e89834b4116bda1116524083748033f3a2	RG_M005867	bidirectional_edge_pass	restored
M000433	M006130	AlphaFold	AF-A0A8E2E672-F1	6	972e070f5dd3fc8a2da7c0f2573fb08098be46a62928c625696ceeebc2e2af0c	117	90.94042735042737	data/structures/afdb/AF-A0A8E2E672-F1-v6.cif	29533596d0b1f96e2800d8f8e4ffe15a1290dc39d999893809d4d56700213254	RG_M000433	bidirectional_edge_pass	restored
M000433	M006194	AlphaFold	AF-A0A8E2ENP6-F1	6	f8e10f31bbd66696eb10497d90c0228086848b5e2a34e09ed11dc73380778157	117	92.25512820512823	data/structures/afdb/AF-A0A8E2ENP6-F1-v6.cif	447cef6a03b715df4d3e504adf9a2c5fbeeddccc31fc1cb7f5154454972c0730	RG_M000433	bidirectional_edge_pass	restored
M000433	M006831	AlphaFold	AF-A0A8H6KZM1-F1	6	1b9173c522b86b55badec3b6176ba08653c4c7dacb4667c936cc8ce9ae089962	117	92.08119658119656	data/structures/afdb/AF-A0A8H6KZM1-F1-v6.cif	96ee3297fcf125e97cb539d5b8c304d65b7aab48b8e70385a6c22a2216596616	RG_M000433	bidirectional_edge_pass	restored
M000433	M006890	AlphaFold	AF-A0A8K0KXV9-F1	6	c28840e066120c6729bc7b755083e3a1d369b39283ddd3b99d24ba225cf5d3c2	117	91.44478632478636	data/structures/afdb/AF-A0A8K0KXV9-F1-v6.cif	d62f980c42ac0508e9f3ccef200d79ca44c1bc2c2a0e86e2d143a205f228ccd6	RG_M000433	bidirectional_edge_pass	restored
M006163	M007059	AlphaFold	AF-A0A9P4I823-F1	6	8679a1fcd9e037ecc47dd9e47fd36af569142604cb06ef9e5670628358a53e43	121	93.66628099173556	data/structures/afdb/AF-A0A9P4I823-F1-v6.cif	4d92acad8b73964e637472f2a0cdd887ca3876e580dcdcb4b552eec363b5c2cb	RG_M006163	bidirectional_edge_pass	restored
M000433	M007320	AlphaFold	AF-A0A9P4Q608-F1	6	ce51cf60321d11aa229bef71d16c9dfa303ec63547b9879c5b5883a4077a53cb	117	91.47213675213676	data/structures/afdb/AF-A0A9P4Q608-F1-v6.cif	0896581e169c801ec46dc1982e881515f2385b8b19b9b3936891a120399198ce	RG_M000433	bidirectional_edge_pass	restored
M002877	M007382	AlphaFold	AF-A0A9P4S2X6-F1	6	a9bd29abc272edd63f428dedb304ef20e60f97aa6b8b91a022e6c0039663894c	144	89.93222222222225	data/structures/afdb/AF-A0A9P4S2X6-F1-v6.cif	3a0ff0838cd1f26b5bb3e537156d3dedd56a66859dcc63e409dd383ed4cb9618	RG_M002877	bidirectional_edge_pass	restored
M007042	M007668	AlphaFold	AF-A0A9P6H2H3-F1	6	c4dd4f0709793a131b33f83aa8f055619aee7b5123f627cf53c1910149e253ed	165	69.15824242424243	data/structures/afdb/AF-A0A9P6H2H3-F1-v6.cif	e0cc28259335d92dbae9a6acbb084348dadaf33d5ea33762e2a14caece1056fa	RG_M007042	bidirectional_edge_pass	newly_deferred
M000079	M007948	AlphaFold	AF-A0A9P8I703-F1	6	a74857fc1c73235d343961359e5754cb5c8a5d99428e1e5c057da954ad0525e0	116	91.81568965517243	data/structures/afdb/AF-A0A9P8I703-F1-v6.cif	a2ba1241a5d26ebafdbbd9729e44e0f5f5c999510f487d3d54f1e6234c6eb9f4	RG_M000079	bidirectional_edge_pass	restored
M006777	M008181	AlphaFold	AF-A0A9P8XZI7-F1	6	b1e342e8b5883e38e798ef171b2f7c1d383d5e754ddfe6fbcfb5c1ce308d38ca	183	92.7313661202186	data/structures/afdb/AF-A0A9P8XZI7-F1-v6.cif	58231fed35e6ccfb5379435cad6c28c614ff23b5fb4479e2c459a25405688cce	RG_M006777	bidirectional_edge_pass	restored
M009198	M009674	AlphaFold	AF-A0AAN6E1Z0-F1	6	c54182acf2828e4c8ce9c29ed735618c53fa2fa68452ba37e7493f1bf9d7960b	1196	60.89696488294317	data/structures/afdb/AF-A0AAN6E1Z0-F1-v6.cif	8ec8b8d6a8a181b6356026bef82ecd09a4c75816f2073063dc2c9f1679b99596	RG_M009198	bidirectional_edge_pass	newly_deferred
M006771	M009741	AlphaFold	AF-A0AAN7YJP9-F1	6	ee6a870cc046aa13999291ab0642c72050398f54c792e13a4e7cb09fc8f1f0ff	122	92.90057377049183	data/structures/afdb/AF-A0AAN7YJP9-F1-v6.cif	a83244c49f02712cc87af7382a26fb04fcf11b937fa35595b213db78c9d11a31	RG_M006771	bidirectional_edge_pass	restored
M001602	M009842	AlphaFold	AF-A0AAV5QRH4-F1	6	0147cf443e7ec65f21a22afb00fae78f9dbf897c88ad8f61d75622abc7c80a20	596	70.55887583892621	data/structures/afdb/AF-A0AAV5QRH4-F1-v6.cif	3f457b2c258a0af28f1b20d55a33d9a5879b34a8cc2b33e9e633de9d6b7da13c	RG_M001602	bidirectional_edge_pass	newly_deferred
M009295	M009915	AlphaFold	AF-A0AAV9P4J0-F1	6	6243167d06c74e6369f4406dae9cc5f1d044a23e97ddf7699c1980643b172caa	417	67.52690647482008	data/structures/afdb/AF-A0AAV9P4J0-F1-v6.cif	273d08abd64ab31f3b6c27110b510246b0e5507ed45fb1471bd29c0077056b27	RG_M009295	bidirectional_edge_pass	newly_deferred
M006771	M010205	AlphaFold	AF-A0AB34KX26-F1	6	d5cbd43ef642a67aa1b7b85a72aa42b58808db6654825d627604a615fcc00047	125	91.99775999999999	data/structures/afdb/AF-A0AB34KX26-F1-v6.cif	554d393226247331115914eecf81d8fe9f3e38d3fecf680cde5ce0f82efb87e5	RG_M006771	bidirectional_edge_pass	restored
M001100	M010306	AlphaFold	AF-B6JVB5-F1	6	d8ba88615c5b73c37395b794f8dda10b2fb0bbbe7af0aee083701c961760352a	588	64.70256802721083	data/structures/afdb/AF-B6JVB5-F1-v6.cif	78492d22f5e7825f9164fea1cc2b317fcd90592c3c9c230d7e26cf1f93ce9f25	RG_M001100	bidirectional_edge_pass	newly_deferred
M003831	M010505	AlphaFold	AF-C8VR04-F1	6	ebc2ecec8150e3a94dd31473047ecf2a1bec6a0fda16b6f0f70c5b5a6bbe0655	376	70.19486702127662	data/structures/afdb/AF-C8VR04-F1-v6.cif	8c3cf4f23cf54b0b439c3d76c028216c3d591562c0902b7c3b0a6e65b4909bac	RG_M003831	bidirectional_edge_pass	newly_deferred
M001167	M010780	AlphaFold	AF-E5ACS2-F1	6	46c329ddfaece3185c798dde63aae273608397e5c00d86086e610434d366f0b5	286	93.67975524475528	data/structures/afdb/AF-E5ACS2-F1-v6.cif	79a9176cac236b1271ea3e76a5137f39c3fabc594e6ec89f781b37ef21ee809e	RG_M001167	bidirectional_edge_pass	restored
M003923	M011059	AlphaFold	AF-G1XQ78-F1	6	99de06f89499c82787c43d60bace8dba530b2254a561944cc0fadd62195f01a6	204	85.46607843137254	data/structures/afdb/AF-G1XQ78-F1-v6.cif	ab14423b7d9f6e58c12aa91e118166eb3e4b1b08f1619139de4057c998a27e3d	RG_M003923	bidirectional_edge_pass	restored
M012624	M011070	AlphaFold	AF-G1XTA5-F1	6	ea8a122450bd1e76de62e957c674fbd82a223f148ec606479a7dd7f56b1a3345	702	70.75095441595441	data/structures/afdb/AF-G1XTA5-F1-v6.cif	ba1a550b154cf8e2481ab4226434c46d61d51ac6d3fe9b967f21e35118423851	RG_M012624	bidirectional_edge_pass	newly_deferred
M000980	M011120	AlphaFold	AF-G9NS42-F1	6	6e1e021ba42f8589f67d6b00fa7d7de0bac3907268f52111b6fec8fa89659931	151	87.27794701986757	data/structures/afdb/AF-G9NS42-F1-v6.cif	d01324e073abb2d5cbb5867b856b6a54bc7c39c07221cc8d9c0fa690437c3af6	RG_M000980	bidirectional_edge_pass	restored
M003142	M011151	AlphaFold	AF-G9P869-F1	6	d19d58d066458a6feb4fdf6e38f5ca4b7edd6d5894cf305ff7c7f4087aca5794	118	89.96618644067799	data/structures/afdb/AF-G9P869-F1-v6.cif	e6fbfbfa45721c55092dc0c4e54ce7a20637512c4e403bb00d20b68b22c90815	RG_M003142	bidirectional_edge_pass	restored
M000433	M011361	AlphaFold	AF-J3NJT1-F1	6	1a7d593d3a3afd4bf745332b460d6e15da2a95bf1d3328a86d5caad849a51d2f	117	91.50102564102566	data/structures/afdb/AF-J3NJT1-F1-v6.cif	d86270b464218c16155d0a1a770df3de62852a1e6829693fea174d7cc2da59ac	RG_M000433	bidirectional_edge_pass	restored
M000926	M011904	AlphaFold	AF-M7PEH0-F1	6	90ff4730cf326230a41c27b418c4c43ed3022e8e7e0c74d0843ba8884103f61d	122	89.66877049180329	data/structures/afdb/AF-M7PEH0-F1-v6.cif	a432bd3f51000b320047de482d71266f60993d35fb86994790e2f46da33a4f5d	RG_M000926	bidirectional_edge_pass	restored
M012345	M012042	AlphaFold	AF-Q04305-F1	6	c4214baeff24b16caa93f67de339df82dfa7e06f3ef726aae3a8eba8ef80e8c0	513	86.93637426900584	data/structures/afdb/AF-Q04305-F1-v6.cif	237ee9b4344c61e0708807f8f59dfca5b92ba45af0430ba4fab12e0683c9e4db	RG_M012345	bidirectional_edge_pass	newly_deferred
M015609	M012956	AlphaFold	AF-W3X2C9-F1	6	99576ddd748898457d613152b22d328f0c0f16363e4767c60f827001c63232e8	285	70.5762105263158	data/structures/afdb/AF-W3X2C9-F1-v6.cif	ba45abe3194b8cae216423bd8536df2dd57b4a0590de4b08487f0dad0315277f	RG_M015609	bidirectional_edge_pass	newly_deferred
M013379	M014329	ESMFold	ESM-S36ba0e769d14320a4951b404f6ad7a9d32b007e9b99f3b0080387089b979a1b0-d662a12b8ced	1	36ba0e769d14320a4951b404f6ad7a9d32b007e9b99f3b0080387089b979a1b0	115	91.00260925292969	results/structural_inventory/esmfold-partial-v1/models/ESM-S36ba0e769d14320a4951b404f6ad7a9d32b007e9b99f3b0080387089b979a1b0-d662a12b8ced-v1.cif	e66b4a3ab1d059dc7b635d7ee5c17992dcf0b39adaabd745c47dc6f7ad2fffe1	RG_M013379	bidirectional_edge_pass	restored
M017497	M014577	ESMFold	ESM-S43826db38ac59f8af5551dbdcd81fe050ce958a091d2cb447f0555e4d10a654a-d662a12b8ced	1	43826db38ac59f8af5551dbdcd81fe050ce958a091d2cb447f0555e4d10a654a	117	86.26734161376953	results/structural_inventory/esmfold-partial-v1/models/ESM-S43826db38ac59f8af5551dbdcd81fe050ce958a091d2cb447f0555e4d10a654a-d662a12b8ced-v1.cif	a5944ea5dcfc0bd2abc979e3611d0344c9a8cfd74648b6e4bbb23bf91f699c45	RG_M017497	bidirectional_edge_pass	newly_deferred
M013647	M014675	ESMFold	ESM-S485e7b653bbb7006581b8de12a5549e3a4de7fd0e1764fa6cdb3cd468fb6bef0-d662a12b8ced	1	485e7b653bbb7006581b8de12a5549e3a4de7fd0e1764fa6cdb3cd468fb6bef0	117	89.8619155883789	results/structural_inventory/esmfold-partial-v1/models/ESM-S485e7b653bbb7006581b8de12a5549e3a4de7fd0e1764fa6cdb3cd468fb6bef0-d662a12b8ced-v1.cif	5d3eadc9f10670e30407a074897b5707a97e61827f200873228599ce607f65eb	RG_M013647	bidirectional_edge_pass	restored
M014450	M014956	ESMFold	ESM-S555f2254c50d41d88c84a7502c126b6e14bf5d220e117dcd3e797407ae1ea8ff-d662a12b8ced	1	555f2254c50d41d88c84a7502c126b6e14bf5d220e117dcd3e797407ae1ea8ff	224	79.51372528076172	results/structural_inventory/esmfold-partial-v1/models/ESM-S555f2254c50d41d88c84a7502c126b6e14bf5d220e117dcd3e797407ae1ea8ff-d662a12b8ced-v1.cif	6f8c2c89cefed8441aad5e2fd1cfb0be2dc04a60022ded272b84c75f58434b1f	RG_M014450	bidirectional_edge_pass	newly_deferred
M017489	M014988	ESMFold	ESM-S56e19dd2cc576a8f10c55c974124989d55bd20e9966c0011e3d373ee2d292a68-d662a12b8ced	1	56e19dd2cc576a8f10c55c974124989d55bd20e9966c0011e3d373ee2d292a68	191	82.77173614501953	results/structural_inventory/esmfold-partial-v1/models/ESM-S56e19dd2cc576a8f10c55c974124989d55bd20e9966c0011e3d373ee2d292a68-d662a12b8ced-v1.cif	f2203a8f4dc959325016d9b0b7c45e53488697c74d33bc30f2d97762199efccb	RG_M017489	bidirectional_edge_pass	newly_deferred
M017074	M015463	ESMFold	ESM-S6e5936060ee186dca701fee50f744f877de757176f099e85e566cad69a810113-d662a12b8ced	1	6e5936060ee186dca701fee50f744f877de757176f099e85e566cad69a810113	160	68.89340209960938	results/structural_inventory/esmfold-partial-v1/models/ESM-S6e5936060ee186dca701fee50f744f877de757176f099e85e566cad69a810113-d662a12b8ced-v1.cif	ea97e566f353334dcb618d17889dc92a355ca24af272ebcfa737507e17f4af52	RG_M017074	bidirectional_edge_pass	newly_deferred
M017259	M015721	ESMFold	ESM-S7c135031b1794c9a2c17e6f4079f3bea0519c2965cafc9411fd8c52b27231542-d662a12b8ced	1	7c135031b1794c9a2c17e6f4079f3bea0519c2965cafc9411fd8c52b27231542	257	56.85756301879883	results/structural_inventory/esmfold-partial-v1/models/ESM-S7c135031b1794c9a2c17e6f4079f3bea0519c2965cafc9411fd8c52b27231542-d662a12b8ced-v1.cif	9983b40eacc99c5000c146528390d80c3dad3cdd1634f7abed33e4ccd4065024	RG_M017259	bidirectional_edge_pass	newly_deferred
M013647	M016317	ESMFold	ESM-S99659072693d1f4ee1d75999c7d62c0446e7c96c38eba4806235beb534c0c6c8-d662a12b8ced	1	99659072693d1f4ee1d75999c7d62c0446e7c96c38eba4806235beb534c0c6c8	117	90.45579528808594	results/structural_inventory/esmfold-partial-v1/models/ESM-S99659072693d1f4ee1d75999c7d62c0446e7c96c38eba4806235beb534c0c6c8-d662a12b8ced-v1.cif	bd6f268490be2f730502ad6d13862decb774ebdab2c27efbcf37c015391c1c35	RG_M013647	bidirectional_edge_pass	restored
M014231	M016352	ESMFold	ESM-S9b333955955f81dfad9748c3d696560cb2f98535ed5ec4d9e6901ac0ae54fbd8-d662a12b8ced	1	9b333955955f81dfad9748c3d696560cb2f98535ed5ec4d9e6901ac0ae54fbd8	120	87.03313446044922	results/structural_inventory/esmfold-partial-v1/models/ESM-S9b333955955f81dfad9748c3d696560cb2f98535ed5ec4d9e6901ac0ae54fbd8-d662a12b8ced-v1.cif	7f209ccd28dbfe496d00c28bda1a0109a8e7becd1ca5569a0de8160085f4dc03	RG_M014231	bidirectional_edge_pass	restored
M016664	M016421	ESMFold	ESM-S9e518dbd3a57cd1022afa7a5a506e22e416a00ff22c8f865ab55c9ff63d3178a-d662a12b8ced	1	9e518dbd3a57cd1022afa7a5a506e22e416a00ff22c8f865ab55c9ff63d3178a	146	66.62125396728516	results/structural_inventory/esmfold-partial-v1/models/ESM-S9e518dbd3a57cd1022afa7a5a506e22e416a00ff22c8f865ab55c9ff63d3178a-d662a12b8ced-v1.cif	6c5373ccf21a6b68a36a0e16b925eb06a0a0e54b6c3f0123d37448cc67e811d7	RG_M016664	bidirectional_edge_pass	newly_deferred
M017749	M016480	ESMFold	ESM-Sa16cdfaf198a1cba9d87de57e7b66b6806f29c0d13d07d2fa314b597405793dc-d662a12b8ced	1	a16cdfaf198a1cba9d87de57e7b66b6806f29c0d13d07d2fa314b597405793dc	317	57.94577407836914	results/structural_inventory/esmfold-partial-v1/models/ESM-Sa16cdfaf198a1cba9d87de57e7b66b6806f29c0d13d07d2fa314b597405793dc-d662a12b8ced-v1.cif	b50296297b174b99421b7cf014ee3ae6a2b4c627367e6781e399ce808a8e4b1d	RG_M017749	bidirectional_edge_pass	newly_deferred
M011960	M017179	ESMFold	ESM-Sc64e7d777729700485ebd5c28d24fd0fcb8e2f81ecc8833d046d687ce4f00396-d662a12b8ced	1	c64e7d777729700485ebd5c28d24fd0fcb8e2f81ecc8833d046d687ce4f00396	247	85.11254119873047	results/structural_inventory/esmfold-partial-v1/models/ESM-Sc64e7d777729700485ebd5c28d24fd0fcb8e2f81ecc8833d046d687ce4f00396-d662a12b8ced-v1.cif	e898cb58db24545caa7343ecf807a483c1eca16b7c63214836b23c676cebf316	RG_M011960	bidirectional_edge_pass	newly_deferred
M017013	M017316	ESMFold	ESM-Scd1a5c9a7bf236ac266f9d3d82b2612213602ea923c277de6f4112c923eb3f7e-d662a12b8ced	1	cd1a5c9a7bf236ac266f9d3d82b2612213602ea923c277de6f4112c923eb3f7e	181	88.54528045654297	results/structural_inventory/esmfold-partial-v1/models/ESM-Scd1a5c9a7bf236ac266f9d3d82b2612213602ea923c277de6f4112c923eb3f7e-d662a12b8ced-v1.cif	f72d9a3bd16bd8bb13ed11321925e96be94f836158afacb78d175a18e319c880	RG_M017013	bidirectional_edge_pass	restored
M016323	M017743	ESMFold	ESM-Se5339237ed4821702bf506fa177dfeb8a9bc934fa869525e449b4854da1b80bf-d662a12b8ced	1	e5339237ed4821702bf506fa177dfeb8a9bc934fa869525e449b4854da1b80bf	148	53.6355094909668	results/structural_inventory/esmfold-partial-v1/models/ESM-Se5339237ed4821702bf506fa177dfeb8a9bc934fa869525e449b4854da1b80bf-d662a12b8ced-v1.cif	22420f3763782bba316a6003780691b33e93d1b19297e161a3511aec7d2dd743	RG_M016323	bidirectional_edge_pass	newly_deferred
M015609	M017838	ESMFold	ESM-Se96114afe118fe735a719b772c73a9ec040f8d26c60dcd431a166c41f780d27d-d662a12b8ced	1	e96114afe118fe735a719b772c73a9ec040f8d26c60dcd431a166c41f780d27d	277	85.03730010986328	results/structural_inventory/esmfold-partial-v1/models/ESM-Se96114afe118fe735a719b772c73a9ec040f8d26c60dcd431a166c41f780d27d-d662a12b8ced-v1.cif	680442d6daa5f5567672e6d040e5284a52aae7a304daaca29b6f12042fc4a70f	RG_M015609	bidirectional_edge_pass	newly_deferred
