catalog_source	assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
refseq_fungi	GCF_011074885.1	PRJNA691332	SAMN12257691	na	reference genome	5007	5007	Brettanomyces bruxellensis	strain=UCD 2041	na	latest	Complete Genome	Major	Full	2020-10-30	ASM1107488v2	Australian Wine Research Institute	GCA_011074885.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/885/GCF_011074885.1_ASM1107488v2/	na	na	na	haploid	fungi	13150648	13150648	40.000000	9	9	9	Australian Wine Research Institute	Annotation submitted by Australian Wine Research Institute	2021-09-16	5342	5243	99	32122298
refseq_fungi	GCF_028858645.1	PRJNA1128250	SAMN33211508	JARAAZ000000000.1	reference genome	5016	5016	Bipolaris maydis	strain=C4	na	latest	Scaffold	Major	Full	2023-02-23	CocheC4_6	DOE Joint Genome Institute	GCA_028858645.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/858/645/GCF_028858645.1_CocheC4_6/	na	na	na	haploid	fungi	37785996	37675028	48.500000	0	70	82	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-06-26	11399	11323	75	36883814
refseq_fungi	GCF_022343315.1	PRJNA1128256	SAMN15948182	JACTNS000000000.1	reference genome	5022	5022	Plenodomus lingam	strain=CAN1	na	latest	Scaffold	Major	Full	2022-02-18	CAIQ.LM.1	Chinese Academy of Inspection and Quarantine	GCA_022343315.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/022/343/315/GCF_022343315.1_CAIQ.LM.1/	na	na	na	haploid	fungi	42037832	42037732	45.500000	0	48	49	Chinese Academy of Inspection and Quarantine	Annotation submitted by Chinese Academy of Inspection and Quarantine	2024-06-26	11989	11837	152	na
refseq_fungi	GCF_009017415.1	PRJNA1225730	SAMN12911038	na	reference genome	5059	5059	Aspergillus flavus	strain=NRRL 3357	na	latest	Complete Genome	Major	Full	2019-10-13	ASM901741v1	University of California, Berkeley	GCA_009017415.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/017/415/GCF_009017415.1_ASM901741v1/	na	na	na	haploid	fungi	37749288	37749288	47.500000	8	8	8	University of California, Berkeley	Annotation submitted by University of California, Berkeley	2025-02-19	13956	13707	246	na
refseq_fungi	GCF_000002855.4	PRJNA19263	SAMEA3283178	na	reference genome	5061	5061	Aspergillus niger	na	na	latest	Scaffold	Major	Full	2007-04-11	ASM285v2	DSM, The Netherlands	GCA_000002855.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/855/GCF_000002855.4_ASM285v2/	na	na	na	haploid	fungi	33975768	33930600	50.500000	8	19	469	DSM, The Netherlands	Annotation submitted by DSM, The Netherlands	2025-02-21	14404	14058	329	na
refseq_fungi	GCF_013340325.1	PRJNA645154	SAMD00216538	BLWE00000000.1	reference genome	5068	5068	Aspergillus tubingensis	strain=WU-2223L	na	latest	Scaffold	Major	Full	2020-06-09	ASM1334032v1	Waseda University	GCA_013340325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/013/340/325/GCF_013340325.1_ASM1334032v1/	na	na	na	haploid	fungi	35047229	35047219	49.500000	0	15	16	Waseda University	Annotation submitted by Waseda University	2025-09-16	11809	11476	333	na
refseq_fungi	GCF_028827555.1	PRJNA973687	SAMN30185303	JAPZBP000000000.1	reference genome	5074	5074	Penicillium brevicompactum	strain=IBT 35665	na	latest	Contig	Major	Full	2023-02-23	ASM2882755v1	Aalborg University	GCA_028827555.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/555/GCF_028827555.1_ASM2882755v1/	na	na	na	haploid	fungi	34726155	34726155	49.000000	0	9	9	Aalborg University	GCF_028827555.1-RS_2026_02	2026-02-11	12371	12367	0	36726175
refseq_fungi	GCF_028827035.1	PRJNA973687	SAMN30185319	JAPQKU000000000.1	reference genome	5076	5076	Penicillium chrysogenum	strain=IBT 35668	na	latest	Contig	Major	Full	2023-02-23	ASM2882703v1	Aalborg University	GCA_028827035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/035/GCF_028827035.1_ASM2882703v1/	na	na	na	haploid	fungi	32379777	32379777	49.000000	0	4	4	Aalborg University	GCF_028827035.1-RS_2026_02	2026-02-11	11965	11964	0	36726175
refseq_fungi	GCF_028827155.1	PRJNA973687	SAMN30185321	JAPQKT000000000.1	reference genome	5077	5077	Penicillium citrinum	strain=IBT 23319	na	latest	Contig	Major	Full	2023-02-23	ASM2882715v1	Aalborg University	GCA_028827155.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/827/155/GCF_028827155.1_ASM2882715v1/	na	na	na	haploid	fungi	31396546	31396546	46.500000	0	12	12	Aalborg University	GCF_028827155.1-RS_2026_02	2026-02-11	11657	11657	0	36726175
refseq_fungi	GCF_001561935.1	PRJNA721990	SAMN03860337	LHQR00000000.1	reference genome	5078	5078	Penicillium griseofulvum	strain=PG3	na	latest	Contig	Major	Full	2016-02-16	ASM156193v1	University of Turin	GCA_001561935.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/561/935/GCF_001561935.1_ASM156193v1/	na	na	na	haploid	fungi	29140916	29140916	47.500000	0	92	92	University of Turin	GCF_001561935.1-RS_2026_02	2026-02-11	9628	9628	0	26729047
refseq_fungi	GCF_015533775.1	PRJNA691334	SAMN14669941	JABCSE000000000.1	reference genome	5082	5082	Penicillium roqueforti	strain=LCP96 04111	na	latest	Scaffold	Major	Full	2020-11-17	ASM1553377v1	Utrecht University	GCA_015533775.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/015/533/775/GCF_015533775.1_ASM1553377v1/	na	na	na	haploid	fungi	26941230	26940775	48.500000	0	83	120	Utrecht University	GCF_015533775.1-RS_2026_02	2026-02-11	9809	9780	29	32846509
refseq_fungi	GCF_028828765.1	PRJNA973687	SAMN30185308	JAQJZN000000000.1	reference genome	5083	5083	Penicillium canescens	strain=IBT 15451	na	latest	Contig	Major	Full	2023-02-23	ASM2882876v1	Aalborg University	GCA_028828765.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/828/765/GCF_028828765.1_ASM2882876v1/	na	na	na	haploid	fungi	46284494	46284494	49.000000	0	15	15	Aalborg University	GCF_028828765.1-RS_2026_02	2026-02-11	14211	14184	27	36726175
refseq_fungi	GCF_041956765.1	PRJNA1175695	SAMN39446921	JAZBRV000000000.1	reference genome	5088	5088	Thermoascus crustaceus	strain=CBS 181.67	na	latest	Scaffold	Major	Full	2024-09-16	Thecr1	DOE Joint Genome Institute	GCA_041956765.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/765/GCF_041956765.1_Thecr1/	na	assembly from type material	na	haploid	fungi	31412805	30763865	50.000000	0	35	449	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-10-23	10634	10411	223	39266695
refseq_fungi	GCF_050947815.1	PRJNA1312011	SAMN46249857	JBNNPX000000000.1	reference genome	5128	5128	Fusarium sambucinum	na	potato_lamoka	latest	Complete Genome	Major	Full	2025-06-17	OSU_Fsam_2.1	Oregon State University	GCA_050947815.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/050/947/815/GCF_050947815.1_OSU_Fsam_2.1/	na	na	na	haploid	fungi	38591179	38591179	47.000000	4	4	4	Oregon State University	GCF_050947815.1-RS_2026_05	2026-05-14	13017	13017	0	na
refseq_fungi	GCF_033870435.1	PRJNA1128257	SAMN20088412	na	reference genome	5147	5147	Sordaria macrospora	strain=SN1693	na	latest	Complete Genome	Major	Full	2023-11-21	ASM3387043v1	Ruhr-University Bochum	GCA_033870435.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/033/870/435/GCF_033870435.1_ASM3387043v1/	na	na	na	haploid	fungi	39444728	39444728	52.000000	7	7	7	Ruhr-University Bochum	Annotation submitted by Ruhr-University Bochum	2024-06-26	10804	10309	495	38112417
refseq_fungi	GCF_021052385.1	PRJNA801213	SAMN14510447	JAIFAB000000000.1	reference genome	5210	5210	Filobasidium floriforme	strain=CBS 6241	na	latest	Contig	Major	Full	2021-12-03	Filflo1	DOE Joint Genome Institute	GCA_021052385.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/052/385/GCF_021052385.1_Filflo1/	na	assembly from type material	na	haploid	fungi	27469088	27469088	53.000000	0	42	42	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022-03-14	8420	8301	116	34791213
refseq_fungi	GCF_000328475.2	PRJNA14007	SAMN02900459	AACP00000000.2	reference genome	5270	5270	Mycosarcoma maydis	strain=521	na	latest	Chromosome	Major	Full	2015-02-18	Umaydis521_2.0	Broad Institute	GCA_000328475.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/328/475/GCF_000328475.2_Umaydis521_2.0/	na	assembly designated as neotype	na	haploid	fungi	19664356	19641656	54.000000	23	27	254	Broad Institute	Annotation submitted by Broad Institute	2024-12-03	6907	6762	145	17080091
refseq_fungi	GCF_014466165.1	PRJNA670761	SAMN15594696	JACETU000000000.1	reference genome	5322	5322	Pleurotus ostreatus	strain=PC9	na	latest	Contig	Major	Full	2020-09-03	ASM1446616v1	Academia Sinica	GCA_014466165.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/466/165/GCF_014466165.1_ASM1446616v1/	na	na	na	haploid	fungi	34897228	34897228	51.000000	0	16	16	Academia Sinica	Annotation submitted by Academia Sinica	2023-12-29	11849	11694	155	18248422
refseq_fungi	GCF_021015755.1	PRJNA801212	SAMN08778769	JABWDW000000000.1	reference genome	5353	5353	Lentinula edodes	strain=Le(Bin) 0899 ss11	na	latest	Contig	Major	Full	2021-11-30	Lenedo1	DOE Joint Genome Institute	GCA_021015755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/015/755/GCF_021015755.1_Lenedo1/	na	na	na	haploid	fungi	45594472	45594472	46.000000	0	128	128	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022-01-28	14392	14078	311	na
refseq_fungi	GCF_004011695.2	PRJNA691330	SAMN10613128	na	reference genome	5454	5454	Ascochyta rabiei	na	Me14	latest	Complete Genome	Major	Full	2022-08-25	ASM401169v2	Curtin University	GCA_004011695.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/011/695/GCF_004011695.2_ASM401169v2/	na	na	na	haploid	fungi	40846718	40846718	49.000000	22	22	22	Curtin University	Annotation submitted by Curtin University	2023-09-19	11642	11525	105	32345704
refseq_fungi	GCF_014235925.2	PRJNA670759	SAMN12683944	VUJX00000000.2	reference genome	5467	5467	Colletotrichum truncatum	strain=CMES1059	na	latest	Contig	Major	Full	2024-07-22	CTRU02v2	University of Salamanca	GCA_014235925.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/235/925/GCF_014235925.2_CTRU02v2/	na	na	na	haploid	fungi	57008971	57008971	49.500000	0	22	22	University of Salamanca	Annotation submitted by University of Salamanca	2024-12-07	15733	15733	0	32352862
refseq_fungi	GCF_010111755.1	PRJNA1120907	SAMN13613350	na	reference genome	5478	5478	Nakaseomyces glabratus	strain=ATCC 2001	na	latest	Chromosome	Major	Full	2020-02-03	ASM1011175v1	Johns Hopkins Medical Institution	GCA_010111755.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/010/111/755/GCF_010111755.1_ASM1011175v1/	na	assembly from type material	na	haploid	fungi	12726212	12725212	39.000000	13	13	14	Johns Hopkins Medical Institution	Annotation submitted by Johns Hopkins Medical Institution	2025-07-15	5508	5258	239	32068314
refseq_fungi	GCF_000182765.1	PRJNA12179	na	na	reference genome	5480	5480	Lodderomyces parapsilosis	strain=CDC317	na	latest	Contig	Major	Full	2011-10-26	ASM18276v2	Wellcome Trust Sanger Institute	GCA_000182765.2	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/182/765/GCF_000182765.1_ASM18276v2/	na	na	na	haploid	fungi	12998393	12998393	38.500000	0	8	8	Wellcome Trust Sanger Institute	GCF_000182765.1-RS_2026_03	2026-03-04	5950	5827	97	7521869;7545927;7715605;11071936;11923346;15133118;15449175;15657051
refseq_fungi	GCF_008704595.1	PRJNA629604	SAMN11490865	SWFT00000000.1	reference genome	5481	5481	Diutina rugosa	strain=CBS 613	na	latest	Scaffold	Major	Full	2019-09-26	ASM870459v1	Centre for Genomic Regulation	GCA_008704595.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/008/704/595/GCF_008704595.1_ASM870459v1/	na	assembly from type material	na	haploid	fungi	13445959	13433795	49.500000	0	169	328	Centre for Genomic Regulation	GCF_008704595.1-RS_2026_03	2026-03-04	5819	5815	0	31575637
refseq_fungi	GCF_020509005.1	PRJNA801200	SAMN12769558	na	reference genome	5499	5499	Fulvia fulva	strain=Race5_Kim	na	latest	Complete Genome	Major	Full	2022-01-24	Cfulv_R5_v5	University of California	GCA_020509005.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/020/509/005/GCF_020509005.1_Cfulv_R5_v5/	na	na	na	haploid	fungi	67169167	67169167	49.000000	14	14	14	University of California	Annotation submitted by University of California	2023-09-11	14993	14993	0	35471194
refseq_fungi	GCF_041956635.1	PRJNA1175693	SAMN39447025	JAZGRO000000000.1	reference genome	5541	5541	Thermomyces lanuginosus	strain=ATCC 200065	na	latest	Scaffold	Major	Full	2024-09-16	Thela1	DOE Joint Genome Institute	GCA_041956635.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/635/GCF_041956635.1_Thela1/	na	na	na	haploid	fungi	19915574	19461585	52.000000	0	49	385	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-10-23	8214	8117	96	39266695
refseq_fungi	GCF_001642055.1	PRJNA342680	SAMN02745592	LXPP00000000.1	reference genome	5599	5599	Alternaria alternata	strain=SRC1lrK2f	na	latest	Scaffold	Major	Full	2016-05-11	Altal1	DOE Joint Genome Institute	GCA_001642055.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/642/055/GCF_001642055.1_Altal1/	na	na	na	haploid	fungi	32990834	32986874	51.500000	0	79	91	NCBI RefSeq	Annotation submitted by NCBI RefSeq	2016-09-26	13577	13466	106	na
refseq_fungi	GCF_036630325.1	PRJNA1105965	SAMN32066506	na	reference genome	6039	6039	Vairimorpha necatrix	na	Illinois isolate	latest	Complete Genome	Major	Full	2024-02-15	ASM3663032v1	Umea University	GCA_036630325.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/630/325/GCF_036630325.1_ASM3663032v1/	na	na	na	haploid	fungi	15005441	15005441	28.500000	12	12	12	Umea University	Annotation submitted by Umea University	2024-05-23	3214	3079	135	38166563
refseq_fungi	GCF_011074865.1	PRJNA691332	SAMN12257692	na	reference genome	13502	13502	Brettanomyces nanus	strain=CBS 1945	na	latest	Complete Genome	Major	Full	2020-12-03	ASM1107486v2	Australian Wine Research Institute	GCA_011074865.2	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/074/865/GCF_011074865.1_ASM1107486v2/	na	assembly from type material	na	haploid	fungi	10117252	10117252	41.500000	4	4	4	Australian Wine Research Institute	Annotation submitted by Australian Wine Research Institute	2021-02-13	4823	4711	112	na
refseq_fungi	GCF_000237345.1	PRJNA79343	SAMEA2271985	na	reference genome	27288	27288	Naumovozyma castellii	strain=type strain:CBS 4309	na	latest	Chromosome	Major	Full	2011-08-01	ASM23734v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	GCA_000237345.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/345/GCF_000237345.1_ASM23734v1/	na	assembly from type material	na	haploid	fungi	11219539	11219419	37.000000	10	10	17	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin	2025-07-15	5867	5589	278	22123960
refseq_fungi	GCF_002079055.1	PRJNA625777	SAMEA2757769	na	reference genome	27291	27291	Saccharomyces paradoxus	strain=CBS432	na	latest	Chromosome	Major	Full	2017-03-21	ASM207905v1	SC	GCA_002079055.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/079/055/GCF_002079055.1_ASM207905v1/	na	assembly designated as neotype	na	haploid	fungi	12021328	12003971	38.500000	16	16	17	SC	Annotation submitted by SC	2025-07-15	5840	5538	302	22830625;28416820
refseq_fungi	GCF_000769745.1	PRJNA319326	SAMN02928573	JQFZ00000000.1	reference genome	27334	27334	Penicillium expansum	strain=MD-8	na	latest	Contig	Major	Full	2014-10-28	ASM76974v1	Center for Genomic Regulation (CRG)	GCA_000769745.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/745/GCF_000769745.1_ASM76974v1/	na	na	na	haploid	fungi	32356048	32356048	47.500000	0	382	382	Center for Genomic Regulation (CRG)	GCF_000769745.1-RS_2026_02	2026-02-11	11058	11058	0	25338147
refseq_fungi	GCF_030867785.1	PRJNA1032067	SAMN05442906	JAHMHS000000000.1	reference genome	27357	27357	Colletotrichum acutatum	strain=CBS 112980	na	latest	Contig	Major	Full	2023-08-24	Colac2	DOE Joint Genome Institute	GCA_030867785.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/030/867/785/GCF_030867785.1_Colac2/	na	na	na	haploid	fungi	49057477	49057477	52.000000	0	389	389	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2023-10-30	15371	15032	334	na
refseq_fungi	GCF_900007245.1	PRJNA1073845	SAMEA3494976	CXVZ00000000.1	reference genome	28549	28549	Priceomyces carsonii	strain=CBS4050	na	latest	Scaffold	Major	Full	2023-06-12	AQF_AC_PRJEB9495_v1	Genoscope CEA	GCA_900007245.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/007/245/GCF_900007245.1_AQF_AC_PRJEB9495_v1/	na	na	na	haploid	fungi	11764505	11666631	37.000000	0	10	130	Genoscope CEA	Annotation submitted by Genoscope CEA	2024-02-07	6179	6179	0	na
refseq_fungi	GCF_041956625.1	PRJNA1175692	SAMN39447024	JAZGTC000000000.1	reference genome	28565	28565	Thermomyces dupontii	strain=NRRL 2155	na	latest	Scaffold	Major	Full	2024-09-16	Talth1	DOE Joint Genome Institute	GCA_041956625.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/625/GCF_041956625.1_Talth1/	na	assembly from type material	na	haploid	fungi	19833760	19807748	53.000000	0	28	54	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-10-23	7652	7558	93	39266695
refseq_fungi	GCF_000002515.2	PRJNA12377	SAMEA3138170	na	reference genome	28985	28985	Kluyveromyces lactis	strain=NRRL Y-1140	na	latest	Complete Genome	Major	Full	2004-07-02	ASM251v1	Genolevures Consortium	GCA_000002515.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/515/GCF_000002515.2_ASM251v1/	na	na	na	haploid	fungi	10689156	10689156	39.000000	6	6	6	Genolevures Consortium	Annotation submitted by Genolevures Consortium	2025-07-15	5335	5084	251	15229592;15691736
refseq_fungi	GCF_028829585.1	PRJNA973687	SAMN30185383	JAQKAQ000000000.1	reference genome	29845	29845	Penicillium vulpinum	strain=IBT 29486	na	latest	Contig	Major	Full	2023-02-23	ASM2882958v1	Aalborg University	GCA_028829585.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/829/585/GCF_028829585.1_ASM2882958v1/	na	na	na	haploid	fungi	31511571	31511571	47.500000	0	6	6	Aalborg University	GCF_028829585.1-RS_2026_02	2026-02-11	11510	11510	0	36726175
refseq_fungi	GCF_051309035.1	PRJNA1312015	SAMN05446639	JBAJAC000000000.1	reference genome	29902	29902	Mrakia frigida	strain=ATCC 22029	na	latest	Scaffold	Major	Full	2025-05-07	Mrafri1	DOE Joint Genome Institute	GCA_051309035.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/051/309/035/GCF_051309035.1_Mrafri1/	na	assembly from type material	na	haploid	fungi	28159101	28045954	54.500000	0	118	220	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2025-08-31	9618	9508	109	na
refseq_fungi	GCF_025094135.1	PRJNA895885	SAMN10864749	JALPTJ000000000.1	reference genome	29922	29922	Mucor mucedo	strain=NRRL 3635	na	latest	Contig	Major	Full	2022-09-08	Mucmuc1	DOE Joint Genome Institute	GCA_025094135.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/094/135/GCF_025094135.1_Mucmuc1/	na	na	na	haploid	fungi	46086937	46086937	36.500000	0	455	455	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2022-11-01	14226	14042	183	35996588
