source	policy	marker	original_eligible_taxa	retained_eligible_taxa	passes_four_taxon_gate
AlphaFold	full_frozen_panel	4987397at2759	108	108	True
AlphaFold	full_frozen_panel	4988239at2759	107	107	True
AlphaFold	full_frozen_panel	5000045at2759	116	116	True
AlphaFold	full_frozen_panel	5000152at2759	109	109	True
AlphaFold	full_frozen_panel	5000362at2759	113	113	True
AlphaFold	full_frozen_panel	5000371at2759	102	102	True
AlphaFold	full_frozen_panel	5000452at2759	107	107	True
AlphaFold	full_frozen_panel	5000476at2759	119	119	True
AlphaFold	full_frozen_panel	5000743at2759	113	113	True
AlphaFold	full_frozen_panel	5000823at2759	114	114	True
AlphaFold	full_frozen_panel	5000870at2759	114	114	True
AlphaFold	full_frozen_panel	5000986at2759	102	102	True
AlphaFold	full_frozen_panel	5001156at2759	106	106	True
AlphaFold	full_frozen_panel	5001273at2759	114	114	True
AlphaFold	full_frozen_panel	5001280at2759	111	111	True
AlphaFold	full_frozen_panel	5001318at2759	97	97	True
AlphaFold	full_frozen_panel	5001413at2759	118	118	True
AlphaFold	full_frozen_panel	5001473at2759	119	119	True
AlphaFold	full_frozen_panel	5001660at2759	113	113	True
AlphaFold	full_frozen_panel	5001734at2759	107	107	True
AlphaFold	full_frozen_panel	5001941at2759	103	103	True
AlphaFold	full_frozen_panel	5002334at2759	105	105	True
AlphaFold	full_frozen_panel	5002573at2759	105	105	True
AlphaFold	full_frozen_panel	5003022at2759	108	108	True
AlphaFold	full_frozen_panel	5003192at2759	110	110	True
AlphaFold	full_frozen_panel	5003205at2759	5	5	True
AlphaFold	full_frozen_panel	5003856at2759	111	111	True
AlphaFold	full_frozen_panel	5003972at2759	103	103	True
AlphaFold	full_frozen_panel	5004118at2759	111	111	True
AlphaFold	full_frozen_panel	5004265at2759	111	111	True
AlphaFold	full_frozen_panel	5004327at2759	96	96	True
AlphaFold	full_frozen_panel	5004391at2759	94	94	True
AlphaFold	full_frozen_panel	5004478at2759	113	113	True
AlphaFold	full_frozen_panel	5004599at2759	114	114	True
AlphaFold	full_frozen_panel	5005010at2759	125	125	True
AlphaFold	full_frozen_panel	5005174at2759	120	120	True
AlphaFold	full_frozen_panel	5005196at2759	113	113	True
AlphaFold	full_frozen_panel	5005215at2759	107	107	True
AlphaFold	full_frozen_panel	5005217at2759	113	113	True
AlphaFold	full_frozen_panel	5005274at2759	111	111	True
AlphaFold	full_frozen_panel	5005697at2759	111	111	True
AlphaFold	full_frozen_panel	5005750at2759	119	119	True
AlphaFold	full_frozen_panel	5005892at2759	107	107	True
AlphaFold	full_frozen_panel	5006326at2759	108	108	True
AlphaFold	full_frozen_panel	5006412at2759	101	101	True
AlphaFold	full_frozen_panel	5011777at2759	100	100	True
AlphaFold	full_frozen_panel	5013042at2759	103	103	True
AlphaFold	full_frozen_panel	5013067at2759	124	124	True
AlphaFold	full_frozen_panel	5013259at2759	115	115	True
AlphaFold	full_frozen_panel	5013539at2759	113	113	True
AlphaFold	full_frozen_panel	5013726at2759	118	118	True
AlphaFold	full_frozen_panel	5013738at2759	125	125	True
AlphaFold	full_frozen_panel	5013992at2759	101	101	True
AlphaFold	full_frozen_panel	5014007at2759	99	99	True
AlphaFold	full_frozen_panel	5015403at2759	110	110	True
AlphaFold	full_frozen_panel	5015647at2759	107	107	True
AlphaFold	full_frozen_panel	5015712at2759	105	105	True
AlphaFold	full_frozen_panel	5015742at2759	110	110	True
AlphaFold	full_frozen_panel	5015876at2759	114	114	True
AlphaFold	full_frozen_panel	5017019at2759	113	113	True
AlphaFold	full_frozen_panel	5018803at2759	103	103	True
AlphaFold	full_frozen_panel	529759at2759	132	132	True
AlphaFold	full_frozen_panel	530014at2759	112	112	True
AlphaFold	full_frozen_panel	530740at2759	91	91	True
AlphaFold	full_frozen_panel	538728at2759	112	112	True
AlphaFold	full_frozen_panel	538952at2759	103	103	True
AlphaFold	full_frozen_panel	539632at2759	123	123	True
AlphaFold	full_frozen_panel	540946at2759	104	104	True
AlphaFold	full_frozen_panel	541070at2759	111	111	True
AlphaFold	full_frozen_panel	554735at2759	113	113	True
AlphaFold	full_frozen_panel	649304at2759	110	110	True
AlphaFold	full_frozen_panel	707076at2759	117	117	True
AlphaFold	full_frozen_panel	707202at2759	116	116	True
AlphaFold	full_frozen_panel	727964at2759	108	108	True
AlphaFold	full_frozen_panel	730114at2759	110	110	True
AlphaFold	full_frozen_panel	760428at2759	114	114	True
AlphaFold	full_frozen_panel	776280at2759	106	106	True
AlphaFold	full_frozen_panel	801816at2759	111	111	True
AlphaFold	exclude_curated_hybrids	115730at2759	119	118	True
AlphaFold	exclude_curated_hybrids	129234at2759	124	122	True
AlphaFold	exclude_curated_hybrids	160487at2759	84	84	True
AlphaFold	exclude_curated_hybrids	201273at2759	114	114	True
AlphaFold	exclude_curated_hybrids	207567at2759	121	121	True
AlphaFold	exclude_curated_hybrids	260326at2759	135	135	True
AlphaFold	exclude_curated_hybrids	2852757at2759	101	101	True
AlphaFold	exclude_curated_hybrids	288615at2759	117	117	True
AlphaFold	exclude_curated_hybrids	319730at2759	113	112	True
AlphaFold	exclude_curated_hybrids	340246at2759	98	97	True
AlphaFold	exclude_curated_hybrids	345792at2759	113	113	True
AlphaFold	exclude_curated_hybrids	352891at2759	111	111	True
AlphaFold	exclude_curated_hybrids	3643464at2759	101	100	True
AlphaFold	exclude_curated_hybrids	4613677at2759	98	98	True
AlphaFold	exclude_curated_hybrids	4695236at2759	107	106	True
AlphaFold	exclude_curated_hybrids	4747214at2759	119	119	True
AlphaFold	exclude_curated_hybrids	4764044at2759	112	111	True
AlphaFold	exclude_curated_hybrids	4803900at2759	94	94	True
AlphaFold	exclude_curated_hybrids	4810093at2759	88	87	True
AlphaFold	exclude_curated_hybrids	4813267at2759	102	101	True
AlphaFold	exclude_curated_hybrids	4823929at2759	108	108	True
AlphaFold	exclude_curated_hybrids	4837017at2759	108	108	True
AlphaFold	exclude_curated_hybrids	4838864at2759	110	110	True
AlphaFold	exclude_curated_hybrids	4843240at2759	105	105	True
AlphaFold	exclude_curated_hybrids	4843824at2759	111	111	True
AlphaFold	exclude_curated_hybrids	4867008at2759	117	117	True
AlphaFold	exclude_curated_hybrids	4888252at2759	102	102	True
AlphaFold	exclude_curated_hybrids	4896098at2759	114	114	True
AlphaFold	exclude_curated_hybrids	4900375at2759	114	114	True
AlphaFold	exclude_curated_hybrids	4908955at2759	117	116	True
AlphaFold	exclude_curated_hybrids	4911644at2759	103	103	True
AlphaFold	exclude_curated_hybrids	4940884at2759	97	97	True
AlphaFold	exclude_curated_hybrids	4969018at2759	118	117	True
AlphaFold	exclude_curated_hybrids	4969636at2759	114	114	True
AlphaFold	exclude_curated_hybrids	4969990at2759	127	127	True
AlphaFold	exclude_curated_hybrids	4970387at2759	111	111	True
AlphaFold	exclude_curated_hybrids	4970538at2759	119	118	True
AlphaFold	exclude_curated_hybrids	4971272at2759	116	115	True
AlphaFold	exclude_curated_hybrids	4974767at2759	109	108	True
AlphaFold	exclude_curated_hybrids	4975094at2759	111	110	True
AlphaFold	exclude_curated_hybrids	4976279at2759	109	109	True
AlphaFold	exclude_curated_hybrids	4977163at2759	107	107	True
AlphaFold	exclude_curated_hybrids	4977863at2759	107	107	True
AlphaFold	exclude_curated_hybrids	4983000at2759	120	120	True
AlphaFold	exclude_curated_hybrids	4985971at2759	118	118	True
AlphaFold	exclude_curated_hybrids	4986044at2759	116	116	True
AlphaFold	exclude_curated_hybrids	4987397at2759	108	107	True
AlphaFold	exclude_curated_hybrids	4988239at2759	107	107	True
AlphaFold	exclude_curated_hybrids	5000045at2759	116	116	True
AlphaFold	exclude_curated_hybrids	5000152at2759	109	109	True
AlphaFold	exclude_curated_hybrids	5000362at2759	113	113	True
AlphaFold	exclude_curated_hybrids	5000371at2759	102	102	True
AlphaFold	exclude_curated_hybrids	5000452at2759	107	107	True
AlphaFold	exclude_curated_hybrids	5000476at2759	119	119	True
AlphaFold	exclude_curated_hybrids	5000743at2759	113	113	True
AlphaFold	exclude_curated_hybrids	5000823at2759	114	113	True
AlphaFold	exclude_curated_hybrids	5000870at2759	114	114	True
AlphaFold	exclude_curated_hybrids	5000986at2759	102	102	True
AlphaFold	exclude_curated_hybrids	5001156at2759	106	105	True
AlphaFold	exclude_curated_hybrids	5001273at2759	114	113	True
AlphaFold	exclude_curated_hybrids	5001280at2759	111	110	True
AlphaFold	exclude_curated_hybrids	5001318at2759	97	97	True
AlphaFold	exclude_curated_hybrids	5001413at2759	118	117	True
AlphaFold	exclude_curated_hybrids	5001473at2759	119	118	True
AlphaFold	exclude_curated_hybrids	5001660at2759	113	112	True
AlphaFold	exclude_curated_hybrids	5001734at2759	107	107	True
AlphaFold	exclude_curated_hybrids	5001941at2759	103	101	True
AlphaFold	exclude_curated_hybrids	5002334at2759	105	105	True
AlphaFold	exclude_curated_hybrids	5002573at2759	105	105	True
AlphaFold	exclude_curated_hybrids	5003022at2759	108	108	True
AlphaFold	exclude_curated_hybrids	5003192at2759	110	110	True
AlphaFold	exclude_curated_hybrids	5003205at2759	5	5	True
AlphaFold	exclude_curated_hybrids	5003856at2759	111	111	True
AlphaFold	exclude_curated_hybrids	5003972at2759	103	103	True
AlphaFold	exclude_curated_hybrids	5004118at2759	111	110	True
AlphaFold	exclude_curated_hybrids	5004265at2759	111	110	True
AlphaFold	exclude_curated_hybrids	5004327at2759	96	96	True
AlphaFold	exclude_curated_hybrids	5004391at2759	94	93	True
AlphaFold	exclude_curated_hybrids	5004478at2759	113	113	True
AlphaFold	exclude_curated_hybrids	5004599at2759	114	113	True
AlphaFold	exclude_curated_hybrids	5005010at2759	125	124	True
AlphaFold	exclude_curated_hybrids	5005174at2759	120	119	True
AlphaFold	exclude_curated_hybrids	5005196at2759	113	111	True
AlphaFold	exclude_curated_hybrids	5005215at2759	107	106	True
AlphaFold	exclude_curated_hybrids	5005217at2759	113	113	True
AlphaFold	exclude_curated_hybrids	5005274at2759	111	110	True
AlphaFold	exclude_curated_hybrids	5005697at2759	111	110	True
AlphaFold	exclude_curated_hybrids	5005750at2759	119	119	True
AlphaFold	exclude_curated_hybrids	5005892at2759	107	107	True
AlphaFold	exclude_curated_hybrids	5006326at2759	108	108	True
AlphaFold	exclude_curated_hybrids	5006412at2759	101	101	True
AlphaFold	exclude_curated_hybrids	5011777at2759	100	99	True
AlphaFold	exclude_curated_hybrids	5013042at2759	103	103	True
AlphaFold	exclude_curated_hybrids	5013067at2759	124	123	True
AlphaFold	exclude_curated_hybrids	5013259at2759	115	114	True
AlphaFold	exclude_curated_hybrids	5013539at2759	113	113	True
AlphaFold	exclude_curated_hybrids	5013726at2759	118	118	True
AlphaFold	exclude_curated_hybrids	5013738at2759	125	125	True
AlphaFold	exclude_curated_hybrids	5013992at2759	101	100	True
AlphaFold	exclude_curated_hybrids	5014007at2759	99	99	True
AlphaFold	exclude_curated_hybrids	5015403at2759	110	110	True
AlphaFold	exclude_curated_hybrids	5015647at2759	107	106	True
AlphaFold	exclude_curated_hybrids	5015712at2759	105	105	True
AlphaFold	exclude_curated_hybrids	5015742at2759	110	109	True
AlphaFold	exclude_curated_hybrids	5015876at2759	114	114	True
AlphaFold	exclude_curated_hybrids	5017019at2759	113	112	True
AlphaFold	exclude_curated_hybrids	5018803at2759	103	101	True
AlphaFold	exclude_curated_hybrids	529759at2759	132	132	True
AlphaFold	exclude_curated_hybrids	530014at2759	112	110	True
AlphaFold	exclude_curated_hybrids	530740at2759	91	90	True
AlphaFold	exclude_curated_hybrids	538728at2759	112	111	True
AlphaFold	exclude_curated_hybrids	538952at2759	103	103	True
AlphaFold	exclude_curated_hybrids	539632at2759	123	123	True
AlphaFold	exclude_curated_hybrids	540946at2759	104	104	True
AlphaFold	exclude_curated_hybrids	541070at2759	111	111	True
AlphaFold	exclude_curated_hybrids	554735at2759	113	113	True
AlphaFold	exclude_curated_hybrids	649304at2759	110	109	True
AlphaFold	exclude_curated_hybrids	707076at2759	117	115	True
AlphaFold	exclude_curated_hybrids	707202at2759	116	116	True
AlphaFold	exclude_curated_hybrids	727964at2759	108	108	True
AlphaFold	exclude_curated_hybrids	730114at2759	110	110	True
AlphaFold	exclude_curated_hybrids	760428at2759	114	113	True
AlphaFold	exclude_curated_hybrids	776280at2759	106	105	True
AlphaFold	exclude_curated_hybrids	801816at2759	111	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	115730at2759	119	118	True
AlphaFold	exclude_hybrids_and_uncertain_labels	129234at2759	124	122	True
AlphaFold	exclude_hybrids_and_uncertain_labels	160487at2759	84	84	True
AlphaFold	exclude_hybrids_and_uncertain_labels	201273at2759	114	114	True
AlphaFold	exclude_hybrids_and_uncertain_labels	207567at2759	121	121	True
AlphaFold	exclude_hybrids_and_uncertain_labels	260326at2759	135	135	True
AlphaFold	exclude_hybrids_and_uncertain_labels	2852757at2759	101	101	True
AlphaFold	exclude_hybrids_and_uncertain_labels	288615at2759	117	117	True
AlphaFold	exclude_hybrids_and_uncertain_labels	319730at2759	113	112	True
AlphaFold	exclude_hybrids_and_uncertain_labels	340246at2759	98	97	True
AlphaFold	exclude_hybrids_and_uncertain_labels	345792at2759	113	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	352891at2759	111	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	3643464at2759	101	100	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4613677at2759	98	98	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4695236at2759	107	106	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4747214at2759	119	119	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4764044at2759	112	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4803900at2759	94	94	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4810093at2759	88	87	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4813267at2759	102	101	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4823929at2759	108	108	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4837017at2759	108	108	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4838864at2759	110	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4843240at2759	105	105	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4843824at2759	111	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4867008at2759	117	117	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4888252at2759	102	102	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4896098at2759	114	114	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4900375at2759	114	114	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4908955at2759	117	116	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4911644at2759	103	103	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4940884at2759	97	97	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4969018at2759	118	117	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4969636at2759	114	114	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4969990at2759	127	127	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4970387at2759	111	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4970538at2759	119	118	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4971272at2759	116	115	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4974767at2759	109	108	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4975094at2759	111	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4976279at2759	109	109	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4977163at2759	107	107	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4977863at2759	107	107	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4983000at2759	120	120	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4985971at2759	118	118	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4986044at2759	116	116	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4987397at2759	108	107	True
AlphaFold	exclude_hybrids_and_uncertain_labels	4988239at2759	107	107	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000045at2759	116	116	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000152at2759	109	109	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000362at2759	113	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000371at2759	102	102	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000452at2759	107	107	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000476at2759	119	119	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000743at2759	113	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000823at2759	114	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000870at2759	114	114	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5000986at2759	102	102	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001156at2759	106	105	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001273at2759	114	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001280at2759	111	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001318at2759	97	97	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001413at2759	118	117	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001473at2759	119	118	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001660at2759	113	112	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001734at2759	107	107	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5001941at2759	103	101	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5002334at2759	105	105	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5002573at2759	105	105	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5003022at2759	108	108	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5003192at2759	110	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5003205at2759	5	5	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5003856at2759	111	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5003972at2759	103	103	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5004118at2759	111	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5004265at2759	111	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5004327at2759	96	96	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5004391at2759	94	93	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5004478at2759	113	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5004599at2759	114	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005010at2759	125	124	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005174at2759	120	119	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005196at2759	113	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005215at2759	107	106	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005217at2759	113	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005274at2759	111	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005697at2759	111	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005750at2759	119	119	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5005892at2759	107	107	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5006326at2759	108	108	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5006412at2759	101	101	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5011777at2759	100	99	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5013042at2759	103	103	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5013067at2759	124	123	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5013259at2759	115	114	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5013539at2759	113	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5013726at2759	118	118	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5013738at2759	125	125	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5013992at2759	101	100	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5014007at2759	99	99	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5015403at2759	110	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5015647at2759	107	106	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5015712at2759	105	105	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5015742at2759	110	109	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5015876at2759	114	114	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5017019at2759	113	112	True
AlphaFold	exclude_hybrids_and_uncertain_labels	5018803at2759	103	101	True
AlphaFold	exclude_hybrids_and_uncertain_labels	529759at2759	132	132	True
AlphaFold	exclude_hybrids_and_uncertain_labels	530014at2759	112	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	530740at2759	91	90	True
AlphaFold	exclude_hybrids_and_uncertain_labels	538728at2759	112	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	538952at2759	103	103	True
AlphaFold	exclude_hybrids_and_uncertain_labels	539632at2759	123	123	True
AlphaFold	exclude_hybrids_and_uncertain_labels	540946at2759	104	104	True
AlphaFold	exclude_hybrids_and_uncertain_labels	541070at2759	111	111	True
AlphaFold	exclude_hybrids_and_uncertain_labels	554735at2759	113	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	649304at2759	110	109	True
AlphaFold	exclude_hybrids_and_uncertain_labels	707076at2759	117	115	True
AlphaFold	exclude_hybrids_and_uncertain_labels	707202at2759	116	116	True
AlphaFold	exclude_hybrids_and_uncertain_labels	727964at2759	108	108	True
AlphaFold	exclude_hybrids_and_uncertain_labels	730114at2759	110	110	True
AlphaFold	exclude_hybrids_and_uncertain_labels	760428at2759	114	113	True
AlphaFold	exclude_hybrids_and_uncertain_labels	776280at2759	106	105	True
AlphaFold	exclude_hybrids_and_uncertain_labels	801816at2759	111	111	True
ESMFold	full_frozen_panel	115730at2759	15	15	True
ESMFold	full_frozen_panel	129234at2759	154	154	True
ESMFold	full_frozen_panel	201273at2759	71	71	True
ESMFold	full_frozen_panel	207567at2759	134	134	True
ESMFold	full_frozen_panel	260326at2759	135	135	True
ESMFold	full_frozen_panel	319730at2759	10	10	True
ESMFold	full_frozen_panel	345792at2759	42	42	True
ESMFold	full_frozen_panel	352891at2759	95	95	True
ESMFold	full_frozen_panel	4613677at2759	140	140	True
ESMFold	full_frozen_panel	4747214at2759	118	118	True
ESMFold	full_frozen_panel	4803900at2759	137	137	True
ESMFold	full_frozen_panel	4823929at2759	12	12	True
ESMFold	full_frozen_panel	4837017at2759	146	146	True
ESMFold	full_frozen_panel	4843824at2759	124	124	True
ESMFold	full_frozen_panel	4867008at2759	133	133	True
ESMFold	full_frozen_panel	4896098at2759	116	116	True
ESMFold	full_frozen_panel	4900375at2759	138	138	True
ESMFold	full_frozen_panel	4908955at2759	24	24	True
ESMFold	full_frozen_panel	4969018at2759	8	8	True
ESMFold	full_frozen_panel	4969636at2759	13	13	True
ESMFold	full_frozen_panel	4969990at2759	9	9	True
ESMFold	full_frozen_panel	4970387at2759	135	135	True
ESMFold	full_frozen_panel	4971272at2759	6	6	True
ESMFold	full_frozen_panel	4974767at2759	24	24	True
ESMFold	full_frozen_panel	4976279at2759	11	11	True
ESMFold	full_frozen_panel	4977163at2759	144	144	True
ESMFold	full_frozen_panel	4985971at2759	16	16	True
ESMFold	full_frozen_panel	5000045at2759	16	16	True
ESMFold	full_frozen_panel	5000371at2759	15	15	True
ESMFold	full_frozen_panel	5000452at2759	47	47	True
ESMFold	full_frozen_panel	5000476at2759	10	10	True
ESMFold	full_frozen_panel	5000743at2759	158	158	True
ESMFold	full_frozen_panel	5001156at2759	15	15	True
ESMFold	full_frozen_panel	5001273at2759	141	141	True
ESMFold	full_frozen_panel	5001318at2759	13	13	True
ESMFold	full_frozen_panel	5001413at2759	72	72	True
ESMFold	full_frozen_panel	5001473at2759	121	121	True
ESMFold	full_frozen_panel	5001734at2759	120	120	True
ESMFold	full_frozen_panel	5002334at2759	19	19	True
ESMFold	full_frozen_panel	5002573at2759	11	11	True
ESMFold	full_frozen_panel	5003856at2759	35	35	True
ESMFold	full_frozen_panel	5003972at2759	78	78	True
ESMFold	full_frozen_panel	5004118at2759	17	17	True
ESMFold	full_frozen_panel	5004478at2759	6	6	True
ESMFold	full_frozen_panel	5005010at2759	145	145	True
ESMFold	full_frozen_panel	5005174at2759	102	102	True
ESMFold	full_frozen_panel	5005196at2759	9	9	True
ESMFold	full_frozen_panel	5005274at2759	18	18	True
ESMFold	full_frozen_panel	5005750at2759	134	134	True
ESMFold	full_frozen_panel	5005892at2759	13	13	True
ESMFold	full_frozen_panel	5013042at2759	7	7	True
ESMFold	full_frozen_panel	5013067at2759	17	17	True
ESMFold	full_frozen_panel	5013259at2759	123	123	True
ESMFold	full_frozen_panel	5013539at2759	51	51	True
ESMFold	full_frozen_panel	5013726at2759	136	136	True
ESMFold	full_frozen_panel	5013738at2759	136	136	True
ESMFold	full_frozen_panel	5015403at2759	13	13	True
