case_id	taxa	nucleotide_columns	distinct_aligned_sequences	variable_nucleotide_columns	parsimony_informative_nucleotide_columns	marker_copy_caveat	status
Aspergillus__319730at2759__code1	10	1341	10	596	496	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__319730at2759__code1	9	1338	9	259	137	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__319730at2759__code1	9	1329	9	307	233	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__319730at2759__code1	9	1341	9	345	256	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__319730at2759__code1	7	1350	7	356	196	none_recorded	ready_for_supported_tree_diagnostic
Candida__319730at2759__code12	4	1335	4	275	76	none_recorded	ready_for_supported_tree_diagnostic
Amanita__319730at2759__code1	7	1305	7	552	307	none_recorded	ready_for_supported_tree_diagnostic
Suillus__319730at2759__code1	10	1341	10	329	110	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__319730at2759__code1	5	1344	5	466	181	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__319730at2759__code1	4	1329	4	159	16	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__319730at2759__code1	5	1344	4	288	51	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__319730at2759__code1	10	1338	10	491	297	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__319730at2759__code1	4	1164	4	769	95	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__319730at2759__code1	4	1269	4	329	73	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__340246at2759__code1	10	2052	9	962	756	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__340246at2759__code1	10	2085	10	628	436	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__340246at2759__code1	10	2073	10	671	549	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__340246at2759__code1	9	2067	9	625	412	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__340246at2759__code1	7	1965	7	597	344	none_recorded	ready_for_supported_tree_diagnostic
Amanita__340246at2759__code1	4	1878	4	848	216	none_recorded	ready_for_supported_tree_diagnostic
Suillus__340246at2759__code1	9	2004	9	452	177	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__340246at2759__code1	4	1857	4	1076	141	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__340246at2759__code1	5	1989	5	1010	396	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__340246at2759__code1	4	1986	4	346	24	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__340246at2759__code1	4	1962	4	578	139	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__340246at2759__code1	10	2007	10	837	553	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__340246at2759__code1	4	1944	4	830	280	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__340246at2759__code1	4	1857	4	599	138	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__345792at2759__code1	10	870	9	279	198	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__345792at2759__code1	10	897	10	202	146	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__345792at2759__code1	10	894	9	154	123	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__345792at2759__code1	10	885	10	168	105	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__345792at2759__code1	7	894	7	171	88	none_recorded	ready_for_supported_tree_diagnostic
Candida__345792at2759__code12	4	840	4	130	41	none_recorded	ready_for_supported_tree_diagnostic
Amanita__345792at2759__code1	6	771	6	292	141	none_recorded	ready_for_supported_tree_diagnostic
Suillus__345792at2759__code1	8	828	8	164	51	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__345792at2759__code1	4	837	4	345	51	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__345792at2759__code1	5	885	5	311	140	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__345792at2759__code1	4	762	4	53	4	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__345792at2759__code1	5	915	3	182	32	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__345792at2759__code1	10	882	10	239	146	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__345792at2759__code1	4	870	4	202	75	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__352891at2759__code1	10	756	9	312	266	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__352891at2759__code1	8	756	8	139	77	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__352891at2759__code1	10	756	10	162	139	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__352891at2759__code1	10	756	10	134	96	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__352891at2759__code1	7	756	7	214	134	none_recorded	ready_for_supported_tree_diagnostic
Amanita__352891at2759__code1	7	741	7	319	198	none_recorded	ready_for_supported_tree_diagnostic
Suillus__352891at2759__code1	10	741	10	167	74	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__352891at2759__code1	4	747	4	208	39	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__352891at2759__code1	5	741	5	330	150	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__352891at2759__code1	4	753	4	73	4	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__352891at2759__code1	5	747	3	171	32	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__352891at2759__code1	10	747	10	290	216	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__352891at2759__code1	4	639	4	204	74	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__352891at2759__code1	4	741	4	195	46	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4613677at2759__code1	9	357	9	179	117	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4613677at2759__code1	10	381	10	111	70	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4613677at2759__code1	9	363	9	117	96	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4613677at2759__code1	9	363	9	101	72	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4613677at2759__code1	7	342	7	109	57	none_recorded	ready_for_supported_tree_diagnostic
Candida__4613677at2759__code12	4	348	4	113	42	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4613677at2759__code1	7	315	7	170	101	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4613677at2759__code1	9	321	9	67	27	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4613677at2759__code1	5	366	5	190	79	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4613677at2759__code1	4	375	4	62	3	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4613677at2759__code1	5	384	4	121	26	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4613677at2759__code1	9	318	9	113	38	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4613677at2759__code1	4	318	4	129	48	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4613677at2759__code1	4	381	4	118	29	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4695236at2759__code1	9	3234	9	1287	919	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4695236at2759__code1	10	3222	10	842	543	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4695236at2759__code1	10	3228	10	1056	908	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4695236at2759__code1	10	3240	10	806	539	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4695236at2759__code1	7	3192	7	934	496	none_recorded	ready_for_supported_tree_diagnostic
Candida__4695236at2759__code12	4	3195	4	776	229	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4695236at2759__code1	7	3213	7	1483	902	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4695236at2759__code1	9	3204	9	787	305	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4695236at2759__code1	5	3210	5	1293	505	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4695236at2759__code1	4	3243	4	392	56	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4695236at2759__code1	10	3228	10	1183	746	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4695236at2759__code1	4	3195	4	872	310	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4695236at2759__code1	4	3162	4	1006	211	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4747214at2759__code1	9	417	9	176	121	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4747214at2759__code1	9	423	9	109	74	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4747214at2759__code1	10	423	9	136	120	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4747214at2759__code1	10	423	10	146	106	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4747214at2759__code1	7	414	7	101	56	none_recorded	ready_for_supported_tree_diagnostic
Candida__4747214at2759__code12	4	414	4	79	21	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4747214at2759__code1	7	432	7	167	102	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4747214at2759__code1	4	432	4	50	11	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4747214at2759__code1	5	411	5	151	60	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4747214at2759__code1	4	396	4	68	6	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4747214at2759__code1	5	417	3	92	14	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4747214at2759__code1	10	423	10	161	122	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4747214at2759__code1	4	405	4	137	49	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4747214at2759__code1	4	336	4	77	15	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4764044at2759__code1	10	1542	10	735	569	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4764044at2759__code1	9	1518	9	398	257	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4764044at2759__code1	10	1530	10	513	448	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4764044at2759__code1	10	1533	10	498	382	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4764044at2759__code1	7	1434	7	422	211	none_recorded	ready_for_supported_tree_diagnostic
Candida__4764044at2759__code12	4	1200	4	384	89	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4764044at2759__code1	7	1464	7	744	444	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4764044at2759__code1	10	1467	10	345	167	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4764044at2759__code1	5	1443	5	779	321	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4764044at2759__code1	4	1500	4	235	18	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4764044at2759__code1	5	1524	3	424	80	none_recorded	insufficient_sequence_information_for_this_tree_workflow
Cryptococcus__4764044at2759__code1	10	1371	10	664	500	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4764044at2759__code1	4	1410	4	508	184	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4764044at2759__code1	4	1302	4	435	94	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4803900at2759__code1	10	366	10	166	130	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4803900at2759__code1	6	360	6	71	42	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4803900at2759__code1	6	360	6	84	43	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4803900at2759__code1	7	369	7	152	76	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4803900at2759__code1	10	366	10	79	26	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4803900at2759__code1	5	363	5	143	54	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4803900at2759__code1	4	357	4	31	4	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4803900at2759__code1	4	366	4	89	16	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4803900at2759__code1	10	369	10	119	90	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4810093at2759__code1	8	2376	8	1015	792	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4810093at2759__code1	8	2373	8	729	409	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4810093at2759__code1	9	2385	9	785	567	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4810093at2759__code1	6	2364	6	1348	373	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4810093at2759__code1	7	2250	7	763	408	none_recorded	ready_for_supported_tree_diagnostic
Candida__4810093at2759__code12	4	2226	4	697	166	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4810093at2759__code1	7	2313	7	1188	724	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4810093at2759__code1	10	2340	10	572	238	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4810093at2759__code1	4	2166	4	1428	169	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4810093at2759__code1	5	2295	5	1208	499	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4810093at2759__code1	4	2280	4	356	40	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4810093at2759__code1	10	2307	10	953	669	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4810093at2759__code1	4	2178	4	1038	342	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4813267at2759__code1	10	2637	10	1162	918	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4813267at2759__code1	10	2670	9	854	624	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4813267at2759__code1	10	2685	10	864	748	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4813267at2759__code1	10	2685	10	743	571	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4813267at2759__code1	7	2439	7	670	365	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4813267at2759__code1	6	2469	6	1021	574	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4813267at2759__code1	10	2493	10	521	218	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4813267at2759__code1	5	2379	5	1021	409	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4813267at2759__code1	9	2445	9	935	356	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4823929at2759__code1	10	1278	9	600	446	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4823929at2759__code1	10	1251	10	485	309	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4823929at2759__code1	10	1242	10	445	401	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4823929at2759__code1	10	1248	10	435	324	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4823929at2759__code1	7	1143	7	411	233	none_recorded	ready_for_supported_tree_diagnostic
Candida__4823929at2759__code12	4	1200	4	445	123	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4823929at2759__code1	7	1305	7	596	366	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4823929at2759__code1	9	1281	9	276	117	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4823929at2759__code1	4	951	4	643	70	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4823929at2759__code1	5	1209	5	577	243	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4823929at2759__code1	4	1281	4	321	57	none_recorded	ready_for_supported_tree_diagnostic
Tilletia__4823929at2759__code1	5	1299	5	339	62	none_recorded	ready_for_supported_tree_diagnostic
Cryptococcus__4823929at2759__code1	10	1296	10	621	448	none_recorded	ready_for_supported_tree_diagnostic
Wallemia__4823929at2759__code1	4	1281	4	467	150	none_recorded	ready_for_supported_tree_diagnostic
Umbelopsis__4823929at2759__code1	4	1170	4	398	87	none_recorded	ready_for_supported_tree_diagnostic
Aspergillus__4837017at2759__code1	10	687	10	304	205	none_recorded	ready_for_supported_tree_diagnostic
Colletotrichum__4837017at2759__code1	10	696	10	158	105	none_recorded	ready_for_supported_tree_diagnostic
Fusarium__4837017at2759__code1	10	693	10	192	163	none_recorded	ready_for_supported_tree_diagnostic
Trichoderma__4837017at2759__code1	10	696	10	407	138	none_recorded	ready_for_supported_tree_diagnostic
Saccharomyces__4837017at2759__code1	7	684	7	171	94	none_recorded	ready_for_supported_tree_diagnostic
Candida__4837017at2759__code12	4	666	4	169	47	none_recorded	ready_for_supported_tree_diagnostic
Amanita__4837017at2759__code1	7	678	7	328	188	none_recorded	ready_for_supported_tree_diagnostic
Suillus__4837017at2759__code1	10	684	10	185	89	none_recorded	ready_for_supported_tree_diagnostic
Naganishia__4837017at2759__code1	4	573	4	371	41	none_recorded	ready_for_supported_tree_diagnostic
Malassezia__4837017at2759__code1	5	684	5	335	138	none_recorded	ready_for_supported_tree_diagnostic
Microbotryum__4837017at2759__code1	4	666	4	113	12	none_recorded	ready_for_supported_tree_diagnostic
