marker	taxon_id	protein_id	sequence_sha256	source_fasta_sha256	cds_source_kind	source_status	source_record_ids_json	cds_sequence_sha256	cds_length	gene_ids_json	gene_mapping_status	representative_decision
340246at2759	F264483	CED85271.1	e7045a1ff5115b3cd20c60dfb55c2f2d2ab651fc45aab8251550f84fc9f9b757	35e923ca9e777c46e6b5feda8283fa228638056da91a5679dd3b8057d7949ffc	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483332.1_cds_CED85271.1_5450""]"	086025f46fddd64c4118ba2aca5f4526ce10789f0cb08e98c007e4a80e189991	2736	[]	unmapped	retained_unresolved_gene
345792at2759	F264483	CED82232.1	16cf00d428ad5137c11de9655ccd6bdc08e6fd952287c97d2c22020f0b5dab2b	d4115af57a838a1c69360b79848d7e7e1ef7d015f1b6fc27ed278c29212a9f3f	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82232.1_420""]"	5f7db63522299e2e4477f5c6a6a4aa95d3cf60ff9c804e26eb52119ae4c36d4a	978	[]	unmapped	retained_unresolved_gene
352891at2759	F264483	CDZ96651.1	23532381c79f53932b3463337dbf2dc7fe36557690e0d509609b72d40fc8b66e	7e27ab5582595f7af196bd7980ffbc89767f09253e77b597430bb32bab094c49	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483165.1_cds_CDZ96651.1_2860""]"	5b7ae278df2d7791b16ac14a15b0a74dc6161d0ce2ef65f9a45a3ff94a047ddd	750	[]	unmapped	retained_unresolved_gene
3643464at2759	F264483	CDZ98040.1	ce55387cf8f564e1d0b3e33a497c26a04b9dd5b3adf12d7958369f9c7c6cee8f	dff1ac522f622b667ac3c52d846ac41ead21ce038fa835e42024d88843db926b	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483273.1_cds_CDZ98040.1_4819""]"	09387b8f90b6d4d0ce8d35489b566b87a479ab3d818f6cb184ca29e967a32d18	2937	[]	unmapped	retained_unresolved_gene
4613677at2759	F264483	CED82528.1	117b78182926512c42c2c574a7af5542e3dd8f557f960f6b38b25b5d8f320eda	a99114e58f0fe068c3ff2041fb018e8171f286f9e7cbba1f0e3c82056f0d2982	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82528.1_716""]"	91263b4261db3460695f8ea9360a845d4331b5b5c670d909765417ccc9e7c1c3	465	[]	unmapped	retained_unresolved_gene
4695236at2759	F264483	CED82372.1	6b19375b5a9798363dfa5a8c7c4648a0d1c96cd99cc3b00df229f4bf29d89492	abfb4719cc986f04ab84d531c01398b35e854c2ba2be7c3fe21a2c7405779d13	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82372.1_560""]"	bee49ec480ad4e48b729401646c0846a18d48c3a068d6a4a1cd06b2e0160cec5	3342	[]	unmapped	retained_unresolved_gene
4747214at2759	F264483	CED84186.1	667668977e75c09523c9291b836568e94998babf515fc62a96c9bf13deaacbcf	5e53d599752d1f3ac603f127583c4c1e7514709eeaaa807faa0cbe07f2622dfe	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED84186.1_2664""]"	aea1023602defa14dfa9f44e72483eeef2b68b0cec1f4b4052b2df47926bcd0e	474	[]	unmapped	retained_unresolved_gene
4764044at2759	F264483	CED85319.1	cd81e42a2f9953d3e7ae75861469dd10d6a70acd628fe51761fe58eea3cc22e3	4ba0c4cac6ddd403dfc70e30f4bf57d969bb69ce022b2c1f2099aa6d8ee5a1cc	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483332.1_cds_CED85319.1_5498""]"	0a69ea440e4f23d623145c5ece34ef430a8189284e5a995a611ad2b099c03574	2895	[]	unmapped	retained_unresolved_gene
4803900at2759	F264483	CED85150.1	70d948e024543aa8d82ea0c08e47a9edcc9b3239f760615a9ecd33b1b82f84fb	1a8f630871b1f32b4541223043be6b0a65a5ff55256f2540a5443a6d89706478	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483332.1_cds_CED85150.1_5329""]"	d3da3e345dff13045723ac87abf26a408a0f18ea666cf8d2480a1eb04aae6467	546	[]	unmapped	retained_unresolved_gene
4810093at2759	F264483	CED83258.1	76a1511c4d8f5d83e5482111f669821cf27cb452618a7365785c2ee9bdaa1615	2678320f6c134e85f850245146c22ded1dbfe46711d8ec03e630bed997b0674d	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED83258.1_1448""]"	a481df3bc56c96c7ef580fab15ee9644c279a0b6249db16b31a0c5ff87d9440a	3042	[]	unmapped	retained_unresolved_gene
4813267at2759	F264483	CED82843.1	6987af08eb054c6f0e240b78c10ad9e78f9197af0bd0fde7f6e3622882ba4a45	53d9095e7867cdfc0b7478a8ba9b9526aa8876dd2be10ab99d6bd384513ff5a6	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED82843.1_1033""]"	deae3b3c9a271285727c1c3e98c94e0186f474048aa26c6956d88efb03739aa8	3555	[]	unmapped	retained_unresolved_gene
4823929at2759	F264483	CED82685.1	68e23723627cd89e556e0b43985f18f623e602992d3370f98e4c7f48ab2fcd16	df60c7608b023d195d9faf424fd4ca04040ce330b561fd38ab4d84ef14072edd	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED82685.1_875""]"	5ca6148fe5100ba9e52c5630c71f7ac28382877f4306e4ac4c1adcf92b3cdcf6	2709	[]	unmapped	retained_unresolved_gene
4837017at2759	F264483	CED82276.1	0ccc446a0cdc04be8578d43580cb06b32ab84c24a9e4aa1d8389882dc9e0d52b	461e01eaafbc218e6c0d253a8b065822a5aaebdaaa44949b8d664ef105d8b513	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82276.1_464""]"	509edd3d76a8a94a95ebee7a5506e0795c841b2205302f6b0a04328ac2f12929	783	[]	unmapped	retained_unresolved_gene
4838864at2759	F264483	CDZ96437.1	6b731390171b651593ac9833eaa910dae1685f305c0fbf68c094f4c2ea1ffc05	5defb44be9ec1e0180cba358653e485ada951b4ac2cf9dd91ef611635ef03fdf	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483144.1_cds_CDZ96437.1_1814""]"	6996c034fe5df29ad34e016091b2d314ec4417aa8d7d612648c3eff74eecfc32	2331	[]	unmapped	retained_unresolved_gene
4843240at2759	F264483	CED84265.1	3810dfdb5be41eb6ba182c1767c462244bfbe280ceecee1c6711ed76dd62602f	dc2e8e3e76ed49a373c44f9c0740dc51f75ba344f49bced5067ec1c9c153a94f	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED84265.1_2743""]"	209789ee970cfdd52de933dc89113c032831ea5a33285d2ecc213cbb2fbaa6ba	2079	[]	unmapped	retained_unresolved_gene
4843824at2759	F264483	CDZ98546.1	a8accdfe321421c9ddbba6e6a9c230e6af11ed6dcf959daa833dfcaa3ebd3f0a	eb9227cb46685cdc7456d96d711dcab7916212337dac1437aedcfee861c15dda	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483345.1_cds_CDZ98546.1_6037""]"	7ec53f71fd183744bebc2048dee76b1109cb23895db1385448bd83107457bb9e	717	[]	unmapped	retained_unresolved_gene
4867008at2759	F264483	CED82888.1	b5ca6b47f3569c6272bf1c0ac6d13952079ac64ee7c3c7d50a1bc25cbdfe6111	0f53dc08ce04e04bf233ffbab59278101667ae10c71cebfcd1d4ecec97f7e130	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED82888.1_1078""]"	a3bee9e5052b34cea68772fe9a56a29e3a18aede179e3c3861ac2be15b64eda8	579	[]	unmapped	retained_unresolved_gene
4888252at2759	F264483	CDZ97685.1	ae4489b00af59168be12e1d6865f21b4ad8facfa0371ecf051d3d05015f2b0ab	deed868b8b466fd4f23b5d33e88a99613ff8ec9c5fc36f842338dc6b24b98f42	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483249.1_cds_CDZ97685.1_4464""]"	bb72880181de216ad43f1fa052a8aaf53150b3de172d948d9cbdd64f4a84962d	3246	[]	unmapped	retained_unresolved_gene
4896098at2759	F264483	CED82680.1	4db65fdcce4810da1647d419fc095baee8f129074503d0089ad45d3bae0bd13e	328c3ada2b733ab4cc14945d2b00d818b6acadc62f772a8125fd6107e4a419f8	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED82680.1_870""]"	c1112e3bae7a953fc5351f925a46a52e4dccefdd8bedeab94b56872b5b07cc6e	1260	[]	unmapped	retained_unresolved_gene
4900375at2759	F264483	CED83575.1	04a6957838714509d921a88d81fae704e73185fa80966d3d7a0681a86f2db375	a0daff7ea8b2f7c4514f639127e577ec02e1132129b5c5175e2de6670db4ea38	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED83575.1_2053""]"	b81210b37265e758fb7845db5ce5d504e7a3af0b32f345bb84049c841bf72720	777	[]	unmapped	retained_unresolved_gene
4908955at2759	F264483	CED83606.1	cff53aa1390f93ab3b9fa25607d6be19fb32ced3122ae4e5fcb70d703826acc4	c4506588ca99c2fb3dec36a4078dc7c5c44f0538405496686c58a995e95282ba	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED83606.1_2084""]"	bb6b86b71af462412c1f6c40a83c9df40403199728a8d7daf73993c461e5c92a	1065	[]	unmapped	retained_unresolved_gene
4911644at2759	F264483	CED84408.1	345ff574a516692a866236d249fecfdbf63b29b2fe613105231ef183848657c6	c9d7980957569cdbb77205135a119aefb7dd5757967ac8d78d576c458d935673	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483166.1_cds_CED84408.1_2932""]"	17a0ccc3e8cb11e88094159c3dfd56b7f687dab0e451e55452fb0f670cf235e2	3228	[]	unmapped	retained_unresolved_gene
4940884at2759	F264483	CDZ98160.1	ebd502e658a7bc24758cfa5588197c833a0e2753a05e7332b4b14a7b84eac914	d0189507492f47042f35e95c9251286b074817112b1d5b4853d2b36f7290a893	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483326.1_cds_CDZ98160.1_4939""]"	88fbb66240b55553e11c7da05eebcdd1c93c78f1124f183ce71aeffb8a4c1191	3342	[]	unmapped	retained_unresolved_gene
4969018at2759	F264483	CDZ96703.1	5ee90fc8e28c2d33f8c90675cf37ca2dd5a5449e6d1903908899014c166783ca	934488252dabf018461ff547694bf9bbe3466164d4065cb96ef0e05475215e4b	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ96703.1_3482""]"	e558d5d491937e770e335dd290cd8949a4525bac5b885f4a6863da3d48fd63f6	1437	[]	unmapped	retained_unresolved_gene
4969636at2759	F264483	CED83502.1	cb9097efaba1bbda8a1c93da5302dbd33476f7cf5acb532be6219817e99ee6b0	829ec3a3cceccc2f09458b0b9beee18a825612c7a5f15c8265346d9ba21bca86	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED83502.1_1692""]"	039d9d64e3e567ea9180bf11c96d2d94c763755220a05617d353bb7f999ed9b9	1755	[]	unmapped	retained_unresolved_gene
4969990at2759	F264483	CED83333.1	0ce57a03e6b5c749788f06b1b5b0f94b72e9a6c014b88d118617f1488f961e84	2bf9a605198ea58a4c110cdabade819ed5db9c87ac06cd86f419c7b24b64af8f	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED83333.1_1523""]"	dbbae2484748ecf582ef38afa20de8be0bbe7b4759c979f655aec26add780d62	2790	[]	unmapped	retained_unresolved_gene
4970387at2759	F264483	CED85234.1	61585bb71fe6a35d75e07e5d4ea5412ba6ff67c730c60486da59af8097947b06	63d78a5a68f72e7f8a36398fb0647fa570359ddef6f0c1178becb4a85226ad8f	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483332.1_cds_CED85234.1_5413""]"	cd96e35528b61040c6168e571c3b26655a1d5f65faf559c749bdd2ed75027f63	456	[]	unmapped	retained_unresolved_gene
4970538at2759	F264483	CDZ97530.1	9a1435f0a3187a1c666284b8f871cd42e1d850af2d82faa6cd40801b012813c5	78e427fe94a776b28a9fcac065e155a378a3cb2df31e23d2f2133f2a7d816054	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483211.1_cds_CDZ97530.1_4309""]"	10ac82984ed4802911e3cc564f512f7852d5d86e9a5e51a9825b10b14def64f3	2976	[]	unmapped	retained_unresolved_gene
4971272at2759	F264483	CDZ96764.1	c4c488d3d281deab382505db3804422c36fc13bbacc6d15a80328a3e85132500	7b3e7677d01a8f214f8f8d8da420cf0825ecda50b8e9376407cf8f49444e7fe7	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ96764.1_3543""]"	e39e07122b873e08af577994ba8c634e41bbc5a25d309741c427ad012684f191	1470	[]	unmapped	retained_unresolved_gene
4974767at2759	F264483	CDZ96577.1	ffcd67d43f86bbc682d39704979ef7e3d29203e0fe262363c860cd8a57fc2c29	a58cdb0611d3317a529d54ec58ff3842295998daaa6c83bc83327f4edd90cff2	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483144.1_cds_CDZ96577.1_1954""]"	4d58aa1a8cd034b44bcf4deaaf0b48e4f440fdaf30ded69a1ca8ac50379d81c7	483	[]	unmapped	retained_unresolved_gene
4975094at2759	F264483	CED83464.1	b01f2fe6d347ad6ee7591e94cd53a0b858dd92a5b1ad63638616d2b10a315b40	214eed16d6f1984ddc1a8e9cd9aa330046d49ce9ec8f3fef4126ffac56dc75ae	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED83464.1_1654""]"	8f1a2993edcfb63f0992394e38cf7f57bdfbd658cf76ddffa3c3944eab7af7a6	3111	[]	unmapped	retained_unresolved_gene
4976279at2759	F264483	CED82393.1	bd4185528d8213894ab2142567b9af196d970d8e7b1ee8f013b00881ea09d2a8	bcb558463b6ba1703ef3130cd10d8448bd6234fc41aec45369d375409ba1f301	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82393.1_581""]"	4a6200eaa138aaaf5ca312b0bdd5d7c9d093f190ff2145208ab6aecee0bd8783	1860	[]	unmapped	retained_unresolved_gene
4977163at2759	F264483	CED83349.1	bea8b9bcb264a8bb2b92eb90e1b0642bd932b212d0204168b4361fdb819b0687	2a32698cbd8c73a0f0804a4c24e09a15d76921dcabaa6681e595aa1d13f240cc	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED83349.1_1539""]"	1fe3ccb67eb96d45e3cddb0c258a86fc9fb9b89f9785ea15d146090a5136c993	645	[]	unmapped	retained_unresolved_gene
4977863at2759	F264483	CDZ96320.1	abbd2507fda68ea8275d8327fee0edf467b59cebb03c5ab06fd354356ea3e8d0	7b0da6d4d0cc286b92b052313958132610a03254552d6ca28de51601bba8b38f	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483116.1_cds_CDZ96320.1_177""]"	696d709deed926fecf2646df0406851041c7b8f6243e02cc0eda9773da4551ad	2151	[]	unmapped	retained_unresolved_gene
4983000at2759	F264483	CDZ98815.1	430bd4ef72973aa5189b5beb0490a52150a27dabbfc3ebcc01614189e2845f36	853af81601a67a13ff6dc11bd498f9896ff185fdee158b32f01bcaff18559d8a	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483345.1_cds_CDZ98815.1_6306""]"	9de8f0eaf374786cd3ab7dce4f20e98a7317457f42606b28a4d70b89d6e398e3	1647	[]	unmapped	retained_unresolved_gene
4985971at2759	F264483	CED83924.1	7581791daf1a51d81013db5c7d9c58e07488f96c657ded94f72fb54f1b64559a	ec0fa1439823721c95d8945759d5229054b2fd4eb43c330d1531d3624b4fd68e	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED83924.1_2402""]"	6ef71c0b97e8268745a23a10c3a28702e89a46f1a50596af903e5e52b33e00c8	1278	[]	unmapped	retained_unresolved_gene
4986044at2759	F264483	CDZ96516.1	f745960036fd47b7648afc37bb7d2c52c6cf62784d0577ee1e53ee4135c319fe	5b7c7b63ecc66a8ad958f551d89ecd263b25d1d4aefc8cdfd9235b9a8987d06f	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483144.1_cds_CDZ96516.1_1893""]"	4531914ffca40b2e2756eb1076ebb03565e0e4062ff0bcf09d6cff6217601cb9	2205	[]	unmapped	retained_unresolved_gene
4987397at2759	F264483	CED82314.1	6a716fa1d46f7d2c1c9f81a38ef2a6dadafd4819c337c18d4ba5d576fbebf823	33445d7dbf0cd902b93c58b7c6d043eba0cf39132620f1db091fb566ab0f8427	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82314.1_502""]"	9543606a319dd5153dc797a16febf512451fd41005f0138119ba4191d445da64	2838	[]	unmapped	retained_unresolved_gene
4988239at2759	F264483	CED84392.1	fba88b61b885e7ab12e25c0922c0a2295f326666bf54f200efe6a9887eb5f3db	41cb306211a3244f65449bf7f2bf17b448a02e08557ac21b1c30accdc569b48a	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483166.1_cds_CED84392.1_2916""]"	67e26089387c80bf6097c011f940e9ea5f87203fec7db3fbf8107dbdee16ad35	3279	[]	unmapped	retained_unresolved_gene
4999134at2759	F264483	CED85467.1	0d66252a803c02a624d48124910d7d6852be8042a54a0f8175fef6e6dea024b4	041534fa7d88c6ce87864e1c6165fd57091d57c847857664033766630b6d2e56	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483332.1_cds_CED85467.1_5646""]"	86cfbf6f0569c3888144a0830835fc9fd03a592672e87a4e7b03f8893fd0e3f5	7104	[]	unmapped	retained_unresolved_gene
5000045at2759	F264483	CED85385.1	a5fdb467839963544622a64be98f93a6a620adb82f0d0826b66f7783bb281a52	ed9e3030fac30d913bb71957c1c815780941fc9ce71b265e075e9182550c9a2b	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483332.1_cds_CED85385.1_5564""]"	c1be2e8ac8793d05d70fe961d025bb2097845684207e3036479fa7d1ba1dc3a9	1239	[]	unmapped	retained_unresolved_gene
5000152at2759	F264483	CED84295.1	144b2993a48a4689d07cad5d04aa9aa2e6c3517746a139e3074538f856baf595	c2888b574667bddf0d381467807250737c3e24cffb2dbdf5eb1a2040c4c317d0	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED84295.1_2773""]"	db02f96524c13968899f319c2155ea97db9e075f2c867d47221bb675b5480c5b	3657	[]	unmapped	retained_unresolved_gene
5000362at2759	F264483	CED82474.1	a9ba7f1dd0aaf04f2a2f5af2cea7c68b84939458ca120baf97fc25c2f6bc958c	3875083428fcc9bd32e471114004b6c872a599ec909e9700f0ab8c7a7b5ec37d	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483124.1_cds_CED82474.1_662""]"	8ff8dd4b51e8e36980e5b7ad874db24b7cbfec212fc89c0be7dbbc106c1dccee	2754	[]	unmapped	retained_unresolved_gene
5000371at2759	F264483	CDZ97438.1	85db39cc4d8537e2ba4e9fae8e77442f5de63673bbe9904978062c691faf4dfe	ae27da3c41a19d65bcc819747cd48386275b795541b75ce86abe5b2f7f20f4ca	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ97438.1_4217""]"	9879cf78e682a722b6b2c63730aad5e5f85bdea1002a8d86b68d69e5c3c18374	1620	[]	unmapped	retained_unresolved_gene
5000452at2759	F264483	CDZ96791.1	8cfe512fbe870d14df3c92c492eee81ffd649f4512e0f28342721dea1743ca19	06a28e131e8966b429a2ace19e3216de6248b2ec344a044732aba9b896629d2e	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ96791.1_3570""]"	d1550e5a8237d703f8aa8cadd2e860c99319d9cf56f36e887a110065313aab2a	900	[]	unmapped	retained_unresolved_gene
5000476at2759	F264483	CDZ97313.1	70eb2a2c10d7c1e445e1e512ac08addef437b841ff4901cf15d111047cf1a332	a9a405103f2ac80500b921f4d488a53de06d6f98245ea6218df6e75c96c55957	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ97313.1_4092""]"	e574cf9b21c36f4085283277d2da25c9d68632201dcd884996d0c3d83a7597b1	1182	[]	unmapped	retained_unresolved_gene
5000743at2759	F264483	CED85077.1	2f201ecb2080e7f1f15da2b77e228049c3781c4a735a58699d7fbb22d7f36c8b	02ef7615171bc0a8b50f8ed4ee9aeb8a349a6a921dd2e66d58cdd453f297bc8e	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483332.1_cds_CED85077.1_5256""]"	964c5d825af9330aafb5303105f01ca40a653379f9f1c210a8936a64b1f632f3	423	[]	unmapped	retained_unresolved_gene
5000823at2759	F264483	CED83072.1	e07a6e1adb790aca1a86009b45f45d55abe412460e31f11ea409f90e0724bdc9	1d4cd6705ac2c60d619077e43496e13b162c43dd86698f3c726d88838adf9812	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483142.1_cds_CED83072.1_1262""]"	d56803b4268ac7493fdaafc81ab1e267d14ccb3b31e7b2ddeb79f6a8d07608a7	3063	[]	unmapped	retained_unresolved_gene
5000870at2759	F264483	CDZ97334.1	52ee1db70d87b8e69acec7e7e05a70a878c8c01d3f13cc7406e9ab4ce4935665	a49d70f11a4f8d83dcaffb1b4b8e6e857f36746bafcdc6224b1cc0d263afd4f5	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ97334.1_4113""]"	bde9da142a5524728ea5ccfb8c0c2561f8994b89b796382636b539c22bbc2279	2436	[]	unmapped	retained_unresolved_gene
5000986at2759	F264483	CED83814.1	7bce31a17e0b012cc68b9da358f1d8ce3c3c1bbd48c3b1b8f15dddad9fd5625d	2d5e140f4194bf2401949248fcdfb28021a222461b3128f361408153b36ffdbc	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483157.1_cds_CED83814.1_2292""]"	7c2a55538f67b7d439e85163e00a78f384e3af4e5b0e7b21358bbeaf10a59da2	3978	[]	unmapped	retained_unresolved_gene
5001156at2759	F264483	CDZ98278.1	2c913d37132a6503b8bf21afb715df8714d712df7038c285c0fe7e6bc9d68b4a	76a35b8d87f9d8c639b17ebdc2ec5c765ed6c84ba1c3c0fe3a7c1ceefe81f4fe	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483326.1_cds_CDZ98278.1_5057""]"	b195a41eb849b106730c2b4cb8cd15f62c94fc16c9fcc043d6df2f2088342052	1488	[]	unmapped	retained_unresolved_gene
5001273at2759	F264483	CDZ96985.1	9c814986717839c0c8d660c529d02a27c78baea9200c2fb2192357b917869a2b	e6d27c8473e2033ab451da124e24cfe8c552f1bc70baf448e10f477805796b3d	ncbi_unmodified_cds	unique_source_cds	"[""lcl|LN483167.1_cds_CDZ96985.1_3764""]"	0ac8ba8eea08d33e27659beb87be072f5da01293aa67225d258c36d12003d891	930	[]	unmapped	retained_unresolved_gene
