case_id	start_solution	starting_log_likelihood	log_likelihood	gain_over_start	gain_over_previous_unconstrained	gain_over_previous_best_grid_or_unconstrained	target_t	omega	fresh_readback_error	elapsed_seconds
Malassezia__4976279at2759__code1	factor_2	-3087.1600479980198	-3086.950138728275	0.2099092697449123	0.11627345244824028	0.011183041697222507	229.913765085418	0.00228361561544	4.547473508864641e-13	701.062504034955
Malassezia__4976279at2759__code1	factor_4	-3087.039759110684	-3086.950128377834	0.08963073284985512	0.11628380288902918	0.011193392138011404	230.18476486569324	0.0022809254765286	0.0	684.8292755330913
Malassezia__4976279at2759__code1	factor_10	-3086.961321769972	-3086.9501499439066	0.011171826065492496	0.11626223681651027	0.011171826065492496	229.6153277351301	0.0022865244572233	-4.547473508864641e-13	598.5037811519578
Malassezia__541070at2759__code1	unconstrained	-3283.02658891815	-3283.026588343089	5.750612217525486e-07	5.750612217525486e-07	-0.5377616638256768	4.670991211957724	0.0545216164798256	0.0	0.3417310828808695
Malassezia__541070at2759__code1	factor_0p1	-3327.726591950283	-3283.026589089873	44.70000286040977	-1.7172305888379924e-07	-0.5377624106099574	4.67040198079455	0.0545272386143048	0.0	23.92478679609485
Malassezia__541070at2759__code1	factor_0p25	-3298.4390014937767	-3283.0265889369434	15.41241255683326	-1.8793343770084903e-08	-0.5377622576802423	4.670523336329676	0.0545262408034093	0.0	21.818089127074927
Malassezia__541070at2759__code1	factor_0p5	-3286.080947409311	-3283.0265889746693	3.0543584346419266	-5.6519183999625966e-08	-0.5377622954060826	4.670494918011057	0.054526515766164	0.0	22.971959301969036
Malassezia__541070at2759__code1	factor_1	-3283.0691508838854	-3283.0265888932795	0.042561990605918254	2.487058736733161e-08	-0.5377622140163112	4.670558697149294	0.0545259410347689	0.0	18.510474268114194
Malassezia__541070at2759__code1	factor_2	-3283.303631090573	-3283.0265892274265	0.2770418631466782	-3.0927640182198957e-07	-0.5377625481633004	4.686127591904327	0.0543792796178384	0.0	25.296928067924455
Malassezia__541070at2759__code1	factor_4	-3283.0280860999765	-3282.31003156452	0.7180545354563037	0.7165573536299235	0.1787951147430249	473.44704004177845	0.0005842602756165	4.547473508864641e-13	1683.11668757
Malassezia__541070at2759__code1	factor_10	-3282.488826679263	-3282.3096397292197	0.17918695004345864	0.7169491889303572	0.17918695004345864	490.47393297728166	0.0005640004738254	0.0	1888.5535661119502
Malassezia__730114at2759__code1	unconstrained	-7333.549279254402	-7333.54927821131	1.0430921975057572e-06	1.0430921975057572e-06	-1.9947172903275714	6.972947967632093	0.0592513092019161	0.0	4.080829577054828
Malassezia__730114at2759__code1	factor_0p1	-7424.3208192100155	-7333.549270434607	90.77154877540852	8.819794857117813e-06	-1.9947095136249118	6.983814952879816	0.0591668541961733	0.0	18.169349366100505
Malassezia__730114at2759__code1	factor_0p25	-7362.88613914579	-7333.549278328139	29.33686081765154	9.262630555895157e-07	-1.9947174071567133	6.972865641472943	0.0592521197404458	0.0	83.32280425587669
Malassezia__730114at2759__code1	factor_0p5	-7339.587545997526	-7333.54927744785	6.038268549676104	1.8065520634991117e-06	-1.9947165268677054	6.973528384367689	0.0592467834074661	0.0	120.27969602891244
Malassezia__730114at2759__code1	factor_1	-7333.708454204601	-7333.549278333749	0.15917587085277773	9.206532922689803e-07	-1.9947174127664766	6.972863060535826	0.0592521519906383	0.0	110.36849035904743
Malassezia__730114at2759__code1	factor_2	-7333.849326393943	-7333.549277893665	0.30004850027762586	1.3607368600787595e-06	-1.9947169726829088	6.994849404041443	0.0590805004238119	0.0	99.08337940997444
Malassezia__730114at2759__code1	factor_4	-7333.320051692559	-7330.95801808658	2.362033605979377	2.5912611678222675	0.5965428344024986	233.97358705146576	0.0018274482067171	0.0	993.5932328980416
Malassezia__730114at2759__code1	factor_10	-7331.554560920982	-7330.938617643294	0.6159432776885296	2.6106616111082985	0.6159432776885296	377.6751129388056	0.0011324928400058	1.8189894035458565e-12	3725.858865731163
