taxon_id	species_name	selected_assembly_accession	selected_biosample	selected_bioproject	selected_wgs_master	selected_infraspecific_name	source_excel_row	source_strain	source_biosample	source_bioproject	source_wgs_master	biosample_equal	wgs_project_equal_ignoring_version	bioproject_equal	status	scope
F112417	Gautieria morchelliformis	GCA_015179125.1	SAMN02946264	PRJNA256705	WHVA00000000.1	strain=GMNE.BST	14	GMNE.BST	SAMN02946264	PRJNA256705	WHVA00000000	True	True	True	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F150792	Hysterangium stoloniferum	GCA_015178975.1	SAMN05660837	PRJNA234406	WHVD00000000.1	strain=HS.BST	17	HS.BST	SAMN05660837	PRJNA234406	WHVD00000000	True	True	True	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F68786	Sphaerobolus stellatus	GCA_000827215.1	SAMN00794633	PRJNA207858	JOMA00000000.1	strain=SS14									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F1331295	Auricularia subglabra	GCA_000265015.1	SAMN02981354	PRJNA60553	AFVO00000000.1	strain=TFB-10046 SS5									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F139363	Hydnum rufescens	GCA_014904985.1	SAMN05660910	PRJNA234814	WIOR00000000.1	strain=UP504	16	UP504	SAMN05660910	PRJNA234814	WIOR00000000	True	True	True	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F1750568	Cantharellus anzutake	GCF_015039405.1	SAMN02745813	PRJNA691513	WJDU00000000.1	strain=C23	10	C23	SAMN02745813	PRJNA245611	WJDU00000000	True	True	False	same_biosample_and_wgs_project	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F264124	Botryobasidium botryosum	GCA_000697705.1	SAMN00632712	PRJNA69807	AYEP00000000.1	strain=FD-172 SS1									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F156515	Tulasnella calospora	GCA_000827465.1	SAMN00794623	PRJNA207843	JMDT00000000.1	strain=MUT 4182									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F456999	Rhizoctonia solani	GCF_016906535.1	SAMN14572378	PRJNA727464	na	strain=AG-1 IA									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F1858805	Dacryopinax primogenitus	GCF_000292625.1	SAMN02981302	PRJNA721985	AEUS00000000.1	strain=DJM-731 SS1									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F5101	Amorphotheca resinae	GCF_003019875.1	SAMN00788613	PRJNA453595	MADK00000000.1	strain=ATCC 22711									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F40559	Botrytis cinerea	GCF_000143535.2	SAMN02953628	PRJNA20061	na	strain=B05.10									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F5570	Cenococcum geophilum	GCF_001692895.1	SAMN04110467	PRJNA1151040	LKKR00000000.1	strain=1.58									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F574774	Glonium stellatum	GCA_001692915.1	SAMN04095727	PRJNA295956	LKAO00000000.1	strain=CBS 207.34									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F741139	Lepidopterella palustris	GCA_001692735.1	SAMN04110470	PRJNA196014	LKAR00000000.1	strain=CBS 459.81									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F5580	Aureobasidium pullulans	GCF_000721785.1	SAMN02744100	PRJNA554128	AYEO00000000.1	strain=EXF-150									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F5059	Aspergillus flavus	GCF_009017415.1	SAMN12911038	PRJNA1225730	na	strain=NRRL 3357									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F1217826	Xylona heveae	GCF_001619985.1	SAMN02744854	PRJNA342690	JXCS00000000.1	strain=TC161									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F39416	Tuber melanosporum	GCF_000151645.1	SAMEA2272024	PRJNA49017	CABJ00000000.1	strain=Mel28									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F1174673	Morchella importuna	GCF_003444635.1	SAMN09514284	PRJNA801197	QOKS00000000.1	strain=M04M26									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F4932	Saccharomyces cerevisiae	GCF_000146045.2	na	PRJNA128	na	strain=S288C									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F5011	Taphrina deformans	GCA_000312925.2	SAMEA2272291	PRJEA74523	CAHR00000000.2	strain=PYCC 5710									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
F588596	Rhizophagus irregularis	GCF_026210795.1	SAMN31081226	PRJNA1128271	na	na									no_unique_published_sample_identifier	Same sample/project identifiers do not prove identical assembly sequence, annotation, taxonomic concept or experimental phenotype validation.
