marker	taxa	columns	excluded_taxa	model	internal_splits_checked	report_warning_lines	report_sha256	coverage_filter_sha256
4896098at2759	463	157	63	LG+F+G4	460	3	e87bef82b17a37ec2d7e4533322d037b50d3622ad658afd27bd7843b5e992626	5284261076b7bc188a7dc79df0d70c55486261b03cbf273345c3a8a056623585
4900375at2759	495	169	31	LG+F+G4	492	3	360d906ceff4a787bbff5c8d2ece35bb76fe04de2c48c833214eb764f2f832f6	f541427f34738b4b6e1efad4c86dd4942676e500b3bea70701a30df312340e9c
4908955at2759	499	318	27	LG+F+G4	496	3	0203dc5e3cb63e9c16242efff999ad7cd7a0afdedc1f8f2c2131f627b5e62b96	cefb2332eb0ac51d019798156d417d40774432af9cb019d9614f91d782c9dc92
4911644at2759	479	744	47	LG+F+G4	476	3	c536c77bd0a5de94a96cb8d7facaa5f48d5726294d3c96bb71481511661e2df5	578bb90594d8d6ae3d91d302e1f11e8a4c4aaad7df3d314cc535ad36a9b227bb
4940884at2759	460	469	66	LG+F+G4	457	3	45ac753b380664831da2e4d9c76cdc57b38d9d9aadb0e5e1a46926e8dd76592e	051f9ce20d48b01cb67e885272a23d4c9f3c3025f492015563b58ed249180b5b
4969018at2759	488	374	38	LG+F+G4	485	3	6dce4c57dae8d955321c5a830147bfd44df0e5c03c61649462c826c94f7695f3	eadd32f99e5f32e87805a032bad0662a53a6de8ab7ed1fd7ac0385935e13f3b7
4969636at2759	480	295	46	LG+F+G4	477	3	463a191053778fdbfd43316a3ec2d54b12f1eeaddb489bbfed30b537c4c8064f	8e0f2c185329c35005f8aff8639f80d3ca682ea926101e7182b5e7ab3b907b17
4969990at2759	483	346	43	LG+F+G4	480	3	e40b2bee9b86927c18343984134e21b59ec8730c6ec26daf6adfd0783afca790	21ba4b183f95fda62df8ab49de63e03a5338114be2abfa12e6d07d1b8a38ac23
4970387at2759	444	136	82	LG+F+G4	441	3	b9e868cccff67e321bb91de83745719003acb224ba195e6e6c226917cafcb3e9	a39c1b21f0c79e1c3a62c85261ee016880ad3f789ed421b6411d083545a7a048
4970538at2759	483	900	43	LG+F+G4	480	3	d417a7a22919fb77a7ea8bf08590fbf897f0978e7e33e5d71a5ee08e0e37056d	91c2c4b32a8b457b6bfb753e80a2c294a4abc9907d1904368be308fddba7974f
4971272at2759	473	375	53	LG+F+G4	470	3	d47985f1f18604789b95f0162a1089775e3cbdba06148a087fca07e1f5f7b685	fe2f512860dc97f5b705b6e145421b5e8c60a4dd27274e73a2515061fe6ebbf4
4974767at2759	465	134	61	LG+F+G4	462	3	a8e518d660a8461457572d95312c593485bc67e970c3b150a129328ee7c4519b	a50bc55605b3e363c75277a2e2feba85d3f8b14091c3450deeb9c7832a8dda6c
4975094at2759	477	852	49	LG+F+G4	474	3	9d84246a413dd3f979ec0bb0ca8383bdbc22f936e490b309a779aafd55408540	cb66e5b806a9482d4776ca75120350666a8c3e1af3310c030f7b3e02c0b126b5
4976279at2759	464	228	62	LG+F+G4	461	3	8dc08b2d20b7fd3c5fc067adbae4828fab19c44745379043d7e27cc362c05e2d	e5a4ec2f1c0c4c447156719f1a0f12d704a1f62906000edebdf551b3bfe577e1
4977163at2759	469	141	57	LG+F+G4	466	3	623915516c204535e22c65838dcbad3d05ec4f3abb2a77926469e9d0e931b581	48891ae28cd60b8e11a19ed18c9d3e1cffab46db20ee1dd08a64a0afe11c0d43
4977863at2759	482	288	44	LG+F+G4	479	3	36cf1b2bb4047c7271d7e3e1572de8f393883ce5bb75fcf14eb7a6b8df048566	83723845cd2a6c95f9086f9e9eafc9ba02d1a903c06879777120ca8155e8537f
4983000at2759	486	453	40	LG+F+G4	483	3	dacd5384fc6b6ecf1c1dd73333a7b44dd946eef85d9d4f9cbeb61c594f8258ee	e5fc839d952177a6753562ac46e770f8891ff6fba3c6b94fb6d025ed33982fd3
4985971at2759	492	281	34	LG+F+G4	489	3	731d9a5d8a61b8b45354a05bb4cd9431e43d7f2b9fb44547f1dde827dd513529	9b2215805cf7b67e07dcdfff95a34c989341147fcf9c1f3724d92754af31a0ef
4986044at2759	494	313	32	LG+F+G4	491	3	7b2d9b4f8744db354bde4467eca39a4492e87d590370850102a08fc705cd8295	3bd2a1b0b3db94a8d4e33cfd1b83dc546dfdae3ecca6c092df0dda5e921bb739
4987397at2759	480	681	46	LG+F+G4	477	3	9aa15927166598922411602d03340b467988399f9840b5ac268e89c26d734fab	201ffcbf2193ce9577779350391db4e75311bd070c81aceafe8e2cb2b22042dd
5000045at2759	482	301	44	LG+F+G4	479	3	000dbcb03f8d3fc96547c9a74a27604d4c32e2f0eac679ee0f0b1cb64d50d7b5	308f9cd732f7edc2c56983f1f2c7e838bca3109cdb73a3fc72268751e49b18ea
