marker	baseline_status	sensitivity_status	baseline_eligible_taxa	sensitivity_eligible_taxa	omitted_taxa	baseline_columns	sensitivity_columns	all_missing_columns_removed
5004478at2759	ready_for_inference	unchanged_reuse_baseline_fit	65	65		266	266	0
5004599at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5005010at2759	ready_for_inference	ready_for_inference	206	205	F610337	92	92	0
5005174at2759	ready_for_inference	unchanged_reuse_baseline_fit	170	170		144	144	0
5005196at2759	ready_for_inference	unchanged_reuse_baseline_fit	70	70		328	328	0
5005215at2759	ready_for_inference	unchanged_reuse_baseline_fit	8	8		235	235	0
5005217at2759	ready_for_inference	unchanged_reuse_baseline_fit	42	42		361	361	0
5005274at2759	ready_for_inference	unchanged_reuse_baseline_fit	71	71		173	173	0
5005697at2759	ready_for_inference	unchanged_reuse_baseline_fit	15	15		243	243	0
5005750at2759	ready_for_inference	unchanged_reuse_baseline_fit	206	206		107	107	0
5005892at2759	ready_for_inference	unchanged_reuse_baseline_fit	70	70		288	288	0
5006326at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	3	3		505	505	0
5006412at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		57	57	0
5011777at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5013042at2759	ready_for_inference	unchanged_reuse_baseline_fit	70	70		333	333	0
5013067at2759	ready_for_inference	unchanged_reuse_baseline_fit	77	77		309	309	0
5013259at2759	ready_for_inference	ready_for_inference	186	185	F610337	121	121	0
5013539at2759	ready_for_inference	unchanged_reuse_baseline_fit	121	121		224	224	0
5013726at2759	ready_for_inference	ready_for_inference	199	198	F610337	166	166	0
5013738at2759	ready_for_inference	unchanged_reuse_baseline_fit	200	200		170	170	0
5013992at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5014007at2759	ready_for_inference	unchanged_reuse_baseline_fit	4	4		382	382	0
5015403at2759	ready_for_inference	unchanged_reuse_baseline_fit	71	71		314	314	0
5015647at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
5015712at2759	ready_for_inference	unchanged_reuse_baseline_fit	49	49		462	462	0
5015742at2759	ready_for_inference	unchanged_reuse_baseline_fit	36	36		401	401	0
5015876at2759	ready_for_inference	unchanged_reuse_baseline_fit	23	23		290	290	0
5017019at2759	ready_for_inference	unchanged_reuse_baseline_fit	60	60		140	140	0
5018803at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		254	254	0
529759at2759	ready_for_inference	unchanged_reuse_baseline_fit	206	206		226	226	0
530014at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
530740at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	3	3		112	112	0
538728at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	0	0		0	0	0
538952at2759	ready_for_inference	unchanged_reuse_baseline_fit	9	9		228	228	0
539632at2759	ready_for_inference	unchanged_reuse_baseline_fit	98	98		257	257	0
540946at2759	ready_for_inference	unchanged_reuse_baseline_fit	65	65		403	403	0
541070at2759	ready_for_inference	unchanged_reuse_baseline_fit	184	184		222	222	0
554735at2759	ready_for_inference	unchanged_reuse_baseline_fit	193	193		231	231	0
649304at2759	ready_for_inference	unchanged_reuse_baseline_fit	93	93		283	283	0
707076at2759	ready_for_inference	unchanged_reuse_baseline_fit	160	160		234	234	0
707202at2759	ready_for_inference	unchanged_reuse_baseline_fit	80	80		326	326	0
727964at2759	ready_for_inference	unchanged_reuse_baseline_fit	70	70		241	241	0
730114at2759	insufficient_structural_coverage	baseline_not_ready_no_refit	1	1		454	454	0
760428at2759	ready_for_inference	unchanged_reuse_baseline_fit	76	76		332	332	0
776280at2759	ready_for_inference	unchanged_reuse_baseline_fit	23	23		261	261	0
801816at2759	ready_for_inference	unchanged_reuse_baseline_fit	221	221		153	153	0
