source	marker	total_taxa_audited	original_marker_columns	eligible_taxa	retained_columns	status	aa_variable_columns	aa_parsimony_informative_columns	3di_variable_columns	3di_parsimony_informative_columns	curated_orthology_caveat	confirmatory_interpretation_status
AlphaFold	4976279at2759	526	228	109	228	ready_for_inference	194	184	188	165	none_recorded	general_validation_still_required
AlphaFold	4977163at2759	526	141	107	141	ready_for_inference	132	128	110	102	none_recorded	general_validation_still_required
AlphaFold	4977863at2759	526	288	107	288	ready_for_inference	273	255	239	206	none_recorded	general_validation_still_required
AlphaFold	4983000at2759	526	453	120	453	ready_for_inference	446	420	355	304	none_recorded	general_validation_still_required
AlphaFold	4985971at2759	526	281	118	278	ready_for_inference	238	197	166	126	none_recorded	general_validation_still_required
AlphaFold	4986044at2759	526	313	116	309	ready_for_inference	293	261	203	165	requires_gene_copy_reconciliation_before_confirmatory_single_ortholog_analysis	withhold_pending_copy_reconciliation
AlphaFold	4987397at2759	526	681	108	613	ready_for_inference	436	391	317	259	none_recorded	general_validation_still_required
AlphaFold	4988239at2759	526	893	107	798	ready_for_inference	594	489	378	279	none_recorded	general_validation_still_required
AlphaFold	4999134at2759	526	2295	2	2089	insufficient_structural_coverage	663	0	354	0	none_recorded	general_validation_still_required
AlphaFold	5000045at2759	526	301	116	300	ready_for_inference	263	233	127	104	none_recorded	general_validation_still_required
AlphaFold	5000152at2759	526	1184	109	1184	ready_for_inference	1140	1070	986	822	none_recorded	general_validation_still_required
AlphaFold	5000362at2759	526	672	113	654	ready_for_inference	622	590	382	299	none_recorded	general_validation_still_required
AlphaFold	5000371at2759	526	429	102	425	ready_for_inference	397	373	381	336	none_recorded	general_validation_still_required
AlphaFold	5000452at2759	526	292	107	292	ready_for_inference	290	286	241	212	none_recorded	general_validation_still_required
AlphaFold	5000476at2759	526	306	119	306	ready_for_inference	274	251	154	126	none_recorded	general_validation_still_required
AlphaFold	5000743at2759	526	166	113	165	ready_for_inference	153	141	140	131	none_recorded	general_validation_still_required
AlphaFold	5000823at2759	526	802	114	720	ready_for_inference	665	602	344	257	none_recorded	general_validation_still_required
AlphaFold	5000870at2759	526	707	114	642	ready_for_inference	475	389	257	184	none_recorded	general_validation_still_required
AlphaFold	5000986at2759	526	404	102	391	ready_for_inference	372	361	324	299	none_recorded	general_validation_still_required
AlphaFold	5001156at2759	526	229	106	229	ready_for_inference	206	190	169	153	none_recorded	general_validation_still_required
AlphaFold	5001273at2759	526	229	114	213	ready_for_inference	194	183	129	107	none_recorded	general_validation_still_required
AlphaFold	5001280at2759	526	754	111	649	ready_for_inference	595	521	489	376	none_recorded	general_validation_still_required
AlphaFold	5001318at2759	526	310	97	267	ready_for_inference	219	186	190	161	none_recorded	general_validation_still_required
AlphaFold	5001413at2759	526	251	118	251	ready_for_inference	209	193	182	154	none_recorded	general_validation_still_required
AlphaFold	5001473at2759	526	81	119	81	ready_for_inference	55	43	46	32	none_recorded	general_validation_still_required
AlphaFold	5001660at2759	526	636	113	614	ready_for_inference	490	445	267	197	none_recorded	general_validation_still_required
AlphaFold	5001734at2759	526	177	107	175	ready_for_inference	149	133	99	69	none_recorded	general_validation_still_required
AlphaFold	5001941at2759	526	568	103	544	ready_for_inference	506	456	367	305	none_recorded	general_validation_still_required
AlphaFold	5002334at2759	526	227	105	227	ready_for_inference	194	180	170	137	none_recorded	general_validation_still_required
AlphaFold	5002573at2759	526	357	105	351	ready_for_inference	340	321	285	235	none_recorded	general_validation_still_required
AlphaFold	5003022at2759	526	776	108	738	ready_for_inference	615	540	369	284	none_recorded	general_validation_still_required
AlphaFold	5003192at2759	526	399	110	383	ready_for_inference	334	310	302	258	none_recorded	general_validation_still_required
AlphaFold	5003205at2759	526	1015	5	945	ready_for_inference	666	98	436	115	none_recorded	general_validation_still_required
AlphaFold	5003856at2759	526	219	111	214	ready_for_inference	190	170	153	118	none_recorded	general_validation_still_required
AlphaFold	5003972at2759	526	205	103	205	ready_for_inference	160	137	164	134	none_recorded	general_validation_still_required
AlphaFold	5004118at2759	526	134	111	132	ready_for_inference	117	108	60	49	none_recorded	general_validation_still_required
AlphaFold	5004265at2759	526	219	111	185	ready_for_inference	161	136	97	79	none_recorded	general_validation_still_required
AlphaFold	5004327at2759	526	697	96	689	ready_for_inference	656	629	508	452	none_recorded	general_validation_still_required
AlphaFold	5004391at2759	526	865	94	742	ready_for_inference	536	430	340	265	none_recorded	general_validation_still_required
AlphaFold	5004478at2759	526	299	113	286	ready_for_inference	250	222	163	137	none_recorded	general_validation_still_required
AlphaFold	5004599at2759	526	382	114	382	ready_for_inference	306	270	264	210	none_recorded	general_validation_still_required
AlphaFold	5005010at2759	526	92	125	92	ready_for_inference	91	88	33	21	none_recorded	general_validation_still_required
AlphaFold	5005174at2759	526	169	120	169	ready_for_inference	160	151	115	90	none_recorded	general_validation_still_required
AlphaFold	5005196at2759	526	371	113	371	ready_for_inference	341	320	242	215	none_recorded	general_validation_still_required
AlphaFold	5005215at2759	526	243	107	243	ready_for_inference	196	178	130	111	none_recorded	general_validation_still_required
AlphaFold	5005217at2759	526	361	113	361	ready_for_inference	337	311	325	278	none_recorded	general_validation_still_required
AlphaFold	5005274at2759	526	233	111	197	ready_for_inference	169	150	73	49	none_recorded	general_validation_still_required
AlphaFold	5005697at2759	526	243	111	238	ready_for_inference	209	195	177	151	none_recorded	general_validation_still_required
AlphaFold	5005750at2759	526	107	119	96	ready_for_inference	86	78	65	55	none_recorded	general_validation_still_required
AlphaFold	5005892at2759	526	302	107	282	ready_for_inference	236	205	189	156	none_recorded	general_validation_still_required
AlphaFold	5006326at2759	526	539	108	537	ready_for_inference	466	429	351	285	none_recorded	general_validation_still_required
AlphaFold	5006412at2759	526	168	101	168	ready_for_inference	154	147	77	66	none_recorded	general_validation_still_required
AlphaFold	5011777at2759	526	656	100	545	ready_for_inference	479	406	383	280	none_recorded	general_validation_still_required
AlphaFold	5013042at2759	526	333	103	333	ready_for_inference	318	290	213	169	none_recorded	general_validation_still_required
AlphaFold	5013067at2759	526	323	124	310	ready_for_inference	271	254	236	202	none_recorded	general_validation_still_required
AlphaFold	5013259at2759	526	144	115	143	ready_for_inference	130	118	85	70	none_recorded	general_validation_still_required
AlphaFold	5013539at2759	526	224	113	224	ready_for_inference	212	181	164	117	none_recorded	general_validation_still_required
AlphaFold	5013726at2759	526	171	118	169	ready_for_inference	156	145	80	60	none_recorded	general_validation_still_required
AlphaFold	5013738at2759	526	170	125	170	ready_for_inference	153	147	92	67	none_recorded	general_validation_still_required
AlphaFold	5013992at2759	526	786	101	711	ready_for_inference	640	533	417	277	none_recorded	general_validation_still_required
AlphaFold	5014007at2759	526	521	99	511	ready_for_inference	469	422	378	304	none_recorded	general_validation_still_required
AlphaFold	5015403at2759	526	314	110	314	ready_for_inference	259	237	222	196	none_recorded	general_validation_still_required
AlphaFold	5015647at2759	526	525	107	459	ready_for_inference	303	239	233	171	none_recorded	general_validation_still_required
AlphaFold	5015712at2759	526	485	105	461	ready_for_inference	420	379	313	252	none_recorded	general_validation_still_required
AlphaFold	5015742at2759	526	419	110	405	ready_for_inference	373	349	300	260	none_recorded	general_validation_still_required
AlphaFold	5015876at2759	526	325	114	325	ready_for_inference	300	280	260	210	none_recorded	general_validation_still_required
AlphaFold	5017019at2759	526	140	113	140	ready_for_inference	134	127	121	106	none_recorded	general_validation_still_required
AlphaFold	5018803at2759	526	408	103	397	ready_for_inference	358	320	286	235	none_recorded	general_validation_still_required
AlphaFold	529759at2759	526	226	132	222	ready_for_inference	162	125	116	98	none_recorded	general_validation_still_required
AlphaFold	530014at2759	526	776	112	776	ready_for_inference	702	640	482	390	none_recorded	general_validation_still_required
AlphaFold	530740at2759	526	304	91	222	ready_for_inference	186	150	110	83	none_recorded	general_validation_still_required
AlphaFold	538728at2759	526	279	112	250	ready_for_inference	224	198	167	140	none_recorded	general_validation_still_required
AlphaFold	538952at2759	526	266	103	250	ready_for_inference	188	164	176	142	none_recorded	general_validation_still_required
AlphaFold	539632at2759	526	257	123	257	ready_for_inference	218	181	132	104	none_recorded	general_validation_still_required
AlphaFold	540946at2759	526	403	104	403	ready_for_inference	359	338	304	251	none_recorded	general_validation_still_required
AlphaFold	541070at2759	526	222	111	222	ready_for_inference	193	173	176	156	none_recorded	general_validation_still_required
AlphaFold	554735at2759	526	231	113	231	ready_for_inference	202	178	152	126	none_recorded	general_validation_still_required
AlphaFold	649304at2759	526	293	110	293	ready_for_inference	240	218	204	169	none_recorded	general_validation_still_required
AlphaFold	707076at2759	526	239	117	233	ready_for_inference	191	162	149	118	none_recorded	general_validation_still_required
AlphaFold	707202at2759	526	326	116	324	ready_for_inference	304	292	250	222	none_recorded	general_validation_still_required
AlphaFold	727964at2759	526	241	108	241	ready_for_inference	196	175	180	123	none_recorded	general_validation_still_required
AlphaFold	730114at2759	526	530	110	530	ready_for_inference	443	413	425	357	none_recorded	general_validation_still_required
AlphaFold	760428at2759	526	338	114	338	ready_for_inference	316	311	312	285	none_recorded	general_validation_still_required
AlphaFold	776280at2759	526	261	106	261	ready_for_inference	233	210	237	204	none_recorded	general_validation_still_required
AlphaFold	801816at2759	526	153	111	150	ready_for_inference	120	107	88	74	none_recorded	general_validation_still_required
ESMFold	115730at2759	526	235	15	209	ready_for_inference	90	60	61	41	none_recorded	general_validation_still_required
ESMFold	129234at2759	526	166	154	166	ready_for_inference	146	132	135	117	none_recorded	general_validation_still_required
ESMFold	160487at2759	526	730	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	201273at2759	526	254	71	111	ready_for_inference	78	61	32	25	none_recorded	general_validation_still_required
ESMFold	207567at2759	526	174	134	171	ready_for_inference	150	132	129	106	none_recorded	general_validation_still_required
ESMFold	260326at2759	526	151	135	151	ready_for_inference	142	134	117	103	none_recorded	general_validation_still_required
ESMFold	2852757at2759	526	264	2	252	insufficient_structural_coverage	103	0	39	0	none_recorded	general_validation_still_required
ESMFold	288615at2759	526	383	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	319730at2759	526	400	10	400	ready_for_inference	252	185	124	87	none_recorded	general_validation_still_required
ESMFold	340246at2759	526	441	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	345792at2759	526	226	42	226	ready_for_inference	127	113	133	102	none_recorded	general_validation_still_required
ESMFold	352891at2759	526	245	95	240	ready_for_inference	208	189	155	131	none_recorded	general_validation_still_required
ESMFold	3643464at2759	526	517	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4613677at2759	526	73	140	73	ready_for_inference	71	67	29	22	none_recorded	general_validation_still_required
ESMFold	4695236at2759	526	1059	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4747214at2759	526	114	118	111	ready_for_inference	100	90	81	70	none_recorded	general_validation_still_required
ESMFold	4764044at2759	526	391	2	377	insufficient_structural_coverage	215	0	99	0	none_recorded	general_validation_still_required
ESMFold	4803900at2759	526	106	137	101	ready_for_inference	94	89	66	58	none_recorded	general_validation_still_required
ESMFold	4810093at2759	526	667	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4813267at2759	526	578	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4823929at2759	526	420	12	409	ready_for_inference	356	262	250	165	none_recorded	general_validation_still_required
ESMFold	4837017at2759	526	205	146	196	ready_for_inference	187	184	171	161	none_recorded	general_validation_still_required
ESMFold	4838864at2759	526	458	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4843240at2759	526	315	3	269	insufficient_structural_coverage	168	0	100	0	none_recorded	general_validation_still_required
ESMFold	4843824at2759	526	197	124	196	ready_for_inference	192	185	169	145	none_recorded	general_validation_still_required
ESMFold	4867008at2759	526	177	133	177	ready_for_inference	163	152	148	139	none_recorded	general_validation_still_required
ESMFold	4888252at2759	526	830	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4896098at2759	526	157	116	149	ready_for_inference	114	105	73	64	none_recorded	general_validation_still_required
ESMFold	4900375at2759	526	169	138	169	ready_for_inference	166	160	152	120	none_recorded	general_validation_still_required
ESMFold	4908955at2759	526	318	24	275	ready_for_inference	209	139	151	95	none_recorded	general_validation_still_required
ESMFold	4911644at2759	526	744	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4940884at2759	526	469	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4969018at2759	526	374	8	336	ready_for_inference	125	56	84	44	none_recorded	general_validation_still_required
ESMFold	4969636at2759	526	295	13	291	ready_for_inference	168	128	154	93	none_recorded	general_validation_still_required
ESMFold	4969990at2759	526	346	9	345	ready_for_inference	267	138	180	90	none_recorded	general_validation_still_required
ESMFold	4970387at2759	526	136	135	136	ready_for_inference	129	125	70	45	none_recorded	general_validation_still_required
ESMFold	4970538at2759	526	900	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4971272at2759	526	375	6	375	ready_for_inference	292	91	122	43	none_recorded	general_validation_still_required
ESMFold	4974767at2759	526	134	24	74	ready_for_inference	50	29	26	17	none_recorded	general_validation_still_required
ESMFold	4975094at2759	526	852	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4976279at2759	526	228	11	228	ready_for_inference	176	108	155	80	none_recorded	general_validation_still_required
ESMFold	4977163at2759	526	141	144	141	ready_for_inference	131	128	111	100	none_recorded	general_validation_still_required
ESMFold	4977863at2759	526	288	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4983000at2759	526	453	1	283	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4985971at2759	526	281	16	281	ready_for_inference	213	143	146	84	none_recorded	general_validation_still_required
ESMFold	4986044at2759	526	313	1	180	insufficient_structural_coverage	0	0	0	0	requires_gene_copy_reconciliation_before_confirmatory_single_ortholog_analysis	withhold_pending_copy_reconciliation
ESMFold	4987397at2759	526	681	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4988239at2759	526	893	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	4999134at2759	526	2295	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5000045at2759	526	301	16	301	ready_for_inference	265	197	156	98	none_recorded	general_validation_still_required
ESMFold	5000152at2759	526	1184	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5000362at2759	526	672	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5000371at2759	526	429	15	411	ready_for_inference	329	263	251	180	none_recorded	general_validation_still_required
ESMFold	5000452at2759	526	292	47	292	ready_for_inference	289	279	245	211	none_recorded	general_validation_still_required
ESMFold	5000476at2759	526	306	10	306	ready_for_inference	240	193	127	81	none_recorded	general_validation_still_required
ESMFold	5000743at2759	526	166	158	166	ready_for_inference	157	151	142	134	none_recorded	general_validation_still_required
ESMFold	5000823at2759	526	802	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5000870at2759	526	707	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5000986at2759	526	404	2	251	insufficient_structural_coverage	73	0	40	0	none_recorded	general_validation_still_required
ESMFold	5001156at2759	526	229	15	229	ready_for_inference	172	127	138	100	none_recorded	general_validation_still_required
ESMFold	5001273at2759	526	229	141	229	ready_for_inference	218	200	171	158	none_recorded	general_validation_still_required
ESMFold	5001280at2759	526	754	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5001318at2759	526	310	13	261	ready_for_inference	135	94	87	64	none_recorded	general_validation_still_required
ESMFold	5001413at2759	526	251	72	251	ready_for_inference	200	181	193	166	none_recorded	general_validation_still_required
ESMFold	5001473at2759	526	81	121	81	ready_for_inference	52	38	36	26	none_recorded	general_validation_still_required
ESMFold	5001660at2759	526	636	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5001734at2759	526	177	120	172	ready_for_inference	116	104	51	39	none_recorded	general_validation_still_required
ESMFold	5001941at2759	526	568	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5002334at2759	526	227	19	227	ready_for_inference	181	161	134	109	none_recorded	general_validation_still_required
ESMFold	5002573at2759	526	357	11	357	ready_for_inference	313	199	222	119	none_recorded	general_validation_still_required
ESMFold	5003022at2759	526	776	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5003192at2759	526	399	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5003205at2759	526	1015	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5003856at2759	526	219	35	219	ready_for_inference	191	156	150	111	none_recorded	general_validation_still_required
ESMFold	5003972at2759	526	205	78	201	ready_for_inference	155	125	168	132	none_recorded	general_validation_still_required
ESMFold	5004118at2759	526	134	17	81	ready_for_inference	62	46	23	11	none_recorded	general_validation_still_required
ESMFold	5004265at2759	526	219	3	134	insufficient_structural_coverage	57	0	15	0	none_recorded	general_validation_still_required
ESMFold	5004327at2759	526	697	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5004391at2759	526	865	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5004478at2759	526	299	6	261	ready_for_inference	168	69	106	52	none_recorded	general_validation_still_required
ESMFold	5004599at2759	526	382	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5005010at2759	526	92	145	92	ready_for_inference	90	88	35	25	none_recorded	general_validation_still_required
ESMFold	5005174at2759	526	169	102	136	ready_for_inference	115	106	68	51	none_recorded	general_validation_still_required
ESMFold	5005196at2759	526	371	9	291	ready_for_inference	208	141	135	93	none_recorded	general_validation_still_required
ESMFold	5005215at2759	526	243	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5005217at2759	526	361	1	349	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5005274at2759	526	233	18	157	ready_for_inference	122	76	45	22	none_recorded	general_validation_still_required
ESMFold	5005697at2759	526	243	1	169	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5005750at2759	526	107	134	107	ready_for_inference	90	80	73	62	none_recorded	general_validation_still_required
ESMFold	5005892at2759	526	302	13	288	ready_for_inference	193	127	161	79	none_recorded	general_validation_still_required
ESMFold	5006326at2759	526	539	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5006412at2759	526	168	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5011777at2759	526	656	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5013042at2759	526	333	7	333	ready_for_inference	242	148	114	61	none_recorded	general_validation_still_required
ESMFold	5013067at2759	526	323	17	306	ready_for_inference	252	183	202	151	none_recorded	general_validation_still_required
ESMFold	5013259at2759	526	144	123	120	ready_for_inference	110	107	68	52	none_recorded	general_validation_still_required
ESMFold	5013539at2759	526	224	51	223	ready_for_inference	170	149	142	117	none_recorded	general_validation_still_required
ESMFold	5013726at2759	526	171	136	165	ready_for_inference	133	124	95	80	none_recorded	general_validation_still_required
ESMFold	5013738at2759	526	170	136	170	ready_for_inference	143	128	101	82	none_recorded	general_validation_still_required
ESMFold	5013992at2759	526	786	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5014007at2759	526	521	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5015403at2759	526	314	13	314	ready_for_inference	213	162	197	119	none_recorded	general_validation_still_required
ESMFold	5015647at2759	526	525	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	5015712at2759	526	485	6	422	ready_for_inference	262	55	108	36	none_recorded	general_validation_still_required
ESMFold	5015742at2759	526	419	4	394	ready_for_inference	287	32	177	33	none_recorded	general_validation_still_required
ESMFold	5015876at2759	526	325	2	249	insufficient_structural_coverage	54	0	35	0	none_recorded	general_validation_still_required
ESMFold	5017019at2759	526	140	8	139	ready_for_inference	103	53	76	35	none_recorded	general_validation_still_required
ESMFold	5018803at2759	526	408	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	529759at2759	526	226	143	226	ready_for_inference	157	128	130	109	none_recorded	general_validation_still_required
ESMFold	530014at2759	526	776	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	530740at2759	526	304	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	538728at2759	526	279	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	538952at2759	526	266	2	216	insufficient_structural_coverage	80	0	58	0	none_recorded	general_validation_still_required
ESMFold	539632at2759	526	257	31	257	ready_for_inference	173	151	129	87	none_recorded	general_validation_still_required
ESMFold	540946at2759	526	403	9	401	ready_for_inference	301	186	210	127	none_recorded	general_validation_still_required
ESMFold	541070at2759	526	222	122	222	ready_for_inference	191	185	184	168	none_recorded	general_validation_still_required
ESMFold	554735at2759	526	231	131	231	ready_for_inference	198	186	183	148	none_recorded	general_validation_still_required
ESMFold	649304at2759	526	293	26	276	ready_for_inference	203	181	158	126	none_recorded	general_validation_still_required
ESMFold	707076at2759	526	239	87	228	ready_for_inference	189	138	143	113	none_recorded	general_validation_still_required
ESMFold	707202at2759	526	326	9	323	ready_for_inference	262	168	219	120	none_recorded	general_validation_still_required
ESMFold	727964at2759	526	241	11	241	ready_for_inference	166	103	137	60	none_recorded	general_validation_still_required
ESMFold	730114at2759	526	530	0	0	insufficient_structural_coverage	0	0	0	0	none_recorded	general_validation_still_required
ESMFold	760428at2759	526	338	16	331	ready_for_inference	290	238	262	189	none_recorded	general_validation_still_required
ESMFold	776280at2759	526	261	4	243	ready_for_inference	122	7	91	12	none_recorded	general_validation_still_required
ESMFold	801816at2759	526	153	154	153	ready_for_inference	135	118	110	97	none_recorded	general_validation_still_required
