taxa	columns	constant_columns	parsimony_informative_columns	all_gap_or_ambiguous_columns	unambiguous_residue_fraction	marker	columns_occupancy_0.25	columns_occupancy_0.5	columns_occupancy_0.75
495	2065	1003	387	0	0.07417614400665248	5001473at2759	188	130	105
484	4763	2791	869	0	0.13970334343762092	5001660at2759	681	646	628
476	4163	2451	686	0	0.06715068924519123	5001734at2759	307	233	217
451	5287	1561	2229	0	0.16836427215313302	5001941at2759	986	798	683
466	7222	3194	2078	0	0.06955113310188349	5002334at2759	526	385	299
480	5447	3474	697	0	0.07697891805887033	5002573at2759	423	390	378
471	6016	2444	1896	0	0.1544469525003388	5003022at2759	974	877	797
469	8462	4717	1551	0	0.06806019535976464	5003192at2759	617	494	419
499	7441	3092	2745	0	0.19330988276782027	5003205at2759	1566	1394	1237
490	3829	2042	780	0	0.08862067678991158	5003856at2759	365	312	267
481	6349	3155	1611	0	0.05500759855776394	5003972at2759	294	258	236
481	2943	1604	654	0	0.0985071168557407	5004118at2759	333	249	194
489	5858	3233	818	0	0.05794533335288257	5004265at2759	354	321	272
473	8609	3909	2403	0	0.1102420717588187	5004327at2759	1033	837	707
478	12757	5886	3196	0	0.09110659731321519	5004391at2759	1222	1075	892
482	4437	2549	966	0	0.10703187174617068	5004478at2759	534	434	389
484	4939	2399	1557	4	0.16226182567823313	5004599at2759	857	760	687
476	818	246	235	0	0.15111154486244374	5005010at2759	130	115	110
477	4510	2877	656	0	0.06026905037489483	5005174at2759	326	223	172
476	8033	5622	818	0	0.05965230608613419	5005196at2759	458	444	435
494	6171	3072	1347	0	0.10608684869872599	5005215at2759	721	618	541
483	4735	2070	1477	0	0.1163674762407603	5005217at2759	572	492	449
482	6228	3677	1113	0	0.06479438328309842	5005274at2759	455	369	256
504	3757	1644	1345	0	0.168908513631697	5005697at2759	739	602	513
474	5488	3806	672	0	0.039236738999397225	5005750at2759	230	191	140
480	7631	4591	1162	0	0.06149587210064212	5005892at2759	500	401	336
486	5877	3304	972	0	0.10622038483003073	5006326at2759	620	592	585
479	5695	2509	2032	1	0.1249625628458469	5006412at2759	889	603	462
502	6692	2039	2885	0	0.13826552725142466	5011777at2759	1102	745	584
436	6376	4623	825	0	0.07067932499165448	5013042at2759	457	411	395
473	2628	1574	464	0	0.13059956043390258	5013067at2759	346	330	325
500	1608	968	393	0	0.11471268656716418	5013259at2759	206	174	158
489	4538	2918	665	0	0.0698022876126254	5013539at2759	327	289	270
475	8230	4358	269	0	0.02627741894225235	5013726at2759	183	183	181
487	6111	4226	551	0	0.044640610042079164	5013738at2759	269	252	207
488	3779	1325	1681	0	0.23427353059834546	5013992at2759	976	820	777
474	6766	3390	1397	0	0.0971374619436223	5014007at2759	703	617	552
480	7688	5096	1025	0	0.06289997398543185	5015403at2759	493	436	400
480	6299	3375	1683	0	0.15066445732126793	5015647at2759	1023	893	808
472	6432	4141	945	0	0.08167056665823426	5015712at2759	542	503	455
466	6173	3587	1126	0	0.08612613840280496	5015742at2759	546	488	452
498	5962	3815	1021	0	0.09553140438304712	5015876at2759	617	531	481
480	7024	3505	1513	0	0.07560061930523918	5017019at2759	601	413	378
489	6882	2314	2817	6	0.14735396389859085	5018803at2759	1156	930	693
490	5031	2803	454	0	0.05280404350171792	529759at2759	247	245	244
485	5020	2468	1305	0	0.17764242001067893	530014at2759	903	862	836
466	4251	1944	1166	0	0.0827969788476935	530740at2759	400	318	249
484	6179	3106	1357	0	0.09521753901176873	538728at2759	648	551	465
469	5126	2258	1487	0	0.11573133163678292	538952at2759	642	531	448
488	5277	3324	535	0	0.06213400559806398	539632at2759	311	306	297
478	6865	4425	1011	0	0.07096423249336425	540946at2759	511	439	397
477	4641	2126	1290	0	0.06666766045234414	541070at2759	291	253	225
459	2647	1495	527	0	0.10344838938807693	554735at2759	269	258	252
480	5192	3547	593	1	0.06667950693374422	649304at2759	359	318	291
492	4355	2770	426	0	0.06671473775587354	707076at2759	302	275	254
492	6473	3925	754	0	0.06257826443551011	707202at2759	415	363	350
473	6804	4358	1071	0	0.07021270910159799	727964at2759	486	450	407
480	6055	3898	794	0	0.09306151940545004	730114at2759	556	537	531
481	2683	786	1181	0	0.17157307541206163	760428at2759	522	400	343
502	4643	1799	1596	0	0.12293320793929602	776280at2759	643	519	428
478	3656	2127	372	0	0.0570043626342437	801816at2759	199	187	183
