case_id	marker	genus_label	translation_table	source_strict_taxa	excluded_curated_hybrids	retained_taxa	source_codon_columns	retained_codon_columns	minimum_observed_codons	maximum_observed_codons	marker_copy_caveat	status	selection_status
Wallemia__129234at2759__code1	129234at2759	Wallemia	1	4	0	4	193	159	159	159	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__129234at2759__code1	129234at2759	Umbelopsis	1	4	0	4	193	179	179	179	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__160487at2759__code1	160487at2759	Aspergillus	1	10	0	10	892	883	881	883	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__160487at2759__code1	160487at2759	Colletotrichum	1	10	0	10	892	879	875	879	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__160487at2759__code1	160487at2759	Fusarium	1	10	0	10	892	879	879	879	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__160487at2759__code1	160487at2759	Trichoderma	1	10	0	10	892	879	847	879	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__160487at2759__code1	160487at2759	Saccharomyces	1	7	0	7	892	858	857	858	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__160487at2759__code1	160487at2759	Candida	1	0	0	0	892	0	0	0	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Candida__160487at2759__code12	160487at2759	Candida	12	4	0	4	892	870	870	870	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Amanita__160487at2759__code1	160487at2759	Amanita	1	6	0	6	892	878	874	878	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__160487at2759__code1	160487at2759	Suillus	1	8	0	8	892	871	871	871	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__160487at2759__code1	160487at2759	Naganishia	1	3	0	3	892	869	869	869	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Malassezia__160487at2759__code1	160487at2759	Malassezia	1	5	0	5	892	871	857	871	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__160487at2759__code1	160487at2759	Microbotryum	1	4	0	4	892	867	867	867	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__160487at2759__code1	160487at2759	Serendipita	1	2	0	2	892	866	866	866	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__160487at2759__code1	160487at2759	Tilletia	1	5	0	5	892	878	875	878	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__160487at2759__code1	160487at2759	Cryptococcus	1	9	0	9	892	872	839	872	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__160487at2759__code1	160487at2759	Wallemia	1	4	0	4	892	860	860	860	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__160487at2759__code1	160487at2759	Umbelopsis	1	4	0	4	892	877	877	877	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__201273at2759__code1	201273at2759	Aspergillus	1	10	0	10	260	259	255	259	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__201273at2759__code1	201273at2759	Colletotrichum	1	8	0	8	260	259	225	259	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__201273at2759__code1	201273at2759	Fusarium	1	10	0	10	260	259	259	259	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__201273at2759__code1	201273at2759	Trichoderma	1	10	0	10	260	259	259	259	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__201273at2759__code1	201273at2759	Saccharomyces	1	7	0	7	260	257	257	257	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__201273at2759__code1	201273at2759	Candida	1	0	0	0	260	0	0	0	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Candida__201273at2759__code12	201273at2759	Candida	12	2	0	2	260	257	257	257	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Amanita__201273at2759__code1	201273at2759	Amanita	1	6	0	6	260	242	219	242	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__201273at2759__code1	201273at2759	Suillus	1	7	0	7	260	260	260	260	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__201273at2759__code1	201273at2759	Naganishia	1	4	0	4	260	258	258	258	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Malassezia__201273at2759__code1	201273at2759	Malassezia	1	5	0	5	260	260	260	260	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__201273at2759__code1	201273at2759	Microbotryum	1	4	0	4	260	260	260	260	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__201273at2759__code1	201273at2759	Serendipita	1	1	0	1	260	260	260	260	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__201273at2759__code1	201273at2759	Tilletia	1	5	0	5	260	260	260	260	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__201273at2759__code1	201273at2759	Cryptococcus	1	10	0	10	260	254	254	254	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__201273at2759__code1	201273at2759	Wallemia	1	4	0	4	260	254	254	254	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__201273at2759__code1	201273at2759	Umbelopsis	1	4	0	4	260	260	260	260	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__207567at2759__code1	207567at2759	Aspergillus	1	9	0	9	180	176	175	176	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__207567at2759__code1	207567at2759	Colletotrichum	1	10	0	10	180	179	179	179	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__207567at2759__code1	207567at2759	Fusarium	1	10	0	10	180	179	179	179	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__207567at2759__code1	207567at2759	Trichoderma	1	10	0	10	180	179	179	179	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__207567at2759__code1	207567at2759	Saccharomyces	1	7	0	7	180	180	180	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__207567at2759__code1	207567at2759	Candida	1	1	0	1	180	180	180	180	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Candida__207567at2759__code12	207567at2759	Candida	12	4	0	4	180	180	180	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Amanita__207567at2759__code1	207567at2759	Amanita	1	7	0	7	180	180	119	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__207567at2759__code1	207567at2759	Suillus	1	10	0	10	180	180	180	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__207567at2759__code1	207567at2759	Naganishia	1	4	0	4	180	140	140	140	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Malassezia__207567at2759__code1	207567at2759	Malassezia	1	5	0	5	180	180	180	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__207567at2759__code1	207567at2759	Microbotryum	1	3	0	3	180	180	180	180	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Serendipita__207567at2759__code1	207567at2759	Serendipita	1	2	0	2	180	180	180	180	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__207567at2759__code1	207567at2759	Tilletia	1	5	0	5	180	180	171	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__207567at2759__code1	207567at2759	Cryptococcus	1	10	0	10	180	180	180	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__207567at2759__code1	207567at2759	Wallemia	1	4	0	4	180	151	151	151	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__207567at2759__code1	207567at2759	Umbelopsis	1	4	0	4	180	180	180	180	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__260326at2759__code1	260326at2759	Aspergillus	1	10	0	10	170	166	166	166	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__260326at2759__code1	260326at2759	Colletotrichum	1	10	0	10	170	168	162	168	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__260326at2759__code1	260326at2759	Fusarium	1	10	0	10	170	168	141	168	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__260326at2759__code1	260326at2759	Trichoderma	1	10	0	10	170	168	163	168	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__260326at2759__code1	260326at2759	Saccharomyces	1	7	0	7	170	169	169	169	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__260326at2759__code12	260326at2759	Candida	12	4	0	4	170	170	170	170	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Amanita__260326at2759__code1	260326at2759	Amanita	1	6	0	6	170	170	170	170	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__260326at2759__code1	260326at2759	Suillus	1	10	0	10	170	170	142	170	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__260326at2759__code1	260326at2759	Naganishia	1	4	0	4	170	122	122	122	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Malassezia__260326at2759__code1	260326at2759	Malassezia	1	3	0	3	170	115	115	115	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Microbotryum__260326at2759__code1	260326at2759	Microbotryum	1	4	0	4	170	155	155	155	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__260326at2759__code1	260326at2759	Serendipita	1	2	0	2	170	170	170	170	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__260326at2759__code1	260326at2759	Tilletia	1	5	0	5	170	170	170	170	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__260326at2759__code1	260326at2759	Cryptococcus	1	10	0	10	170	170	135	170	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__260326at2759__code1	260326at2759	Wallemia	1	4	0	4	170	148	148	148	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__260326at2759__code1	260326at2759	Umbelopsis	1	4	0	4	170	149	149	149	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__2852757at2759__code1	2852757at2759	Aspergillus	1	10	0	10	502	494	486	494	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__2852757at2759__code1	2852757at2759	Colletotrichum	1	9	0	9	502	493	480	493	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__2852757at2759__code1	2852757at2759	Fusarium	1	10	0	10	502	493	488	493	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__2852757at2759__code1	2852757at2759	Trichoderma	1	9	0	9	502	486	486	486	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__2852757at2759__code1	2852757at2759	Saccharomyces	1	7	0	7	502	459	459	459	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__2852757at2759__code1	2852757at2759	Candida	1	0	0	0	502	0	0	0	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Candida__2852757at2759__code12	2852757at2759	Candida	12	4	0	4	502	466	466	466	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Amanita__2852757at2759__code1	2852757at2759	Amanita	1	5	0	5	502	474	470	474	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__2852757at2759__code1	2852757at2759	Suillus	1	10	0	10	502	480	466	480	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__2852757at2759__code1	2852757at2759	Naganishia	1	3	0	3	502	469	469	469	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Malassezia__2852757at2759__code1	2852757at2759	Malassezia	1	5	0	5	502	473	465	473	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__2852757at2759__code1	2852757at2759	Microbotryum	1	4	0	4	502	484	484	484	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__2852757at2759__code1	2852757at2759	Serendipita	1	2	0	2	502	474	474	474	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__2852757at2759__code1	2852757at2759	Tilletia	1	2	0	2	502	494	494	494	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Cryptococcus__2852757at2759__code1	2852757at2759	Cryptococcus	1	10	0	10	502	480	477	480	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__2852757at2759__code1	2852757at2759	Wallemia	1	4	0	4	502	467	467	467	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__2852757at2759__code1	2852757at2759	Umbelopsis	1	4	0	4	502	463	463	463	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__288615at2759__code1	288615at2759	Aspergillus	1	10	0	10	673	658	511	658	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__288615at2759__code1	288615at2759	Colletotrichum	1	9	0	9	673	662	641	662	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__288615at2759__code1	288615at2759	Fusarium	1	10	0	10	673	662	662	662	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__288615at2759__code1	288615at2759	Trichoderma	1	9	0	9	673	659	659	659	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__288615at2759__code1	288615at2759	Saccharomyces	1	7	0	7	673	607	607	607	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__288615at2759__code1	288615at2759	Candida	1	1	0	1	673	600	600	600	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Candida__288615at2759__code12	288615at2759	Candida	12	4	0	4	673	598	598	598	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Amanita__288615at2759__code1	288615at2759	Amanita	1	7	0	7	673	635	630	635	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__288615at2759__code1	288615at2759	Suillus	1	10	0	10	673	638	637	638	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__288615at2759__code1	288615at2759	Naganishia	1	4	0	4	673	447	447	447	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Malassezia__288615at2759__code1	288615at2759	Malassezia	1	5	0	5	673	611	610	611	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__288615at2759__code1	288615at2759	Microbotryum	1	4	0	4	673	636	636	636	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__288615at2759__code1	288615at2759	Serendipita	1	2	0	2	673	612	612	612	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__288615at2759__code1	288615at2759	Tilletia	1	4	0	4	673	637	637	637	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__288615at2759__code1	288615at2759	Cryptococcus	1	10	0	10	673	625	582	625	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__288615at2759__code1	288615at2759	Wallemia	1	4	0	4	673	608	608	608	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__288615at2759__code1	288615at2759	Umbelopsis	1	4	0	4	673	623	623	623	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__319730at2759__code1	319730at2759	Aspergillus	1	10	0	10	452	447	447	447	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__319730at2759__code1	319730at2759	Colletotrichum	1	9	0	9	452	446	443	446	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__319730at2759__code1	319730at2759	Fusarium	1	9	0	9	452	443	443	443	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__319730at2759__code1	319730at2759	Trichoderma	1	9	0	9	452	447	433	447	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__319730at2759__code1	319730at2759	Saccharomyces	1	7	0	7	452	450	450	450	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__319730at2759__code1	319730at2759	Candida	1	0	0	0	452	0	0	0	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Candida__319730at2759__code12	319730at2759	Candida	12	4	0	4	452	445	445	445	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Amanita__319730at2759__code1	319730at2759	Amanita	1	7	0	7	452	435	434	435	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__319730at2759__code1	319730at2759	Suillus	1	10	0	10	452	447	374	447	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__319730at2759__code1	319730at2759	Naganishia	1	2	0	2	452	447	447	447	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Malassezia__319730at2759__code1	319730at2759	Malassezia	1	5	0	5	452	448	444	448	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__319730at2759__code1	319730at2759	Microbotryum	1	4	0	4	452	443	443	443	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__319730at2759__code1	319730at2759	Serendipita	1	2	0	2	452	443	443	443	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__319730at2759__code1	319730at2759	Tilletia	1	5	0	5	452	448	448	448	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__319730at2759__code1	319730at2759	Cryptococcus	1	10	0	10	452	446	446	446	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__319730at2759__code1	319730at2759	Wallemia	1	4	0	4	452	388	388	388	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__319730at2759__code1	319730at2759	Umbelopsis	1	4	0	4	452	423	423	423	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Aspergillus__340246at2759__code1	340246at2759	Aspergillus	1	10	0	10	727	684	679	684	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Colletotrichum__340246at2759__code1	340246at2759	Colletotrichum	1	10	0	10	727	695	689	695	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Fusarium__340246at2759__code1	340246at2759	Fusarium	1	10	0	10	727	691	685	691	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Trichoderma__340246at2759__code1	340246at2759	Trichoderma	1	9	0	9	727	689	631	689	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Saccharomyces__340246at2759__code1	340246at2759	Saccharomyces	1	7	0	7	727	655	651	655	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Candida__340246at2759__code12	340246at2759	Candida	12	3	0	3	727	551	551	551	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Amanita__340246at2759__code1	340246at2759	Amanita	1	4	0	4	727	626	626	626	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Suillus__340246at2759__code1	340246at2759	Suillus	1	9	0	9	727	668	666	668	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Naganishia__340246at2759__code1	340246at2759	Naganishia	1	4	0	4	727	619	619	619	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Malassezia__340246at2759__code1	340246at2759	Malassezia	1	5	0	5	727	663	656	662	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Microbotryum__340246at2759__code1	340246at2759	Microbotryum	1	4	0	4	727	662	662	662	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Serendipita__340246at2759__code1	340246at2759	Serendipita	1	2	0	2	727	657	657	657	none_recorded	insufficient_coverage_after_taxon_policy	not_validated_for_selection_testing
Tilletia__340246at2759__code1	340246at2759	Tilletia	1	4	0	4	727	654	654	654	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Cryptococcus__340246at2759__code1	340246at2759	Cryptococcus	1	10	0	10	727	669	645	669	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Wallemia__340246at2759__code1	340246at2759	Wallemia	1	4	0	4	727	648	648	648	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
Umbelopsis__340246at2759__code1	340246at2759	Umbelopsis	1	4	0	4	727	619	619	619	none_recorded	ready_for_tree_and_divergence_diagnostics	not_validated_for_selection_testing
