marker	taxon_id	protein_id	sequence_sha256	model_id	model_version	model_path	model_sha256	model_provider	model_tool	all_source_candidate_models	exact_sequence_candidate_models	retained_marker_residues	mean_retained_ca_plddt	fraction_retained_ca_plddt_ge70
260326at2759	O5755	XP_004333351.1	f79944a097609ee5ae1c382e845f9c1980e6e5b44002d2bbfbb4d850d4ea099b	AF-L8GF23-F1	6	data/structures/afdb/AF-L8GF23-F1-v6.cif	3563d72c28d50c68e7b794d2d7a166ee4759f6fd22ccf9239fe677e540202312	GDM	AlphaFold Monomer v2.0 pipeline	1	1	144	88.55090277777778	0.9097222222222222
2852757at2759	F574774	OCL02798.1	fe01c3946a40831d2566f18cb216d897e8d0a17c79f11d1daae8afa760711986	AF-A0A8E2EQG3-F1	6	data/structures/afdb/AF-A0A8E2EQG3-F1-v6.cif	4243e62f8014c8f65f9a4cc7f273ee07b2bf6999833cc92278886f0a3f815e57	GDM	AlphaFold Monomer v2.0 pipeline	1	1	264	88.45094696969704	0.9772727272727273
2852757at2759	O44689	XP_001134521.1	b2a067e1a94cf09f634022552fae95916263e9a742a467d4bc5bd24459bcdd0c	AF-Q1ZXD3-F1	6	data/structures/afdb/AF-Q1ZXD3-F1-v6.cif	cd568c78f97480e848ff2609933ba0164e4675c9992d712949491ce278cc6244	GDM	AlphaFold Monomer v2.0 pipeline	1	1	262	85.90656488549625	0.9885496183206107
319730at2759	F144530	CAG8433842.1	b95e72738c0e11d0d54d56b2ba65f192804f327f400866f31fbf5999590bbdb9	AF-A0A9N8V0R4-F1	6	data/structures/afdb/AF-A0A9N8V0R4-F1-v6.cif	7d382cdc1e67ae4e1d9517267fd914d235812e34f4b4cf8e313892e0d17b2c4e	GDM	AlphaFold Monomer v2.0 pipeline	1	1	400	94.84452500000009	0.985
319730at2759	F289078	SCZ91913.1	7dfeb1740e71c20487ec4135d31ed3832bcfe3cd7d3d5103252f7184c8d942ac	AF-A0A2X0K7R3-F1	6	data/structures/afdb/AF-A0A2X0K7R3-F1-v6.cif	8abd745ab73efdb4095ffe408b3d26a3fd1a9cd023c4e1f12b30595dd2a603f4	GDM	AlphaFold Monomer v2.0 pipeline	1	1	399	92.97077694235587	0.9649122807017544
319730at2759	F423460	ORX79870.1	31b0a6c5de3f07d94047fa2dd4eabf9f1e5d68bc3d2e197d2e45bf9b3583763d	AF-A0A1Y1X240-F1	6	data/structures/afdb/AF-A0A1Y1X240-F1-v6.cif	477c4363fc8e4f3f68a4fe84c6904dd3e4c2bff03acfcbb6e279a2e9e158f9cc	GDM	AlphaFold Monomer v2.0 pipeline	1	1	400	95.59625000000007	0.9925
319730at2759	F703497	KAF2670027.1	268de336ecc23e41e2099b35e1bd3bc419765459ca941356c423653175d949de	AF-A0A6A6UEV9-F1	6	data/structures/afdb/AF-A0A6A6UEV9-F1-v6.cif	586977739067f2e92c8cfa0db4aa27e694a1601b0f87cf50427e11481fecdacd	GDM	AlphaFold Monomer v2.0 pipeline	1	1	399	95.88413533834594	0.9849624060150376
345792at2759	F116603	XP_041155212.1	e306e33e36f4f8ef85739c6cdd96018630b928103f2aee1bf9d351b3c78dc19d	AF-A0A9P7AEP2-F1	6	data/structures/afdb/AF-A0A9P7AEP2-F1-v6.cif	c2b30cb0b68c24103e51ab5b43d85ee38c5550c3116e68328f68b864e6342cfd	GDM	AlphaFold Monomer v2.0 pipeline	1	1	226	93.03146017699113	0.9823008849557522
352891at2759	F109876	ORZ29807.1	51a7dffd869b605a135afc07779f2825390149d94f52f77c8b7445dea950cc24	AF-A0A1Y2H5F4-F1	6	data/structures/afdb/AF-A0A1Y2H5F4-F1-v6.cif	48aa3c23b737ef0fbd90d2f2c09c2ae4318b95f952fddfc2d371b4fc02582893	GDM	AlphaFold Monomer v2.0 pipeline	1	1	245	92.8609387755102	0.963265306122449
4613677at2759	F1141098	XP_040712747.1	10a101a97189fed9a6784da1a0abcdf985927a255c1d4f367356206e6481784a	AF-A0A1Y2DMP5-F1	6	data/structures/afdb/AF-A0A1Y2DMP5-F1-v6.cif	adafb6c62a8a985ba59881b6a5f65ad95112ee78bd2ed51546f7df0ff97afbaf	GDM	AlphaFold Monomer v2.0 pipeline	1	1	69	82.73347826086955	0.9130434782608695
4613677at2759	F1328300	XP_052916499.1	4e411c3dd3f6dcb8ef7147709760f09da378251569083bcf6b52331f9d47c32d	AF-A0A9W8R0K2-F1	6	data/structures/afdb/AF-A0A9W8R0K2-F1-v6.cif	3c1fd8f9d957ed0d6dbeb7555c8f5497091bba71f9c0bb04a213974a0ab32c67	GDM	AlphaFold Monomer v2.0 pipeline	1	1	72	80.77277777777776	0.9027777777777778
4613677at2759	F177197	OIW31047.1	ffacc9949fb56f182af909fbc8edc9ec4db1863358732d522b3479a9eb9338fb	AF-A0A1J7ITM8-F1	6	data/structures/afdb/AF-A0A1J7ITM8-F1-v6.cif	49ce455430c60d7a40f8f6fb5ea5bab8a4bdd7b3ec963428e13ba63770d4880b	GDM	AlphaFold Monomer v2.0 pipeline	1	1	66	79.97045454545453	0.8787878787878788
4613677at2759	F1806994	XP_031022881.1	b902dd623bc7d7981b9a3eaa85a3fc47cf78704dac41e3f6536809d8086c2534	AF-A0A507BMM2-F1	6	data/structures/afdb/AF-A0A507BMM2-F1-v6.cif	105ba7ec93166e8bd3e740314241ea2eefed01286178389ba0cf3ed7e63285b1	GDM	AlphaFold Monomer v2.0 pipeline	1	1	72	87.615	0.9722222222222222
4613677at2759	F182096	XP_043140121.1	e5c6fb92860b3140389f8e01c65f56b876fad6ff21c579a240c720dadf08a06f	AF-A0A7R7VWU1-F1	6	data/structures/afdb/AF-A0A7R7VWU1-F1-v6.cif	3028100fe8d7848c6d71a6028c9112fb88ccbd3404f2fd096ec78b0917e16c65	GDM	AlphaFold Monomer v2.0 pipeline	1	1	68	77.63132352941174	0.8235294117647058
4613677at2759	F195108	XP_053005830.1	4e411c3dd3f6dcb8ef7147709760f09da378251569083bcf6b52331f9d47c32d	AF-A0A9W8R0K2-F1	6	data/structures/afdb/AF-A0A9W8R0K2-F1-v6.cif	3c1fd8f9d957ed0d6dbeb7555c8f5497091bba71f9c0bb04a213974a0ab32c67	GDM	AlphaFold Monomer v2.0 pipeline	1	1	72	80.77277777777776	0.9027777777777778
4613677at2759	O1890364	PRP73253.1	c599590eed3f61592ee1535fbcdb24b223468e92dae402f74540d8498348dd31	AF-A0A2P6MNI2-F1	6	data/structures/afdb/AF-A0A2P6MNI2-F1-v6.cif	f9a1431f3d00264949efed94f7b64841a1243be23e26feb76e9d6224046f5ad5	GDM	AlphaFold Monomer v2.0 pipeline	1	1	73	83.3967123287671	0.9041095890410958
4613677at2759	O691883	XP_009497922.1	6d5d2d2a363ec0bbde4fbce47d82c0301abfcd4d9edd163b5eb1e1ed208dc008	AF-A0A058Z1C1-F1	6	data/structures/afdb/AF-A0A058Z1C1-F1-v6.cif	3c5b6188099ca94485fc4bd77734320fdd616290f68425e1acef5455b82c5671	GDM	AlphaFold Monomer v2.0 pipeline	1	1	72	77.73180555555555	0.8472222222222222
4747214at2759	F1176355	KAK1350577.1	cc1bc4f2b17b02df7e18a58850522eac992102161b9faaf108a32d7d6a1577e2	AF-A0A4Q9LCX9-F1	6	data/structures/afdb/AF-A0A4Q9LCX9-F1-v6.cif	2a4bb0356b9007749641d693e2c5ace0c0bb8d4e5e262a79656f74a58ac897ff	GDM	AlphaFold Monomer v2.0 pipeline	1	1	96	94.09427083333334	1.0
4747214at2759	F423460	ORX82085.1	32a1de8416512cd5bcbabc918800def9bbdb982891271707126a5c34c2a7ae85	AF-A0A1Y1X8J4-F1	6	data/structures/afdb/AF-A0A1Y1X8J4-F1-v6.cif	4689bbe34ce5554b881db4993efb20b1a0ac6d12509b4fb101237edaef8ff3ba	GDM	AlphaFold Monomer v2.0 pipeline	1	1	114	93.81903508771933	0.9824561403508771
4764044at2759	F215637	KAJ1975551.1	0017311de053245b69a8099cd7b366cc3ce54b8e615fffb2f046cf54c4458f39	AF-A0A4P9ZK29-F1	6	data/structures/afdb/AF-A0A4P9ZK29-F1-v6.cif	c094241bcb8a6e423a4af3c50ce684c79399b8685506514666805ac0280356ff	GDM	AlphaFold Monomer v2.0 pipeline	1	1	391	84.36268542199495	0.8849104859335039
4764044at2759	O72019	XP_014149154.1	3f7d594c2612972b9e625c782dcb90e6532ecd2ee6774247eda40640b0861ad1	AF-A0A0L0FER0-F1	6	data/structures/afdb/AF-A0A0L0FER0-F1-v6.cif	359504653ed3babb9127198824f660b2f66d6cf52d78362189728d02ac5200b7	GDM	AlphaFold Monomer v2.0 pipeline	1	1	336	85.21526785714283	0.9107142857142857
4803900at2759	F109760	XP_016604372.1	72aa772a0df349c884b2a147032d58ec6184a1a03313ec55dfc5b8454d14da28	AF-A0A0L0H532-F1	6	data/structures/afdb/AF-A0A0L0H532-F1-v6.cif	899e960fb28f342bd36c862c04d435798f3106a84959a320b4c3f8a19642312e	GDM	AlphaFold Monomer v2.0 pipeline	1	1	105	93.67266666666671	1.0
4803900at2759	F144679	CAG8439753.1	b285e71a6a9d6a4ee7578c3dd04330f27caaf9f4afb41b7c587bcbe3c669b344	AF-A0A9N8V202-F1	6	data/structures/afdb/AF-A0A9N8V202-F1-v6.cif	86410bbddb8a3ac604170505db2b23ae9bbeeddee4a609559c68868e4bde850b	GDM	AlphaFold Monomer v2.0 pipeline	1	1	106	95.3020754716981	1.0
4803900at2759	F209136	KAK3167897.1	0e67f4e32015d0ae08fde57947f2e5bdf71d3d9f321f3f8db9976dd12cf33718	AF-A0AAD9Z049-F1	6	data/structures/afdb/AF-A0AAD9Z049-F1-v6.cif	656a6a3a9dd72d923ff6a0608fa8b941e0d79accae91e73cd03229ae0057f512	GDM	AlphaFold Monomer v2.0 pipeline	1	1	105	88.92542857142861	0.8857142857142857
4803900at2759	F43959	XP_064852262.1	388d7a83033e848e74f619defc783766791197cc94e40d254d80aa7a282814d2	AF-A0AAV5QKE4-F1	6	data/structures/afdb/AF-A0AAV5QKE4-F1-v6.cif	771901a4b5ec2ef960f90f23520d88c21fba69f977eb408801c058c4c1607e05	GDM	AlphaFold Monomer v2.0 pipeline	1	1	106	95.98339622641504	1.0
4803900at2759	F979761	KAF9577755.1	7ac38cfddf0c0547656cb49cac89b5081d49467699d3edf8e6b6203114a56793	AF-A0A9P6FLE0-F1	6	data/structures/afdb/AF-A0A9P6FLE0-F1-v6.cif	a886ab62adb4f71d71afb053ee26de010a37583ba50418b5bc483959acfb9d26	GDM	AlphaFold Monomer v2.0 pipeline	1	1	105	95.39790476190475	1.0
4803900at2759	F994334	RUO96736.1	949b2ad467fcd2e8a3908576ac5ebeab9bfdfb7fec00c518d3418c3e5efb87b2	AF-A0A433A230-F1	6	data/structures/afdb/AF-A0A433A230-F1-v6.cif	b38038a3e972c77b00f528a3a7ed2724fa7cf5fb21dc90fe24a6c7b9d8976202	GDM	AlphaFold Monomer v2.0 pipeline	1	1	103	94.17553398058254	1.0
4803900at2759	O529818	XP_013763087.1	ae84d8520b711ba3ec2d3a62012572920307376f45831e19e2ad7852dd73ab49	AF-A0A0L0D176-F1	6	data/structures/afdb/AF-A0A0L0D176-F1-v6.cif	5416a229a5dbf561c5dd7571c3e3149d2a438befa84105fcff82852aefa342f7	GDM	AlphaFold Monomer v2.0 pipeline	1	1	106	95.23433962264158	1.0
4823929at2759	F1754191	ORX42868.1	8690ca98cac6f39b8c633a52ef425fc8dc3bdb2b604eedf13da4130c2ba092fb	AF-A0A1Y1UXC4-F1	6	data/structures/afdb/AF-A0A1Y1UXC4-F1-v6.cif	2a75e901b3c69ae772be72b5b29530dfc86d93d62133a23e4528dac660ddcb0c	GDM	AlphaFold Monomer v2.0 pipeline	1	1	418	92.17193779904315	0.9449760765550239
4823929at2759	F78915	RKP04708.1	106e4874040e8f9a266af43eabf1ecb45e9992ff0b9f19be94aedff4f4ec8920	AF-A0A4P9XGJ0-F1	6	data/structures/afdb/AF-A0A4P9XGJ0-F1-v6.cif	28cf175b6328e4e44958eded59bee5e82bac86f435dd826f1574b263865f98e7	GDM	AlphaFold Monomer v2.0 pipeline	1	1	412	86.85330097087378	0.8786407766990292
4823929at2759	O72019	XP_014149178.1	25050ecaf3e5c8b2b23e44aad162173fd02224f55f3708e49fb3016a2b8c7dd9	AF-A0A0L0FFM1-F1	6	data/structures/afdb/AF-A0A0L0FFM1-F1-v6.cif	b66734b2dde27c40b05b9bb85bce22a042bb823216ee6a72c8a09b1341fc9d8a	GDM	AlphaFold Monomer v2.0 pipeline	1	1	346	91.37390173410398	0.9508670520231214
4837017at2759	F42068	XP_018231284.1	7be55fe28c1b840d8a40976c85270d2981495380107df92a12ce1ffa6582a16b	AF-A0A0W4ZW42-F1	6	data/structures/afdb/AF-A0A0W4ZW42-F1-v6.cif	c5cb2a3aa7542657db9fcdf8ee0c9a1d19accaa66b0489e0233e465940e5d939	GDM	AlphaFold Monomer v2.0 pipeline	1	1	203	92.39507389162564	0.9852216748768473
4837017at2759	O81824	XP_001742195.1	32eec11ea1310ad6486c2d959d09955d7e8a0b5f89684a383b9b32629a669246	AF-A9UPJ4-F1	6	data/structures/afdb/AF-A9UPJ4-F1-v6.cif	000d94f82bd4f568d5b33e6ec512ce597d94247015528d1c2af8606aa04861c4	GDM	AlphaFold Monomer v2.0 pipeline	1	1	205	92.94853658536591	0.9902439024390244
4843824at2759	F34488	KXN65686.1	0044c96683341e31c3c6ba360a1d08d3e76f3299c4c717ac68c2c9324829b51e	AF-A0A137NSK7-F1	6	data/structures/afdb/AF-A0A137NSK7-F1-v6.cif	8f659d80fc8ee50564b3b00c6c236aba8534ac72188f5dbffe3db1eab43875b5	GDM	AlphaFold Monomer v2.0 pipeline	1	1	197	89.48928934010151	0.9137055837563451
4867008at2759	F1520584	KAJ1951677.1	8cfc0912aad5eef790a3022bbdcda97c2daab37751728c94cceefa5892f2c676	AF-A0A9W8AI39-F1	6	data/structures/afdb/AF-A0A9W8AI39-F1-v6.cif	527e38093f3aa9c3a05819107a1be15cf21889ad192af1ef725fbad1cd043f5b	GDM	AlphaFold Monomer v2.0 pipeline	1	1	171	94.09467836257312	1.0
4867008at2759	F1555241	RKO98940.1	87d67284e5f959c12db18d762f26c429dbcafbc8fd82ffb795448291ae5ca313	AF-A0A4P9WWD7-F1	6	data/structures/afdb/AF-A0A4P9WWD7-F1-v6.cif	cf001d4bf8502e79692aa66fc53edff68ca036b442eb069abf82b2a4b8513b0a	GDM	AlphaFold Monomer v2.0 pipeline	1	1	177	94.59700564971753	1.0
4867008at2759	F1754192	ORX64560.1	1d3d8045326620c07d21753bbba6e6f97704d8de21ff9b2899ba8c9be0b8eaa3	AF-A0A1Y1VTD7-F1	6	data/structures/afdb/AF-A0A1Y1VTD7-F1-v6.cif	0496af0744ec255c9498512f0e6e8d79e3906542f176003a3fd096f9d1eba7a5	GDM	AlphaFold Monomer v2.0 pipeline	1	1	177	95.40666666666667	1.0
4867008at2759	F288795	KDE09387.1	8eb1517086548d7ff68e8ff0a22dd0bf2cf5cdbbbec193dd8a3640e3dbb91533	AF-U5GYM8-F1	6	data/structures/afdb/AF-U5GYM8-F1-v6.cif	2c350ace9140d8790a37cdb7e6aef4321359828b25374d4cb2d93c06503a6698	GDM	AlphaFold Monomer v2.0 pipeline	1	1	141	95.84269503546096	1.0
4867008at2759	O81824	XP_001742705.1	de587ad0914a9d71eef81b9b9ec80657f32f7b168eaff84a5a2adc5c18d221b3	AF-A9UPW0-F1	6	data/structures/afdb/AF-A9UPW0-F1-v6.cif	d5c0678782b147ae795a049bcffbca4e3ebd9cd54f7b599a8141607d9c85fec8	GDM	AlphaFold Monomer v2.0 pipeline	1	1	175	93.52382857142854	0.9657142857142857
4896098at2759	F1348612	RHZ44830.1	0e3cdfb95d6a44bf2bb99a6868c3ddfc5598b85912a0c4036515b3ca5bd0464b	AF-A0A397G9Q9-F1	6	data/structures/afdb/AF-A0A397G9Q9-F1-v6.cif	ab4c1124af982cd6fee5bed87090473ca30f4ad5bc48116480861a2584b7a4c8	GDM	AlphaFold Monomer v2.0 pipeline	1	1	157	84.59566878980898	0.8662420382165605
4896098at2759	F1882483	PWY96852.1	0cd7f4a4320e55791c8373423ebd03252a1533f2a5984febbbf7b1ca0080605e	AF-A0A317XG32-F1	6	data/structures/afdb/AF-A0A317XG32-F1-v6.cif	8eaa925f09e16206cdff9095dcdf9ea800925d1ed9b379f8d93b35ee6ede50fc	GDM	AlphaFold Monomer v2.0 pipeline	1	1	156	87.44756410256414	0.9166666666666666
4896098at2759	F2650707	KAJ2847713.1	345a406b256c7fc2918537895cc85ed5ef8ccc76ffc3f0b0d83fbb462774d334	AF-A0A9W8I4P1-F1	6	data/structures/afdb/AF-A0A9W8I4P1-F1-v6.cif	7cf89c9ebf64d44245893d16250d1239663e4ae52794d5b544a0ccd6d5e92b1a	GDM	AlphaFold Monomer v2.0 pipeline	1	1	119	92.62310924369746	0.957983193277311
4896098at2759	F28583	KNE57383.1	297f0120b24af6f029c2aeda444439116f0d82f2049a3940538e128e354972a0	AF-A0A0L0S4B0-F1	6	data/structures/afdb/AF-A0A0L0S4B0-F1-v6.cif	3a82939326cf55fc4c54028d93fc7f9add115825db00f6e893c40e3f6ec1de9a	GDM	AlphaFold Monomer v2.0 pipeline	1	1	157	85.96031847133757	0.8789808917197452
4896098at2759	F34488	KXN65093.1	26d0ad17b2da9f307277f735d9377a0a2b9c3f295d7419f4cc107d4079184b82	AF-A0A137NQQ3-F1	6	data/structures/afdb/AF-A0A137NQQ3-F1-v6.cif	9ab8351d1434f6d2471ba1d1ffbe9af3b0b81c79b4a616a0690c297639b8b161	GDM	AlphaFold Monomer v2.0 pipeline	1	1	156	86.25750000000006	0.8846153846153846
4900375at2759	F101097	KAG0005613.1	659a1820bb15dfc9f3a13725b97e05f0fd9394c04506068b3f9219c68879087f	AF-A0A9P6MN20-F1	6	data/structures/afdb/AF-A0A9P6MN20-F1-v6.cif	e2b9a745f48b54174e70428364124884e5b13bd2d7c4987fe924449178b314f5	GDM	AlphaFold Monomer v2.0 pipeline	1	1	119	84.47655462184872	0.907563025210084
4900375at2759	F1117311	CAI2162859.1	eece51c8a25836609b95dd54dd51ea550e18487f71b28d29e6116d13aa47affa	AF-A0A9W4SBT2-F1	6	data/structures/afdb/AF-A0A9W4SBT2-F1-v6.cif	92851b296830c978f7e3a8e1ceaeda24f76f660b2812612bf6d470055393c473	GDM	AlphaFold Monomer v2.0 pipeline	1	1	169	87.87662721893487	0.9053254437869822
4900375at2759	F58291	XP_023461239.1	0304cafa977b4ffb462e1a06a8ba34c4d927068586d98d236c67a59ea9af71ec	AF-A0A2G4SFI3-F1	6	data/structures/afdb/AF-A0A2G4SFI3-F1-v6.cif	9412a8449242566c363493ca67e8db1d713fc3ff4ffb9faa33b42e4f7836643c	GDM	AlphaFold Monomer v2.0 pipeline	1	1	167	92.47221556886228	1.0
4908955at2759	F109760	XP_016604034.1	9d6c7030c5aab34c9429720576ec27b5ee7f79c56e30d32734fe294557cca44f	AF-A0A0L0H4U8-F1	6	data/structures/afdb/AF-A0A0L0H4U8-F1-v6.cif	71017bc54955102580e0b70831505186f962a7ceb72d5249e01670b665ffef91	GDM	AlphaFold Monomer v2.0 pipeline	1	1	318	84.71468553459121	0.8742138364779874
4908955at2759	F1712513	RKP22436.1	7c4967023a06f4d2f50a5247da82006523938708d7f684ba1aadbd764008fd0b	AF-A0A4P9YRF7-F1	6	data/structures/afdb/AF-A0A4P9YRF7-F1-v6.cif	3190edd17ed1eacf4a64806d7604962c39936b0e2d7d99f983be8b39579d37e7	GDM	AlphaFold Monomer v2.0 pipeline	1	1	221	87.09665158371038	0.8914027149321267
