marker	input_models	retained_models	deferred_models	retained_representatives	retained_nonself_members	retained_fraction	nonself_retained_fraction	input_markers	retained_markers	input_taxa	retained_taxa
4987397at2759	107	107	0	7	100	1.0	1.0	1	1	108	108
4988239at2759	107	107	0	3	104	1.0	1.0	1	1	108	108
4999134at2759	2	2	0	1	1	1.0	1.0	1	1	2	2
5000045at2759	128	128	0	2	126	1.0	1.0	1	1	132	132
5000152at2759	108	108	0	1	107	1.0	1.0	1	1	109	109
5000362at2759	111	111	0	3	108	1.0	1.0	1	1	113	113
5000371at2759	115	115	0	7	108	1.0	1.0	1	1	117	117
5000452at2759	149	148	1	10	138	0.9932885906040269	0.9928057553956835	1	1	154	153
5000476at2759	122	122	0	2	120	1.0	1.0	1	1	129	129
5000743at2759	266	264	2	18	246	0.9924812030075187	0.9919354838709677	1	1	273	271
5000823at2759	111	111	0	5	106	1.0	1.0	1	1	114	114
5000870at2759	113	108	5	1	107	0.9557522123893806	0.9553571428571429	1	1	114	109
5000986at2759	104	104	0	9	95	1.0	1.0	1	1	105	105
5001156at2759	124	123	1	11	112	0.9919354838709677	0.9911504424778761	1	1	124	123
5001273at2759	250	243	7	11	232	0.972	0.9707112970711297	1	1	255	248
5001280at2759	110	104	6	5	99	0.9454545454545454	0.9428571428571428	1	1	111	105
5001318at2759	127	112	15	49	63	0.8818897637795275	0.8076923076923077	1	1	130	114
5001413at2759	183	179	4	12	167	0.9781420765027322	0.9766081871345029	1	1	190	186
5001473at2759	265	193	72	77	116	0.7283018867924528	0.6170212765957447	1	1	274	200
5001660at2759	106	106	0	3	103	1.0	1.0	1	1	113	113
5001734at2759	224	171	53	43	128	0.7633928571428571	0.7071823204419889	1	1	228	174
5001941at2759	103	91	12	3	88	0.883495145631068	0.88	1	1	103	91
5002334at2759	124	115	9	9	106	0.9274193548387096	0.9217391304347826	1	1	124	115
5002573at2759	113	113	0	4	109	1.0	1.0	1	1	116	116
5003022at2759	106	103	3	5	98	0.9716981132075472	0.9702970297029703	1	1	108	105
5003192at2759	109	109	0	9	100	1.0	1.0	1	1	110	110
5003205at2759	5	5	0	2	3	1.0	1.0	1	1	5	5
5003856at2759	145	144	1	14	130	0.993103448275862	0.9923664122137404	1	1	147	146
5003972at2759	178	175	3	20	155	0.9831460674157303	0.9810126582278481	1	1	182	179
5004118at2759	194	186	8	65	121	0.9587628865979382	0.937984496124031	1	1	197	189
5004265at2759	148	143	5	45	98	0.9662162162162162	0.9514563106796117	1	1	150	145
5004327at2759	96	96	0	8	88	1.0	1.0	1	1	96	96
5004391at2759	94	92	2	3	89	0.9787234042553191	0.978021978021978	1	1	94	92
5004478at2759	116	116	0	6	110	1.0	1.0	1	1	119	119
5004599at2759	113	113	0	6	107	1.0	1.0	1	1	114	114
5005010at2759	262	240	22	153	87	0.916030534351145	0.7981651376146789	1	1	274	251
5005174at2759	219	190	29	72	118	0.867579908675799	0.8027210884353742	1	1	225	193
5005196at2759	117	117	0	3	114	1.0	1.0	1	1	122	122
5005215at2759	106	106	0	9	97	1.0	1.0	1	1	107	107
5005217at2759	114	114	0	9	105	1.0	1.0	1	1	114	114
5005274at2759	135	112	23	55	57	0.8296296296296296	0.7125	1	1	135	112
5005697at2759	112	111	1	9	102	0.9910714285714286	0.9902912621359223	1	1	112	111
5005750at2759	247	194	53	52	142	0.7854251012145749	0.7282051282051282	1	1	258	197
5005892at2759	118	118	0	6	112	1.0	1.0	1	1	120	120
5006326at2759	105	105	0	5	100	1.0	1.0	1	1	108	108
5006412at2759	102	85	17	53	32	0.8333333333333334	0.6530612244897959	1	1	102	85
5011777at2759	102	101	1	16	85	0.9901960784313726	0.9883720930232558	1	1	104	103
5013042at2759	108	107	1	5	102	0.9907407407407407	0.9902912621359223	1	1	110	109
5013067at2759	130	117	13	3	114	0.9	0.8976377952755905	1	1	141	128
5013259at2759	265	235	30	109	126	0.8867924528301887	0.8076923076923077	1	1	273	243
5013539at2759	163	161	2	17	144	0.9877300613496932	0.9863013698630136	1	1	165	163
5013726at2759	247	209	38	21	188	0.8461538461538461	0.831858407079646	1	1	258	216
5013738at2759	254	238	16	21	217	0.937007874015748	0.9313304721030042	1	1	261	245
5013992at2759	103	103	0	4	99	1.0	1.0	1	1	105	105
5014007at2759	99	90	9	7	83	0.9090909090909091	0.9021739130434783	1	1	99	90
5015403at2759	123	123	0	8	115	1.0	1.0	1	1	123	123
5015647at2759	104	95	9	2	93	0.9134615384615384	0.9117647058823529	1	1	107	97
5015712at2759	111	106	5	11	95	0.954954954954955	0.95	1	1	111	106
5015742at2759	111	111	0	6	105	1.0	1.0	1	1	114	114
5015876at2759	113	113	0	6	107	1.0	1.0	1	1	117	117
5017019at2759	122	122	0	16	106	1.0	1.0	1	1	123	123
5018803at2759	104	95	9	11	84	0.9134615384615384	0.9032258064516129	1	1	104	95
529759at2759	254	250	4	5	245	0.984251968503937	0.9839357429718876	1	1	275	271
530014at2759	110	101	9	5	96	0.9181818181818182	0.9142857142857143	1	1	112	103
530740at2759	130	105	25	71	34	0.8076923076923077	0.576271186440678	1	1	132	106
538728at2759	111	85	26	20	65	0.7657657657657657	0.7142857142857143	1	1	113	87
538952at2759	103	102	1	8	94	0.9902912621359223	0.9894736842105263	1	1	105	104
539632at2759	142	142	0	4	138	1.0	1.0	1	1	154	154
540946at2759	112	105	7	5	100	0.9375	0.9345794392523364	1	1	113	106
541070at2759	231	223	8	17	206	0.9653679653679653	0.9626168224299065	1	1	233	225
554735at2759	237	234	3	9	225	0.9873417721518988	0.9868421052631579	1	1	244	241
649304at2759	129	129	0	8	121	1.0	1.0	1	1	136	136
707076at2759	193	193	0	17	176	1.0	1.0	1	1	204	204
707202at2759	117	117	0	8	109	1.0	1.0	1	1	125	125
727964at2759	118	117	1	5	112	0.9915254237288136	0.9911504424778761	1	1	119	118
730114at2759	106	106	0	3	103	1.0	1.0	1	1	110	110
760428at2759	130	130	0	9	121	1.0	1.0	1	1	130	130
776280at2759	109	109	0	11	98	1.0	1.0	1	1	110	110
801816at2759	257	180	77	14	166	0.7003891050583657	0.6831275720164609	1	1	266	186
