study_role	lineage_group	length_bin_128	af_mean_plddt_bin	eligible_unique_sequences	sequence_id
ingroup	Basidiobolomycota	1	at_least70	1	S79e61c736adccfd6c39ef492a2e83f0c6f7f89ed846d05e36bcccab1b94bd80e
ingroup	Basidiobolomycota	2	at_least70	1	S32a1de8416512cd5bcbabc918800def9bbdb982891271707126a5c34c2a7ae85
ingroup	Basidiobolomycota	4	at_least70	4	S31b0a6c5de3f07d94047fa2dd4eabf9f1e5d68bc3d2e197d2e45bf9b3583763d
ingroup	Basidiobolomycota	4	at_least70	4	Sd3e61c9e9e59c519cffd3a24ab2d4e90c349f57f6e4937cb6e412665983ed6af
ingroup	Basidiobolomycota	4	at_least70	4	S774bec6308a6638102513876df2750e0d74229c901b7563018b16380423f95dd
ingroup	Basidiobolomycota	4	at_least70	4	Sa06ef52890641d5dbeea67eba9cc23fda236fcef4759e11e7d88d11f2ea23a54
ingroup	Basidiomycota	1	at_least70	5	S0e33960f60c4a73cd9fe4d763f6f7674ebd56e30f49015c13f491acc75e0ee9d
ingroup	Basidiomycota	1	at_least70	5	S7d8c026eb630031ef059a433d9a75fc3352b9e2df18de14af38366d3d96f7f0a
ingroup	Basidiomycota	1	at_least70	5	S48d79bbf49f43563629f51c87250ab04d1504cc2843a024cd374e05149e03172
ingroup	Basidiomycota	1	at_least70	5	S1c8a29dcd3aab6ff784883ebe17002035a35ba5ab6c0765f9944c84ef4ada50d
ingroup	Basidiomycota	2	at_least70	96	S283f3bf1451d63dd416b48708784fe9853049929d66eb504f617c968183b0852
ingroup	Basidiomycota	2	at_least70	96	S8ce19afd9534d0abb28b0c4ba76b4ff7116f16757dba4e2f5e3a7a9a1856bb54
ingroup	Basidiomycota	2	at_least70	96	S2fb56cc9478c9be74334a8fa12371082077db9f88b764561a6b913592abbac46
ingroup	Basidiomycota	2	at_least70	96	S1fc9851d8de2a799ca4937ae877b2c327c7800fcc24d91ad970bb144d31573b8
ingroup	Basidiomycota	2	below70	7	S3bfa7a0bd515b95c5148fb4739af576dfcb11e758ea348358adc71955dc3bd00
ingroup	Basidiomycota	2	below70	7	Sc4dd4f0709793a131b33f83aa8f055619aee7b5123f627cf53c1910149e253ed
ingroup	Basidiomycota	2	below70	7	S7fb79002d482c03b5ae23549eaa5f7becd8279251b294d28bf1831e6cc9fed8c
ingroup	Basidiomycota	2	below70	7	S9cf7d562d9b91e3cee0dbac099fd1896bbc9997026ec14dc21889623a50e98d3
ingroup	Basidiomycota	3	at_least70	132	Seec07fff4993061363c29a3c65d69a1d73f1f2e249335c0c1b6bf67e6c87ef53
ingroup	Basidiomycota	3	at_least70	132	S7e2f871e1fb5a51dda85055d4586b51df7878203db6388a74651866cc83dd389
ingroup	Basidiomycota	3	at_least70	132	Se306e33e36f4f8ef85739c6cdd96018630b928103f2aee1bf9d351b3c78dc19d
ingroup	Basidiomycota	3	at_least70	132	S8eb1517086548d7ff68e8ff0a22dd0bf2cf5cdbbbec193dd8a3640e3dbb91533
ingroup	Basidiomycota	3	below70	17	S202f8df6229f7ab69d434227799cedc39f23a60c32028beb1fd36a8e8c282363
ingroup	Basidiomycota	3	below70	17	S1e815cc2d5f2d9539de80613fbb510e8ac02f97bbabc3c74c6c3ad1a3aebe471
ingroup	Basidiomycota	3	below70	17	S0cd7f4a4320e55791c8373423ebd03252a1533f2a5984febbbf7b1ca0080605e
ingroup	Basidiomycota	3	below70	17	S46daa8d1b76024327f210648b0ed7899e8de1f795c264a0b06e4385b2a9150ec
ingroup	Basidiomycota	4	at_least70	102	S7dfeb1740e71c20487ec4135d31ed3832bcfe3cd7d3d5103252f7184c8d942ac
ingroup	Basidiomycota	4	at_least70	102	S9c0e0dfd0c5951ef9f4a4cad96e98397680cf157972fdc0167b94d0391456f5e
ingroup	Basidiomycota	4	at_least70	102	Se3eac82ac8669f932d3fa5fd3b43fadc2c29e53cc1b737ce851178d0a7535ea4
ingroup	Basidiomycota	4	at_least70	102	Saa85bb0e0b0a516a4e1513016c10a2d2a58f8676a9216c00f74f087dff15a9fc
ingroup	Basidiomycota	4	below70	17	S164db04aa6ad56e4b3592f3b436b1603cd876f07d57d2620741f1ecb48ab9ef1
ingroup	Basidiomycota	4	below70	17	S5f9a7c9507afeb49728939248f92d17d7c53f40f7fe8d791092e5e95c3dc2602
ingroup	Basidiomycota	4	below70	17	Sa85391b0a11a3359914f8de3797b769f09d8c2646e819a2e3795f7bec2f12bf7
ingroup	Basidiomycota	4	below70	17	S507eebdecd7635c17a88fc5e30b881d3e09d59f68e36fed37f5082e9d7fcfd06
ingroup	Blastocladiomycota	2	at_least70	4	S2adb49afc0eb001f36320e5fbeda63c85f7c4e306985bc9ddb107f458007198e
ingroup	Blastocladiomycota	2	at_least70	4	Se1f6b2fad216df8a50c629f640f5df61a5f5c90c934efe4e5a886333ecd38cb9
ingroup	Blastocladiomycota	2	at_least70	4	S51a7dffd869b605a135afc07779f2825390149d94f52f77c8b7445dea950cc24
ingroup	Blastocladiomycota	2	at_least70	4	S7b5c719b48e00c8c4ea7df02ad3c0e2326ee004566895f2944c062871b6ae71e
ingroup	Blastocladiomycota	3	at_least70	3	S297f0120b24af6f029c2aeda444439116f0d82f2049a3940538e128e354972a0
ingroup	Blastocladiomycota	3	at_least70	3	Sc4bdb66f453e291731a1bb4f63a510a1413765ca7f55a488b130baaacb9c24c7
ingroup	Blastocladiomycota	3	at_least70	3	S2b5d14cc1b5a293c9b68fd895b04d64913271cd335675a7fa8a40a089572ca9f
ingroup	Blastocladiomycota	4	at_least70	2	Sbbee466499efebea08b61a171ad6c8f878a6f604d8256c227db14511ed87a60a
ingroup	Blastocladiomycota	4	at_least70	2	S1a21b5f55e003e8339e1ae0687d96fc091443eafe63d6666a5c7d3cf9fcbdeec
ingroup	Blastocladiomycota	4	below70	1	Sca3004fb30bff40f6effe4a55a1649107ba78bd26fe77eb8116d41865ff05a0b
ingroup	Chytridiomycota	2	at_least70	9	Sb902dd623bc7d7981b9a3eaa85a3fc47cf78704dac41e3f6536809d8086c2534
ingroup	Chytridiomycota	2	at_least70	9	S72aa772a0df349c884b2a147032d58ec6184a1a03313ec55dfc5b8454d14da28
ingroup	Chytridiomycota	2	at_least70	9	S87d67284e5f959c12db18d762f26c429dbcafbc8fd82ffb795448291ae5ca313
ingroup	Chytridiomycota	2	at_least70	9	Scc6d95b14f7219b80f67b0cd9a20aea7a8bb4af09850236f10fcfc85117a6047
ingroup	Chytridiomycota	3	at_least70	5	S0190b71633ccfee7647674d4cb35da56a39fd5725a25e03c9dc3841d987104fd
ingroup	Chytridiomycota	3	at_least70	5	S9d6c7030c5aab34c9429720576ec27b5ee7f79c56e30d32734fe294557cca44f
ingroup	Chytridiomycota	3	at_least70	5	Sabce9fcddc487648ca3b3de5864ccad2daa404102e9f6f8ac7effb957a3f32e9
ingroup	Chytridiomycota	3	at_least70	5	S5b458eecda6e85764d8c89175215d247651b9dba58bb3f5270a0752e96aaf918
ingroup	Chytridiomycota	4	at_least70	1	S22607b548c8d42a5d078b9b078f594d718e5c131d226e7ba3d67d17b65e04d21
ingroup	Entomophthoromycota	2	at_least70	2	S0044c96683341e31c3c6ba360a1d08d3e76f3299c4c717ac68c2c9324829b51e
ingroup	Entomophthoromycota	2	at_least70	2	S26d0ad17b2da9f307277f735d9377a0a2b9c3f295d7419f4cc107d4079184b82
ingroup	Entomophthoromycota	3	at_least70	1	Scab3fa6ae9310df0eb281d9019911a279ac58a9badceed83c7e4f8303156276a
ingroup	Glomeromycota	1	at_least70	3	Scfbe500db1f3c418fb10523a529067efd39c7f70e957507f4f562199e194b532
ingroup	Glomeromycota	1	at_least70	3	S3530bf0f87f10901b4648fd32678cf23aaba3f90bc1e46b4aaaa66038942b09c
ingroup	Glomeromycota	1	at_least70	3	S37afbc9e6a4758a024e20300c42ef85fc5e51caf76b86d2e1d0a59561f8b8ead
ingroup	Glomeromycota	2	at_least70	9	Sd64e3d9097e847fd9225fdc61bf227a7ae908671ea7232718f83885ed6830481
ingroup	Glomeromycota	2	at_least70	9	Sb285e71a6a9d6a4ee7578c3dd04330f27caaf9f4afb41b7c587bcbe3c669b344
ingroup	Glomeromycota	2	at_least70	9	Seece51c8a25836609b95dd54dd51ea550e18487f71b28d29e6116d13aa47affa
ingroup	Glomeromycota	2	at_least70	9	S6469288146495875582c543f5dcec3ebbf075c8a0c2b7a3186b4e6e7c61ab37f
ingroup	Glomeromycota	2	below70	2	Sbcde186a4fcdae240d0ba4efef0875604df73a52e676cac379ec78947bc22fa4
ingroup	Glomeromycota	2	below70	2	S6d8acf98c2084b96223e29afd45675f51eceb74da50ab9e0e39451e4c7fc57c9
ingroup	Glomeromycota	3	at_least70	7	S1fce8270a81181530c27acbd6cbc33998e2bd2a8972fda2b372ed1b4d44e7ba6
ingroup	Glomeromycota	3	at_least70	7	S1ea5804a522af7c579877a125ee82fa53f6472b7f0cf3a9c9886495e7b56baa4
ingroup	Glomeromycota	3	at_least70	7	S3503a6a69024ae57e81d2f1d282dd92cb3780c1d0ad8355dd37ae83143bc85e2
ingroup	Glomeromycota	3	at_least70	7	Sa828703ea49a9c2153fb331ef91e07b43a71421a7833253011ae0576e4a80f5c
ingroup	Glomeromycota	3	below70	2	S1f0a58f421c5c000f5b39a1fbed2b4c5261ea7667d78e3b7b3ebc22a5d850905
ingroup	Glomeromycota	3	below70	2	S0e3cdfb95d6a44bf2bb99a6868c3ddfc5598b85912a0c4036515b3ca5bd0464b
ingroup	Glomeromycota	4	at_least70	11	S8dc57b1394418067c7445319eadbdfc0d164347257ad92813ec80910488ab1f0
ingroup	Glomeromycota	4	at_least70	11	Sb95e72738c0e11d0d54d56b2ba65f192804f327f400866f31fbf5999590bbdb9
ingroup	Glomeromycota	4	at_least70	11	S6667cec0e561724b1489f722f14dfe72540ccd2b614322e3a4b4c4f3760015d5
ingroup	Glomeromycota	4	at_least70	11	Sc5a3425f670adf6f1052311fb85543f48773b7b9b6d10980c4a7190c5818cfcb
ingroup	Glomeromycota	4	below70	1	S87b84940067b50d7f916f387bf483b41efa445f6f83ecb037295240ecef9618a
ingroup	Kickxellomycota	1	at_least70	2	S7ffe79990de07534594331eeaf2ee14c8aecdd8582c01c007fd27c6b19d55c32
ingroup	Kickxellomycota	1	at_least70	2	S8d876ada93f46e1189ed0b30a08c82e83393f8d25588879273bc6236552e9ef6
ingroup	Kickxellomycota	2	at_least70	19	S97db2122da054a10d41f50b024e3e06b953329683b51315bdad141fb02399a1a
ingroup	Kickxellomycota	2	at_least70	19	S345a406b256c7fc2918537895cc85ed5ef8ccc76ffc3f0b0d83fbb462774d334
ingroup	Kickxellomycota	2	at_least70	19	S8cfc0912aad5eef790a3022bbdcda97c2daab37751728c94cceefa5892f2c676
ingroup	Kickxellomycota	2	at_least70	19	Sc06430c7cdb10f9eb632114bfc6a43bb31e21309cfebe12e5ddb8b0063827a3f
ingroup	Kickxellomycota	3	at_least70	17	Sdf8cf5e84439c05e07731d8d7a18fbec9b4fc6dc1430abecf11f7d450fe96b19
ingroup	Kickxellomycota	3	at_least70	17	Sd76196aa7d17c5d7b9468669d8b0832b924e0141c887d397fc909711dae2948e
ingroup	Kickxellomycota	3	at_least70	17	S450b4b42d5a34e860b71b0b163d6580e35215c1d50688dd8c5ea43b8dcbb6afd
ingroup	Kickxellomycota	3	at_least70	17	Sfb83d331295184807d2225b0033f96ec56a1218962d5febc8bab8880836f23e5
ingroup	Kickxellomycota	3	below70	3	S4f9f46da3365f2b446404c63e7406e892ddb3f9776ff75abb0f78bf522487c3e
ingroup	Kickxellomycota	3	below70	3	S4c3fb0802af9ac30279a0f1456e56bf06d6d2f13c6b83e6a4b7b1882cc8418f0
ingroup	Kickxellomycota	3	below70	3	S63c0963c13078ce0a16c9c89af0f9f5b4dcacbf48870ac114e6cec2f866ac3af
ingroup	Kickxellomycota	4	at_least70	5	S0017311de053245b69a8099cd7b366cc3ce54b8e615fffb2f046cf54c4458f39
ingroup	Kickxellomycota	4	at_least70	5	Sd9d7c93011a0ad93014e8607660ade9a4e310160f93f688e0d54807c623119d9
ingroup	Kickxellomycota	4	at_least70	5	S6d5bbb0afc3df15f9e894bcbdfb84451e2470c9c4aed3311529caf1b3c3932f1
ingroup	Kickxellomycota	4	at_least70	5	Sdc1c460870e27e05e064cc7beaff25680d94faa615727f195e71b9fde9b98318
ingroup	Kickxellomycota	4	below70	1	S249d303e0cedf5370bfd967c987c9b32f6c44d062458980f9bc5d107833585ab
ingroup	Microsporidia	1	at_least70	3	Scc1bc4f2b17b02df7e18a58850522eac992102161b9faaf108a32d7d6a1577e2
ingroup	Microsporidia	1	at_least70	3	S3c0bc327c98ac26f16b37ad2e89751016da34be3a90fe80969d4604a58543128
ingroup	Microsporidia	1	at_least70	3	Sfeca6e399c1d5a9744a02c17d93cef6abec2bf883f8759b2f642ebdec657f753
ingroup	Microsporidia	2	at_least70	23	S0b004094940c24b361293097ace2cb721627628f7e79d184db08e165e433d6b1
ingroup	Microsporidia	2	at_least70	23	S458a7a7b0a895f283042ef8ea2dff5a93726f1cba78ec243956fa0d8a4846b35
ingroup	Microsporidia	2	at_least70	23	S67fd0c7377ec53b7033490ac35fb7a76542ec16d5f0ee733172bb4f897f5fc74
ingroup	Microsporidia	2	at_least70	23	S2c2793834f291a37814389964c94b111f0f725077d2af9f24ad8ed233eace3f2
ingroup	Microsporidia	2	below70	1	Sd483d031c1e231c2710c81df8bae55c7a503c79e9741203654d0be6631132c84
ingroup	Microsporidia	3	at_least70	11	S0d27e32a54f982fbe64f5c7ac73d6f15742e8d7fc017157fdbff601aa69b3309
ingroup	Microsporidia	3	at_least70	11	Sdc8c023df928b20f132ee7073d8f6bac76172023f6a30d85ad5b60d6c33f4fa1
ingroup	Microsporidia	3	at_least70	11	Sa2214fc607cb447faf2a556fca2c06d7e0f6c218dd685a15cf6a53d9218983dc
ingroup	Microsporidia	3	at_least70	11	Sfd87f63fe27914d202dca5c516af29117250bf0bc0783bf534992be9ad890685
ingroup	Microsporidia	4	at_least70	8	Scde2991f1ac0563777ed8c823f40186b0ee80858525a752680ba829a5eff2b09
ingroup	Microsporidia	4	at_least70	8	Se91323285682e068968cd6a1d4041ed7e817d1f50883604a305e4d08e8d20051
ingroup	Microsporidia	4	at_least70	8	Se140bf8e652527a720ac59dbfc48ba0ae2691508bf93d9e4035d8d57d5a47e27
ingroup	Microsporidia	4	at_least70	8	S89742483d8952e6412c2a2b8e0dc1b061405fe12c889d183fa557d1502c23432
ingroup	Monoblepharomycota	2	at_least70	1	Sdcff54fa4f7f2a1bc93ab5defafcbf588aab777b13710f1ea37c20580df62249
ingroup	Monoblepharomycota	3	at_least70	2	Se928e6f2264567ba14073fd61188a9614b4e38534e6def191b14be5dc8db9a65
ingroup	Monoblepharomycota	3	at_least70	2	Sd8c8a5e0c931aed65df887d21ca9dfb06a1e26e44f0387ee49002792136735f1
ingroup	Monoblepharomycota	4	at_least70	2	S776d17d4f4dcd0f30dc34b905781134fb26e5ae2e15e3f88a69277abdf6e2f8d
ingroup	Monoblepharomycota	4	at_least70	2	S257890d8b0744b087f4f46b44847c8f588ce1989512ac86e92cb37152ca37e65
ingroup	Mortierellomycota	1	at_least70	2	S2644995276c00986bafe48c015661a0e98440f17d0be506f44ce8d56aaa08bf9
ingroup	Mortierellomycota	1	at_least70	2	S34efdc665df0ed58678e95816542864e42aed97851d82499d9cff0ece04f1906
ingroup	Mortierellomycota	2	at_least70	10	Sa497dda80f80f1b3fedd89d6d294495cb53e9c6dd5c4eb71306b7cb13c7029d8
ingroup	Mortierellomycota	2	at_least70	10	S0421e1189a0e83d78cc22faa425d55a6b594b84a715d85a94376b6aa289fa233
ingroup	Mortierellomycota	2	at_least70	10	S75e3f55976b4a9fe824e4de9ba642ae1bdf3710a94cd327476711d26f5ccc1d8
ingroup	Mortierellomycota	2	at_least70	10	S7ac38cfddf0c0547656cb49cac89b5081d49467699d3edf8e6b6203114a56793
ingroup	Mortierellomycota	3	at_least70	11	Sef51690901e356cb21886f1ddc7679ed6cb2cd972aa384d0050c701a90535c47
ingroup	Mortierellomycota	3	at_least70	11	S659a1820bb15dfc9f3a13725b97e05f0fd9394c04506068b3f9219c68879087f
ingroup	Mortierellomycota	3	at_least70	11	S05f3cefa9382477abeaf7b604b76b861c4700f3e7fd22bb6657fabe369600a6e
ingroup	Mortierellomycota	3	at_least70	11	S42b9b409f66418232fa20628eb2f643182d25469bb1ea60320239e75ef0620f5
ingroup	Mortierellomycota	4	at_least70	10	S6c09727e26cda94183083ec5f2b17cf403ae29a872c5df25baba7f7959c6b354
ingroup	Mortierellomycota	4	at_least70	10	S1bc814e81e7cf368ac409444eeeb9543fac9e7b304b6605a64ad3bcd20826eb2
ingroup	Mortierellomycota	4	at_least70	10	S45e90e79daea67805386b2d8a83e7b7d639f6ffef7c66362f953152704863553
ingroup	Mortierellomycota	4	at_least70	10	Sbc1fe1bc2a6401ad5d38011a294f4f82c60d487a54645232df9983c8a6ada25a
ingroup	Mortierellomycota	4	below70	1	S6af61d1ecc1dba231a089a20bdc06f271152ed5b298b2e0fdd63e60a3ad45c32
ingroup	Mucoromycota	1	below70	1	S0b9d75ba5f95b0f8ff2e8259fe79e0a4f7773f3061ee2b93214e395bb2712a25
ingroup	Mucoromycota	2	at_least70	7	S949b2ad467fcd2e8a3908576ac5ebeab9bfdfb7fec00c518d3418c3e5efb87b2
ingroup	Mucoromycota	2	at_least70	7	S0304cafa977b4ffb462e1a06a8ba34c4d927068586d98d236c67a59ea9af71ec
ingroup	Mucoromycota	2	at_least70	7	S807447391bc7f406d55f9e32377c569a008465e727eeec136d6a177ae0a51a56
ingroup	Mucoromycota	2	at_least70	7	Sa6581f851a031a561a98cee12035e1a6736745f7b1073f29e1f88448bed3c7dc
ingroup	Mucoromycota	2	below70	2	S381bece2241ee0cf91fc8a4f7fe903885689cca6fe6c833953cc84aa4762f602
ingroup	Mucoromycota	2	below70	2	Sb8ba1f20e452aab451671387b4005cc0752220f7e90f70e07855e8dbee1eb512
ingroup	Mucoromycota	3	at_least70	9	S8b70b660ba9eaff30797b412970521b55124c697f2493ee52a2583cfaaf3b9aa
ingroup	Mucoromycota	3	at_least70	9	Sfdd1fe0b058cbdd31c869552dff148004e3cf24d7d97cdccb91e472edc6c0d01
ingroup	Mucoromycota	3	at_least70	9	Sd8d7a127525fa813880c3351c6e0fc3a87ecb748b72fe62b003262fe68ee36d1
ingroup	Mucoromycota	3	at_least70	9	S8844b6084f033f72dcf44cc618bce3ebd6e98007c7cbd4084d41a8ac488dd046
ingroup	Mucoromycota	3	below70	2	S2ac6d8e63945f37dfa8307af57f2ff863ade8dbe80af9a28d026dc5a0534cfa1
ingroup	Mucoromycota	3	below70	2	Sb28edc1cf877322a145c1ce6181d51b8d254d9baa06687a051d243e7414332ad
ingroup	Mucoromycota	4	at_least70	7	S80853352393e531aabc2dd4d3bfd081869d14886f82b9d91fc5267ebd975d86d
ingroup	Mucoromycota	4	at_least70	7	S3fa8c57408f85935467bf7ca250ec94570525e11aaf735a8af1e4996da6bfa82
ingroup	Mucoromycota	4	at_least70	7	S18dd1000784a9fddbfb242dd7943a98febb7edd59dbd67155ffe61fdb48e0244
ingroup	Mucoromycota	4	at_least70	7	Sbe8e5b72204937bc9cc18b5b175923623599946ac3ee5d10214e998a059c4ca5
ingroup	Mucoromycota	4	below70	1	S7b0ec79f8f0ab9f8c816158810647fbf10b90e8d750a66a4db727b84b96ebf73
ingroup	Neocallimastigomycota	2	at_least70	5	Sae6d0a78192cb35436b0abea2ca7a1e40c786ade2fa0f1c004ebad7b84da475b
ingroup	Neocallimastigomycota	2	at_least70	5	S5e86851ce2749b98f13d7c7ed6527e8ecaf9c9085aeb2d3a5ac8d17fa6e5b498
ingroup	Neocallimastigomycota	2	at_least70	5	S33ff2b87de99758fcaea2c63dc82967bb09527106599c2f90c74f2666c95e5ee
ingroup	Neocallimastigomycota	2	at_least70	5	S1d3d8045326620c07d21753bbba6e6f97704d8de21ff9b2899ba8c9be0b8eaa3
ingroup	Neocallimastigomycota	3	at_least70	1	S44d534b290b5184df020fc97c14c27e9ea262828b33b288c54df716a67f7ab7b
ingroup	Neocallimastigomycota	4	at_least70	5	S6fd6edf598a40b50ca980eff5c34c91be702c2d1725dc732bb95ffd64e2cd69a
ingroup	Neocallimastigomycota	4	at_least70	5	S8690ca98cac6f39b8c633a52ef425fc8dc3bdb2b604eedf13da4130c2ba092fb
ingroup	Neocallimastigomycota	4	at_least70	5	Sb901274d287f6704ff021bdab97f25da0c2ab4c26f11fe7eeb3746383b96c8cc
ingroup	Neocallimastigomycota	4	at_least70	5	S77d162696f467bf792da0edf666bf2a423943ce8439b3c261b7fb691c28d1ff1
ingroup	Olpidiomycota	1	at_least70	1	S72fc211796f8bcdf70d105076e7ffd131428f6a4af74ff504e3a677d12c62476
ingroup	Olpidiomycota	3	below70	3	S2cd6c3ca2c40293ae834abcab7092a4b993134cd361c291ce56b6f8e90b97233
ingroup	Olpidiomycota	3	below70	3	S2491b731ee9f0dd830c6b317c94a31ac6e0fb35e1eec552d1ae1cfa8bbe6b38b
ingroup	Olpidiomycota	3	below70	3	S1aae340892228ffb288290da34b53331466fea57b0223bd2a3381fc821b2e988
ingroup	Rozellomycota	3	at_least70	4	S295174b6119b9b8280053ed89f4fa62e6926cfafc180f82a7758cb1d6704535a
ingroup	Rozellomycota	3	at_least70	4	Sb89cc8927233fd43e6b72fb83c160d8f071fcdf42e6c4266c63943832a7e1635
ingroup	Rozellomycota	3	at_least70	4	Sa2e0716127e03eda3031ebe1f8d4f13d05f108c95705802fc049bddf52a2961f
ingroup	Rozellomycota	3	at_least70	4	S239bc2d470b385df1d2123cc7e8091a922585a68bd82d2e00f6a2f5738cba4de
ingroup	Rozellomycota	4	at_least70	4	S2147ad9b2362aaf4e457249f0cdee7275fcc066aa0badde07885f62adfefebeb
ingroup	Rozellomycota	4	at_least70	4	S026b8133443eee3115364648b12eaf9ea11626fc85f1e8dfb5d04a926fc2bc81
ingroup	Rozellomycota	4	at_least70	4	S25438a4c291e1b063d853f4bfab2a684edc6c05629c3bb439c7b06fec9f5f767
ingroup	Rozellomycota	4	at_least70	4	Se4ea0b1dc5b8a233a30028241d72761662dfa3790fc8f11efe0ad0b61150d77e
ingroup	Zoopagomycota	1	at_least70	1	S3cde583d8c436b99a41c1015b70a50b5042d4e8d1bb324e53844ad98928f4dee
ingroup	Zoopagomycota	2	at_least70	4	S4290a42e572eee1a019e7ff623d68831ee1a1449e69dfe5a1687fa248e91a025
ingroup	Zoopagomycota	2	at_least70	4	S36a61458d7e5154316b0bc6f13776ab1b2485d458a12cfaf0a8fd0121e215579
ingroup	Zoopagomycota	2	at_least70	4	Sbcf78b34e5291a5797ae9fff3994318524fa8d44a8a8b0e77f60fdef73017628
ingroup	Zoopagomycota	2	at_least70	4	S22c67a86d22f46b3661dd447334497e20583220307faf207d459ffb05e220b3c
ingroup	Zoopagomycota	3	at_least70	6	S7c4967023a06f4d2f50a5247da82006523938708d7f684ba1aadbd764008fd0b
ingroup	Zoopagomycota	3	at_least70	6	S7afa810d98f5fef7d0e7b7d82c22402a2fc4d2eb4b4dba529a6b3845e45b735e
ingroup	Zoopagomycota	3	at_least70	6	S0f02e34de1b230ee9b3dad1effe07e6ba89e32774baea3ad370391f56480d07d
ingroup	Zoopagomycota	3	at_least70	6	S38ffa7224e37570d31e64e1947c3595a4ae58326a799ef156c9794f803e95444
ingroup	Zoopagomycota	4	at_least70	9	S7c2b32e573a65dee1ee643c332150ae7899ccbd5047ff0d794eb5468aaafc9d2
