manual_review_rank	species_a	species_b	marker	taxon_a	taxon_b	same_model_coordinates	pfam_accession	pfam_name	hit_a	hit_b	domain_a_start	domain_a_end	domain_b_start	domain_b_end	domain_shared_positions	domain_compared_residues	whole_marker_compared_residues	whole_marker_rmsd_angstrom	domain_sites_under_whole_marker_fit_rmsd_angstrom	domain_own_fit_rmsd_angstrom	domain_fit_improvement_angstrom	domain_uncorrected_sequence_difference	local_distance_pairs	local_mean_absolute_distance_change_angstrom	pae10_local_pairs	pae10_local_pair_fraction	pae10_local_mean_absolute_distance_change_angstrom
11	Pachysolen tannophilus	Fusarium oxysporum	5002573at2759	F4918	F5507	False	PF03464.21	eRF1_2	H00052718	H00013015	143	274	139	267	124	115	315	11.266323744337924	15.9108212581901	1.4895353234409698	14.42128593474913	0.6260869565217392	2372	0.5646396633887536	2369	0.9987352445193929	0.5588187638362068
12	Fusarium oxysporum	Trichoderma harzianum	5002573at2759	F5507	F5544	False	PF03464.21	eRF1_2	H00013015	H00029914	139	267	140	268	124	115	320	10.908883874338244	15.433658195708553	1.1350113611221895	14.298646834586364	0.16521739130434782	2345	0.26412127056109974	2341	0.9982942430703625	0.26222143291611444
13	Colletotrichum destructivum	Pachysolen tannophilus	5002573at2759	F34406	F4918	False	PF03464.21	eRF1_2	H00003663	H00052718	139	263	143	274	120	101	297	10.758246679477828	15.586160451689711	1.4693092599684103	14.1168511917213	0.6534653465346535	2046	0.5809410691169105	2043	0.998533724340176	0.5811637046902609
14	Colletotrichum destructivum	Trichoderma harzianum	5002573at2759	F34406	F5544	False	PF03464.21	eRF1_2	H00003663	H00029914	139	263	140	268	120	101	301	10.414526042181087	15.108800136566927	1.0020327733870011	14.106767363179927	0.2376237623762376	2029	0.3177440611252199	2025	0.9980285855101035	0.3179525839067781
15	Aulographum hederae	Colletotrichum destructivum	5002573at2759	F1176130	F34406	False	PF03464.21	eRF1_2	H00100614	H00003663	148	277	139	263	118	99	297	10.967551593721895	15.6353125261879	1.5738641035216698	14.06144842266623	0.5858585858585859	1971	0.617546282799784	1967	0.9979705733130391	0.614434681926866
16	Colletotrichum destructivum	Colletotrichum gloeosporioides	5002573at2759	F34406	F474922	False	PF03464.21	eRF1_2	H00003663	H00090457	139	263	166	290	120	101	302	10.030662705137305	14.420133156170639	0.4748740722952489	13.94525908387539	0.10891089108910891	1990	0.18501065495136837	1986	0.9979899497487437	0.18502488227287317
17	Colletotrichum costaricense	Colletotrichum destructivum	5002573at2759	F1209916	F34406	False	PF03464.21	eRF1_2	H00098290	H00003663	99	228	139	263	120	100	270	10.268375537164836	14.333866697566213	0.5554439312133201	13.778422766352893	0.08	1965	0.17661854617354902	1962	0.9984732824427481	0.1768353034688051
18	Colletotrichum tamarilloi	Colletotrichum destructivum	5002573at2759	F1209934	F34406	False	PF03464.21	eRF1_2	H00098290	H00003663	99	228	139	263	120	100	270	10.268375537164836	14.333866697566213	0.5554439312133201	13.778422766352893	0.08	1965	0.17661854617354902	1962	0.9984732824427481	0.1768353034688051
19	Colletotrichum lupini	Colletotrichum destructivum	5002573at2759	F145971	F34406	False	PF03464.21	eRF1_2	H00098290	H00003663	99	228	139	263	120	100	270	10.268375537164836	14.333866697566213	0.5554439312133201	13.778422766352893	0.08	1965	0.17661854617354902	1962	0.9984732824427481	0.1768353034688051
20	Colletotrichum abscissum	Colletotrichum destructivum	5002573at2759	F1671311	F34406	False	PF03464.21	eRF1_2	H00098290	H00003663	99	228	139	263	120	100	270	10.268375537164836	14.333866697566213	0.5554439312133201	13.778422766352893	0.08	1965	0.17661854617354902	1962	0.9984732824427481	0.1768353034688051
21	Pseudovirgaria hyperparasitica	Fusarium oxysporum	5002573at2759	F470096	F5507	False	PF03464.21	eRF1_2	H00158157	H00013015	148	276	139	267	118	107	311	10.606348802642039	14.563244952499005	0.8717430444708193	13.691501908028187	0.48598130841121495	2072	0.3957616296060769	2070	0.999034749034749	0.3951480057919156
22	Colletotrichum destructivum	Pseudovirgaria hyperparasitica	5002573at2759	F34406	F470096	False	PF03464.21	eRF1_2	H00003663	H00158157	139	263	148	276	118	97	294	10.243031028550979	14.604895074819796	1.2697894627264554	13.33510561209334	0.4742268041237113	1880	0.5030027997415327	1876	0.997872340425532	0.5005871247280778
23	Colletotrichum costaricense	Fusarium oxysporum	5002573at2759	F1209916	F5507	False	PF03464.21	eRF1_2	H00098290	H00013015	99	228	139	267	124	106	279	10.33715306980771	14.372117354967855	1.0634419187179391	13.308675436249917	0.29245283018867924	2138	0.26790402676953223	2136	0.9990645463049579	0.2681027043145419
24	Colletotrichum tamarilloi	Fusarium oxysporum	5002573at2759	F1209934	F5507	False	PF03464.21	eRF1_2	H00098290	H00013015	99	228	139	267	124	106	279	10.33715306980771	14.372117354967855	1.0634419187179391	13.308675436249917	0.29245283018867924	2138	0.26790402676953223	2136	0.9990645463049579	0.2681027043145419
25	Colletotrichum lupini	Fusarium oxysporum	5002573at2759	F145971	F5507	False	PF03464.21	eRF1_2	H00098290	H00013015	99	228	139	267	124	106	279	10.33715306980771	14.372117354967855	1.0634419187179391	13.308675436249917	0.29245283018867924	2138	0.26790402676953223	2136	0.9990645463049579	0.2681027043145419
26	Colletotrichum abscissum	Fusarium oxysporum	5002573at2759	F1671311	F5507	False	PF03464.21	eRF1_2	H00098290	H00013015	99	228	139	267	124	106	279	10.33715306980771	14.372117354967855	1.0634419187179391	13.308675436249917	0.29245283018867924	2138	0.26790402676953223	2136	0.9990645463049579	0.2681027043145419
27	Colletotrichum gloeosporioides	Fusarium oxysporum	5002573at2759	F474922	F5507	False	PF03464.21	eRF1_2	H00090457	H00013015	166	290	139	267	120	112	318	10.411871802900139	14.445080350592491	1.3764175572949657	13.068662793297525	0.32142857142857145	2259	0.3308574996736829	2255	0.9982293050022134	0.32774235140324365
28	Pachysolen tannophilus	Scedosporium apiospermum	4975094at2759	F4918	F563466	False	PF14826.13	FACT-Spt16_Nlob	H00161044	H00078321	6	163	6	165	112	110	717	25.398638826127744	10.912685851064312	2.178498738056884	8.734187113007428	0.5545454545454546	1988	0.886431465455283	1988	1.0	0.886431465455283
29	Phaeomoniella chlamydospora	Pachysolen tannophilus	5015712at2759	F158046	F4918	False	PF16837.11	SF3A3	H00143930	H00163535	126	179	157	203	45	37	348	15.939901808754847	9.408350568709874	0.9523176442023226	8.456032924507552	0.4864864864864865	321	0.30889879937089687	321	1.0	0.30889879937089687
30	Brettanomyces nanus	Pachysolen tannophilus	5004391at2759	F13502	F4918	False	PF11987.14	IF-2	H00083686	H00093998	761	855	794	891	95	93	612	19.069424956363925	8.362747381909077	0.35738255450089174	8.005364827408187	0.12903225806451613	1830	0.12454725606977815	1821	0.9950819672131147	0.11639559151495464
31	Pachysolen tannophilus	Recurvomyces mirabilis	5004391at2759	F4918	F574656	False	PF11987.14	IF-2	H00093998	H00044375	794	891	837	948	98	95	610	18.009704395336897	8.287715146228022	0.3330668040824576	7.954648342145564	0.30526315789473685	1915	0.18933963328589595	1915	1.0	0.18933963328589595
32	Aulographum hederae	Fusarium oxysporum	5002573at2759	F1176130	F5507	False	PF03465.21	eRF1_3	H00100615	H00013016	282	386	272	375	98	95	316	11.49830631517838	7.412877409667063	0.4811641094595446	6.931713300207519	0.43157894736842106	1839	0.21782280716337438	1839	1.0	0.21782280716337438
33	Colletotrichum gloeosporioides	Fusarium oxysporum	5002573at2759	F474922	F5507	False	PF26356.1	Pelota_N	H00090456	H00013014	28	157	1	130	113	108	318	10.411871802900139	7.292155948258608	0.43205231389500803	6.8601036343635995	0.35185185185185186	1904	0.15533947313196705	1898	0.9968487394957983	0.15492814743485495
34	Colletotrichum destructivum	Colletotrichum gloeosporioides	5002573at2759	F34406	F474922	False	PF26356.1	Pelota_N	H00003662	H00090456	1	130	28	157	114	106	302	10.030662705137305	7.0236796971111835	0.1822020255013773	6.841477671609806	0.07547169811320754	1871	0.07449289385829758	1870	0.9994655264564404	0.07435626315527578
35	Pseudovirgaria hyperparasitica	Fusarium oxysporum	5002573at2759	F470096	F5507	False	PF26356.1	Pelota_N	H00158156	H00013014	1	137	1	130	113	102	311	10.606348802642039	7.818870394975777	1.0453110889311388	6.773559306044638	0.46078431372549017	1887	0.2261072676917871	1879	0.9957604663487016	0.2198829805081812
36	Aulographum hederae	Fusarium oxysporum	5002573at2759	F1176130	F5507	False	PF26356.1	Pelota_N	H00100613	H00013014	1	138	1	130	113	104	316	11.49830631517838	8.341683458668545	1.5686236313229236	6.773059827345621	0.4807692307692308	1927	0.3550730474891632	1916	0.99429164504411	0.3410062088770894
37	Aulographum hederae	Colletotrichum destructivum	5002573at2759	F1176130	F34406	False	PF26356.1	Pelota_N	H00100613	H00003662	1	138	1	130	114	101	297	10.967551593721895	7.9629384030126396	1.2976821357251285	6.665256267287511	0.49504950495049505	1877	0.3526290075291324	1873	0.9978689397975493	0.34255820963292927
38	Aulographum hederae	Colletotrichum destructivum	5002573at2759	F1176130	F34406	False	PF03465.21	eRF1_3	H00100615	H00003664	282	386	273	375	97	93	297	10.967551593721895	7.216609684975087	0.5830015639226734	6.633608121052414	0.41935483870967744	1780	0.24942921199791668	1779	0.999438202247191	0.24953410724849537
39	Colletotrichum destructivum	Pseudovirgaria hyperparasitica	5002573at2759	F34406	F470096	False	PF26356.1	Pelota_N	H00003662	H00158156	1	130	1	137	114	100	294	10.243031028550979	7.560831828417027	1.0801910053532129	6.480640823063814	0.41	1850	0.25329569160286175	1846	0.9978378378378379	0.2431554872752675
40	Colletotrichum costaricense	Fusarium oxysporum	5002573at2759	F1209916	F5507	False	PF26356.1	Pelota_N	H00098289	H00013014	2	90	1	130	85	79	279	10.33715306980771	7.263759145711996	0.8304879172845527	6.433271228427443	0.3670886075949367	901	0.22285643241485714	896	0.9944506104328524	0.22321483594798538
41	Colletotrichum tamarilloi	Fusarium oxysporum	5002573at2759	F1209934	F5507	False	PF26356.1	Pelota_N	H00098289	H00013014	2	90	1	130	85	79	279	10.33715306980771	7.263759145711996	0.8304879172845527	6.433271228427443	0.3670886075949367	901	0.22285643241485714	896	0.9944506104328524	0.22321483594798538
42	Colletotrichum lupini	Fusarium oxysporum	5002573at2759	F145971	F5507	False	PF26356.1	Pelota_N	H00098289	H00013014	2	90	1	130	85	79	279	10.33715306980771	7.263759145711996	0.8304879172845527	6.433271228427443	0.3670886075949367	901	0.22285643241485714	896	0.9944506104328524	0.22321483594798538
43	Colletotrichum abscissum	Fusarium oxysporum	5002573at2759	F1671311	F5507	False	PF26356.1	Pelota_N	H00098289	H00013014	2	90	1	130	85	79	279	10.33715306980771	7.263759145711996	0.8304879172845527	6.433271228427443	0.3670886075949367	901	0.22285643241485714	896	0.9944506104328524	0.22321483594798538
44	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	5000823at2759	F470096	F4918	False	PF01399.34	PCI	H00090747	H00005641	433	515	422	497	71	67	656	7.607223644413371	7.203974413831822	0.7782384538224582	6.425735960009364	0.5373134328358209	985	0.4408013759452803	983	0.9979695431472081	0.440700607116503
45	Colletotrichum gloeosporioides	Fusarium oxysporum	5002573at2759	F474922	F5507	False	PF03465.21	eRF1_3	H00090458	H00013016	300	402	272	375	97	94	318	10.411871802900139	6.752536923670601	0.36619719168592363	6.386339731984678	0.30851063829787234	1799	0.16960839541652606	1798	0.9994441356309061	0.16936981519172567
46	Colletotrichum costaricense	Colletotrichum destructivum	5002573at2759	F1209916	F34406	False	PF26356.1	Pelota_N	H00098289	H00003662	2	90	1	130	85	77	270	10.268375537164836	7.228611244015377	0.8606082157384097	6.368003028276967	0.05194805194805195	876	0.20377214597533644	875	0.9988584474885844	0.20350632432527643
47	Colletotrichum tamarilloi	Colletotrichum destructivum	5002573at2759	F1209934	F34406	False	PF26356.1	Pelota_N	H00098289	H00003662	2	90	1	130	85	77	270	10.268375537164836	7.228611244015377	0.8606082157384097	6.368003028276967	0.05194805194805195	876	0.20377214597533644	875	0.9988584474885844	0.20350632432527643
48	Colletotrichum lupini	Colletotrichum destructivum	5002573at2759	F145971	F34406	False	PF26356.1	Pelota_N	H00098289	H00003662	2	90	1	130	85	77	270	10.268375537164836	7.228611244015377	0.8606082157384097	6.368003028276967	0.05194805194805195	876	0.20377214597533644	875	0.9988584474885844	0.20350632432527643
49	Colletotrichum abscissum	Colletotrichum destructivum	5002573at2759	F1671311	F34406	False	PF26356.1	Pelota_N	H00098289	H00003662	2	90	1	130	85	77	270	10.268375537164836	7.228611244015377	0.8606082157384097	6.368003028276967	0.05194805194805195	876	0.20377214597533644	875	0.9988584474885844	0.20350632432527643
50	Colletotrichum destructivum	Colletotrichum gloeosporioides	5002573at2759	F34406	F474922	False	PF03465.21	eRF1_3	H00003664	H00090458	273	375	300	402	97	93	302	10.030662705137305	6.560919213393105	0.20061551999435526	6.36030369339875	0.07526881720430108	1751	0.10081751295086676	1749	0.9988577955454027	0.10037639742149548
51	Pachysolen tannophilus	Fusarium oxysporum	5002573at2759	F4918	F5507	False	PF26356.1	Pelota_N	H00052717	H00013014	1	135	1	130	113	103	315	11.266323744337924	7.561112820567706	1.2612675498700585	6.299845270697647	0.6116504854368932	1928	0.4491428476329445	1918	0.9948132780082988	0.43537910888737424
52	Colletotrichum costaricense	Colletotrichum destructivum	5002573at2759	F1209916	F34406	False	PF03465.21	eRF1_3	H00098291	H00003664	233	335	273	375	97	92	270	10.268375537164836	6.4683492259932	0.2282838185831169	6.240065407410083	0.11956521739130435	1713	0.09588976453124086	1713	1.0	0.09588976453124086
53	Colletotrichum tamarilloi	Colletotrichum destructivum	5002573at2759	F1209934	F34406	False	PF03465.21	eRF1_3	H00098291	H00003664	233	335	273	375	97	92	270	10.268375537164836	6.4683492259932	0.2282838185831169	6.240065407410083	0.11956521739130435	1713	0.09588976453124086	1713	1.0	0.09588976453124086
54	Colletotrichum lupini	Colletotrichum destructivum	5002573at2759	F145971	F34406	False	PF03465.21	eRF1_3	H00098291	H00003664	233	335	273	375	97	92	270	10.268375537164836	6.4683492259932	0.2282838185831169	6.240065407410083	0.11956521739130435	1713	0.09588976453124086	1713	1.0	0.09588976453124086
55	Colletotrichum abscissum	Colletotrichum destructivum	5002573at2759	F1671311	F34406	False	PF03465.21	eRF1_3	H00098291	H00003664	233	335	273	375	97	92	270	10.268375537164836	6.4683492259932	0.2282838185831169	6.240065407410083	0.11956521739130435	1713	0.09588976453124086	1713	1.0	0.09588976453124086
56	Fusarium oxysporum	Trichoderma harzianum	5002573at2759	F5507	F5544	False	PF26356.1	Pelota_N	H00013014	H00029913	1	130	1	131	113	108	320	10.908883874338244	7.649868377725763	1.4460452661983583	6.203823111527405	0.3333333333333333	1921	0.2719474377652991	1911	0.9947943779281624	0.2582206511294853
57	Pachysolen tannophilus	Fusarium oxysporum	5002573at2759	F4918	F5507	False	PF03465.21	eRF1_3	H00052719	H00013016	278	378	272	375	97	95	315	11.266323744337924	7.109869316521624	0.9313325230683521	6.178536793453271	0.5263157894736842	1840	0.37322044591915504	1840	1.0	0.37322044591915504
58	Saxophila tyrrhenica	Pachysolen tannophilus	5000823at2759	F1690608	F4918	False	PF01399.34	PCI	H00157372	H00005641	439	521	422	497	71	66	652	6.778635270785272	7.596332151366647	1.4441472155838806	6.152184935782766	0.5	956	0.5617338222208943	955	0.9989539748953975	0.562254112189955
59	Colletotrichum destructivum	Trichoderma harzianum	5002573at2759	F34406	F5544	False	PF26356.1	Pelota_N	H00003662	H00029913	1	130	1	131	113	105	301	10.414526042181087	7.283197957452241	1.143223448349762	6.13997450910248	0.34285714285714286	1868	0.24015107976560005	1864	0.9978586723768736	0.22940909179542215
60	Colletotrichum costaricense	Fusarium oxysporum	5002573at2759	F1209916	F5507	False	PF03465.21	eRF1_3	H00098291	H00013016	233	335	272	375	97	93	279	10.33715306980771	6.305609554861434	0.32999696136391216	5.975612593497521	0.3333333333333333	1762	0.16375246818748868	1762	1.0	0.16375246818748868
61	Colletotrichum tamarilloi	Fusarium oxysporum	5002573at2759	F1209934	F5507	False	PF03465.21	eRF1_3	H00098291	H00013016	233	335	272	375	97	93	279	10.33715306980771	6.305609554861434	0.32999696136391216	5.975612593497521	0.3333333333333333	1762	0.16375246818748868	1762	1.0	0.16375246818748868
62	Colletotrichum lupini	Fusarium oxysporum	5002573at2759	F145971	F5507	False	PF03465.21	eRF1_3	H00098291	H00013016	233	335	272	375	97	93	279	10.33715306980771	6.305609554861434	0.32999696136391216	5.975612593497521	0.3333333333333333	1762	0.16375246818748868	1762	1.0	0.16375246818748868
63	Colletotrichum abscissum	Fusarium oxysporum	5002573at2759	F1671311	F5507	False	PF03465.21	eRF1_3	H00098291	H00013016	233	335	272	375	97	93	279	10.33715306980771	6.305609554861434	0.32999696136391216	5.975612593497521	0.3333333333333333	1762	0.16375246818748868	1762	1.0	0.16375246818748868
64	Colletotrichum destructivum	Pachysolen tannophilus	5002573at2759	F34406	F4918	False	PF26356.1	Pelota_N	H00003662	H00052717	1	130	1	135	114	101	297	10.758246679477828	7.272236740825542	1.3254785720969713	5.946758168728571	0.6237623762376238	1887	0.4928944001901191	1882	0.9973502914679385	0.4767347904223833
65	Pseudovirgaria hyperparasitica	Scedosporium apiospermum	4975094at2759	F470096	F563466	False	PF00557.30	Peptidase_M24	H00008843	H00078322	182	419	211	422	185	184	725	5.859231237000256	7.770165080682938	1.8361884724590163	5.933976608223922	0.45652173913043476	3881	0.29560866022720106	3881	1.0	0.29560866022720106
66	Colletotrichum destructivum	Pachysolen tannophilus	5002573at2759	F34406	F4918	False	PF03465.21	eRF1_3	H00003664	H00052719	273	375	278	378	97	93	297	10.758246679477828	6.834982999815176	1.0073108050489537	5.8276721947662224	0.5698924731182796	1777	0.3889414835466538	1768	0.9949352841868317	0.36645017545506087
67	Fusarium oxysporum	Trichoderma harzianum	5002573at2759	F5507	F5544	False	PF03465.21	eRF1_3	H00013016	H00029915	272	375	273	376	98	95	320	10.908883874338244	6.631156719025926	0.8423691105561675	5.788787608469758	0.15789473684210525	1832	0.17519373288989198	1832	1.0	0.17519373288989198
68	Brettanomyces nanus	Pseudovirgaria hyperparasitica	5000870at2759	F13502	F470096	False	PF24901.3	WHD_MCM7	H00134341	H00017076	761	826	721	789	61	51	593	2.74130731479506	6.354767771521534	0.7960731198589525	5.558694651662581	0.7058823529411765	728	0.44490875292753845	728	1.0	0.44490875292753845
69	Pseudovirgaria hyperparasitica	Fusarium oxysporum	5002573at2759	F470096	F5507	False	PF03465.21	eRF1_3	H00158158	H00013016	285	388	272	375	98	95	311	10.606348802642039	6.884595200486272	1.3289805399336843	5.555614660552588	0.3894736842105263	1822	0.41213761825940864	1798	0.986827661909989	0.31486440250335535
70	Colletotrichum destructivum	Trichoderma harzianum	5002573at2759	F34406	F5544	False	PF03465.21	eRF1_3	H00003664	H00029915	273	375	273	376	97	93	301	10.414526042181087	6.438652903037026	0.9544730251260357	5.48417987791099	0.2903225806451613	1785	0.2627868520234891	1784	0.9994397759103641	0.26279416266140493
71	Pachysolen tannophilus	Scedosporium apiospermum	4975094at2759	F4918	F563466	False	PF00557.30	Peptidase_M24	H00161045	H00078322	208	416	211	422	185	185	717	25.398638826127744	6.713122370092157	1.3053426261444447	5.407779743947712	0.5135135135135135	3933	0.48296867861916704	3933	1.0	0.48296867861916704
72	Saxophila tyrrhenica	Pachysolen tannophilus	5015712at2759	F1690608	F4918	False	PF16837.11	SF3A3	H00039053	H00163535	126	182	157	203	45	37	348	21.33602611143895	6.367701731907797	0.9726993026171761	5.395002429290621	0.4864864864864865	325	0.32951811609447496	325	1.0	0.32951811609447496
73	Colletotrichum destructivum	Pseudovirgaria hyperparasitica	5002573at2759	F34406	F470096	False	PF03465.21	eRF1_3	H00003664	H00158158	273	375	285	388	97	93	294	10.243031028550979	6.708403102647027	1.3719451673018268	5.336457935345201	0.41935483870967744	1760	0.43110616273857	1737	0.9869318181818182	0.3448438958769757
74	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4987397at2759	F470096	F4918	False	PF21128.6	WHD_MCM4	H00087565	H00002806	942	1014	863	933	57	50	596	2.0551533109962565	6.015719776706537	0.6954457723686355	5.320274004337902	0.6	707	0.4649571917336109	707	1.0	0.4649571917336109
75	Pseudovirgaria hyperparasitica	Scedosporium apiospermum	4975094at2759	F470096	F563466	False	PF14826.13	FACT-Spt16_Nlob	H00008842	H00078321	7	165	6	165	112	110	725	5.859231237000256	6.827006610525224	2.586855778067972	4.240150832457251	0.44545454545454544	2077	1.1560012398687194	2077	1.0	1.1560012398687194
76	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4975094at2759	F470096	F4918	False	PF14826.13	FACT-Spt16_Nlob	H00008842	H00161044	7	165	6	163	111	110	722	25.064298233526696	6.836545234477891	3.1383513682945607	3.6981938661833307	0.6181818181818182	2079	1.405730525429666	2079	1.0	1.405730525429666
77	Heterodermia speciosa	Pachysolen tannophilus	5000823at2759	F116794	F4918	False	PF01399.34	PCI	H00046692	H00005641	437	519	422	497	71	67	657	5.262427008783175	4.4222718305138855	0.7541875842482787	3.668084246265607	0.5074626865671642	983	0.43610803330077635	979	0.9959308240081384	0.4339678064370583
78	Pseudovirgaria hyperparasitica	Scedosporium apiospermum	4975094at2759	F470096	F563466	False	PF08644.18	SPT16	H00008844	H00078323	542	654	547	659	104	86	725	5.859231237000256	4.130370894697309	0.6204201750748223	3.509950719622487	0.3023255813953488	1296	0.17566003970123453	1296	1.0	0.17566003970123453
79	Pseudovirgaria hyperparasitica	Scedosporium apiospermum	4975094at2759	F470096	F563466	False	PF24824.2	PH_SPT16	H00008845	H00078324	665	796	669	802	125	105	725	5.859231237000256	4.040960075573383	0.5741839908215256	3.4667760847518574	0.3047619047619048	1868	0.1638855662839756	1868	1.0	0.1638855662839756
80	Phaeomoniella chlamydospora	Saxophila tyrrhenica	5015712at2759	F158046	F1690608	False	PF16837.11	SF3A3	H00143930	H00039053	126	179	126	182	51	51	401	15.174798807225423	4.495418280295039	1.0994093011247232	3.3960089791703156	0.27450980392156865	517	0.5016594800633657	517	1.0	0.5016594800633657
81	Brettanomyces nanus	Pachysolen tannophilus	5000870at2759	F13502	F4918	False	PF24901.3	WHD_MCM7	H00134341	H00108621	761	826	741	807	60	48	596	1.5219020784424544	3.784748454432839	0.6917416467010378	3.0930068077318014	0.7083333333333334	654	0.3652214025905112	654	1.0	0.3652214025905112
82	Pseudovirgaria hyperparasitica	Scedosporium apiospermum	4975094at2759	F470096	F563466	False	PF08512.19	Rttp106-like_middle	H00008846	H00078325	818	904	823	910	87	85	725	5.859231237000256	3.406613857347136	0.3330327912460951	3.073581066101041	0.32941176470588235	1417	0.13804339129100196	1417	1.0	0.13804339129100196
83	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	5000870at2759	F470096	F4918	False	PF24901.3	WHD_MCM7	H00017076	H00108621	721	789	741	807	62	51	598	1.8015938703235184	3.404492701964301	0.38842205912965017	3.016070642834651	0.5098039215686274	722	0.2237332081398695	722	1.0	0.2237332081398695
84	Heterodermia speciosa	Pseudovirgaria hyperparasitica	5000823at2759	F116794	F470096	False	PF01399.34	PCI	H00046692	H00090747	437	519	433	515	77	77	670	3.6656223331706386	2.9554967643535353	0.48413917509058163	2.471357589262954	0.2077922077922078	1095	0.11052574947124785	1092	0.9972602739726028	0.11060889275710864
85	Pseudovirgaria hyperparasitica	Pachysolen tannophilus	4813267at2759	F470096	F4918	False	PF23291.2	KOW4_SPT5	H00080343	H00059025	640	692	676	727	48	46	427	4.5708064538238595	3.3856992613779577	1.0551571046999046	2.330542156678053	0.5	614	0.325162156555708	612	0.996742671009772	0.32072498098573066
86	Brettanomyces nanus	Pseudovirgaria hyperparasitica	5000870at2759	F13502	F470096	False	PF17855.8	MCM_lid	H00134340	H00017075	655	739	617	703	83	76	593	2.74130731479506	2.5775725208789457	0.3317319647616262	2.2458405561173196	0.47368421052631576	1121	0.1086125394034593	1121	1.0	0.1086125394034593
