marker	fit	sites	log_likelihood	original_fit_log_likelihood	log_likelihood_change	site_likelihood_sum_error	printed_precision_bound	gamma_alpha	warnings
319730at2759	3di_llm	400	-2398.3672	-2398.3672	0.0	0.00020999999969717464	0.01222000999999993	0.2898	1
345792at2759	aa	226	-4436.9914	-4436.9903	-0.0010999999994965037	9.000000045489287e-05	0.031780010000000164	0.3969	1
345792at2759	3di_af	226	-3932.7139	-3932.7139	0.0	0.0007799999998496787	0.02381501000000004	0.4463	2
345792at2759	3di_af_empirical	226	-3959.2928	-3959.2928	0.0	0.00018000000000029104	0.022375010000000025	0.4321	2
345792at2759	3di_llm	226	-3990.0625	-3990.0625	0.0	0.0005999999998493877	0.021160010000000114	0.4435	2
352891at2759	aa	240	-13849.4228	-13849.4226	-0.00020000000040454324	0.0018400000008114148	0.06969501	0.8308	1
352891at2759	3di_af	240	-7418.239	-7418.239	0.0	0.0010700000002543675	0.02334501000000008	0.4808	1
352891at2759	3di_af_empirical	240	-7438.8286	-7438.8286	0.0	0.0003100000003541936	0.0810350100000001	0.4697	1
352891at2759	3di_llm	240	-7473.4082	-7473.4082	0.0	0.0007900000000518048	0.04346001000000012	0.4898	1
4613677at2759	aa	73	-6172.4063	-6172.4063	0.0	0.0006700000003547757	0.024760010000000048	1.0165	2
4613677at2759	3di_af	73	-1752.3373	-1752.3373	0.0	0.0012899999999262945	0.004375009999999993	0.2744	2
4613677at2759	3di_af_empirical	73	-1680.3915	-1680.3915	0.0	0.0006800000001021544	0.004285009999999997	0.2919	2
4613677at2759	3di_llm	73	-1731.2544	-1731.2544	0.0	0.0014200000000528235	0.0060400099999999984	0.2692	2
4747214at2759	aa	111	-8038.689	-8038.689	0.0	0.0016500000001542503	0.04061001000000007	0.8257	2
4747214at2759	3di_af	111	-4019.6947	-4019.6947	0.0	0.00014999999984866008	0.023960010000000087	0.6272	3
4747214at2759	3di_af_empirical	111	-3995.8165	-3995.8165	0.0	0.0012199999996482802	0.06324500999999999	0.5327	3
4747214at2759	3di_llm	111	-4045.4472	-4045.4472	0.0	2.9999999696883606e-05	0.02081001000000005	0.6615	3
4803900at2759	aa	101	-10541.8343	-10541.8344	9.999999929277692e-05	0.0007100000002537854	0.10968001000000005	1.0415	1
4803900at2759	3di_af	101	-3741.1531	-3741.1531	0.0	0.0003000000001520675	0.009825009999999993	0.5182	2
4803900at2759	3di_af_empirical	101	-3678.0115	-3678.0115	0.0	0.00012000000015177648	0.028680010000000037	0.5243	2
4803900at2759	3di_llm	101	-3762.712	-3762.712	0.0	0.0008899999997993291	0.01896001000000003	0.5117	2
4823929at2759	aa	409	-6448.2998	-6448.2998	0.0	0.00010000000020227162	0.06235001000000027	2.3958	0
4823929at2759	3di_af	409	-4252.9954	-4252.9954	0.0	0.00039000000015221303	0.03971501000000032	0.8255	0
4823929at2759	3di_af_empirical	409	-4197.1056	-4197.1056	0.0	0.00025999999979831045	0.023560010000000034	0.8532	0
4823929at2759	3di_llm	409	-4360.8249	-4360.8249	0.0	0.00022000000080879545	0.040255010000000084	0.8585	0
4837017at2759	aa	196	-26916.7519	-26916.7524	0.0005000000019208528	0.0009399999980814755	0.6741400099999995	1.4777	1
4837017at2759	3di_af	196	-14503.9835	-14503.9835	0.0	0.0013099999996484257	0.047965010000000106	0.787	2
4837017at2759	3di_af_empirical	196	-14520.0066	-14520.0066	0.0	0.004710000001068693	0.08756500999999996	0.8281	2
4837017at2759	3di_llm	196	-14555.7142	-14555.7142	0.0	1.9999999494757503e-05	0.06376001000000006	0.7375	2
4843824at2759	aa	196	-21822.8291	-21822.8292	0.00010000000111176632	0.004919999999401625	0.1397650099999999	1.2124	1
4843824at2759	3di_af	196	-10242.9624	-10242.9624	0.0	0.0017699999989417847	0.041080010000000104	0.7574	1
4843824at2759	3di_af_empirical	196	-10274.6261	-10274.6261	0.0	0.0011000000013154931	0.05485001000000011	0.7423	1
4843824at2759	3di_llm	196	-10278.3134	-10278.3134	0.0	0.00010999999904015567	0.1227550099999996	0.7771	1
4867008at2759	aa	177	-16395.1887	-16395.188	-0.0007000000005064066	7.000000186963007e-05	0.12176000999999989	0.9412	2
4867008at2759	3di_af	177	-13575.2704	-13575.2704	0.0	0.0016500000001542503	0.07689500999999996	0.7339	2
4867008at2759	3di_af_empirical	177	-13625.8241	-13625.8241	0.0	0.0027800000007118797	0.10398501000000007	0.8162	2
4867008at2759	3di_llm	177	-13640.4107	-13640.4107	0.0	0.0007600000008096686	0.05489001000000009	0.7406	2
4896098at2759	aa	149	-7836.6786	-7836.6786	0.0	0.0012299999998504063	0.03846001000000009	0.6046	1
4896098at2759	3di_af	149	-4307.8267	-4307.8267	0.0	0.001750000000356522	0.02518501000000006	0.3416	1
4896098at2759	3di_af_empirical	149	-4225.7055	-4225.7055	0.0	0.001089999999749125	0.08634000999999997	0.3628	1
4896098at2759	3di_llm	149	-4357.8591	-4357.8591	0.0	0.0007099999993442907	0.07162501000000007	0.3928	1
4900375at2759	aa	169	-21861.5423	-21861.5407	-0.0015999999995983671	0.005669999998644926	0.18976000999999992	1.1083	2
4900375at2759	3di_af	169	-9773.3429	-9773.3429	0.0	0.0016299999988405034	0.05791001000000007	0.6923	3
4900375at2759	3di_af_empirical	169	-9799.3434	-9799.3434	0.0	0.0001900000006571645	0.10003000999999978	0.5881	3
4900375at2759	3di_llm	169	-9759.814	-9759.814	0.0	0.0006000000012136297	0.045715010000000084	0.7012	3
4908955at2759	aa	275	-4677.866	-4677.8661	0.00010000000020227162	0.0002899999999499414	0.022710010000000006	0.6484	1
4908955at2759	3di_af	275	-2678.657	-2678.657	0.0	0.00013000000035390258	0.012270009999999953	0.6709	2
4908955at2759	3di_af_empirical	275	-2683.6461	-2683.6461	0.0	5.999999984851456e-05	0.008040009999999967	0.6917	2
4908955at2759	3di_llm	275	-2684.8042	-2684.8042	0.0	0.0003600000000005821	0.06708001000000002	0.6781	2
4969018at2759	aa	336	-2201.7505	-2201.7505	0.0	0.0002600000002530578	0.018650010000000095	0.4079	0
4969018at2759	3di_af	336	-1779.6839	-1779.6839	0.0	2.999999992425728e-05	0.007175009999999957	0.2072	1
4969018at2759	3di_af_empirical	336	-1749.6132	-1749.6132	0.0	0.0002899999999499414	0.011135009999999931	0.187	1
4969018at2759	3di_llm	336	-1832.7133	-1832.7133	0.0	0.00010000000020227162	0.006770009999999955	0.2147	1
4969636at2759	aa	291	-3221.9593	-3221.9593	0.0	0.00023000000010142685	0.022475010000000007	0.5812	0
4969636at2759	3di_af	291	-2780.287	-2780.287	0.0	0.000420000000303844	0.03188001000000009	0.605	1
4969636at2759	3di_af_empirical	291	-2694.6112	-2694.6112	0.0	0.00018000000000029104	0.021080010000000163	0.5915	1
4969636at2759	3di_llm	291	-2841.3824	-2841.3824	0.0	0.00010000000020227162	0.011630009999999955	0.6457	1
4969990at2759	aa	345	-3853.809	-3853.8087	-0.0003000000001520675	7.999999979801942e-05	0.027470010000000135	1.0152	0
4969990at2759	3di_af	345	-2585.0011	-2585.0011	0.0	0.00043000000005122274	0.5091500100000032	0.9342	1
4969990at2759	3di_af_empirical	345	-2540.4838	-2540.4838	0.0	0.00014000000010128133	0.010730009999999944	0.8063	1
4969990at2759	3di_llm	345	-2622.4434	-2622.4434	0.0	0.00018000000000029104	0.019640010000000176	0.9844	1
4970387at2759	aa	136	-15349.8254	-15349.8246	-0.0007999999997991836	0.0027900000004592584	0.13267000999999995	0.8948	3
4970387at2759	3di_af	136	-3332.4422	-3332.4422	0.0	0.00016999999979816494	0.033985010000000065	0.2424	3
4970387at2759	3di_af_empirical	136	-3506.1839	-3506.1839	0.0	0.00091999999995096	0.01805501000000005	0.3811	3
4970387at2759	3di_llm	136	-3341.6303	-3341.6303	0.0	0.002510000000256696	0.02746001000000006	0.2249	4
4971272at2759	aa	375	-3435.4636	-3435.4639	0.0003000000001520675	0.00010999999994965037	0.02321001000000019	1.5821	0
4971272at2759	3di_af	375	-1782.6793	-1782.6793	0.0	0.0002500000000509317	0.006785009999999949	0.7755	1
4971272at2759	3di_af_empirical	375	-1566.5428	-1566.5428	0.0	0.00014999999984866008	0.006515009999999948	0.714	1
4971272at2759	3di_llm	375	-1796.1029	-1796.1029	0.0	5.000000010113581e-05	0.0066950099999999475	0.8337	1
4974767at2759	aa	74	-928.0868	-928.0868	0.0	4.999999998744897e-05	0.05928001	1.2355	1
4974767at2759	3di_af	74	-513.7757	-513.7757	0.0	0.00022999999998774	0.0014100100000000002	0.2425	2
4974767at2759	3di_af_empirical	74	-475.0386	-475.0386	0.0	0.0001519999999572974	0.003066009999999998	0.2313	2
4974767at2759	3di_llm	74	-506.0627	-506.0627	0.0	0.00018000000000029104	0.0021300099999999995	0.2454	2
4976279at2759	aa	228	-3048.7059	-3048.7058	-9.999999974752427e-05	9.000000000014552e-05	0.012665009999999975	0.9222	0
4976279at2759	3di_af	228	-2243.9717	-2243.9717	0.0	0.0	0.01001000999999997	1.215	1
4976279at2759	3di_af_empirical	228	-2188.3422	-2188.3422	0.0	0.00027000000000043656	0.01622000999999998	1.0698	1
4976279at2759	3di_llm	228	-2319.3545	-2319.3545	0.0	0.00043000000005122274	0.01748001000000001	1.2782	1
4977163at2759	aa	141	-14225.7282	-14225.7282	0.0	0.0007499999992433004	0.25955000999999983	0.8765	2
4977163at2759	3di_af	141	-7687.3944	-7687.3944	0.0	0.0024899999998524436	0.04265001000000009	0.6234	3
4977163at2759	3di_af_empirical	141	-7697.6242	-7697.6242	0.0	0.0006400000002031447	0.03374001000000005	0.5653	3
4977163at2759	3di_llm	141	-7666.1305	-7666.1305	0.0	0.00025999999979831045	0.10092500999999984	0.6121	3
4985971at2759	aa	281	-4084.2978	-4084.3341	0.036300000000210275	0.00011999999969702912	0.020760010000000054	0.526	0
4985971at2759	3di_af	281	-2541.0425	-2541.0425	0.0	0.00010000000020227162	0.060450009999999874	0.6229	1
4985971at2759	3di_af_empirical	281	-2409.053	-2409.053	0.0	0.0005099999998492422	0.00996000999999996	0.5741	1
4985971at2759	3di_llm	281	-2571.2001	-2571.2001	0.0	3.0000000151630957e-05	0.00834000999999996	0.6867	1
5000045at2759	aa	301	-5745.9914	-5745.9927	0.001299999999901047	0.00044999999954598024	0.08597500999999975	0.9703	0
5000045at2759	3di_af	301	-2848.8202	-2848.8202	0.0	0.00048000000015235855	0.018520010000000125	0.5267	2
5000045at2759	3di_af_empirical	301	-2695.3614	-2695.3614	0.0	9.000000000014552e-05	0.01991501	0.4339	2
5000045at2759	3di_llm	301	-2868.6928	-2868.6928	0.0	0.0004100000001017179	0.06208000999999986	0.5392	1
5000371at2759	aa	411	-7309.1683	-7309.1683	0.0	4.999999964638846e-05	0.035270010000000275	1.1024	0
5000371at2759	3di_af	411	-4550.3126	-4550.3126	0.0	8.999999954539817e-05	0.02906001000000031	0.9976	0
5000371at2759	3di_af_empirical	411	-4559.1733	-4559.1733	0.0	0.0001900000006571645	0.028880010000000234	0.9662	0
5000371at2759	3di_llm	411	-4651.8466	-4651.8466	0.0	0.0002899999999499414	0.027980010000000187	1.0125	0
5000452at2759	aa	292	-15105.2035	-15105.2038	0.00029999999969732016	0.0007399999994959217	0.031165010000000232	1.6145	0
5000452at2759	3di_af	292	-8188.4904	-8188.4904	0.0	0.00012999999944440788	0.026845010000000103	0.8298	2
5000452at2759	3di_af_empirical	292	-8080.4846	-8080.4846	0.0	0.0005300000002534944	0.03503501000000024	0.6644	2
5000452at2759	3di_llm	292	-8175.6726	-8175.6726	0.0	0.0002899999999499414	0.08156500999999955	0.8124	2
5000476at2759	aa	306	-4123.4455	-4123.4455	0.0	0.0005900000005567563	0.03393501000000026	1.2126	0
5000476at2759	3di_af	306	-2080.7512	-2080.7512	0.0	5.999999984851456e-05	0.05837000999999982	0.6164	1
5000476at2759	3di_af_empirical	306	-1942.7676	-1942.7676	0.0	0.0002500000000509317	0.06579501000000018	0.4718	1
5000476at2759	3di_llm	306	-2104.0332	-2104.0332	0.0	0.0007000000000516593	0.018320010000000175	0.6362	1
5000743at2759	aa	166	-17908.2571	-17908.257	-9.999999747378752e-05	0.0001900000024761539	0.0817450099999999	0.8642	1
5000743at2759	3di_af	166	-10916.7018	-10916.7018	0.0	0.0011399999984860187	0.1156750099999998	0.797	1
5000743at2759	3di_af_empirical	166	-10962.5502	-10962.5502	0.0	0.002809999999954016	0.04912001000000008	0.7673	1
5000743at2759	3di_llm	166	-11009.8106	-11009.8106	0.0	7.000000005064066e-05	0.12359500999999998	0.7971	1
5001156at2759	aa	229	-3543.6825	-3543.6824	-9.999999974752427e-05	8.000000025276677e-05	0.0266650100000002	0.7996	1
5001156at2759	3di_af	229	-2626.0109	-2626.0109	0.0	1.9999999949504854e-05	0.015280009999999967	0.5572	2
5001156at2759	3di_af_empirical	229	-2618.8506	-2618.8506	0.0	0.00029999999969732016	0.1272400100000001	0.4904	2
5001156at2759	3di_llm	229	-2657.6549	-2657.6549	0.0	0.0003600000000005821	0.019150010000000047	0.6357	2
5001273at2759	aa	229	-24482.0153	-24482.0153	0.0	0.0016099999993457459	0.16702000999999997	1.0108	1
5001273at2759	3di_af	229	-11411.9118	-11411.9118	0.0	0.0012800000004062895	0.0447550100000001	0.5702	2
5001273at2759	3di_af_empirical	229	-11400.1465	-11400.1465	0.0	0.0012499999993451638	0.050920010000000085	0.4816	2
5001273at2759	3di_llm	229	-11356.958	-11356.958	0.0	4.999999873689376e-05	0.05195501000000007	0.567	2
5001318at2759	aa	261	-1916.8664	-1916.8664	0.0	6.999999982326699e-05	0.009320009999999962	0.6223	1
5001318at2759	3di_af	261	-1490.0286	-1490.0286	0.0	0.0	0.004775009999999975	0.4673	3
5001318at2759	3di_af_empirical	261	-1438.3975	-1438.3975	0.0	0.00040000000012696546	0.005450009999999974	0.4876	3
5001318at2759	3di_llm	261	-1518.6382	-1518.6382	0.0	1.0000000202126103e-05	0.010310009999999977	0.4847	3
5001413at2759	aa	251	-11886.3944	-11886.3943	-9.999999929277692e-05	0.0006000000012136297	0.057825010000000114	0.5751	1
5001413at2759	3di_af	251	-9257.2838	-9257.2838	0.0	0.0005000000001018634	0.02358001000000013	0.6738	1
5001413at2759	3di_af_empirical	251	-9380.2519	-9380.2519	0.0	0.0013900000012654345	0.028395010000000224	0.6966	1
5001413at2759	3di_llm	251	-9330.0407	-9330.0407	0.0	0.0005000000001018634	0.5232600099999989	0.7048	1
5001473at2759	aa	81	-2072.6014	-2072.6014	0.0	0.00025999999979831045	0.0068000099999999935	0.4674	1
5001473at2759	3di_af	81	-1649.5951	-1649.5951	0.0	0.0007900000000518048	0.005000009999999996	0.3049	2
5001473at2759	3di_af_empirical	81	-1699.369	-1699.369	0.0	6.000000007588824e-05	0.004460009999999997	0.3073	2
5001473at2759	3di_llm	81	-1649.6804	-1649.6804	0.0	0.00030999999989944627	0.014000009999999997	0.3023	2
5001734at2759	aa	172	-5666.9751	-5666.9752	0.00010000000020227162	0.00027999999929306796	0.024535010000000124	0.4196	2
5001734at2759	3di_af	172	-1777.9026	-1777.9026	0.0	6.999999982326699e-05	0.004195009999999987	0.1992	3
5001734at2759	3di_af_empirical	172	-1771.1887	-1771.1887	0.0	0.0002520000000458822	0.00552250999999998	0.1871	3
5001734at2759	3di_llm	172	-1783.8402	-1783.8402	0.0	0.00018000000000029104	0.004465009999999989	0.1973	3
5002334at2759	aa	227	-4921.0457	-4921.0456	-9.999999929277692e-05	3.999999989900971e-05	0.02773501000000011	0.8171	0
5002334at2759	3di_af	227	-2654.3497	-2654.3497	0.0	9.000000000014552e-05	0.06085500999999997	0.7339	2
5002334at2759	3di_af_empirical	227	-2552.2906	-2552.2906	0.0	0.00021999999989930075	0.017970010000000033	0.6332	1
5002334at2759	3di_llm	227	-2691.1414	-2691.1414	0.0	0.0004100000001017179	0.014145009999999958	0.7124	2
5002573at2759	aa	357	-5352.9947	-5352.9945	-0.00020000000040454324	3.0000000151630957e-05	0.039050010000000156	1.3723	0
5002573at2759	3di_af	357	-3334.9763	-3334.9763	0.0	0.00021999999989930075	0.04494501000000007	1.3132	0
5002573at2759	3di_af_empirical	357	-3316.9959	-3316.9959	0.0	0.00030999999989944627	0.02654001000000026	1.3927	0
5002573at2759	3di_llm	357	-3381.9882	-3381.9882	0.0	0.00018000000000029104	0.025055010000000082	1.4258	0
5003856at2759	aa	219	-5965.0967	-5965.096	-0.0007000000005064066	7.000000005064066e-05	0.022115010000000077	0.8509	1
5003856at2759	3di_af	219	-3732.0092	-3732.0092	0.0	0.00021999999989930075	0.01824501000000007	0.6419	2
5003856at2759	3di_af_empirical	219	-3769.1481	-3769.1481	0.0	4.000000035375706e-05	0.0207200100000001	0.5683	2
5003856at2759	3di_llm	219	-3789.7139	-3789.7139	0.0	0.0004100000001017179	0.019190010000000018	0.663	2
5003972at2759	aa	201	-9566.7465	-9566.7464	-9.999999929277692e-05	0.0014599999994970858	0.04763001000000012	0.5031	2
5003972at2759	3di_af	201	-7926.3625	-7926.3625	0.0	0.002209999999649881	0.02220501000000008	0.7157	3
5003972at2759	3di_af_empirical	201	-7907.8217	-7907.8217	0.0	0.00030000000060681487	0.07440501000000006	0.6397	3
5003972at2759	3di_llm	201	-8020.4686	-8020.4686	0.0	0.00012000000060652383	0.03255501000000017	0.7186	3
5004118at2759	aa	81	-1391.7184	-1391.7183	-9.999999997489795e-05	0.00018999999997504347	0.005225009999999995	1.2922	1
5004118at2759	3di_af	81	-377.5451	-377.5451	0.0	0.00015999999999394277	0.0014450100000000005	0.1829	2
5004118at2759	3di_af_empirical	81	-293.5823	-293.5823	0.0	5.5000000031668606e-05	0.0006215100000000007	0.0822	3
5004118at2759	3di_llm	81	-363.7611	-363.7611	0.0	6.000000001904482e-05	0.002975009999999996	0.2711	2
5004478at2759	aa	261	-2236.4024	-2236.4024	0.0	0.000210000000151922	0.010535009999999958	1.4564	0
5004478at2759	3di_af	261	-1507.3597	-1507.3597	0.0	0.0001199999999244028	0.011390009999999968	0.6866	1
5004478at2759	3di_af_empirical	261	-1380.633	-1380.633	0.0	0.00012999999989915523	0.004460009999999985	0.577	1
5004478at2759	3di_llm	261	-1546.5465	-1546.5465	0.0	8.000000002539309e-05	0.009860009999999971	0.6677	1
5005010at2759	aa	92	-9890.8157	-9890.8141	-0.0015999999995983671	0.0021100000012665987	0.08736000999999982	1.1559	1
5005010at2759	3di_af	92	-1506.1764	-1506.1764	0.0	0.0002500000000509317	0.003570009999999995	0.1907	2
5005010at2759	3di_af_empirical	92	-1508.2396	-1508.2396	0.0	0.00031000000012681994	0.008790009999999987	0.3054	2
5005010at2759	3di_llm	92	-1498.3998	-1498.3998	0.0	0.0002500000000509317	0.053565009999999955	0.2081	2
5005174at2759	aa	136	-9072.9795	-9072.98	0.0005000000001018634	0.0011799999992945231	0.10531000999999983	0.9968	2
5005174at2759	3di_af	136	-2640.5805	-2640.5805	0.0	0.0001999999999497959	0.01783001000000003	0.3928	3
5005174at2759	3di_af_empirical	136	-2695.9468	-2695.9468	0.0	0.0007989999999153952	0.057326509999999935	0.4054	3
5005174at2759	3di_llm	136	-2609.0146	-2609.0146	0.0	0.0009399999999004649	0.013600009999999982	0.4	3
5005196at2759	aa	291	-2840.5602	-2840.5602	0.0	9.000000000014552e-05	0.013880009999999951	1.6077	0
5005196at2759	3di_af	291	-2247.2472	-2247.2472	0.0	0.00045999999974810635	0.06576501000000028	0.7729	0
5005196at2759	3di_af_empirical	291	-2158.7498	-2158.7498	0.0	0.00036999999974796083	0.06459501	0.7684	0
5005196at2759	3di_llm	291	-2310.8058	-2310.8058	0.0	0.0005900000001020089	0.016355010000000048	0.8226	0
5005274at2759	aa	157	-2358.2858	-2358.2846	-0.0012000000001535227	0.0002500000000509317	0.019960010000000025	1.071	2
5005274at2759	3di_af	157	-700.0793	-700.0793	0.0	4.0000000012696546e-05	0.0037150099999999847	0.2949	3
5005274at2759	3di_af_empirical	157	-597.5803	-597.5803	0.0	0.00034599999992224184	0.0029815100000000045	0.6892	3
5005274at2759	3di_llm	157	-660.576	-660.576	0.0	0.00018999999997504347	0.0027250099999999895	0.3364	3
5005750at2759	aa	107	-6246.728	-6246.7285	0.0005000000001018634	0.0006599999996979022	0.08500500999999985	0.6949	3
5005750at2759	3di_af	107	-4027.433	-4027.433	0.0	0.0013699999999516876	0.022365010000000032	0.4927	3
5005750at2759	3di_af_empirical	107	-3955.6238	-3955.6238	0.0	0.00014999999984866008	0.01192500999999999	0.4445	3
5005750at2759	3di_llm	107	-4020.1667	-4020.1667	0.0	5.000000010113581e-05	0.12393000999999992	0.5121	3
5005892at2759	aa	288	-3770.8471	-3770.847	-9.999999974752427e-05	0.0006200000002536399	0.018320010000000043	0.7252	0
5005892at2759	3di_af	288	-2468.7464	-2468.7464	0.0	0.000529999999798747	0.012785009999999956	0.6478	1
5005892at2759	3di_af_empirical	288	-2469.8501	-2469.8501	0.0	0.00032000000010157237	0.01085000999999996	0.618	1
5005892at2759	3di_llm	288	-2489.3523	-2489.3523	0.0	0.000210000000151922	0.021785010000000018	0.6839	0
5013042at2759	aa	333	-3508.799	-3508.799	0.0	0.00014000000010128133	0.03267501000000017	1.0977	0
5013042at2759	3di_af	333	-1862.3686	-1862.3686	0.0	9.000000000014552e-05	0.05648000999999958	0.4184	1
5013042at2759	3di_af_empirical	333	-1732.3037	-1732.3037	0.0	0.0006099999998241401	0.017195009999999997	0.379	1
5013042at2759	3di_llm	333	-1882.6872	-1882.6872	0.0	0.00019000000020241714	0.008285009999999945	0.4259	1
5013067at2759	aa	306	-5298.9257	-5298.9257	0.0	0.0005599999994956306	0.035645010000000206	1.1357	1
5013067at2759	3di_af	306	-4127.1167	-4127.1167	0.0	0.0007099999993442907	0.030065010000000243	0.7642	0
5013067at2759	3di_af_empirical	306	-4040.1624	-4040.1624	0.0	0.0005700000001525041	0.025790010000000155	0.6183	0
5013067at2759	3di_llm	306	-4217.9184	-4217.9184	0.0	3.0000000151630957e-05	0.021785010000000188	0.8014	0
5013259at2759	aa	120	-7829.0567	-7829.0566	-0.00010000000020227162	0.001299999999901047	0.0824150099999999	0.7277	2
5013259at2759	3di_af	120	-2055.1442	-2055.1442	0.0	0.00012999999989915523	0.007400009999999985	0.3727	3
5013259at2759	3di_af_empirical	120	-2095.21	-2095.21	0.0	9.000000000014552e-05	0.012305009999999983	0.4153	3
5013259at2759	3di_llm	120	-2020.6889	-2020.6889	0.0	0.0002899999999499414	0.5252600100000012	0.4043	3
5013539at2759	aa	223	-5868.7045	-5868.7044	-0.00010000000020227162	0.00029999999969732016	0.017770009999999996	0.7142	2
5013539at2759	3di_af	223	-4128.9935	-4128.9935	0.0	0.00030000000060681487	0.030820010000000182	0.4798	2
5013539at2759	3di_af_empirical	223	-4129.6948	-4129.6948	0.0	7.000000005064066e-05	0.01291000999999997	0.5298	2
5013539at2759	3di_llm	223	-4162.5279	-4162.5279	0.0	7.000000005064066e-05	0.06812500999999997	0.5134	2
5013726at2759	aa	165	-11877.9137	-11877.9136	-9.999999929277692e-05	0.005640000001221779	0.06356000999999999	0.9245	2
5013726at2759	3di_af	165	-5883.8496	-5883.8496	0.0	0.0002299999996466795	0.032105010000000066	0.4689	3
5013726at2759	3di_af_empirical	165	-5880.896	-5880.896	0.0	0.0004800000006071059	0.03242001000000002	0.4576	3
5013726at2759	3di_llm	165	-5917.4014	-5917.4014	0.0	0.0012900000001536682	0.03183501000000007	0.4713	3
5013738at2759	aa	170	-8879.3941	-8879.3939	-0.00020000000040454324	0.001150000000052387	0.03478501000000013	0.6262	2
5013738at2759	3di_af	170	-5681.2728	-5681.2728	0.0	0.00012999999944440788	0.015210009999999977	0.3649	3
5013738at2759	3di_af_empirical	170	-5655.295	-5655.295	0.0	0.00036999999974796083	0.027315010000000164	0.4477	3
5013738at2759	3di_llm	170	-5710.4394	-5710.4394	0.0	0.0013699999999516876	0.03982501000000005	0.344	3
5015403at2759	aa	314	-4259.9147	-4259.9147	0.0	0.0004400000007080962	0.05679001000000001	0.632	0
5015403at2759	3di_af	314	-3150.5773	-3150.5773	0.0	0.0006699999999000283	0.02020501000000012	1.0612	1
5015403at2759	3di_af_empirical	314	-3124.6137	-3124.6137	0.0	0.00032000000010157237	0.013230009999999948	1.0271	1
5015403at2759	3di_llm	314	-3201.8683	-3201.8683	0.0	1.9999999949504854e-05	0.02416501000000016	1.1001	1
5015712at2759	aa	422	-2966.7227	-2966.7224	-0.00029999999969732016	0.0005000000001018634	0.06880501000000053	1.1929	0
5015712at2759	3di_af	422	-1669.751	-1669.751	0.0	0.0003400000000510772	0.00913500999999993	0.7615	1
5015712at2759	3di_af_empirical	422	-1537.4798	-1537.4798	0.0	0.00037699999984397436	0.004468509999999962	0.5791	1
5015712at2759	3di_llm	422	-1649.3945	-1649.3945	0.0	2.999999992425728e-05	0.007425009999999944	0.8373	1
5015742at2759	aa	394	-2986.0806	-2986.0807	0.00010000000020227162	0.00012000000015177648	0.017635009999999982	2.4784	1
