representative_input_id	models	unique_sequences	taxa	ingroup_taxa	outgroup_taxa	sources	markers	marker_ids_json	major_lineages_json	minimum_length	maximum_length	model_weighted_median_mean_CA_plddt	models_mean_CA_plddt_below70	edges_not_passing_both_approximate_directions	edge_qualification	orthology_status
M000772	1	1	1	1	0	AlphaFold	1	"[""5004265at2759""]"	"[""Ascomycota""]"	292	292	72.91041095890417	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000776	26	26	28	28	0	AlphaFold;ESMFold	1	"[""5013539at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Kickxellomycota"", ""Mucoromycota""]"	276	312	84.10211221122115	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000804	1	1	1	1	0	AlphaFold	1	"[""5013738at2759""]"	"[""Ascomycota""]"	234	234	82.72239316239313	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000807	3	3	3	3	0	AlphaFold	1	"[""5003022at2759""]"	"[""Ascomycota""]"	891	900	75.09642058165551	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000809	3	3	3	3	0	AlphaFold	1	"[""5006412at2759""]"	"[""Ascomycota""]"	581	582	67.08299483648881	3	0	pending_exact_score_review	not_established_by_structural_clustering
M000821	2	2	2	2	0	AlphaFold	1	"[""5005750at2759""]"	"[""Ascomycota""]"	175	178	70.95272471910117	1	0	pending_exact_score_review	not_established_by_structural_clustering
M000827	1	1	1	1	0	AlphaFold	1	"[""5005697at2759""]"	"[""Ascomycota""]"	594	594	70.34922558922565	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000831	2	2	2	2	0	AlphaFold	1	"[""5005010at2759""]"	"[""Ascomycota""]"	114	114	91.17767543859654	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000859	2	2	2	2	0	AlphaFold	1	"[""5005750at2759""]"	"[""Ascomycota""]"	169	175	71.43624006762465	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000862	1	1	1	1	0	AlphaFold	1	"[""5014007at2759""]"	"[""Ascomycota""]"	429	429	90.36533799533807	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000869	6	6	6	6	0	AlphaFold	1	"[""288615at2759""]"	"[""Ascomycota"", ""Glomeromycota""]"	636	644	82.30654541392926	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000890	5	5	5	5	0	AlphaFold	1	"[""4940884at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	804	960	69.17576713819358	3	0	pending_exact_score_review	not_established_by_structural_clustering
M000891	1	1	1	1	0	AlphaFold	1	"[""530740at2759""]"	"[""Ascomycota""]"	375	375	55.982373333333314	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M000893	2	2	2	2	0	AlphaFold	1	"[""4843824at2759""]"	"[""Ascomycota""]"	192	192	86.68484374999997	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000895	2	2	2	2	0	AlphaFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	93	94	75.75435655456417	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000906	3	3	3	3	0	AlphaFold	1	"[""5005174at2759""]"	"[""Ascomycota""]"	169	197	85.36837696335078	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000916	8	8	8	8	0	AlphaFold;ESMFold	1	"[""5001473at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	133	161	74.30549014044546	1	0	pending_exact_score_review	not_established_by_structural_clustering
M000925	1	1	1	1	0	AlphaFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	123	123	71.54130081300816	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000926	2	2	2	2	0	AlphaFold	1	"[""4803900at2759""]"	"[""Ascomycota""]"	122	122	89.25176229508197	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000929	1	1	1	1	0	AlphaFold	1	"[""5013259at2759""]"	"[""Ascomycota""]"	162	162	81.02166666666668	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M000936	4	4	4	4	0	AlphaFold	1	"[""5005215at2759""]"	"[""Ascomycota"", ""Glomeromycota""]"	549	568	76.75749132204574	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000962	7	7	7	6	1	AlphaFold	2	"[""4987397at2759"", ""5000870at2759""]"	"[""Ascomycota"", ""Metazoa""]"	723	875	77.24513174404015	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000969	8	8	8	8	0	AlphaFold	1	"[""4977863at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	597	667	79.20631878378997	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000980	21	21	29	29	0	AlphaFold;ESMFold	1	"[""4747214at2759""]"	"[""Ascomycota""]"	125	151	87.52770270270271	0	0	pending_exact_score_review	not_established_by_structural_clustering
M000985	1	1	1	1	0	AlphaFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	137	137	69.75343065693433	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M001013	2	2	2	2	0	AlphaFold	1	"[""5005174at2759""]"	"[""Entomophthoromycota"", ""Glomeromycota""]"	291	300	80.09819707903779	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001014	2	2	2	2	0	AlphaFold;ESMFold	1	"[""4896098at2759""]"	"[""Ascomycota"", ""Entomophthoromycota""]"	202	231	82.36955166507077	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001016	41	41	41	40	1	AlphaFold	1	"[""5004391at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Entomophthoromycota"", ""Kickxellomycota"", ""Metazoa""]"	954	1265	68.12608943862988	37	2	pending_exact_score_review	not_established_by_structural_clustering
M001023	92	92	93	92	1	AlphaFold	1	"[""5001280at2759""]"	"[""Apusomonadida"", ""Ascomycota"", ""Basidiomycota"", ""Monoblepharomycota""]"	727	904	75.62569334488066	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001027	2	2	2	2	0	AlphaFold;ESMFold	1	"[""5005010at2759""]"	"[""Basidiomycota"", ""Monoblepharomycota""]"	178	185	69.92715555386928	1	0	pending_exact_score_review	not_established_by_structural_clustering
M001028	2	2	2	2	0	AlphaFold	1	"[""5001318at2759""]"	"[""Ascomycota""]"	461	464	68.73618345145482	1	0	pending_exact_score_review	not_established_by_structural_clustering
M001042	90	90	92	91	1	AlphaFold	1	"[""5004118at2759""]"	"[""Ascomycota"", ""Metazoa""]"	241	299	82.05884057971012	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001099	1	1	1	1	0	AlphaFold	1	"[""801816at2759""]"	"[""Ascomycota""]"	137	137	91.23678832116786	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M001100	11	11	11	11	0	AlphaFold	1	"[""538728at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	520	636	66.73342809364556	11	0	pending_exact_score_review	not_established_by_structural_clustering
M001104	1	1	1	1	0	AlphaFold	1	"[""5000045at2759""]"	"[""Ascomycota""]"	352	352	76.609375	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M001110	2	2	2	2	0	AlphaFold;ESMFold	1	"[""4747214at2759""]"	"[""Ascomycota""]"	109	109	79.45194438269381	1	0	pending_exact_score_review	not_established_by_structural_clustering
M001121	1	1	1	1	0	AlphaFold	1	"[""5001318at2759""]"	"[""Ascomycota""]"	448	448	69.37560267857138	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M001124	1	1	1	1	0	AlphaFold	1	"[""5003856at2759""]"	"[""Mucoromycota""]"	258	258	83.68379844961245	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M001125	3	3	3	3	0	AlphaFold;ESMFold	1	"[""5004478at2759""]"	"[""Ascomycota"", ""Mortierellomycota"", ""Mucoromycota""]"	289	335	87.06602985074625	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001127	2	2	2	2	0	AlphaFold	1	"[""538728at2759""]"	"[""Mortierellomycota"", ""Mucoromycota""]"	412	443	73.18335107607008	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001129	15	15	15	15	0	AlphaFold;ESMFold	2	"[""260326at2759"", ""4843824at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Kickxellomycota"", ""Mucoromycota""]"	170	211	86.19009478672987	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001152	1	1	1	1	0	AlphaFold	1	"[""4613677at2759""]"	"[""Ascomycota""]"	139	139	72.2351798561151	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M001155	16	16	18	18	0	AlphaFold;ESMFold	1	"[""707076at2759""]"	"[""Ascomycota""]"	265	280	86.21772720967655	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001163	112	112	119	119	0	AlphaFold;ESMFold	1	"[""4985971at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Mucoromycota""]"	336	445	75.65113914387865	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001167	8	8	8	8	0	AlphaFold	1	"[""5001413at2759""]"	"[""Ascomycota""]"	280	286	93.53526773226776	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001223	1	1	2	2	0	AlphaFold	1	"[""5011777at2759""]"	"[""Basidiomycota""]"	879	879	61.155620022753006	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M001231	20	20	20	19	1	AlphaFold;ESMFold	1	"[""4764044at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Kickxellomycota"", ""Metazoa""]"	415	536	81.45435647745622	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001242	1	1	1	1	0	AlphaFold	1	"[""4986044at2759""]"	"[""Basidiomycota""]"	765	765	60.19413071895418	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M001243	58	58	58	58	0	AlphaFold;ESMFold	1	"[""760428at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	453	613	86.96534143101422	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001269	1	1	1	1	0	AlphaFold	1	"[""5001318at2759""]"	"[""Ascomycota""]"	480	480	53.626229166666675	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M001286	4	4	4	4	0	AlphaFold	1	"[""5015742at2759""]"	"[""Ascomycota""]"	450	538	83.52609117895918	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001288	1	1	1	1	0	AlphaFold	1	"[""4823929at2759""]"	"[""Ascomycota""]"	727	727	73.92488308115539	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M001289	7	7	7	7	0	AlphaFold	1	"[""4986044at2759""]"	"[""Ascomycota"", ""Basidiomycota""]"	534	687	73.7141592920354	2	0	pending_exact_score_review	not_established_by_structural_clustering
M001290	86	86	86	86	0	AlphaFold;ESMFold	1	"[""5015712at2759""]"	"[""Ascomycota"", ""Basidiomycota"", ""Mortierellomycota"", ""Mucoromycota""]"	470	611	81.2533952589641	0	1	pending_exact_score_review	not_established_by_structural_clustering
M001293	1	1	1	1	0	AlphaFold	1	"[""530740at2759""]"	"[""Ascomycota""]"	332	332	62.39015060240963	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M001295	1	1	1	1	0	AlphaFold	1	"[""4813267at2759""]"	"[""Ascomycota""]"	784	784	62.26748724489796	1	0	singleton_no_edge_test	not_established_by_structural_clustering
M001301	4	4	4	4	0	AlphaFold	1	"[""5001941at2759""]"	"[""Ascomycota""]"	715	745	75.66646916719644	0	0	pending_exact_score_review	not_established_by_structural_clustering
M001309	1	1	1	1	0	AlphaFold	1	"[""5013259at2759""]"	"[""Ascomycota""]"	178	178	84.14050561797752	0	0	singleton_no_edge_test	not_established_by_structural_clustering
M001313	2	2	2	2	0	AlphaFold	1	"[""5004265at2759""]"	"[""Ascomycota""]"	246	257	68.65209887380976	1	0	pending_exact_score_review	not_established_by_structural_clustering
M001319	1	1	1	1	0	AlphaFold	1	"[""4867008at2759""]"	"[""Ascomycota""]"	560	560	72.09676785714284	0	0	singleton_no_edge_test	not_established_by_structural_clustering
