entry_id	taxon_id	protein_id	sequence_id	query_source	protein_length	gene_ids_json	gene_mapping_status	representative_decision	TFIIB_hits	BRF1_hits	Zn_Ribbon_TF_hits	selected_busco_markers_json	pair_status	species_name	study_role	lineage_group	BRF1_evidence_class	selected_focal_marker	curated_hybrid_taxon	interpretation	best_split_side	class_disagrees_with_split
G0000014	F101097	KAF9991447.1	Se239c64b05d506af1af2dbf1c80467c69b060f5ea3e4dd73838c888f7f01b685	additional_full_proteome	328	"[""gene-BGZ79_004465""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Entomortierella chlamydospora	ingroup	Mortierellomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000016	F101097	KAF9996083.1	S1cc2af319684923e26485fa02ab6d13e1864ae9da333bb7f41056eeb25d1c7c9	marker-inputs-v1	718	"[""gene-BGZ79_010201""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Entomortierella chlamydospora	ingroup	Mortierellomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000021	F101098	XP_051410384.1	S9bc6210f3a864598832f58186491aa8346c896d07d1d6b7c9d8be558bfe7772e	additional_full_proteome	323	"[""gene-BC939DRAFT_456987""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Gamsiella multidivaricata	ingroup	Mortierellomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000024	F101098	XP_051416528.1	S7859586221ab07e54b5e9c7d9ec5aa9af9b303cb80de85bc46f0efb18696ebf3	marker-inputs-v1	494	"[""gene-BC939DRAFT_384171""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Gamsiella multidivaricata	ingroup	Mortierellomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000025	F101201	XP_024759203.1	S2f4c33f14a35ed1679f3a880c34f89f6458f90e109a0a22e345071a0e1e8d01a	additional_full_proteome	348	"[""gene-TrAFT101_007696""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Trichoderma asperellum	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000026	F101201	XP_024763307.1	S5496d47cad4e78095a464e038546fbddc9d7a4290ff3484dd5bc1b073b1f92cc	marker-inputs-v1	733	"[""gene-TrAFT101_002188""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Trichoderma asperellum	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000027	F1031713	KAL9933286.1	S71c99a8467d51bad167dd3074447bda34f7bed9b19f856ab599f4477046c08b9	marker-inputs-v1	854	"[""gene-V8E36_008004""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Tilletia maclaganii	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000029	F1031713	KAL9938112.1	Sed4896c92c4c6107d9de237c9cc2b5c697e3e25e0d9d6c575614b4972de136e2	additional_full_proteome	450	"[""gene-V8E36_002735""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Tilletia maclaganii	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000031	F103449	XP_008075109.1	S75f2ed11e35db8eb1e4e7b45605a0477335fdc394c5121842891c95b80cd7453	additional_full_proteome	305	"[""gene-VCUG_02096""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Vavraia culicis	ingroup	Microsporidia	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000033	F1042133	XP_044675648.1	Sd96dadb3e6ee93a07146995c98993891a1727d87110d9d4cebd6d83c031eb844	marker-inputs-v1	753	"[""gene-J7337_011426""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Fusarium musae	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000034	F1042133	XP_044686389.1	Sd042849e0e375404077d606d47d767f8e22d5ce03626ac4b694c386f9de4fc02	additional_full_proteome	345	"[""gene-J7337_000941""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Fusarium musae	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000035	F1042397	MCJ1480593.1	S0579bc17ee52c05ae615f12b5501d9a2e9e2da4c1480385120b602e304e9bc4d	marker-inputs-v1	810	"[""gene-MMC06_000748""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Schaereria dolodes	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000036	F1042397	MCJ1480919.1	Sa98a259a38bd7c4ba9d7afa0e5b7da7831e0095d27d8f24d8b9d38112dee781f	additional_full_proteome	365	"[""gene-MMC06_001074""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Schaereria dolodes	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000037	F104341	XP_024336235.1	Sb1ce35a37026c3279cffe679ba3251e6625aaa5b8ad16414ddaca2e4f916cd29	additional_full_proteome	353	"[""gene-POSPLADRAFT_1172739""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Rhodonia placenta	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000038	F104341	XP_024339341.1	Sa6a10cbd70ff57a87a9433e93886869cc0729e2562d6883b2546daeea200269e	marker-inputs-v1	766	"[""gene-POSPLADRAFT_1065814""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Rhodonia placenta	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000039	F104355	XP_007862235.1	S11fe1e532dd75b4cc850a7910a29daeb151e5790ec3550d7698c1c70f774185c	additional_full_proteome	670	"[""gene-GLOTRDRAFT_70381""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Gloeophyllum trabeum	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000040	F104355	XP_007869387.1	S71070ef5cab1e9604da35fa85fad112e97b0684a041aaea07335c43c56ed6e0f	marker-inputs-v1	672	"[""gene-GLOTRDRAFT_140611""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Gloeophyllum trabeum	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000041	F104408	GHJ87897.1	S5bfb40304028acf6da426ccbf77b7a1808502249d2b730425a44128cf4ce662a	marker-inputs-v1	750	"[""gene-NliqN6_4299""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Naganishia liquefaciens	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000042	F104408	GHJ88030.1	S589f572c5802856fa5638d02d5c033fefa89640051b55f77eb3ae4c1a6d3bf6a	additional_full_proteome	413	"[""gene-NliqN6_4432""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Naganishia liquefaciens	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000043	F104669	XP_018992306.1	S5dd0a2013a7cc62bbcce94d3bbf589b112e4a9463df5bcd20ee959bc4d2804ba	additional_full_proteome	386	"[""gene-L202_05503""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Cryptococcus amylolentus	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000044	F104669	XP_018995602.1	S78249660d08e988df5d795027b9666e976216339c3e128a0f55ae1a31c0bf9f0	additional_full_proteome	692	"[""gene-L202_03134""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	[]	eligible_ordered_pair	Cryptococcus amylolentus	ingroup	Basidiomycota	BRF1_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000045	F1048519	KAF2236131.1	S50d5a99e2aa4e943379b06f1e3a9120dce30a8e0e01e9f75d3d050b534f90a0c	marker-inputs-v1	765	"[""gene-EV356DRAFT_482712""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Viridothelium virens	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000046	F1048519	KAF2236721.1	Sd1c1dc015235a3d59486a6342911599b7b0375768623946709d224b102014bf0	additional_full_proteome	359	"[""gene-EV356DRAFT_565212""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Viridothelium virens	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000047	F1048829	XP_002790917.1	S49fe364e95a45cf7b9c287a956415734792014d3cc69e2f444717553d7aa4455	marker-inputs-v1	800	"[""gene-PAAG_07153""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Paracoccidioides lutzii	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000048	F1048829	XP_002796130.1	S134c25c61413a8bbcdb3d5af6abca556e7eae2473be885b4064fcf40da5da159	additional_full_proteome	352	"[""gene-PAAG_02018""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Paracoccidioides lutzii	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000049	F1048955	KAF2422605.1	Sbe7ab582707f66950b8a8bdbdb2b2d1a41667370cdbed1f2bea10753e1a4aa1f	additional_full_proteome	343	"[""gene-EJ08DRAFT_672755""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Tothia fuscella	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000050	F1048955	KAF2432685.1	Sa4c46f198ebfbc4343ddc9a569a7b10e9d39b80e7c736b0d18e3082ed26ff0ff	marker-inputs-v1	784	"[""gene-EJ08DRAFT_108624""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Tothia fuscella	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000051	F1052096	XP_069228808.1	Sa9cb5349c346d9db50043120c5f0e1bcd0bf02a44cfef7aee45b49286e0002f9	marker-inputs-v1	806	"[""gene-WHR41_05940""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Cladosporium halotolerans	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000052	F1052096	XP_069232427.1	Sb98f6c0ca7e25735a912f2fab0d1d8784b98fe82fd81f837ec882c3e1fcaa10c	additional_full_proteome	362	"[""gene-WHR41_02138""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Cladosporium halotolerans	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000053	F1055551	KAO0785008.1	S1c803e63c77c46d39b03b23240f030cf2ca592020a61adb812aafd4babc22785	marker-inputs-v1	693	"[""gene-P391_004459""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000054	F1055551	KAO0785630.1	S1bc40047334161bb0d82d7196d58eb8cab35f3375072c70eb691a896b27d72ba	additional_full_proteome	400	"[""gene-P391_003968""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	0	[]	eligible_ordered_pair	Tritirachium sp. CBS 265.96	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000056	F105984	XP_028472959.1	S07e9ef511d04698c58d56aabe64890d2e32bf45fbb708b909fa83c3b65c56958	marker-inputs-v1	671	"[""gene-EHS24_002872""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Apiotrichum porosum	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000057	F105984	XP_028479431.1	Se8275db9c969f65864733cc0f25913c3ff13bf834cb25281127bc78f43f41587	additional_full_proteome	419	"[""gene-EHS24_004917""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Apiotrichum porosum	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000058	F106004	ORY77992.1	S3abec6a19cfd86594df5195c590ad594c9bf1736abab2e7c8be2401e079fd232	additional_full_proteome	350	"[""gene-BCR35DRAFT_305146""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Leucosporidium creatinivorum	ingroup	Basidiomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000059	F106004	ORY88110.1	S3e068e474ec937c5ef8bc374befa8105184353f7b036afc660de546e0074633b	marker-inputs-v1	663	"[""gene-BCR35DRAFT_31816""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Leucosporidium creatinivorum	ingroup	Basidiomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000062	F1069201	XP_041537456.1	S79d2a2c181fadf74a6256675fbcfd1cea7fd0f8e141cc8612ba0b3ebea592755	marker-inputs-v1	752	"[""gene-AKAW2_10736A""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Aspergillus luchuensis	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000063	F1069201	XP_041539939.1	Sfaed5e4a10fb81fe0f183e8e247a8775a48297367cdc521b1ff0f14a5fee03df	additional_full_proteome	351	"[""gene-AKAW2_21113S""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Aspergillus luchuensis	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000064	F1080349	XP_018219100.1	S19f1dd4defcf06038f4c6d60370cdaa0bfcb83b2ac2137eaf790da4f23593557	additional_full_proteome	345	"[""gene-DI49_5536""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Saccharomyces eubayanus	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000065	F1080349	XP_018222445.1	Sa42afd323aa936bda5925d85b47f2308e23ec1d21948ccb86c07b20e67d12c92	marker-inputs-v1	588	"[""gene-DI49_2209""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	1	"[""4986044at2759""]"	eligible_ordered_pair	Saccharomyces eubayanus	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000066	F1081669	ORD97165.1	Sbf7fe870402c7a1d27dd64ea41f3ba557b474bcefe87ce182acb38b96f5832a7	additional_full_proteome	304	"[""gene-HERIO_941""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Hepatospora eriocheir	ingroup	Microsporidia	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000067	F1081669	ORD98063.1	S7d4fb5cf2d1abec5401b5003e0916942f14222eefbc3d1c27c875ff3b58685d8	marker-inputs-v1	371	"[""gene-HERIO_77""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Hepatospora eriocheir	ingroup	Microsporidia	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000068	F1093897	XP_060284429.1	Sc6a6d077d9998c3a7055ac7b40ae6b2046821fcbf4ade948f140c514f7463554	marker-inputs-v1	872	"[""gene-QBC33DRAFT_536560""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Phialemonium atrogriseum	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000069	F1093897	XP_060287681.1	S1decb00d83a0fcba0c32b8a0ebfa60d46295ef54c30b37dac1b894312216ab91	additional_full_proteome	532	"[""gene-QBC33DRAFT_554636""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Phialemonium atrogriseum	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
G0000070	F1093900	XP_030998773.1	Sa061a05ea63aadbee133970a67e6ef97698b731d2f233c57f85f240fac6b06bd	marker-inputs-v1	738	"[""gene-E0L32_012275""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	1	0	"[""4986044at2759""]"	eligible_ordered_pair	Thyridium curvatum	ingroup	Ascomycota	BRF1_detected	True	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_enriched	False
G0000071	F1093900	XP_030999437.1	Sd04dcd6c60733029a887f4f0f39448f991ce395a928eda55f4dca07aeea9a9b7	additional_full_proteome	346	"[""gene-E0L32_002827""]"	unique_gene	longest_per_gene_lexical_tiebreak	2	0	1	[]	eligible_ordered_pair	Thyridium curvatum	ingroup	Ascomycota	BRF1_not_detected	False	False	GA-profile detection class, not validated function or resolved orthology. Non-detection is not proven domain loss; distinct entries need gene/subgenome reconciliation.	BRF1_undetected_enriched	False
