taxon_id	species_name	study_role	assembly_accession	statistics_status	reported_organism	reported_assembly_type	genome_representation	assembly_method	sequencing_technology	reported_coverage	biosample	bioproject	all_total-length	all_ungapped-length	all_total-gap-length	all_contig-count	all_contig-N50	all_contig-L50	all_scaffold-count	all_scaffold-N50	all_scaffold-L50	all_gc-perc	all_gap_fraction	primary_total-length	primary_ungapped-length	primary_total-gap-length	primary_contig-count	primary_contig-N50	primary_contig-L50	primary_scaffold-count	primary_scaffold-N50	primary_scaffold-L50	primary_gc-perc	primary_gap_fraction
F2486360	Exophiala viscosa	ingroup	GCF_022695815.1	verified	Exophiala viscosa (ascomycete fungi)	haploid	full	Velvet v. 1.2.07; AllPathsLG release v. R49403	Illumina	147.30x	SAMN10366861	PRJNA500555	28289675.0		1768.0	40.0	1616542.0	6.0	30.0	2240945.0	4.0	51.5	6.249629944493884e-05	28289675.0	28287907.0					30.0	2240945.0		51.5	
F1690604	Lithohypha guttulata	ingroup	GCF_036872675.1	verified	Lithohypha guttulata (ascomycete fungi)	haploid	full	SPAdes v. 3.15.2	Illumina HiSeq	86.04257333x	SAMN23564126	PRJNA666634	24440621.0		1064.0	161.0	2319342.0	4.0	142.0	3781136.0	3.0	49.0	4.353408205135213e-05	24440621.0	24439557.0					142.0	3781136.0		49.0	
F1052096	Cladosporium halotolerans	ingroup	GCF_011745625.1	verified	Cladosporium halotolerans (ascomycete fungi)	haploid	full	SPAdes v. 3.13	Illumina NovaSeq	46.0x	SAMN14329494	PRJNA610946	27912799.0		934.0	713.0	438704.0	20.0	691.0	588500.0	16.0	56.0	3.346135226352613e-05	27912799.0	27911865.0					691.0	588500.0		56.0	
F1507870	Cryoendolithus antarcticus	ingroup	GCA_002077065.1	verified	Cryoendolithus antarcticus (ascomycete fungi)	haploid	full	MaSuRCA v. 2.3.2	Illumina MiSeq	41.0x	SAMN06285182	PRJNA342238	47410550.0		1953.0	279.0	774463.0	22.0	267.0	896820.0	20.0	55.0	4.1193363080580165e-05	47406531.0	47404578.0					260.0	896820.0		55.0	
F1507873	Rachicladosporium monterosium	ingroup	GCA_035927975.1	verified	Rachicladosporium monterosium (ascomycete fungi)	haploid	full	SPAdes v. 3.15.2	Illumina HiSeq	204.2091133x	SAMN23564099	PRJNA666634	22095319.0		504338.0	6972.0	3706.0	1629.0	1747.0	27692.0	243.0	56.5	0.022825558662447915	22095319.0	21590981.0					1747.0	27692.0		56.5	
F91930	Coniochaeta hoffmannii	ingroup	GCA_055755465.1	verified	Coniochaeta hoffmannii (ascomycete fungi)	haploid	full	Hifiasm v. v.0.16.1-r375	PacBio Sequel	21.0x	SAMN47932246	PRJNA1250163	33380280.0		0.0	11.0	3201717.0	5.0				55.0	0.0	33352246.0	33352246.0								55.0	
F177197	Coniochaeta ligniaria	ingroup	GCA_001879275.1	verified	Coniochaeta ligniaria NRRL 30616 (ascomycete fungi)	haploid	full	Allpaths-LG v. R47710	Illumina	94.4x	SAMN02744622	PRJNA223108	42382780.0		57489.0	280.0	458053.0	30.0	135.0	3222649.0	6.0	51.5	0.001356423528612328	42382780.0	42325291.0					135.0	3222649.0		51.5	
F177199	Coniochaeta pulveracea	ingroup	GCA_003635345.1	verified	Coniochaeta pulveracea (ascomycete fungi)	haploid	full	SPAdes v. 3.10.1	Illumina MiSeq	170.0x	SAMN09381543	PRJNA473398	30020651.0		505.0	869.0	279076.0	32.0	852.0	285706.0	30.0	51.5	1.6821753798743406e-05	30020651.0	30020146.0					852.0	285706.0		51.5	
F164576	Chaenotheca gracillima	ingroup	GCA_026023695.1	verified	Chaenotheca gracillima (ascomycete fungi)	haploid	full	SPAdes v. 3.9.0	Illumina HiSeq	457x	SAMN27762776	PRJNA833438	22648696.0		99920.0	1713.0	39619.0	161.0	1268.0	72409.0	97.0	52.0	0.004411733019861276	22648696.0	22548776.0					1268.0	72409.0		52.0	
F2939403	Sclerophora amabilis	ingroup	GCA_026025825.1	verified	Sclerophora amabilis (ascomycete fungi)	haploid	full	SPAdes v. 3.13.1	Illumina HiSeq	911x	SAMN27762782	PRJNA833438	25042950.0		66.0	293.0	134396.0	57.0	292.0	134396.0	57.0	51.0	2.6354722586596226e-06	25042950.0	25042884.0					292.0	134396.0		51.0	
F5116	Cryphonectria parasitica	ingroup	GCF_011745365.1	verified	Cryphonectria parasitica EP155 (chestnut blight fungus)	haploid	full	Arachne v. 20071016	8.54x	454	SAMN02744051	PRJNA207842	43870411.0		70000.0	33.0	4041104.0	5.0	26.0	5118729.0	4.0	51.0	0.001595608484269728	43870411.0	43800411.0					26.0	5118729.0		51.0	
F1214568	Diaporthe amygdali	ingroup	GCF_026229845.1	verified	Diaporthe amygdali (ascomycete fungi)	haploid	full	SPAdes v. 3.14	Illumina HiSeq	71.0x	SAMN18524398	PRJNA718179	51483502.0		484.0	271.0	1008325.0	14.0	267.0	1008325.0	14.0	52.0	9.401069880599808e-06	51483502.0	51483018.0					267.0	1008325.0		52.0	
F148313	Discula destructiva	ingroup	GCA_965644035.1	verified	Discula destructiva (dogwood anthracnose fungus)	haploid	full	hifiasm(v0.19.8)	PacBio HiFi(Revio)	100x	SAMEA118781011	PRJEB90672	46887432.0		0.0				9.0	5597275.0	4.0	50.0	0.0	46654619.0	46654619.0					8.0	5597275.0		50.0	
F2268995	Blastobotrys vanleenenianus	ingroup	GCF_965637985.1	verified	Blastobotrys vanleenenianus (budding yeasts & allies)	haploid	full	SPAdes	BGISEQ	82x	SAMEA118562773	PRJEB90485	14944666.0		710.0	124.0	235456.0	20.0	116.0	254743.0	19.0	49.5	4.750858935221436e-05	14944666.0	14943956.0					116.0	254743.0		49.5	
F2606893	Magnusiomyces paraingens	ingroup	GCF_902498895.1	verified	Magnusiomyces paraingens (budding yeasts & others)	haploid	full	Miniasm	OXFORD_NANOPORE,ILLUMINA	71x	SAMEA5939090	PRJEB33997	21189208.0		0.0	6.0	4992828.0	2.0				37.0	0.0	21189208.0	21189208.0								37.0	
F796027	Sugiyamaella lignohabitans	ingroup	GCF_001640025.1	verified	Sugiyamaella lignohabitans (ascomycete fungi)	haploid	full				SAMN04417247	PRJNA308900	15938258.0		0.0				4.0	4956242.0	2.0	45.0	0.0	15938258.0	15938258.0					4.0	4956242.0		45.0	
F5580	Aureobasidium pullulans	ingroup	GCF_000721785.1	verified	Aureobasidium pullulans EXF-150 (ascomycete fungi)	haploid	full	Allpaths-LG v. R38445	Illumina	172.5x	SAMN02744100	PRJNA207874	29621078.0		35277.0	209.0	779844.0	11.0	186.0	1166847.0	10.0	50.0	0.0011909424768403094	29621078.0	29585801.0					186.0	1166847.0		50.0	
F2781224	Neodothiora populina	ingroup	GCF_041146345.1	verified	Neodothiora populina (ascomycete fungi)	haploid	full	Flye v. 2.9	Oxford Nanopore MinION	73.0x	SAMN40983588	PRJNA1101016	23962758.0		0.0	18.0	1879596.0	6.0				51.0	0.0	23962758.0	23962758.0								51.0	
F2024903	Zalaria obscura	ingroup	GCA_024184665.2	verified	Zalaria obscura (ascomycete fungi)	haploid	full	metaSPAdes v. 3.15.3	Illumina NextSeq	50.0x	SAMN27967640	PRJNA833239	22096108.0		0.0	44.0	784570.0	11.0				54.0	0.0	22096108.0	22096108.0								54.0	
F1341166	Eremomyces bilateralis	ingroup	GCF_010015585.1	verified	Eremomyces bilateralis CBS 781.70 (ascomycete fungi)	haploid	full	AllPathsLG v. R49403	Illumina	91.1x	SAMN02744867	PRJNA217190	26864015.0		243913.0	351.0	180562.0	46.0	95.0	812791.0	9.0	52.0	0.009079543768867014	26864015.0	26620102.0					95.0	812791.0		52.0	
F182096	Aspergillus chevalieri	ingroup	GCF_016861735.1	verified	Aspergillus chevalieri (ascomycete fungi)	haploid	full	Canu v. 2.0; Flye v. 2.8-b1674	MinION; Illumina NovaSeq 6000	357.6x	SAMD00269937	PRJDB10979	29697343.0		0.0				8.0	3787471.0	4.0	49.5	0.0	29697343.0	29697343.0					8.0	3787471.0		49.5	
F5059	Aspergillus flavus	ingroup	GCF_009017415.1	verified	Aspergillus flavus (ascomycete fungi)	haploid	full	CANU v. 1.7.1	Oxford Nanopore; PacBio Sequel; Illumina HiSeq	600.0x	SAMN12911038	PRJNA575750	37749288.0		0.0				8.0	4810201.0	4.0	47.5	0.0	37749288.0	37749288.0					8.0	4810201.0		47.5	
F746128	Aspergillus fumigatus	ingroup	GCF_000002655.1	verified	Aspergillus fumigatus Af293 (ascomycete fungi)	haploid	full				SAMN00115746	PRJNA131	29384958.0		575000.0	19.0	2460113.0	6.0	8.0	3948441.0	4.0	50.0	0.019567834672419814	29384958.0	28809958.0					8.0	3948441.0		50.0	
F1069201	Aspergillus luchuensis	ingroup	GCF_016861625.1	verified	Aspergillus luchuensis (ascomycete fungi)	haploid	full	Canu v. 2.0; Flye v. 2.8-b1674	MinION; Illumina NovaSeq 6000	497.9x	SAMD00269936	PRJDB10968	37287723.0		0.0				9.0	4830482.0	4.0	49.0	0.0	37256495.0	37256495.0					8.0	4830482.0		49.0	
F41759	Aspergillus multicolor	ingroup	GCF_047715735.1	verified	Aspergillus multicolor (ascomycete fungi)	haploid	full	AllPathsLG v. R49403	Illumina	84.9x	SAMN05442938	PRJNA334045	35254497.0		4930.0	152.0	568842.0	16.0	113.0	817749.0	12.0	50.5	0.0001398403159744415	35254497.0	35249567.0					113.0	817749.0		50.5	
F162425	Aspergillus nidulans	ingroup	GCF_000011425.1	verified	Aspergillus nidulans FGSC A4 (ascomycete fungi)	haploid	full				SAMEA2272224	PRJEA40559	29828291.0		10467.0	82.0	679860.0	13.0	8.0	3704807.0	4.0	50.5	0.0003509084714239914	29828291.0	29817824.0					8.0	3704807.0		50.5	
F5062	Aspergillus oryzae	ingroup	GCF_000184455.2	verified	Aspergillus oryzae RIB40 (ascomycete fungi)	haploid	full	Phred/Phrap software			SAMD00067075	PRJNA20809	37912014.0		794330.0	29.0	2324132.0	6.0	12.0	4887096.0	4.0	48.0	0.020951933600784175	37882812.0	37088482.0					11.0	4887096.0		48.5	
F1220207	Aspergillus puulaauensis	ingroup	GCF_016861865.1	verified	Aspergillus puulaauensis (ascomycete fungi)	haploid	full	Canu v. 2.0; Flye v. 2.8-b1674	MinION; Illumina NovaSeq 6000	333.1x	SAMD00269938	PRJDB10980	34318862.0		0.0				8.0	4388637.0	4.0	50.0	0.0	34318862.0	34318862.0					8.0	4388637.0		50.0	
F1810926	Aspergillus stella-maris	ingroup	GCF_047715825.1	verified	Aspergillus stella-maris (ascomycete fungi)	haploid	full	AllPathsLG v. R49403	Illumina	90.6x	SAMN05446598	PRJNA333886	33998249.0		26339.0	323.0	315916.0	33.0	266.0	341870.0	31.0	50.5	0.0007747163684812121	33998249.0	33971910.0					266.0	341870.0		50.5	
F1810928	Aspergillus undulatus	ingroup	GCF_047715775.1	verified	Aspergillus undulatus (ascomycete fungi)	haploid	full	AllPathsLG v. R49403	Illumina	79.3x	SAMN05446834	PRJNA333889	32112944.0		5721.0	236.0	321450.0	34.0	190.0	407178.0	24.0	50.5	0.00017815246088929125	32112944.0	32107223.0					190.0	407178.0		50.5	
F315204	Geoglossum umbratile	ingroup	GCA_026024515.1	verified	Geoglossum umbratile (ascomycete fungi)	haploid	full	SPAdes v. 3.13.1	Illumina HiSeq	716x	SAMN27762784	PRJNA833438	33879389.0		0.0	442.0	157326.0	67.0				51.0	0.0	33879389.0	33879389.0								51.0	
F1670608	Glutinoglossum americanum	ingroup	GCA_020080175.1	verified	Glutinoglossum americanum (ascomycete fungi)	haploid	full	SPAdes v. 3.11.1	Illumina NextSeq	21.0x	SAMN09688185	PRJNA544702	26395934.0		3423.0	665.0	95982.0	90.0	565.0	117181.0	75.0	50.0	0.00012967906344969645	26395934.0	26392511.0					565.0	117181.0		50.0	
F265104	Trichoglossum hirsutum	ingroup	GCA_026026815.1	verified	Trichoglossum hirsutum (ascomycete fungi)	haploid	full	SPAdes v. 3.14.1	Illumina HiSeq	501x	SAMN27762786	PRJNA833438	35872256.0		0.0	176.0	460322.0	27.0				48.5	0.0	35872256.0	35872256.0								48.5	
F1671311	Colletotrichum abscissum	ingroup	GCF_030869225.1	verified	Colletotrichum abscissum (ascomycete fungi)	haploid	full	SPAdes v. 3.8.2	Illumina MiSeq	200.0x	SAMN05949354	PRJNA350894	53936108.0		2286.0	565.0	962862.0	19.0	560.0	962862.0	19.0	51.0	4.238348083995975e-05	53936108.0	53933822.0					560.0	962862.0		51.0	
F1209916	Colletotrichum costaricense	ingroup	GCF_030867565.1	verified	Colletotrichum costaricense (ascomycete fungi)	haploid	full	SPAdes v. 3.8.2	Illumina MiSeq	200.0x	SAMN05949355	PRJNA350895	51625248.0		1448.0	73.0	2423109.0	8.0	70.0	2423109.0	8.0	51.5	2.8048291409660637e-05	51625248.0	51623800.0					70.0	2423109.0		51.5	
F34406	Colletotrichum destructivum	ingroup	GCF_034447905.1	verified	Colletotrichum destructivum (ascomycete fungi)	haploid	full	HGAP v. 4; Celera Assembler v. Canu	PacBio Sequel	224.0x	SAMN37882108	PRJNA1029933	51785203.0		0.0				13.0	5290227.0	5.0	54.5	0.0	51750812.0	51750812.0					12.0	5290227.0		54.5	
F710243	Colletotrichum fioriniae	ingroup	GCF_027942845.1	verified	Colletotrichum fioriniae (ascomycete fungi)	haploid	full	Flye v. 2.6	Illumina NovaSeq; Oxford Nanopore MinION	216x	SAMN30184415	PRJNA786750	49445812.0		10.0	47.0	2983733.0	6.0	46.0	2983733.0	6.0	52.0	2.0224159732678675e-07	49445812.0	49445802.0					46.0	2983733.0		52.0	
F474922	Colletotrichum gloeosporioides	ingroup	GCF_011800055.1	verified	Colletotrichum gloeosporioides (ascomycete fungi)	haploid	full	Velvet v. 1.2.10	PacBio; Illumina HiSeq	110.0x	SAMN13038012	PRJNA577812	61904035.0		142712.0	541.0	429093.0	45.0	128.0	709944.0	27.0	51.0	0.0023053747627275025	61904035.0	61761323.0					128.0	709944.0		51.0	
F80884	Colletotrichum higginsianum	ingroup	GCF_001672515.1	verified	Colletotrichum higginsianum IMI 349063 (ascomycete fungi)	haploid	full	HGAP3.0 (WGS-Celera Assembler v. 7.0) v. 2014-10-31; Manual editing based on optical map alignments v. 2014-12-16	PacBio P5-C3 chemistry	133.0x	SAMN04420120	PRJNA47061	50716103.0		0.0	25.0	5201688.0	5.0	25.0	5201688.0	5.0	54.5	0.0	50716103.0	50716103.0					25.0	5201688.0		54.5	
F2283408	Colletotrichum jinshuiense	ingroup	GCF_051148585.1	verified	Colletotrichum jinshuiense (ascomycete fungi)	haploid	full	Hifiasm v. MAY-2023	PacBio	287.0x	SAMN40122905	PRJNA1080248	52131696.0		0.0				16.0	5052393.0	5.0	53.0	0.0	52104089.0	52104089.0					15.0	5052393.0		53.0	
