marker	pfam_accession	pfam_name	pfam_type	policy	tree_taxa	detected	undetected	unknown	eligible	minimum_detection_changes	edges_with_change_in_some_optimum	edges_with_change_in_every_optimum
160487at2759	PF04851.22	ResIII	Family	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF11931.15	SF3a60_Prp9_C	Family	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF11931.15	SF3a60_Prp9_C	Family	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF12171.15	zf-C2H2_jaz	Family	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF12171.15	zf-C2H2_jaz	Family	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF12796.14	Ank_2	Repeat	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF12796.14	Ank_2	Repeat	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF12874.14	zf-met	Domain	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF12874.14	zf-met	Domain	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF13637.13	Ank_4	Repeat	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF13637.13	Ank_4	Repeat	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF16837.11	SF3A3	Domain	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF16837.11	SF3A3	Domain	overlap_partial_unknown	487	0	484	3	False		0	0
160487at2759	PF17781.8	RPN1_RPN2_N	Repeat	all_GA_hits	487	487	0	0	False		0	0
160487at2759	PF17781.8	RPN1_RPN2_N	Repeat	overlap_partial_unknown	487	477	0	10	False		0	0
160487at2759	PF18051.7	RPN1_C	Domain	all_GA_hits	487	480	7	0	True	7	9	5
160487at2759	PF18051.7	RPN1_C	Domain	overlap_partial_unknown	487	473	7	7	True	7	9	5
160487at2759	PF28142.1	SPBC1E8_03c_N	Domain	all_GA_hits	487	1	486	0	False		0	0
160487at2759	PF28142.1	SPBC1E8_03c_N	Domain	overlap_partial_unknown	487	1	483	3	False		0	0
201273at2759	PF00241.26	Cofilin_ADF	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF00241.26	Cofilin_ADF	Domain	overlap_partial_unknown	478	1	474	3	False		0	0
201273at2759	PF00561.27	Abhydrolase_1	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF00561.27	Abhydrolase_1	Domain	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF00627.38	UBA	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF00627.38	UBA	Domain	overlap_partial_unknown	478	1	474	3	False		0	0
201273at2759	PF01201.28	Ribosomal_S8e	Family	all_GA_hits	478	475	3	0	False		0	0
201273at2759	PF01201.28	Ribosomal_S8e	Family	overlap_partial_unknown	478	467	3	8	False		0	0
201273at2759	PF01239.29	PPTA	Repeat	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF01239.29	PPTA	Repeat	overlap_partial_unknown	478	1	474	3	False		0	0
201273at2759	PF01699.30	Na_Ca_ex	Family	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF01699.30	Na_Ca_ex	Family	overlap_partial_unknown	478	1	474	3	False		0	0
201273at2759	PF05832.18	DUF846	Family	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF05832.18	DUF846	Family	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF06325.20	PrmA	Family	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF06325.20	PrmA	Family	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF06658.18	DUF1168	Family	all_GA_hits	478	2	476	0	False		0	0
201273at2759	PF06658.18	DUF1168	Family	overlap_partial_unknown	478	2	473	3	False		0	0
201273at2759	PF07819.20	PGAP1	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF07819.20	PGAP1	Domain	overlap_partial_unknown	478	1	474	3	False		0	0
201273at2759	PF08003.18	Methyltransf_9	Family	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF08003.18	Methyltransf_9	Family	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF08241.19	Methyltransf_11	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF08241.19	Methyltransf_11	Domain	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF08424.16	NRDE-2	Family	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF08424.16	NRDE-2	Family	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF12697.14	Abhydrolase_6	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF12697.14	Abhydrolase_6	Domain	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF13649.13	Methyltransf_25	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF13649.13	Methyltransf_25	Domain	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF13676.12	TIR_2	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF13676.12	TIR_2	Domain	overlap_partial_unknown	478	1	474	3	False		0	0
201273at2759	PF13847.13	Methyltransf_31	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF13847.13	Methyltransf_31	Domain	overlap_partial_unknown	478	0	475	3	False		0	0
201273at2759	PF13855.13	LRR_8	Repeat	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF13855.13	LRR_8	Repeat	overlap_partial_unknown	478	0	474	4	False		0	0
201273at2759	PF22528.2	PRMT_C	Domain	all_GA_hits	478	1	477	0	False		0	0
201273at2759	PF22528.2	PRMT_C	Domain	overlap_partial_unknown	478	0	475	3	False		0	0
207567at2759	PF00069.32	Pkinase	Domain	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF00069.32	Pkinase	Domain	overlap_partial_unknown	478	0	474	4	False		0	0
207567at2759	PF00294.30	PfkB	Domain	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF00294.30	PfkB	Domain	overlap_partial_unknown	478	0	473	5	False		0	0
207567at2759	PF00398.27	RrnaAD	Domain	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF00398.27	RrnaAD	Domain	overlap_partial_unknown	478	1	473	4	False		0	0
207567at2759	PF01063.25	Aminotran_4	Domain	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF01063.25	Aminotran_4	Domain	overlap_partial_unknown	478	1	473	4	False		0	0
207567at2759	PF01472.27	PUA	Domain	all_GA_hits	478	3	475	0	False		0	0
207567at2759	PF01472.27	PUA	Domain	overlap_partial_unknown	478	0	474	4	False		0	0
207567at2759	PF03109.23	ABC1	Domain	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF03109.23	ABC1	Domain	overlap_partial_unknown	478	0	474	4	False		0	0
207567at2759	PF03657.21	UPF0113	Domain	all_GA_hits	478	478	0	0	False		0	0
207567at2759	PF03657.21	UPF0113	Domain	overlap_partial_unknown	478	465	0	13	False		0	0
207567at2759	PF07714.24	PK_Tyr_Ser-Thr	Domain	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF07714.24	PK_Tyr_Ser-Thr	Domain	overlap_partial_unknown	478	0	474	4	False		0	0
207567at2759	PF08314.18	Sec39	Repeat	all_GA_hits	478	7	471	0	True	6	8	4
207567at2759	PF08314.18	Sec39	Repeat	overlap_partial_unknown	478	6	467	5	True	5	7	3
207567at2759	PF12710.14	HAD	Family	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF12710.14	HAD	Family	overlap_partial_unknown	478	1	473	4	False		0	0
207567at2759	PF14531.13	Kinase-like	Family	all_GA_hits	478	1	477	0	False		0	0
207567at2759	PF14531.13	Kinase-like	Family	overlap_partial_unknown	478	0	474	4	False		0	0
207567at2759	PF17833.8	pre-PUA_NIP7	Domain	all_GA_hits	478	477	1	0	False		0	0
207567at2759	PF17833.8	pre-PUA_NIP7	Domain	overlap_partial_unknown	478	467	1	10	False		0	0
260326at2759	PF00097.32	zf-C3HC4	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF00097.32	zf-C3HC4	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF00326.28	Peptidase_S9	Domain	all_GA_hits	488	6	482	0	True	6	6	6
260326at2759	PF00326.28	Peptidase_S9	Domain	overlap_partial_unknown	488	2	478	8	False		0	0
260326at2759	PF00498.32	FHA	Family	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF00498.32	FHA	Family	overlap_partial_unknown	488	1	479	8	False		0	0
260326at2759	PF00575.30	S1	Domain	all_GA_hits	488	460	28	0	True	25	27	23
260326at2759	PF00575.30	S1	Domain	overlap_partial_unknown	488	437	27	24	True	24	28	20
260326at2759	PF00637.27	Clathrin	Repeat	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF00637.27	Clathrin	Repeat	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF00888.30	Cullin	Repeat	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF00888.30	Cullin	Repeat	overlap_partial_unknown	488	1	479	8	False		0	0
260326at2759	PF00930.28	DPPIV_N	Repeat	all_GA_hits	488	6	482	0	True	6	6	6
260326at2759	PF00930.28	DPPIV_N	Repeat	overlap_partial_unknown	488	2	478	8	False		0	0
260326at2759	PF01127.28	Sdh_cyt	Family	all_GA_hits	488	2	486	0	False		0	0
260326at2759	PF01127.28	Sdh_cyt	Family	overlap_partial_unknown	488	2	478	8	False		0	0
260326at2759	PF01394.27	Clathrin_propel	Repeat	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF01394.27	Clathrin_propel	Repeat	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF01633.27	Choline_kinase	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF01633.27	Choline_kinase	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF01636.30	APH	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF01636.30	APH	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF02129.25	Peptidase_S15	Domain	all_GA_hits	488	4	484	0	False		0	0
260326at2759	PF02129.25	Peptidase_S15	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF02148.26	zf-UBP	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF02148.26	zf-UBP	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF03328.21	HpcH_HpaI	Domain	all_GA_hits	488	2	486	0	False		0	0
260326at2759	PF03328.21	HpcH_HpaI	Domain	overlap_partial_unknown	488	2	478	8	False		0	0
260326at2759	PF03876.23	SHS2_Rpb7-N	Domain	all_GA_hits	488	476	12	0	True	11	11	11
260326at2759	PF03876.23	SHS2_Rpb7-N	Domain	overlap_partial_unknown	488	455	11	22	True	10	11	9
260326at2759	PF04003.18	Utp12	Family	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF04003.18	Utp12	Family	overlap_partial_unknown	488	1	479	8	False		0	0
260326at2759	PF07576.19	BRAP2	Family	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF07576.19	BRAP2	Family	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF09268.17	Clathrin-link	Repeat	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF09268.17	Clathrin-link	Repeat	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF09532.16	FDF	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF09532.16	FDF	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF10294.16	Methyltransf_16	Family	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF10294.16	Methyltransf_16	Family	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF10557.16	Cullin_Nedd8	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF10557.16	Cullin_Nedd8	Domain	overlap_partial_unknown	488	1	479	8	False		0	0
260326at2759	PF12473.14	DUF3694	Family	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF12473.14	DUF3694	Family	overlap_partial_unknown	488	1	479	8	False		0	0
260326at2759	PF12701.14	LSM14	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF12701.14	LSM14	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF13639.13	zf-RING_2	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF13639.13	zf-RING_2	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF13838.13	Clathrin_H_link	Repeat	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF13838.13	Clathrin_H_link	Repeat	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF14438.13	SM-ATX	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF14438.13	SM-ATX	Domain	overlap_partial_unknown	488	0	480	8	False		0	0
260326at2759	PF26557.1	Cullin_AB	Domain	all_GA_hits	488	1	487	0	False		0	0
260326at2759	PF26557.1	Cullin_AB	Domain	overlap_partial_unknown	488	1	479	8	False		0	0
2852757at2759	PF00023.37	Ank	Repeat	all_GA_hits	477	16	461	0	True	13	16	10
2852757at2759	PF00023.37	Ank	Repeat	overlap_partial_unknown	477	1	459	17	False		0	0
2852757at2759	PF00226.37	DnaJ	Domain	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF00226.37	DnaJ	Domain	overlap_partial_unknown	477	0	460	17	False		0	0
2852757at2759	PF00348.23	polyprenyl_synt	Domain	all_GA_hits	477	4	473	0	False		0	0
2852757at2759	PF00348.23	polyprenyl_synt	Domain	overlap_partial_unknown	477	4	456	17	False		0	0
2852757at2759	PF00722.29	Glyco_hydro_16	Domain	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF00722.29	Glyco_hydro_16	Domain	overlap_partial_unknown	477	1	459	17	False		0	0
2852757at2759	PF01399.34	PCI	Domain	all_GA_hits	477	477	0	0	False		0	0
2852757at2759	PF01399.34	PCI	Domain	overlap_partial_unknown	477	460	0	17	False		0	0
2852757at2759	PF03847.21	TFIID_20kDa	Domain	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF03847.21	TFIID_20kDa	Domain	overlap_partial_unknown	477	1	459	17	False		0	0
2852757at2759	PF04109.22	ATG9	Family	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF04109.22	ATG9	Family	overlap_partial_unknown	477	1	459	17	False		0	0
2852757at2759	PF07264.18	EI24	Family	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF07264.18	EI24	Family	overlap_partial_unknown	477	1	459	17	False		0	0
2852757at2759	PF08375.17	Rpn3_C	Family	all_GA_hits	477	475	2	0	False		0	0
2852757at2759	PF08375.17	Rpn3_C	Family	overlap_partial_unknown	477	447	2	28	False		0	0
2852757at2759	PF08657.16	DASH_Spc34	Family	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF08657.16	DASH_Spc34	Family	overlap_partial_unknown	477	0	459	18	False		0	0
2852757at2759	PF09748.15	Med10	Family	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF09748.15	Med10	Family	overlap_partial_unknown	477	1	459	17	False		0	0
2852757at2759	PF12796.14	Ank_2	Repeat	all_GA_hits	477	15	462	0	True	12	15	9
2852757at2759	PF12796.14	Ank_2	Repeat	overlap_partial_unknown	477	0	460	17	False		0	0
2852757at2759	PF13181.13	TPR_8	Repeat	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF13181.13	TPR_8	Repeat	overlap_partial_unknown	477	0	460	17	False		0	0
2852757at2759	PF13432.13	TPR_16	Repeat	all_GA_hits	477	1	476	0	False		0	0
2852757at2759	PF13432.13	TPR_16	Repeat	overlap_partial_unknown	477	0	460	17	False		0	0
2852757at2759	PF13606.13	Ank_3	Repeat	all_GA_hits	477	14	463	0	True	11	14	8
2852757at2759	PF13606.13	Ank_3	Repeat	overlap_partial_unknown	477	0	460	17	False		0	0
2852757at2759	PF13637.13	Ank_4	Repeat	all_GA_hits	477	9	468	0	True	7	7	7
2852757at2759	PF13637.13	Ank_4	Repeat	overlap_partial_unknown	477	0	460	17	False		0	0
2852757at2759	PF13857.13	Ank_5	Repeat	all_GA_hits	477	8	469	0	True	6	6	6
2852757at2759	PF13857.13	Ank_5	Repeat	overlap_partial_unknown	477	0	460	17	False		0	0
2852757at2759	PF25573.1	TPR_PSMD3_N	Repeat	all_GA_hits	477	477	0	0	False		0	0
2852757at2759	PF25573.1	TPR_PSMD3_N	Repeat	overlap_partial_unknown	477	442	0	35	False		0	0
288615at2759	PF00400.39	WD40	Repeat	all_GA_hits	504	1	503	0	False		0	0
288615at2759	PF00400.39	WD40	Repeat	overlap_partial_unknown	504	1	502	1	False		0	0
288615at2759	PF00995.29	Sec1	Family	all_GA_hits	504	504	0	0	False		0	0
288615at2759	PF00995.29	Sec1	Family	overlap_partial_unknown	504	493	0	11	False		0	0
288615at2759	PF01423.29	LSM	Domain	all_GA_hits	504	1	503	0	False		0	0
288615at2759	PF01423.29	LSM	Domain	overlap_partial_unknown	504	1	502	1	False		0	0
288615at2759	PF02037.34	SAP	Domain	all_GA_hits	504	1	503	0	False		0	0
288615at2759	PF02037.34	SAP	Domain	overlap_partial_unknown	504	1	502	1	False		0	0
288615at2759	PF08216.18	CTNNBL	Repeat	all_GA_hits	504	1	503	0	False		0	0
288615at2759	PF08216.18	CTNNBL	Repeat	overlap_partial_unknown	504	0	502	2	False		0	0
319730at2759	PF00018.35	SH3_1	Domain	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF00018.35	SH3_1	Domain	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF00025.28	Arf	Domain	all_GA_hits	491	5	486	0	True	5	5	5
319730at2759	PF00025.28	Arf	Domain	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF00071.29	Ras	Domain	all_GA_hits	491	9	482	0	True	7	7	7
319730at2759	PF00071.29	Ras	Domain	overlap_partial_unknown	491	0	477	14	False		0	0
319730at2759	PF00083.31	Sugar_tr	Family	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF00083.31	Sugar_tr	Family	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF00380.26	Ribosomal_S9	Family	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF00380.26	Ribosomal_S9	Family	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF00488.28	MutS_V	Domain	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF00488.28	MutS_V	Domain	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF00566.26	RabGAP-TBC	Family	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF00566.26	RabGAP-TBC	Family	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF00587.31	tRNA-synt_2b	Domain	all_GA_hits	491	490	1	0	False		0	0
319730at2759	PF00587.31	tRNA-synt_2b	Domain	overlap_partial_unknown	491	473	0	18	False		0	0
319730at2759	PF01521.27	Fe-S_biosyn	Domain	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF01521.27	Fe-S_biosyn	Domain	overlap_partial_unknown	491	1	477	13	False		0	0
319730at2759	PF01624.26	MutS_I	Domain	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF01624.26	MutS_I	Domain	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF01725.22	Ham1p_like	Domain	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF01725.22	Ham1p_like	Domain	overlap_partial_unknown	491	1	477	13	False		0	0
319730at2759	PF01926.30	MMR_HSR1	Family	all_GA_hits	491	1	490	0	False		0	0
319730at2759	PF01926.30	MMR_HSR1	Family	overlap_partial_unknown	491	0	478	13	False		0	0
319730at2759	PF02403.28	Seryl_tRNA_N	Domain	all_GA_hits	491	469	22	0	True	20	22	18
